"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MHCL","2024-08-11","462","478.6","456.1","468","1.30 %","55,380.00"
"MHCL","2024-08-08","489.6","489.6","455","462","-3.75 %","49,371.00"
"MHCL","2024-08-07","442.4","485.5","441.1","480","6.34 %","59,937.00"
"MHCL","2024-08-06","511.2","511.2","451.1","451.4","-9.94 %","95,731.00"
"MHCL","2024-08-05","480","515","470.1","501.2","5.52 %","100,509.00"
"MHCL","2024-08-01","468.9","482","460","475","3.26 %","96,062.00"
"MHCL","2024-07-31","439","466","439","460","4.90 %","81,334.00"
"MHCL","2024-07-30","443","444.9","429.1","438.5","0.80 %","34,419.00"
"MHCL","2024-07-29","435","442.6","427","435","0.69 %","39,299.00"
"MHCL","2024-07-28","443","470","426.3","432","-0.69 %","22,800.00"
"MHCL","2024-07-25","440","447","435","435","-1.36 %","33,249.00"
"MHCL","2024-07-24","462.9","469","441","441","-3.61 %","60,155.00"
"MHCL","2024-07-23","448","470","448","457.5","1.22 %","31,127.00"
"MHCL","2024-07-22","456.1","460","435","452","-0.66 %","47,547.00"
"MHCL","2024-07-21","435","455","428","455","5.06 %","55,229.00"
"MHCL","2024-07-18","447.6","448","432","433.1","-1.55 %","57,957.00"
"MHCL","2024-07-17","446.5","465","430","439.9","-0.02 %","65,844.00"
"MHCL","2024-07-16","410","440","410","440","7.32 %","63,645.00"
"MHCL","2024-07-15","424.3","424.3","408","410","-1.44 %","34,326.00"
"MHCL","2024-07-14","415","428.2","412","416","0.97 %","19,160.00"
"MHCL","2024-07-11","410","414","406.1","412","1.78 %","31,173.00"
"MHCL","2024-07-10","405","408","398.2","404.8","-0.27 %","21,941.00"
"MHCL","2024-07-09","406.9","407","399.2","405.9","1.73 %","17,320.00"
"MHCL","2024-07-08","413","420.9","399","399","-1.48 %","18,853.00"
"MHCL","2024-07-07","392","410","392","405","1.25 %","13,686.00"
"MHCL","2024-07-04","405.9","418","398","400","0.50 %","37,125.00"
"MHCL","2024-07-03","401.2","409.3","395.1","398","-2.45 %","21,514.00"
"MHCL","2024-07-02","412","428.4","405","408","0.77 %","20,771.00"
"MHCL","2024-07-01","394.5","406","394.5","404.9","1.48 %","10,232.00"
"MHCL","2024-06-30","402","405","395","399","-1.24 %","12,294.00"
"MHCL","2024-06-27","410","410","402.3","404","-1.46 %","10,706.00"
"MHCL","2024-06-26","411.1","422.9","404.9","410","-1.44 %","20,876.00"
"MHCL","2024-06-25","408.5","418","405","416","1.96 %","22,194.00"
"MHCL","2024-06-24","393.2","411","393.2","408","1.97 %","22,722.00"
"MHCL","2024-06-23","405.1","410","392","400.1","-2.37 %","16,454.00"
"MHCL","2024-06-20","414.9","415","405","409.8","-0.05 %","13,396.00"
"MHCL","2024-06-19","400.2","417","400.2","410","1.23 %","10,409.00"
"MHCL","2024-06-18","418.2","418.2","401.8","405","-1.22 %","22,370.00"
