"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKHC","2024-08-11","421","445","415.2","438","6.05 %","56,404.00"
"MKHC","2024-08-08","410","436.5","400.1","413","1.98 %","79,986.00"
"MKHC","2024-08-07","386","405","386","405","3.05 %","43,884.00"
"MKHC","2024-08-06","410","418.2","369","393","-3.91 %","90,234.00"
"MKHC","2024-08-05","396","410","392","409","3.28 %","58,808.00"
"MKHC","2024-08-01","395","408","390","396","-0.75 %","84,217.00"
"MKHC","2024-07-31","400","414","392","399","0.50 %","74,131.00"
"MKHC","2024-07-30","374.1","408","370.3","397","6.18 %","82,552.00"
"MKHC","2024-07-29","369.1","387","369.1","373.9","-0.29 %","55,833.00"
"MKHC","2024-07-28","383.5","390","365","375","-0.27 %","38,273.00"
"MKHC","2024-07-25","370","385","368","376","1.35 %","56,092.00"
"MKHC","2024-07-24","390","394","370.1","371","-4.38 %","54,525.00"
"MKHC","2024-07-23","385","396.7","380","388","1.04 %","61,473.00"
"MKHC","2024-07-22","377.4","392","361.1","384","3.78 %","89,156.00"
"MKHC","2024-07-21","361.7","376.9","361.7","370","0.27 %","71,498.00"
"MKHC","2024-07-18","368","378","362","369","-1.60 %","58,532.00"
"MKHC","2024-07-17","375","380","358.6","375","0.56 %","72,454.00"
"MKHC","2024-07-16","354.5","382.5","352","372.9","5.10 %","87,944.00"
"MKHC","2024-07-15","355.3","358","348","354.8","1.37 %","71,866.00"
"MKHC","2024-07-14","349.1","359","340.1","350","0.86 %","67,640.00"
"MKHC","2024-07-11","348","354","337","347","1.20 %","39,618.00"
"MKHC","2024-07-10","330","345","326.1","342.9","3.78 %","44,647.00"
"MKHC","2024-07-09","330","336.6","328","330.4","-1.64 %","14,653.00"
"MKHC","2024-07-08","338","340","333","335.9","-1.21 %","18,952.00"
"MKHC","2024-07-07","335.2","348.8","335.2","340","-0.58 %","33,895.00"
"MKHC","2024-07-04","341","354","331.6","342","1.18 %","53,835.00"
"MKHC","2024-07-03","328","340","325","338","2.11 %","24,794.00"
"MKHC","2024-07-02","330.9","344.2","325.5","331","2.00 %","27,003.00"
"MKHC","2024-07-01","322.3","334.5","322.2","324.5","-1.07 %","13,430.00"
"MKHC","2024-06-30","328.2","335","322.5","328","-1.77 %","22,942.00"
"MKHC","2024-06-27","332","340","328.9","333.9","0.00 %","30,482.00"
"MKHC","2024-06-26","330","346","329","333.9","1.24 %","65,160.00"
"MKHC","2024-06-25","322","334.5","322","329.8","0.92 %","21,540.00"
"MKHC","2024-06-24","319","329","319","326.8","2.45 %","8,519.00"
"MKHC","2024-06-23","326","328","317","319","-2.15 %","20,310.00"
"MKHC","2024-06-20","330","332","324.1","326","-1.18 %","14,247.00"
"MKHC","2024-06-19","321.3","329.9","321.3","329.9","1.20 %","16,204.00"
"MKHC","2024-06-18","324","329","320.6","326","-1.33 %","19,713.00"
"MKHC","2024-06-16","327","333","323.6","330.4","1.98 %","37,426.00"
"MKHC","2024-06-13","326.1","332","322.3","324","-2.11 %","35,747.00"
"MKHC","2024-06-12","339","339","327.1","331","-0.60 %","35,877.00"
"MKHC","2024-06-11","336","342","330","333","0.42 %","55,072.00"
"MKHC","2024-06-10","323","337","322","331.6","2.66 %","59,086.00"
"MKHC","2024-06-09","319.5","326","316","323","2.83 %","33,972.00"
"MKHC","2024-06-06","313.1","326","313.1","314.1","-1.20 %","27,927.00"
"MKHC","2024-06-05","329","329","316","317.9","-1.88 %","21,366.00"
"MKHC","2024-06-04","325","330.3","320.5","324","0.00 %","23,613.00"
"MKHC","2024-06-03","340","341","322","324","-3.28 %","34,859.00"
"MKHC","2024-06-02","323","339","319","335","3.08 %","85,178.00"
"MKHC","2024-05-30","314.6","329.1","310.1","325","3.31 %","72,891.00"
"MKHC","2024-05-29","314.1","321.9","308","314.6","2.14 %","32,190.00"
"MKHC","2024-05-27","303.2","315","303.2","308","0.00 %","15,112.00"
"MKHC","2024-05-26","321.9","322","307.9","308","-2.53 %","18,850.00"
"MKHC","2024-05-22","330.9","330.9","313","316","-2.74 %","32,244.00"
"MKHC","2024-05-21","310","325","308.1","324.9","5.83 %","55,805.00"
"MKHC","2024-05-20","306.2","312","306.2","307","0.49 %","34,530.00"
"MKHC","2024-05-19","303","311","298","305.5","0.16 %","20,191.00"
"MKHC","2024-05-16","305.6","314","300","305","-1.42 %","19,066.00"
"MKHC","2024-05-15","322","323","305","309.4","-2.06 %","32,376.00"
"MKHC","2024-05-14","300","324.3","300","315.9","3.24 %","32,615.00"
"MKHC","2024-05-13","313","313","302","306","-0.29 %","14,028.00"
"MKHC","2024-05-12","314","318","302","306.9","-0.36 %","17,758.00"
"MKHC","2024-05-09","310","311","303","308","1.32 %","13,420.00"
"MKHC","2024-05-08","312","314.6","299.8","304","-2.56 %","21,982.00"
"MKHC","2024-05-07","315","321","308.8","312","-0.95 %","17,437.00"
"MKHC","2024-05-06","316.5","318","311","315","-1.56 %","16,742.00"
"MKHC","2024-05-05","330","331","313","320","-2.74 %","56,790.00"
"MKHC","2024-05-02","326","334.9","319","329","0.92 %","31,103.00"
"MKHC","2024-04-30","318","332.9","313.4","326","2.35 %","80,194.00"
"MKHC","2024-04-29","324","329.9","314.6","318.5","-1.82 %","14,140.00"
"MKHC","2024-04-28","323","330","313.7","324.4","2.04 %","27,694.00"
"MKHC","2024-04-25","318","336.9","314","317.9","-1.88 %","34,317.00"
"MKHC","2024-04-24","327","342","318","324","0.31 %","11,902.00"
"MKHC","2024-04-22","332","338.6","316.6","323","-2.12 %","26,153.00"
"MKHC","2024-04-21","318","334.9","313.2","330","3.48 %","40,540.00"
"MKHC","2024-04-18","317.8","328.9","317","318.9","-1.57 %","10,616.00"
"MKHC","2024-04-16","322.5","343.7","320","324","-1.52 %","41,606.00"
"MKHC","2024-04-15","340","362","327.2","329","-3.80 %","38,940.00"
"MKHC","2024-04-14","353.9","353.9","336.6","342","-1.44 %","48,257.00"
"MKHC","2024-04-10","340","357","340","347","3.58 %","135,339.00"
"MKHC","2024-04-09","336","344","331","335","0.90 %","81,190.00"
"MKHC","2024-04-07","318.6","332","318.6","332","2.12 %","35,401.00"
"MKHC","2024-04-04","318.3","330","318.3","325.1","0.18 %","22,263.00"
"MKHC","2024-04-03","324","340","323.5","324.5","-1.70 %","44,468.00"
"MKHC","2024-04-02","338","352.3","325.5","330.1","-4.26 %","58,937.00"
"MKHC","2024-04-01","341","355","328","344.8","3.11 %","162,877.00"
"MKHC","2024-03-31","309","334.4","304","334.4","10.00 %","127,703.00"
"MKHC","2024-03-28","290","310","287.5","304","4.11 %","37,065.00"
"MKHC","2024-03-27","299.7","299.7","287","292","-0.65 %","13,482.00"
"MKHC","2024-03-26","289.5","300","284.3","293.9","1.34 %","16,030.00"
"MKHC","2024-03-25","280.4","290","280","290","1.40 %","8,679.00"
"MKHC","2024-03-21","285.1","289","282.3","286","0.21 %","16,403.00"
"MKHC","2024-03-20","295","298","285.2","285.4","-2.93 %","17,366.00"
"MKHC","2024-03-19","295","306.9","291.1","294","-0.34 %","9,094.00"
"MKHC","2024-03-18","294","299","294","295","-1.63 %","15,608.00"
"MKHC","2024-03-17","300","305.9","295","299.9","-1.02 %","18,347.00"
"MKHC","2024-03-14","296","307","295.5","303","1.41 %","28,000.00"
"MKHC","2024-03-13","300.5","302","297.1","298.8","-1.42 %","12,049.00"
"MKHC","2024-03-12","306","310","298.6","303.1","0.03 %","30,058.00"
"MKHC","2024-03-10","297.3","306","296","303","2.50 %","36,630.00"
"MKHC","2024-03-07","293","300.4","290.2","295.6","2.64 %","47,925.00"
"MKHC","2024-03-06","279","295","279","288","2.42 %","36,044.00"
"MKHC","2024-03-05","301.9","301.9","281.2","281.2","-5.00 %","26,012.00"
"MKHC","2024-03-04","284","301.2","284","296","6.13 %","210.00"
"MKHC","2024-03-03","283","288","271.9","278.9","-0.75 %","6,212.00"
"MKHC","2024-02-29","300","300","280.5","281","-5.07 %","20,409.00"
"MKHC","2024-02-28","290","299.9","287","296","0.68 %","24,858.00"
"MKHC","2024-02-27","300","301","293.2","294","-2.00 %","16,176.00"
"MKHC","2024-02-26","283","300","283","300","4.17 %","21,382.00"
"MKHC","2024-02-25","300","300","288","288","-4.00 %","26,948.00"
"MKHC","2024-02-22","300","310","295.2","300","-1.64 %","37,827.00"
"MKHC","2024-02-21","305","314","302","305","-1.45 %","28,327.00"
"MKHC","2024-02-20","310","315","297.8","309.5","-0.16 %","32,760.00"
"MKHC","2024-02-18","315.1","324","308","310","-3.19 %","48,679.00"
"MKHC","2024-02-15","320.1","335.5","320","320.2","-1.78 %","41,185.00"
"MKHC","2024-02-14","318.5","330","318.5","326","0.31 %","61,794.00"
"MKHC","2024-02-13","323.4","352.9","316.2","325","-1.52 %","109,494.00"
"MKHC","2024-02-12","327.4","330","316","330","2.80 %","58,922.00"
"MKHC","2024-02-11","306","330","306","321","4.90 %","84,557.00"
"MKHC","2024-02-08","285","310","285","306","7.78 %","109,092.00"
"MKHC","2024-02-07","278.8","288.2","274.5","283.9","3.84 %","39,044.00"
"MKHC","2024-02-06","265","278.4","265","273.4","1.26 %","11,004.00"
"MKHC","2024-02-05","268","275","268","270","-1.10 %","14,525.00"
"MKHC","2024-02-04","270","274.9","265.4","273","1.87 %","14,342.00"
"MKHC","2024-02-01","271.5","276.9","266.7","268","-3.25 %","20,947.00"
"MKHC","2024-01-31","287.8","293.8","275","277","-3.75 %","33,138.00"
"MKHC","2024-01-30","280.1","294","280","287.8","2.79 %","38,649.00"
"MKHC","2024-01-29","270","284.4","270","280","1.82 %","22,261.00"
"MKHC","2024-01-28","264.6","279","264.6","275","1.85 %","16,207.00"
"MKHC","2024-01-25","275","280","264.6","270","-3.23 %","31,110.00"
"MKHC","2024-01-24","280","284.6","267.1","279","1.45 %","18,317.00"
"MKHC","2024-01-23","273.5","281.9","267","275","-1.43 %","24,724.00"
"MKHC","2024-01-22","280.5","285.6","275","279","-2.45 %","41,104.00"
"MKHC","2024-01-21","290.7","301","284.6","286","-1.62 %","38,445.00"
"MKHC","2024-01-18","282.1","299","272","290.7","3.05 %","38,347.00"
"MKHC","2024-01-17","306","307","282.1","282.1","-7.84 %","76,185.00"
"MKHC","2024-01-16","306","317.1","298.1","306.1","1.36 %","71,683.00"
"MKHC","2024-01-14","290.9","310.1","286.1","302","5.78 %","71,844.00"
"MKHC","2024-01-11","269.5","291.3","269.5","285.5","3.82 %","44,299.00"
"MKHC","2024-01-10","284","290.7","275","275","-4.35 %","45,612.00"
"MKHC","2024-01-09","290.9","306","279.3","287.5","0.52 %","81,664.00"
"MKHC","2024-01-08","267.2","290.7","265","286","7.12 %","77,052.00"
"MKHC","2024-01-07","270","279","265","267","0.79 %","60,756.00"
"MKHC","2024-01-04","262.1","279.8","258","264.9","1.11 %","64,178.00"
"MKHC","2024-01-03","250","265","246.2","262","3.56 %","22,317.00"
"MKHC","2024-01-02","262.6","272","250.8","253","-5.56 %","22,730.00"
"MKHC","2024-01-01","272","282.5","260","267.9","-3.29 %","58,156.00"
"MKHC","2023-12-28","285.6","285.6","270.5","277","-1.07 %","29,242.00"
"MKHC","2023-12-27","264.9","286","264.9","280","7.69 %","84,957.00"
"MKHC","2023-12-24","238.5","267.3","238.4","260","7.00 %","124,470.00"
"MKHC","2023-12-21","248","254","238.1","243","-3.53 %","24,160.00"
"MKHC","2023-12-20","256","259.9","245","251.9","-1.60 %","43,999.00"
"MKHC","2023-12-19","259","259","237.5","256","0.79 %","27,477.00"
"MKHC","2023-12-18","262.1","272","245","254","-1.17 %","46,996.00"
"MKHC","2023-12-17","234.3","262","226.8","257","7.53 %","46,855.00"
"MKHC","2023-12-14","243","244.7","231","239","0.00 %","14,807.00"
"MKHC","2023-12-13","225","244.7","225","239","6.70 %","40,580.00"
"MKHC","2023-12-12","216","226","211.7","224","3.70 %","21,103.00"
"MKHC","2023-12-11","221.7","222","208.5","216","-0.64 %","15,316.00"
"MKHC","2023-12-10","209.1","217.4","209.1","217.4","6.05 %","70.00"
"MKHC","2023-12-07","195.1","213","195.1","205","3.07 %","6,140.00"
"MKHC","2023-12-06","204","208","196.1","198.9","-0.55 %","3,718.00"
"MKHC","2023-12-05","197.4","205.1","194","200","-0.65 %","1,873.00"
"MKHC","2023-12-04","198.9","206.9","193.2","201.3","-0.79 %","3,310.00"
"MKHC","2023-12-03","199","204","195","202.9","0.55 %","2,643.00"
"MKHC","2023-11-30","202","213","197","201.8","-0.25 %","5,500.00"
"MKHC","2023-11-29","206","211.9","202","202.3","-1.80 %","3,590.00"
"MKHC","2023-11-28","205.1","210","204","206","-1.53 %","5,775.00"
"MKHC","2023-11-27","214","214","203.1","209.2","-0.62 %","4,148.00"
"MKHC","2023-11-26","208","211.1","200","210.5","2.68 %","7,325.00"
"MKHC","2023-11-23","191.1","205","188.1","205","5.13 %","2,290.00"
"MKHC","2023-11-22","186.6","199.9","186.6","195","2.69 %","1,745.00"
"MKHC","2023-11-21","198","198","187.5","189.9","-5.99 %","6,851.00"
"MKHC","2023-11-20","199","204","197.1","202","0.35 %","1,700.00"
"MKHC","2023-11-09","215","215","201","201.3","-6.37 %","4,250.00"
"MKHC","2023-11-08","201.1","217.3","198.1","215","4.88 %","3,707.00"
"MKHC","2023-11-07","199.6","214.9","199.6","205","0.79 %","1,140.00"
"MKHC","2023-11-06","204.3","207","197.1","203.4","-2.40 %","2,120.00"
"MKHC","2023-11-05","196.3","208.4","192.5","208.4","4.25 %","3,380.00"
"MKHC","2023-11-02","199","201","195.2","199.9","0.45 %","2,370.00"
"MKHC","2023-11-01","201","210","197.3","199","-2.93 %","2,450.00"
"MKHC","2023-10-31","214","214","204.1","205","-2.66 %","1,110.00"
"MKHC","2023-10-30","205","210.6","202.1","210.6","0.72 %","2,120.00"
"MKHC","2023-10-29","224.4","224.4","208","209.1","-4.95 %","1,775.00"
"MKHC","2023-10-19","218","221.9","213.9","220","2.33 %","6,631.00"
"MKHC","2023-10-18","208","221.5","208","215","2.43 %","4,421.00"
"MKHC","2023-10-17","205","210","202.2","209.9","4.43 %","10,088.00"
"MKHC","2023-10-16","207","208","200","201","-4.74 %","4,910.00"
"MKHC","2023-10-12","226","226","210","211","-4.95 %","7,957.00"
"MKHC","2023-10-11","215","222","214","222","1.37 %","4,683.00"
"MKHC","2023-10-10","211.7","219.3","211.5","219","1.39 %","7,385.00"
"MKHC","2023-10-09","210","222.5","210","216","1.12 %","11,707.00"
"MKHC","2023-10-08","225.5","225.5","212.4","213.6","-7.17 %","12,682.00"
"MKHC","2023-10-05","230","232","222.6","230.1","0.00 %","18,687.00"
"MKHC","2023-10-04","217.6","234","213.3","230.1","3.65 %","18,908.00"
"MKHC","2023-10-03","218","222.2","213.7","222","1.83 %","18,178.00"
"MKHC","2023-10-02","203.9","225","203.9","218","4.81 %","20,355.00"
