"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKJC","2024-08-11","632.1","670","580.5","645","0.00 %","878,421.00"
"MKJC","2024-08-08","673","699","642","645","-2.27 %","32,654.00"
"MKJC","2024-08-07","591","660","591","660","10.00 %","46,003.00"
"MKJC","2024-08-06","590","631","589","600","1.68 %","55,974.00"
"MKJC","2024-08-05","600","608","574.3","590.1","-1.30 %","20,741.00"
"MKJC","2024-08-01","606","610","595","597.9","-1.17 %","15,276.00"
"MKJC","2024-07-31","615","617.1","596","605","0.00 %","34,980.00"
"MKJC","2024-07-30","576.1","605","576.1","605","3.95 %","24,854.00"
"MKJC","2024-07-29","601","601","575","582","-1.52 %","13,018.00"
"MKJC","2024-07-28","607.9","620","579","591","-0.84 %","7,587.00"
"MKJC","2024-07-25","582.1","602.7","582.1","596","0.49 %","11,094.00"
"MKJC","2024-07-24","610","610","591.2","593.1","-1.64 %","13,252.00"
"MKJC","2024-07-23","605","610","594","603","0.17 %","23,522.00"
"MKJC","2024-07-22","599","609.9","588","602","0.50 %","19,949.00"
"MKJC","2024-07-21","585","615","572","599","2.13 %","28,407.00"
"MKJC","2024-07-18","595.1","600","586","586.5","-1.40 %","14,689.00"
"MKJC","2024-07-17","603","603","581.2","594.8","0.47 %","23,815.00"
"MKJC","2024-07-16","586","608.9","555","592","2.78 %","33,847.00"
"MKJC","2024-07-15","579.5","586","575","576","-1.71 %","16,249.00"
"MKJC","2024-07-14","598.7","609.9","584","586","-0.17 %","21,069.00"
"MKJC","2024-07-11","590.5","626","586","587","-2.57 %","26,088.00"
"MKJC","2024-07-10","590","603","580","602.5","2.12 %","13,593.00"
"MKJC","2024-07-09","594","619","588","590","-2.64 %","12,641.00"
"MKJC","2024-07-08","674","674","595.4","606","-8.39 %","30,953.00"
"MKJC","2024-07-07","735","735","661.5","661.5","-10.00 %","8,509.00"
"MKJC","2024-07-04","681.1","735","625.5","735","5.76 %","73,029.00"
"MKJC","2024-07-03","632.1","695","619","695","7.75 %","30,157.00"
"MKJC","2024-07-02","651.8","662.9","625","645","0.92 %","18,490.00"
"MKJC","2024-07-01","684.1","684.1","628.2","639.1","-8.44 %","21,694.00"
"MKJC","2024-06-30","646.8","698","609.6","698","5.76 %","28,342.00"
"MKJC","2024-06-27","612.5","660","612.5","660","5.62 %","27,182.00"
"MKJC","2024-06-26","614","633","603","624.9","1.61 %","39,829.00"
"MKJC","2024-06-25","598.9","624","588","615","3.67 %","12,446.00"
"MKJC","2024-06-24","605","629","582.2","593.2","-0.13 %","14,864.00"
"MKJC","2024-06-23","529.2","594","529.2","594","10.00 %","64,309.00"
"MKJC","2024-06-20","540","570.1","540","540","-2.00 %","18,383.00"
"MKJC","2024-06-19","513.4","552.8","513.4","551","5.19 %","27,343.00"
"MKJC","2024-06-18","506","526","506","523.8","3.52 %","24,613.00"
"MKJC","2024-06-16","509","520","498.9","506","1.10 %","7,011.00"
"MKJC","2024-06-13","521","521","500","500.5","-2.44 %","16,318.00"
"MKJC","2024-06-12","527","540.6","510.6","513","-3.21 %","10,082.00"
"MKJC","2024-06-11","538.5","538.5","517.3","530","0.38 %","13,248.00"
"MKJC","2024-06-10","508","545","501","528","4.55 %","27,026.00"
"MKJC","2024-06-09","465","514","465","505","7.22 %","25,783.00"
"MKJC","2024-06-06","483","483.5","468","471","-0.84 %","6,975.00"
"MKJC","2024-06-05","476.1","495","468","475","-2.22 %","4,501.00"
"MKJC","2024-06-04","488","495","471","485.8","1.21 %","11,444.00"
"MKJC","2024-06-03","505.9","505.9","476","480","-3.23 %","6,810.00"
"MKJC","2024-06-02","486","505.6","481","496","0.30 %","14,141.00"
"MKJC","2024-05-30","480","509","474.3","494.5","4.11 %","37,048.00"
"MKJC","2024-05-29","474","482","465","475","1.95 %","10,243.00"
"MKJC","2024-05-27","465","480","455","465.9","2.17 %","3,910.00"
"MKJC","2024-05-26","457","473","450","456","-1.72 %","9,493.00"
"MKJC","2024-05-22","483","483","460","464","-2.11 %","4,674.00"
"MKJC","2024-05-21","458","491.8","456.1","474","3.54 %","10,093.00"
"MKJC","2024-05-20","453","457.8","440","457.8","2.92 %","8,376.00"
"MKJC","2024-05-19","439.6","455","431","444.8","3.20 %","6,041.00"
"MKJC","2024-05-16","437","447","428","431","-3.15 %","2,305.00"
"MKJC","2024-05-15","449","453","437","445","-0.89 %","1,975.00"
"MKJC","2024-05-14","425","459","422","449","5.65 %","5,651.00"
"MKJC","2024-05-13","414","435","414","425","0.62 %","3,924.00"
"MKJC","2024-05-12","416.6","441","416.5","422.4","-0.61 %","1,324.00"
"MKJC","2024-05-09","426","433","421","425","1.67 %","2,788.00"
"MKJC","2024-05-08","428","435","418","418","-3.69 %","4,584.00"
"MKJC","2024-05-07","440","475","431.2","434","-1.99 %","1,370.00"
"MKJC","2024-05-06","423","444.9","420.7","442.8","3.22 %","3,326.00"
"MKJC","2024-05-05","437","445","426.4","429","-3.77 %","2,188.00"
"MKJC","2024-05-02","449","455","437.1","445.8","-0.49 %","1,988.00"
"MKJC","2024-04-30","426.1","469","421.1","448","3.56 %","3,345.00"
"MKJC","2024-04-29","432","443.5","432","432.6","-1.30 %","797.00"
"MKJC","2024-04-28","450.8","450.8","435","438.3","-0.84 %","893.00"
"MKJC","2024-04-25","440","450","429.1","442","-0.67 %","2,353.00"
"MKJC","2024-04-24","435","450.7","435","445","0.68 %","1,300.00"
"MKJC","2024-04-22","459","462","437.2","442","-2.43 %","1,709.00"
"MKJC","2024-04-21","437","453","437","453","1.80 %","3,835.00"
"MKJC","2024-04-18","459","459","440","445","-1.11 %","3,475.00"
"MKJC","2024-04-16","462.9","462.9","450","450","-0.88 %","2,792.00"
"MKJC","2024-04-15","452.8","470","451.4","454","-1.73 %","1,862.00"
"MKJC","2024-04-14","452.1","465","452.1","462","0.43 %","4,030.00"
"MKJC","2024-04-10","455","467","450","460","0.26 %","10,041.00"
"MKJC","2024-04-09","460","477","458.7","458.8","-2.17 %","4,109.00"
"MKJC","2024-04-07","469.2","469.2","451","469","1.96 %","1,537.00"
"MKJC","2024-04-04","460","478.5","452.1","460","1.10 %","1,066.00"
"MKJC","2024-04-03","460.6","478.3","455","455","-3.19 %","1,547.00"
"MKJC","2024-04-02","465","477","460","470","0.00 %","5,550.00"
"MKJC","2024-04-01","460.6","487","457","470","0.00 %","6,898.00"
"MKJC","2024-03-31","453","478","453","470","1.79 %","5,435.00"
"MKJC","2024-03-28","479","481","471","472","-3.28 %","3,250.00"
"MKJC","2024-03-27","493","494","466","488","-0.20 %","4,560.00"
"MKJC","2024-03-26","466.4","489","460.5","489","2.75 %","4,890.00"
"MKJC","2024-03-20","475.3","500","468.1","475.9","2.12 %","5,549.00"
"MKJC","2024-03-19","479","512","466","466","-4.51 %","12,929.00"
"MKJC","2024-03-18","484.2","497","471","488","-1.21 %","6,640.00"
"MKJC","2024-03-17","490","499","477","494","-1.20 %","5,315.00"
"MKJC","2024-03-14","490","507","483","500","0.02 %","5,964.00"
"MKJC","2024-03-13","516","516","489.9","499.9","-1.21 %","6,284.00"
"MKJC","2024-03-12","514","521","495","506","0.40 %","6,258.00"
"MKJC","2024-03-10","502.8","504","483","504","2.23 %","13,527.00"
"MKJC","2024-03-07","499.5","519","480","493","0.61 %","4,920.00"
"MKJC","2024-03-06","481","500","470.6","490","0.00 %","6,861.00"
"MKJC","2024-03-05","512.1","512.1","482.3","490","-2.41 %","4,975.00"
"MKJC","2024-03-04","494.7","502.1","487","502.1","3.53 %","703.00"
"MKJC","2024-03-03","478.1","487","469","485","-0.57 %","1,800.00"
"MKJC","2024-02-29","491.1","510","480","487.8","-2.63 %","9,165.00"
"MKJC","2024-02-28","505.9","520","477.7","501","0.80 %","10,636.00"
"MKJC","2024-02-27","484.1","501.4","475.7","497","0.81 %","4,897.00"
"MKJC","2024-02-26","491","493","476.2","493","2.07 %","6,042.00"
"MKJC","2024-02-25","510","510","471.2","483","-3.59 %","1,563.00"
"MKJC","2024-02-22","488.1","504.9","482","501","0.62 %","7,133.00"
"MKJC","2024-02-21","520","528","490.1","497.9","-4.05 %","26,695.00"
"MKJC","2024-02-20","520","529.9","502","518.9","-0.59 %","3,400.00"
"MKJC","2024-02-18","548","548","521","522","-4.40 %","5,661.00"
"MKJC","2024-02-15","567.5","577.8","546","546","-5.70 %","11,824.00"
"MKJC","2024-02-14","555.9","592","517.2","579","6.24 %","12,914.00"
"MKJC","2024-02-13","499.8","545","481","545","6.88 %","53,072.00"
"MKJC","2024-02-12","485.1","510","478","509.9","3.01 %","11,788.00"
"MKJC","2024-02-11","479.3","506","471.5","495","1.23 %","13,722.00"
"MKJC","2024-02-08","462.1","495","462.1","489","4.94 %","15,163.00"
"MKJC","2024-02-07","466","493","449","466","1.97 %","6,008.00"
"MKJC","2024-02-06","455","462.9","452.5","457","0.64 %","2,185.00"
"MKJC","2024-02-05","450.5","477","450.5","454.1","0.46 %","330.00"
"MKJC","2024-02-04","445","462.9","445","452","-0.42 %","657.00"
"MKJC","2024-02-01","458","474.8","445","453.9","-2.58 %","2,755.00"
"MKJC","2024-01-31","483","483.1","461.7","465.9","-3.34 %","5,986.00"
"MKJC","2024-01-30","471","505","471","482","0.44 %","10,636.00"
"MKJC","2024-01-29","465","480","461","479.9","3.65 %","12,992.00"
"MKJC","2024-01-28","438.4","466.5","438.4","463","3.81 %","7,592.00"
"MKJC","2024-01-25","448","468","442.3","446","-0.89 %","3,600.00"
"MKJC","2024-01-24","444","461.1","444","450","-0.22 %","5,410.00"
"MKJC","2024-01-23","458.7","467","442.5","451","-3.63 %","2,160.00"
"MKJC","2024-01-22","450","473.2","440","468","2.86 %","4,474.00"
"MKJC","2024-01-21","467","474.5","455","455","-2.57 %","9,240.00"
"MKJC","2024-01-18","465","487.5","446.9","467","0.43 %","11,997.00"
"MKJC","2024-01-17","485.2","494","465","465","-6.06 %","12,085.00"
