"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MKLB","2024-07-07","1205","1205","1142","1169","-2.99 %","15,057.00"
"MKLB","2024-07-04","1202.8","1250.5","1162","1205","2.12 %","6,111.00"
"MKLB","2024-07-03","1180","1189","1147","1180","0.08 %","9,707.00"
"MKLB","2024-07-02","1201.5","1295","1175","1179","0.08 %","8,074.00"
"MKLB","2024-07-01","1244","1244","1124.8","1178","-3.43 %","6,935.00"
"MKLB","2024-06-30","1321","1321","1210.5","1219.9","-9.30 %","22,654.00"
"MKLB","2024-06-27","1345","1397","1344","1345","0.21 %","6,492.00"
"MKLB","2024-06-26","1388","1388","1340","1342.2","-3.30 %","10,061.00"
"MKLB","2024-06-25","1399","1410","1364","1388","-0.84 %","5,502.00"
"MKLB","2024-06-24","1325","1412.9","1325","1399.8","3.69 %","5,361.00"
"MKLB","2024-06-23","1417.8","1417.8","1338","1350","-2.88 %","12,478.00"
"MKLB","2024-06-20","1430.8","1485","1372","1390","-4.79 %","22,776.00"
"MKLB","2024-06-19","1587.6","1587.6","1458","1460","-9.88 %","21,272.00"
"MKLB","2024-06-18","1836","1836","1620","1620","-10.00 %","1,405.00"
"MKLB","2024-06-16","1617","1815","1493","1800","9.09 %","52,527.00"
"MKLB","2024-06-13","1480","1661","1423","1650","9.27 %","11,563.00"
"MKLB","2024-06-12","1420","1518","1412","1510","8.01 %","7,727.00"
"MKLB","2024-06-11","1326","1400","1326","1398","7.54 %","17,529.00"
"MKLB","2024-06-10","1264","1355","1240","1300","4.75 %","13,918.00"
"MKLB","2024-06-09","1252","1270","1219.8","1241.1","-0.87 %","13,517.00"
"MKLB","2024-06-06","1215.8","1311","1215.8","1252","5.03 %","13,990.00"
"MKLB","2024-06-05","1105","1193.8","1105","1192","9.83 %","15,276.00"
"MKLB","2024-06-04","1130","1147","1085.3","1085.3","-3.53 %","4,758.00"
"MKLB","2024-06-03","1083","1168.9","1062.9","1125","5.84 %","5,081.00"
"MKLB","2024-06-02","1050","1062.9","1030","1062.9","1.71 %","2,882.00"
"MKLB","2024-05-30","1047","1062","1045","1045","-1.60 %","1,442.00"
"MKLB","2024-05-29","1075","1140","1060","1062","0.66 %","4,693.00"
"MKLB","2024-05-27","1076","1110","1055","1055","-2.22 %","2,749.00"
"MKLB","2024-05-26","1098","1129.9","1059","1079","-3.66 %","3,316.00"
"MKLB","2024-05-22","1160","1169.5","1120","1120","-3.45 %","3,849.00"
"MKLB","2024-05-21","1138","1219.9","1107","1160","1.75 %","4,657.00"
"MKLB","2024-05-20","1233","1233","1135","1140","-5.79 %","7,023.00"
"MKLB","2024-05-19","1183","1228","1110","1210","4.32 %","8,609.00"
"MKLB","2024-05-16","1078","1185.2","1066.4","1159.9","5.45 %","10,495.00"
"MKLB","2024-05-15","1087.4","1172","1080","1100","3.18 %","5,354.00"
"MKLB","2024-05-14","1014","1137.1","1014","1066.1","3.11 %","15,737.00"
"MKLB","2024-05-13","985","1034","985","1033.9","3.40 %","3,840.00"
"MKLB","2024-05-12","1039.9","1040","985","999.9","-2.07 %","2,650.00"
"MKLB","2024-05-09","1059","1070","1015","1021","-4.01 %","4,216.00"
