"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MPFL","2024-08-11","640","665","638","653","2.03 %","81,435.00"
"MPFL","2024-08-08","656","669","633","640","-2.44 %","76,097.00"
"MPFL","2024-08-07","605","663.3","602","656","8.79 %","123,941.00"
"MPFL","2024-08-06","668","668","600.1","603","-7.94 %","178,436.00"
"MPFL","2024-08-05","677","677","643","655","-2.96 %","83,755.00"
"MPFL","2024-08-01","695","729.3","666","675","-2.53 %","101,297.00"
"MPFL","2024-07-31","642.6","693","628.2","692.5","9.92 %","139,276.00"
"MPFL","2024-07-30","610","637","605.1","630","4.48 %","133,309.00"
"MPFL","2024-07-29","628","628","600.5","603","-2.11 %","59,960.00"
"MPFL","2024-07-28","625","636","603.7","616","0.00 %","53,152.00"
"MPFL","2024-07-25","621","637.5","614.5","616","-0.65 %","80,926.00"
"MPFL","2024-07-24","616.1","640","607","620","0.73 %","83,974.00"
"MPFL","2024-07-23","610","619","602","615.5","2.38 %","50,289.00"
"MPFL","2024-07-22","585.2","619.5","578.1","601.2","2.24 %","107,773.00"
"MPFL","2024-07-21","579","602.5","572.5","588","1.55 %","118,420.00"
"MPFL","2024-07-18","602.8","602.8","570","579","-2.03 %","88,887.00"
"MPFL","2024-07-17","552.9","593.9","545.2","591","8.94 %","136,869.00"
"MPFL","2024-07-16","529.5","543.9","529.5","542.5","2.46 %","72,823.00"
"MPFL","2024-07-15","534.4","542","520","529.5","1.05 %","100,207.00"
"MPFL","2024-07-14","530.4","550","523","524","0.77 %","35,145.00"
"MPFL","2024-07-11","532.9","532.9","517","520","-0.57 %","50,476.00"
"MPFL","2024-07-10","530","535","521","523","-0.38 %","38,346.00"
"MPFL","2024-07-09","527","539","522","525","0.86 %","40,722.00"
"MPFL","2024-07-08","517.5","529.9","517.5","520.5","0.58 %","42,925.00"
"MPFL","2024-07-07","530","533","516.7","517.5","-1.63 %","59,551.00"
"MPFL","2024-07-04","545","551","526","526.1","-2.21 %","105,577.00"
"MPFL","2024-07-03","520","550","513","538","4.47 %","166,056.00"
"MPFL","2024-07-02","520.2","541.2","511","515","0.98 %","56,721.00"
"MPFL","2024-07-01","516","516","507.8","510","0.00 %","36,480.00"
"MPFL","2024-06-30","514","522","510","510","-0.60 %","60,613.00"
"MPFL","2024-06-27","523.4","527","511.4","513.1","-0.02 %","68,967.00"
"MPFL","2024-06-26","530","530","513.2","513.2","-2.06 %","72,001.00"
"MPFL","2024-06-25","539.5","542","520","524","-0.95 %","96,129.00"
"MPFL","2024-06-24","518","537","511","529","2.52 %","196,464.00"
"MPFL","2024-06-23","513.9","523.8","505","516","1.88 %","164,934.00"
"MPFL","2024-06-20","516","518","496","506.5","0.10 %","157,330.00"
"MPFL","2024-06-19","503","515","490","506","2.43 %","120,844.00"
"MPFL","2024-06-18","491.1","503.9","491.1","494","-1.20 %","61,775.00"
"MPFL","2024-06-16","513","514","498","500","-0.60 %","85,923.00"
"MPFL","2024-06-13","525","525","502","503","-2.33 %","137,376.00"
"MPFL","2024-06-12","525","529","500.9","515","-0.16 %","139,904.00"
"MPFL","2024-06-11","484.7","517.8","480.1","515.8","8.09 %","169,687.00"
"MPFL","2024-06-10","471.2","490","471.2","477.2","0.27 %","47,828.00"
"MPFL","2024-06-09","481","489.9","473","475.9","-1.88 %","51,483.00"
"MPFL","2024-06-06","496","496","478.3","485","-1.20 %","70,633.00"
"MPFL","2024-06-05","489","527.3","480","490.9","-1.43 %","85,429.00"
"MPFL","2024-06-04","488.1","511","481.5","498","0.00 %","90,657.00"
"MPFL","2024-06-03","508.2","535.5","487","498","-0.06 %","168,183.00"
"MPFL","2024-06-02","445.5","498.3","445.5","498.3","10.00 %","207,396.00"
"MPFL","2024-05-30","448.8","463","432.4","453","2.95 %","94,743.00"
"MPFL","2024-05-29","452.8","453","437.2","440","-0.90 %","48,122.00"
"MPFL","2024-05-27","449.8","455","440","444","0.68 %","34,058.00"
"MPFL","2024-05-26","457","458","441","441","-4.13 %","42,981.00"
"MPFL","2024-05-22","450","469","448","460","2.45 %","119,171.00"
"MPFL","2024-05-21","423","453","421.1","449","6.20 %","47,503.00"
"MPFL","2024-05-20","445.7","445.7","420.1","422.8","-3.25 %","33,436.00"
"MPFL","2024-05-19","444.7","444.7","430.1","437","0.23 %","47,874.00"
"MPFL","2024-05-16","452.8","452.8","431.2","436","-1.80 %","43,167.00"
"MPFL","2024-05-15","446.1","454","441","444","-0.29 %","28,405.00"
"MPFL","2024-05-14","449.9","450","441","445.3","0.72 %","32,021.00"
"MPFL","2024-05-13","450","453.5","441","442.1","-1.76 %","45,290.00"
"MPFL","2024-05-12","467","467.9","446.1","450","-2.17 %","43,581.00"
"MPFL","2024-05-09","460","466","451.1","460","1.77 %","91,616.00"
"MPFL","2024-05-08","442","459","440","452","4.15 %","64,346.00"
"MPFL","2024-05-07","434.5","448","433.3","434","0.46 %","23,342.00"
"MPFL","2024-05-06","455.9","455.9","432","432","-5.05 %","80,366.00"
"MPFL","2024-05-05","452","477","452","455","-0.87 %","88,009.00"
"MPFL","2024-05-02","445","464","445","459","3.15 %","156,645.00"
"MPFL","2024-04-30","470.3","484.5","441.2","445","-3.49 %","152,505.00"
"MPFL","2024-04-29","446.4","490","437.2","461.1","3.32 %","167,620.00"
"MPFL","2024-04-28","433.5","463.9","428.1","446.3","5.01 %","244,437.00"
"MPFL","2024-04-25","392","425","392","425","9.99 %","226,414.00"
"MPFL","2024-04-24","378","389","373","386.4","4.15 %","95,544.00"
"MPFL","2024-04-22","378","380","371","371","-0.35 %","22,719.00"
"MPFL","2024-04-21","365","375","362.5","372.3","0.68 %","8,400.00"
"MPFL","2024-04-18","375","375","364.1","369.8","0.00 %","26,512.00"
"MPFL","2024-04-16","370","376","365.2","369.8","-0.05 %","26,105.00"
"MPFL","2024-04-15","390","390","370","370","-3.37 %","19,166.00"
"MPFL","2024-04-14","376.6","396.9","370.6","382.9","2.82 %","41,672.00"
"MPFL","2024-04-10","387","396","372.4","372.4","-3.77 %","40,626.00"
"MPFL","2024-04-09","392","402","384","387","0.29 %","101,845.00"
"MPFL","2024-04-07","356.1","389.4","356.1","385.9","7.19 %","82,621.00"
"MPFL","2024-04-04","360","369.4","358.7","360","0.56 %","18,297.00"
"MPFL","2024-04-03","361.5","365","358","358","-1.65 %","15,312.00"
"MPFL","2024-04-02","375","375","361.2","364","-1.22 %","11,343.00"
"MPFL","2024-04-01","361","369.2","360.3","368.5","2.08 %","21,108.00"
"MPFL","2024-03-31","366","378.4","360.1","361","-1.10 %","26,532.00"
"MPFL","2024-03-28","359.3","370.2","357","365","0.83 %","22,764.00"
"MPFL","2024-03-27","374","374","360","362","-1.36 %","15,115.00"
"MPFL","2024-03-26","377.6","377.6","367","367","-0.86 %","17,170.00"
"MPFL","2024-03-25","371.1","377","368.1","370.2","-2.06 %","32,196.00"
"MPFL","2024-03-21","373","392","373","378","-0.53 %","46,216.00"
"MPFL","2024-03-20","388","390","375","380","-1.81 %","28,184.00"
"MPFL","2024-03-19","391","399","384.5","387","0.65 %","57,966.00"
"MPFL","2024-03-18","378","388","378","384.5","1.72 %","32,885.00"
"MPFL","2024-03-17","376.1","390","376","378","-0.53 %","35,141.00"
"MPFL","2024-03-14","389","389.8","374","380","-1.30 %","42,446.00"
"MPFL","2024-03-13","368","391","364","385","4.90 %","75,077.00"
"MPFL","2024-03-12","365","371","362","367","0.55 %","28,141.00"
"MPFL","2024-03-10","367.9","370","358","365","0.58 %","22,097.00"
"MPFL","2024-03-07","365","370","357.1","362.9","0.97 %","25,041.00"
"MPFL","2024-03-06","351","363","346","359.4","2.72 %","31,200.00"
"MPFL","2024-03-05","363","363","344.1","349.9","-2.81 %","42,616.00"
"MPFL","2024-03-04","347.6","361","347.6","360","5.63 %","714.00"
"MPFL","2024-03-03","343.9","345","328","340.8","1.07 %","12,386.00"
"MPFL","2024-02-29","351.3","357","337.2","337.2","-5.28 %","46,762.00"
"MPFL","2024-02-28","355","360","352.5","356","-0.70 %","17,199.00"
"MPFL","2024-02-27","356","362.5","350","358.5","0.87 %","29,270.00"
"MPFL","2024-02-26","362","362.9","350","355.4","-0.45 %","7,811.00"
"MPFL","2024-02-25","347.1","364.5","347.1","357","2.09 %","34,154.00"
"MPFL","2024-02-22","353.9","359.9","342.1","349.7","0.78 %","41,237.00"
"MPFL","2024-02-21","359.8","360","345.5","347","-2.25 %","16,426.00"
"MPFL","2024-02-20","351","362.1","351","355","1.14 %","20,999.00"
"MPFL","2024-02-18","363.4","363.5","349","351","-3.57 %","28,994.00"
"MPFL","2024-02-15","381","381","362","364","-2.67 %","40,195.00"
"MPFL","2024-02-14","352","379","350","374","7.47 %","175,952.00"
"MPFL","2024-02-13","355","356","344.5","348","-2.52 %","51,028.00"
"MPFL","2024-02-12","362","362","351.6","357","0.34 %","21,190.00"
"MPFL","2024-02-11","349","359.4","349","355.8","2.12 %","16,247.00"
"MPFL","2024-02-08","341.1","354","341.1","348.4","0.11 %","12,904.00"
"MPFL","2024-02-07","356","358","348","348","-1.53 %","10,182.00"
"MPFL","2024-02-06","346","355","343.1","353.4","1.03 %","10,015.00"
"MPFL","2024-02-05","354.9","355","346.1","349.8","0.52 %","9,352.00"
"MPFL","2024-02-04","341.1","355","341","348","0.58 %","17,997.00"
"MPFL","2024-02-01","341","355","340","346","0.73 %","56,428.00"
"MPFL","2024-01-31","358.9","358.9","340","343.5","-2.39 %","25,203.00"
"MPFL","2024-01-30","359","359","348","351.9","-0.87 %","17,408.00"
"MPFL","2024-01-29","352.4","357","346","355","2.75 %","25,238.00"
"MPFL","2024-01-28","353.9","355","342","345.5","-0.43 %","12,893.00"
"MPFL","2024-01-25","344.9","347","337","347","1.79 %","19,289.00"
"MPFL","2024-01-24","347.3","352","340.9","340.9","0.12 %","20,903.00"
"MPFL","2024-01-23","348","349.2","339.2","340.5","-0.21 %","22,993.00"
"MPFL","2024-01-22","355","355","341.2","341.2","-1.98 %","44,025.00"
"MPFL","2024-01-21","359","366.9","348","348.1","-3.57 %","43,685.00"
"MPFL","2024-01-18","350","367.2","350","361","1.26 %","47,170.00"
"MPFL","2024-01-17","384","391","356.5","356.5","-5.41 %","61,102.00"
"MPFL","2024-01-16","361","383","361","376.9","6.47 %","102,318.00"
