"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NICLBSL","2024-08-11","790","860","790","860","9.97 %","127,719.00"
"NICLBSL","2024-08-08","798","800","778","782","-0.38 %","28,742.00"
"NICLBSL","2024-08-07","770","787","760","785","2.60 %","30,662.00"
"NICLBSL","2024-08-06","795","816","765","765.1","-3.64 %","40,210.00"
"NICLBSL","2024-08-05","805","818","786","794","-1.00 %","33,548.00"
"NICLBSL","2024-08-01","815","832.3","802","802","-1.23 %","50,458.00"
"NICLBSL","2024-07-31","805","822","800","812","0.89 %","39,658.00"
"NICLBSL","2024-07-30","802.1","812.7","782.2","804.8","0.35 %","46,997.00"
"NICLBSL","2024-07-29","820.3","847","801","802","-4.18 %","68,602.00"
"NICLBSL","2024-07-28","850","862.9","815","837","-1.06 %","59,759.00"
"NICLBSL","2024-07-25","775","848","774","846","9.16 %","107,545.00"
"NICLBSL","2024-07-24","820","820","772","775","-3.61 %","50,263.00"
"NICLBSL","2024-07-23","777","805","775","804","2.03 %","37,906.00"
"NICLBSL","2024-07-22","802","805","778","788","-1.75 %","52,795.00"
"NICLBSL","2024-07-21","790","809.9","775","802","1.52 %","38,152.00"
"NICLBSL","2024-07-18","770","800","760.2","790","4.08 %","68,643.00"
"NICLBSL","2024-07-17","733","760","733","759","3.83 %","56,838.00"
"NICLBSL","2024-07-16","708","731.9","704.1","731","3.69 %","24,260.00"
"NICLBSL","2024-07-15","734","734","702.2","705","-2.21 %","29,310.00"
"NICLBSL","2024-07-14","738","738","709","720.9","-0.43 %","31,877.00"
"NICLBSL","2024-07-11","746.6","746.6","710.5","724","-1.09 %","41,357.00"
"NICLBSL","2024-07-10","692.5","738","684.1","732","7.81 %","98,419.00"
"NICLBSL","2024-07-09","650","686.5","643","679","4.62 %","43,029.00"
"NICLBSL","2024-07-08","661.9","661.9","645.1","649","0.00 %","12,227.00"
"NICLBSL","2024-07-07","640","651.9","640","649","0.17 %","12,407.00"
"NICLBSL","2024-07-04","639","655.9","639","647.9","1.41 %","7,515.00"
"NICLBSL","2024-07-03","656.8","656.8","632","638.9","-0.79 %","4,343.00"
"NICLBSL","2024-07-02","642.6","668.1","636.3","644","2.22 %","20,874.00"
"NICLBSL","2024-07-01","639.9","640","624","630","0.00 %","12,373.00"
"NICLBSL","2024-06-30","635","640","625.1","630","-2.31 %","9,571.00"
"NICLBSL","2024-06-27","637.5","649.5","632","644.9","-0.63 %","15,015.00"
"NICLBSL","2024-06-26","641","655","639","649","0.15 %","20,090.00"
"NICLBSL","2024-06-25","638","652","638","648","0.47 %","10,085.00"
"NICLBSL","2024-06-24","634","655","634","645","1.26 %","10,802.00"
"NICLBSL","2024-06-23","642","645","635.1","637","-1.24 %","10,785.00"
"NICLBSL","2024-06-20","645.2","650","642","645","-0.75 %","11,106.00"
"NICLBSL","2024-06-19","650","663.9","643","649.9","-0.31 %","12,353.00"
"NICLBSL","2024-06-18","658","669","650","651.9","-0.93 %","8,311.00"
"NICLBSL","2024-06-16","677.3","677.3","656.7","658","-0.92 %","12,247.00"
"NICLBSL","2024-06-13","691.4","691.4","664.1","664.1","-2.04 %","20,917.00"
"NICLBSL","2024-06-12","673","684.4","662.1","677.9","2.12 %","22,954.00"
"NICLBSL","2024-06-11","670.7","670.7","659","663.8","0.94 %","13,470.00"
"NICLBSL","2024-06-10","678.3","678.3","653","657.6","-1.11 %","10,157.00"
"NICLBSL","2024-06-09","674.9","680","660.1","665","-0.15 %","23,366.00"
"NICLBSL","2024-06-06","665","679","660.9","666","-0.27 %","28,298.00"
"NICLBSL","2024-06-05","676.3","676.3","652.2","667.8","0.71 %","12,155.00"
"NICLBSL","2024-06-04","678.1","678.1","656","663.1","-0.27 %","16,667.00"
"NICLBSL","2024-06-03","631","668.5","631","664.9","3.41 %","16,916.00"
"NICLBSL","2024-06-02","640","654.8","640","643","-1.08 %","14,852.00"
"NICLBSL","2024-05-30","673.2","673.2","640.2","650","-1.52 %","14,256.00"
"NICLBSL","2024-05-29","678","678","655.1","660","-0.75 %","13,834.00"
"NICLBSL","2024-05-27","679","679","661.2","665","-0.11 %","19,604.00"
"NICLBSL","2024-05-26","686.3","686.3","660.8","665.7","-1.07 %","23,864.00"
"NICLBSL","2024-05-22","697.6","697.6","671","672.9","-1.62 %","23,638.00"
"NICLBSL","2024-05-21","675","685","670","684","1.30 %","16,707.00"
"NICLBSL","2024-05-20","687.4","699.7","675","675.2","0.18 %","54,158.00"
"NICLBSL","2024-05-19","689.5","689.5","670","674","-0.30 %","36,211.00"
"NICLBSL","2024-05-16","640.2","695","640.2","676","4.05 %","72,649.00"
"NICLBSL","2024-05-15","669.1","669.1","641","649.7","-0.96 %","26,267.00"
"NICLBSL","2024-05-14","648.9","668.9","638","656","3.11 %","22,375.00"
"NICLBSL","2024-05-13","650","650","631","636.2","-0.56 %","7,864.00"
"NICLBSL","2024-05-12","653.1","653.1","635","639.8","-2.87 %","29,477.00"
"NICLBSL","2024-05-09","678","678","658.3","658.7","-1.24 %","21,829.00"
"NICLBSL","2024-05-08","660","677.3","652.1","667","1.21 %","34,568.00"
"NICLBSL","2024-05-07","652.6","670","650","659","0.98 %","16,803.00"
"NICLBSL","2024-05-06","650","665","650","652.6","-0.67 %","17,275.00"
"NICLBSL","2024-05-05","662.5","692","657","657","-2.81 %","41,136.00"
"NICLBSL","2024-05-02","671","687","661","676","2.42 %","43,971.00"
"NICLBSL","2024-04-30","640","671","640","660","2.06 %","19,313.00"
"NICLBSL","2024-04-29","633.3","653","633.3","646.7","0.08 %","4,456.00"
"NICLBSL","2024-04-28","622.3","656","622.3","646.2","1.76 %","13,774.00"
"NICLBSL","2024-04-25","640","650","630","635","-2.01 %","9,898.00"
"NICLBSL","2024-04-24","637","657","637","648","-0.31 %","12,784.00"
"NICLBSL","2024-04-22","686.7","686.7","640","650","-7.24 %","51,723.00"
"NICLBSL","2024-04-21","646","710","636","700.7","8.47 %","29,201.00"
"NICLBSL","2024-04-18","663","663","645","646","-3.16 %","24,039.00"
"NICLBSL","2024-04-16","648.8","671.7","648.8","667.1","0.77 %","22,789.00"
"NICLBSL","2024-04-15","680.3","693.8","661.5","662","-0.75 %","61,927.00"
"NICLBSL","2024-04-14","607","667.9","603.3","667","9.72 %","90,398.00"
"NICLBSL","2024-04-10","609.2","621.3","603.1","607.9","-1.14 %","13,673.00"
"NICLBSL","2024-04-09","632.9","632.9","609","614.9","-1.14 %","14,211.00"
"NICLBSL","2024-04-07","639","642","621.2","622","-1.27 %","20,988.00"
"NICLBSL","2024-04-04","610","635","601","630","3.28 %","27,667.00"
"NICLBSL","2024-04-03","607","615","588","610","2.33 %","12,833.00"
"NICLBSL","2024-04-02","585","620","585","596.1","1.03 %","12,180.00"
"NICLBSL","2024-04-01","607","608","588","590","-1.58 %","4,949.00"
"NICLBSL","2024-03-31","591","605","591","599.5","0.08 %","5,949.00"
