"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIFRA","2024-08-11","313.6","338","313.6","337.9","9.89 %","2,091,470.00"
"NIFRA","2024-08-08","285","311.3","280","307.5","8.66 %","3,037,821.00"
"NIFRA","2024-08-07","261.5","284","261.5","283","6.07 %","722,857.00"
"NIFRA","2024-08-06","286.4","287","264.1","266.8","-6.84 %","1,118,782.00"
"NIFRA","2024-08-05","286.1","290","274","286.4","2.10 %","994,754.00"
"NIFRA","2024-08-01","266.2","284.9","261","280.5","7.47 %","1,494,471.00"
"NIFRA","2024-07-31","248.7","270.1","248.7","261","4.95 %","1,000,880.00"
"NIFRA","2024-07-30","247","253","238.7","248.7","1.51 %","530,695.00"
"NIFRA","2024-07-29","258.5","263","245","245","-3.35 %","679,291.00"
"NIFRA","2024-07-28","235.1","253.5","235.1","253.5","9.98 %","992,125.00"
"NIFRA","2024-07-25","233","235","227.5","230.5","-0.26 %","319,554.00"
"NIFRA","2024-07-24","237","242","228.5","231.1","-2.08 %","517,106.00"
"NIFRA","2024-07-23","235","236.6","229","236","2.16 %","266,106.00"
"NIFRA","2024-07-22","235","236.1","229.9","231","-2.53 %","350,058.00"
"NIFRA","2024-07-21","232","242","230","237","2.11 %","491,167.00"
"NIFRA","2024-07-18","235","240","227.6","232.1","0.39 %","493,169.00"
"NIFRA","2024-07-17","239.7","243.7","229","231.2","-1.62 %","353,494.00"
"NIFRA","2024-07-16","228","235","224","235","3.07 %","380,259.00"
"NIFRA","2024-07-15","216","229","209.2","228","7.04 %","984,199.00"
"NIFRA","2024-07-14","214","214.7","211","213","1.19 %","216,712.00"
"NIFRA","2024-07-11","212.7","212.7","207","210.5","0.91 %","157,097.00"
"NIFRA","2024-07-10","212.1","212.1","207.1","208.6","0.29 %","176,406.00"
"NIFRA","2024-07-09","208.2","212","207","208","-1.33 %","103,143.00"
"NIFRA","2024-07-08","210","214.9","208.1","210.8","0.86 %","348,107.00"
"NIFRA","2024-07-07","196.5","213","196.1","209","5.03 %","475,730.00"
"NIFRA","2024-07-04","192.5","200.1","192.4","199","2.58 %","164,063.00"
