"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NLBBL","2024-03-12","565","595","555","595","7.23 %","20,276.00"
"NLBBL","2024-03-10","530","565","530","554.9","4.92 %","16,262.00"
"NLBBL","2024-03-07","535.3","546","519.4","528.9","0.76 %","1,540.00"
"NLBBL","2024-03-06","530","539","514.5","524.9","0.94 %","2,229.00"
"NLBBL","2024-03-05","518","528.3","516","520","-1.01 %","2,819.00"
"NLBBL","2024-03-04","525.3","525.3","525.3","525.3","2.00 %","10.00"
"NLBBL","2024-03-03","510","515","504.5","515","-0.77 %","1,884.00"
"NLBBL","2024-02-29","510","519","510","519","0.00 %","1,759.00"
"NLBBL","2024-02-28","511","519.9","510.9","519","-0.44 %","2,474.00"
"NLBBL","2024-02-27","520","529","518.5","521.3","0.06 %","2,360.00"
"NLBBL","2024-02-26","515","524","514","521","-0.17 %","1,024.00"
"NLBBL","2024-02-25","521.1","525","512.2","521.9","-1.51 %","6,857.00"
"NLBBL","2024-02-22","543","543","523","529.9","-2.57 %","3,349.00"
"NLBBL","2024-02-21","548.8","548.8","536.1","543.9","0.91 %","728.00"
"NLBBL","2024-02-20","537.1","545","535","539","-1.46 %","4,266.00"
"NLBBL","2024-02-18","549","565","540","547","-2.32 %","3,923.00"
"NLBBL","2024-02-15","574","575.7","553","560","-0.80 %","3,643.00"
"NLBBL","2024-02-14","564","565","555.5","564.5","-0.09 %","1,108.00"
"NLBBL","2024-02-13","563","565","556","565","-0.35 %","1,798.00"
"NLBBL","2024-02-12","570","573","566","567","-1.05 %","815.00"
"NLBBL","2024-02-11","575","596","562.6","573","-0.16 %","2,607.00"
"NLBBL","2024-02-08","564","574","560","573.9","1.40 %","4,975.00"
"NLBBL","2024-02-07","566","571","551","566","-0.05 %","10,590.00"
"NLBBL","2024-02-06","564","570","562","566.3","1.05 %","2,175.00"
"NLBBL","2024-02-05","566.6","567","557","560.4","0.88 %","1,872.00"
"NLBBL","2024-02-04","565","576.3","555.1","555.5","-1.68 %","3,644.00"
"NLBBL","2024-02-01","584","584","563.1","565","-3.25 %","2,949.00"
"NLBBL","2024-01-31","588","600","577.3","584","-1.85 %","5,752.00"
"NLBBL","2024-01-30","600","600","583.1","595","0.85 %","6,870.00"
"NLBBL","2024-01-29","600","600","583.1","590","-1.50 %","2,569.00"
"NLBBL","2024-01-28","593","603.9","563.5","599","0.86 %","23,580.00"
"NLBBL","2024-01-25","583.5","598","583.2","593.9","-0.18 %","2,688.00"
"NLBBL","2024-01-24","600","600","580","595","1.04 %","2,294.00"
"NLBBL","2024-01-23","587.2","606.9","580","588.9","-1.03 %","7,594.00"
"NLBBL","2024-01-22","602","610","584","595","-2.14 %","5,904.00"
"NLBBL","2024-01-21","622","631","608","608","-2.25 %","5,046.00"
"NLBBL","2024-01-18","614","625","606","622","1.14 %","8,824.00"
"NLBBL","2024-01-17","621.1","649.9","615","615","-2.38 %","32,607.00"
"NLBBL","2024-01-16","602","636.8","602","630","4.65 %","12,278.00"
"NLBBL","2024-01-14","597","610","590","602","2.73 %","8,787.00"
"NLBBL","2024-01-11","593.8","593.8","570.6","586","0.65 %","5,843.00"
"NLBBL","2024-01-10","583.2","605","582.2","582.2","1.78 %","11,948.00"
"NLBBL","2024-01-09","574","581","571","572","0.35 %","6,027.00"
"NLBBL","2024-01-08","550.1","571","550","570","3.62 %","10,456.00"
"NLBBL","2024-01-07","551.3","571.2","550","550.1","-1.77 %","9,208.00"
"NLBBL","2024-01-04","563.1","577.9","560","560","-1.60 %","3,253.00"
"NLBBL","2024-01-03","561","573","553","569.1","3.47 %","8,926.00"
"NLBBL","2024-01-02","553","564","548","550","-1.43 %","4,654.00"
"NLBBL","2024-01-01","566","577.2","556","558","0.45 %","8,959.00"
"NLBBL","2023-12-28","562","568","555.1","555.5","-1.37 %","19,425.00"
"NLBBL","2023-12-27","580","589.6","559","563.2","-4.56 %","12,569.00"
"NLBBL","2023-12-24","608.1","632","584","590.1","-4.82 %","8,601.00"
"NLBBL","2023-12-21","650","668","620","620","-6.06 %","3,866.00"
"NLBBL","2023-12-20","675","680","650.8","660","-3.65 %","6,185.00"
"NLBBL","2023-12-19","660.2","685","620","685","5.82 %","10,161.00"
"NLBBL","2023-12-18","577","647.3","577","647.3","9.99 %","21,657.00"
"NLBBL","2023-12-17","555.7","588.5","545","588.5","3.79 %","8,453.00"
"NLBBL","2023-12-14","541","567","531","567","3.45 %","7,177.00"
"NLBBL","2023-12-13","548.5","558","537","548.1","1.71 %","9,936.00"
"NLBBL","2023-12-12","528.1","541","518","538.9","0.02 %","6,254.00"
"NLBBL","2023-12-11","544","544","505","538.8","0.90 %","12,936.00"
"NLBBL","2023-12-10","504.9","534","504.9","534","7.88 %","320.00"
"NLBBL","2023-12-07","489","498","481.1","495","3.13 %","4,140.00"
"NLBBL","2023-12-06","489","496","480","480","-1.84 %","2,554.00"
"NLBBL","2023-12-05","485","495","485","489","-0.20 %","2,234.00"
"NLBBL","2023-12-04","503","503","488","490","-0.81 %","1,413.00"
"NLBBL","2023-12-03","486","494","484.1","494","0.02 %","1,096.00"
"NLBBL","2023-11-30","490","493.9","485.6","493.9","-0.82 %","2,689.00"
"NLBBL","2023-11-29","496","505.9","490","498","0.40 %","4,560.00"
"NLBBL","2023-11-28","508","508","495","496","-2.36 %","2,296.00"
"NLBBL","2023-11-27","515","515","498.3","508","-1.55 %","3,131.00"
"NLBBL","2023-11-26","512","518","509.1","516","0.78 %","1,409.00"
"NLBBL","2023-11-23","512","512","499","512","-0.39 %","1,220.00"
"NLBBL","2023-11-22","495","514","495","514","5.11 %","1,832.00"
"NLBBL","2023-11-21","508.7","508.8","480","489","-3.89 %","3,368.00"
"NLBBL","2023-11-20","513","520","500.2","508.8","-1.13 %","6,538.00"
"NLBBL","2023-11-09","515.5","520","513.7","514.6","-1.79 %","2,552.00"
"NLBBL","2023-11-08","526","526","524","524","0.27 %","500.00"
"NLBBL","2023-11-07","513","523","513","522.6","1.06 %","2,044.00"
"NLBBL","2023-11-06","521","524.6","516.1","517.1","0.21 %","2,198.00"
"NLBBL","2023-11-05","521.3","523","515.5","516","-2.27 %","2,525.00"
"NLBBL","2023-11-02","528","528.5","527.3","528","-1.49 %","2,403.00"
"NLBBL","2023-11-01","539","539","531","536","-0.56 %","501.00"
"NLBBL","2023-10-31","541","541","532","539","-0.55 %","1,914.00"
"NLBBL","2023-10-30","550","550","537","542","-3.18 %","8,792.00"
"NLBBL","2023-10-29","565.3","565.3","555","559.8","-2.90 %","815.00"
"NLBBL","2023-10-19","570","576.5","566.5","576.5","1.14 %","1,757.00"
"NLBBL","2023-10-18","556.3","570","553","570","1.79 %","1,910.00"
"NLBBL","2023-10-17","561.1","572","551.1","560","1.80 %","1,692.00"
"NLBBL","2023-10-16","551","553.9","545.3","550.1","-1.77 %","1,385.00"
"NLBBL","2023-10-12","557","563","552","560","-0.53 %","5,164.00"
"NLBBL","2023-10-11","567","567","559","563","1.26 %","4,077.00"
"NLBBL","2023-10-10","564.1","566","556","556","-2.63 %","2,798.00"
"NLBBL","2023-10-09","579.2","590","567.7","571","-3.22 %","1,951.00"
"NLBBL","2023-10-08","599","599","580","590","-1.50 %","1,751.00"
"NLBBL","2023-10-05","579.1","601.9","579.1","599","1.51 %","2,353.00"
"NLBBL","2023-10-04","590","601.8","589.2","590.1","0.85 %","1,915.00"
"NLBBL","2023-10-03","592.9","610","582.1","585.1","-3.27 %","6,254.00"
"NLBBL","2023-10-02","588.2","607.7","588.1","604.9","1.15 %","1,079.00"
"NLBBL","2023-10-01","609","610","597.1","598","-2.76 %","2,111.00"
"NLBBL","2023-09-27","617","620","603","615","-1.60 %","1,203.00"
"NLBBL","2023-09-26","620","630","617","625","1.63 %","3,901.00"
"NLBBL","2023-09-25","618","625","614","615","0.00 %","5,068.00"
"NLBBL","2023-09-24","597.8","645","591.5","615","0.82 %","15,259.00"
"NLBBL","2023-09-21","597.8","625","597.8","610","4.08 %","3,108.00"
"NLBBL","2023-09-19","589","598","577.3","586.1","-0.15 %","2,406.00"
"NLBBL","2023-09-18","582","587","582","587","-0.34 %","405.00"
"NLBBL","2023-09-17","597.8","597.8","583.1","589","-3.43 %","2,903.00"
"NLBBL","2023-09-13","592.2","619.9","585","609.9","5.05 %","2,792.00"
"NLBBL","2023-09-12","602.8","602.8","580","580.6","-3.68 %","2,045.00"
"NLBBL","2023-09-11","600","605.9","588","602.8","1.31 %","2,053.00"
"NLBBL","2023-09-10","585","600","585","595","0.85 %","473.00"
"NLBBL","2023-09-07","659.9","659.9","590","590","-8.81 %","1,657.00"
"NLBBL","2023-09-05","577.3","647","577.3","647","9.85 %","4,091.00"
"NLBBL","2023-09-04","590","592","580.5","589","-1.98 %","1,338.00"
"NLBBL","2023-09-03","588.1","600.9","581","600.9","0.20 %","2,593.00"
"NLBBL","2023-08-30","600","600","588","599.7","0.28 %","1,699.00"
"NLBBL","2023-08-29","591","608","591","598","-0.83 %","864.00"
"NLBBL","2023-08-28","603.8","612","594","603","1.86 %","1,113.00"
"NLBBL","2023-08-27","600","612","590","592","-2.79 %","1,203.00"
"NLBBL","2023-08-24","625","626","600","609","-0.98 %","1,665.00"
"NLBBL","2023-08-23","608","617","597.1","615","-0.87 %","1,513.00"
"NLBBL","2023-08-22","579","633","579","620.4","6.05 %","1,397.00"
"NLBBL","2023-08-21","601.9","601.9","584","585","-0.86 %","1,458.00"
"NLBBL","2023-08-20","613.1","615","590.1","590.1","-5.57 %","5,105.00"
"NLBBL","2023-08-17","630","630.1","609","624.9","1.15 %","7,566.00"
"NLBBL","2023-08-16","649","649","610.1","617.8","-3.62 %","1,881.00"
"NLBBL","2023-08-15","657.9","657.9","628","641","-1.38 %","2,082.00"
"NLBBL","2023-08-14","638","658.5","637","650","0.46 %","6,010.00"
"NLBBL","2023-08-13","637.1","660.9","627.3","647","-0.46 %","1,172.00"
"NLBBL","2023-08-10","647.3","670","635.1","650","-1.59 %","2,084.00"
"NLBBL","2023-08-09","647.7","660.5","613","660.5","4.02 %","4,715.00"
"NLBBL","2023-08-08","662","662","627","635","-2.29 %","2,853.00"
"NLBBL","2023-08-07","638","650","624.4","649.9","-0.17 %","3,722.00"
"NLBBL","2023-08-06","649.8","651","625.1","651","-1.81 %","2,058.00"
"NLBBL","2023-08-03","648","668.9","648","663","0.33 %","2,807.00"
"NLBBL","2023-08-02","658.8","660.8","628","660.8","1.99 %","4,154.00"
"NLBBL","2023-08-01","655","655","637","647.9","-2.28 %","7,793.00"
"NLBBL","2023-07-31","662","667.9","650","663","1.10 %","3,694.00"
"NLBBL","2023-07-30","655","666.6","642.8","655.8","0.28 %","2,571.00"
"NLBBL","2023-07-27","670","672","654","654","-2.24 %","1,810.00"
"NLBBL","2023-07-26","677","687","658","669","-0.90 %","10,972.00"
"NLBBL","2023-07-25","680.1","681","675.1","675.1","-2.16 %","2,504.00"
"NLBBL","2023-07-24","693","704","685","690","-2.27 %","10,216.00"
"NLBBL","2023-07-23","700","714","689","706","1.73 %","10,291.00"
