"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NMFBS","2024-08-11","1642.2","1670","1620","1665","3.42 %","23,195.00"
"NMFBS","2024-08-08","1525.1","1620.2","1505","1610","5.57 %","17,953.00"
"NMFBS","2024-08-07","1553","1595","1525","1525.1","0.01 %","7,188.00"
"NMFBS","2024-08-06","1588","1615","1525","1525","-5.86 %","9,157.00"
"NMFBS","2024-08-05","1665","1665","1551","1620","-1.58 %","10,706.00"
"NMFBS","2024-08-01","1627","1653","1589","1646","1.54 %","10,709.00"
"NMFBS","2024-07-31","1622","1649","1621","1621","-1.64 %","10,113.00"
"NMFBS","2024-07-30","1680","1680","1597","1648.1","-0.12 %","8,971.00"
"NMFBS","2024-07-29","1700","1700","1620.1","1650","-4.46 %","14,831.00"
"NMFBS","2024-07-28","1727","1727","1600","1727","2.00 %","12,411.00"
"NMFBS","2024-07-25","1625","1693.2","1600","1693.2","5.56 %","22,160.00"
"NMFBS","2024-07-24","1650","1654","1581","1604","-1.41 %","12,926.00"
"NMFBS","2024-07-23","1568","1630","1568","1627","1.69 %","7,220.00"
"NMFBS","2024-07-22","1623","1623","1561.4","1600","-1.23 %","7,117.00"
"NMFBS","2024-07-21","1630","1655","1587.6","1620","1.29 %","16,083.00"
"NMFBS","2024-07-18","1538.2","1630","1538.2","1599.4","2.00 %","11,306.00"
"NMFBS","2024-07-17","1480","1584","1464.1","1568","6.67 %","10,542.00"
"NMFBS","2024-07-16","1402","1470","1400","1470","4.33 %","9,557.00"
"NMFBS","2024-07-15","1440","1440","1400","1409","-0.70 %","4,626.00"
"NMFBS","2024-07-14","1441.2","1450","1406.3","1419","0.42 %","6,048.00"
"NMFBS","2024-07-11","1430","1430","1406","1413","-0.08 %","7,823.00"
"NMFBS","2024-07-10","1397","1433","1397","1414.1","2.61 %","12,722.00"
"NMFBS","2024-07-09","1336.1","1389.9","1336.1","1378.1","1.70 %","4,291.00"
"NMFBS","2024-07-08","1365","1380","1346","1355","-0.37 %","5,470.00"
"NMFBS","2024-07-07","1310","1362.8","1293.3","1360","5.09 %","10,426.00"
"NMFBS","2024-07-04","1315","1317.8","1290.2","1294.1","-1.13 %","3,958.00"
"NMFBS","2024-07-03","1300","1309","1284.1","1308.9","0.30 %","4,177.00"
"NMFBS","2024-07-02","1299.4","1351.5","1299.4","1305","2.43 %","2,613.00"
"NMFBS","2024-07-01","1270","1292","1266.2","1274","0.35 %","2,611.00"
"NMFBS","2024-06-30","1294","1295","1269.5","1269.5","-1.89 %","8,228.00"
"NMFBS","2024-06-27","1322","1322","1287","1294","-0.99 %","3,257.00"
"NMFBS","2024-06-26","1328.8","1328.8","1290","1307","-0.16 %","1,849.00"
"NMFBS","2024-06-25","1310","1334","1309.1","1309.1","-0.15 %","6,578.00"
"NMFBS","2024-06-24","1300","1355.7","1290.1","1311.1","0.59 %","3,734.00"
"NMFBS","2024-06-23","1308","1339","1303.4","1303.4","-2.00 %","3,760.00"
"NMFBS","2024-06-20","1330","1355","1319","1330","-0.67 %","6,584.00"
"NMFBS","2024-06-19","1340.2","1350","1335","1339","-1.47 %","1,910.00"
"NMFBS","2024-06-18","1338","1365.8","1313","1359","-0.44 %","2,013.00"
"NMFBS","2024-06-16","1365","1375","1340.2","1365","0.00 %","10,657.00"
"NMFBS","2024-06-13","1398","1409","1360","1365","-1.37 %","14,751.00"
"NMFBS","2024-06-12","1400","1400","1356.1","1384","0.44 %","9,554.00"
"NMFBS","2024-06-11","1370","1390","1345.4","1378","0.58 %","2,573.00"
"NMFBS","2024-06-10","1350","1374","1326.1","1370","1.48 %","10,963.00"
"NMFBS","2024-06-09","1396.5","1417.4","1350","1350","-1.46 %","15,925.00"
"NMFBS","2024-06-06","1370","1400","1352","1370","0.85 %","10,924.00"
"NMFBS","2024-06-05","1360","1360.6","1334","1358.5","-0.11 %","3,081.00"
"NMFBS","2024-06-04","1311.1","1370","1311.1","1360","3.84 %","7,805.00"
"NMFBS","2024-06-03","1234","1325","1220","1309.7","6.05 %","4,909.00"
"NMFBS","2024-06-02","1246.2","1246.2","1235","1235","-1.98 %","1,808.00"
"NMFBS","2024-05-30","1300","1300","1250","1260","-3.00 %","3,811.00"
"NMFBS","2024-05-29","1315.5","1341.3","1291.1","1299","-2.99 %","1,496.00"
"NMFBS","2024-05-27","1320","1340","1307","1339","1.04 %","2,650.00"
"NMFBS","2024-05-26","1392","1400","1325.1","1325.2","-4.12 %","5,109.00"
"NMFBS","2024-05-22","1405","1434","1355","1382.1","-1.98 %","4,016.00"
"NMFBS","2024-05-21","1407","1423","1352","1410","2.17 %","5,247.00"
"NMFBS","2024-05-20","1349.9","1390","1345","1380","2.99 %","9,634.00"
"NMFBS","2024-05-19","1334","1349","1314","1340","0.38 %","4,584.00"
"NMFBS","2024-05-16","1296","1340","1287.8","1334.9","3.00 %","6,262.00"
"NMFBS","2024-05-15","1344","1344","1292.7","1296","-1.82 %","9,519.00"
"NMFBS","2024-05-14","1275","1320","1273","1320","2.96 %","6,488.00"
"NMFBS","2024-05-13","1249","1283","1240","1282","2.56 %","2,908.00"
"NMFBS","2024-05-12","1248","1250","1233.2","1250","-1.73 %","3,032.00"
"NMFBS","2024-05-09","1274","1299.4","1241","1272","-2.08 %","4,212.00"
"NMFBS","2024-05-08","1232.3","1299","1232.3","1299","3.92 %","11,050.00"
"NMFBS","2024-05-07","1220.2","1263","1220.2","1250","2.12 %","8,358.00"
"NMFBS","2024-05-06","1201","1250","1193","1224.1","0.34 %","11,720.00"
"NMFBS","2024-05-05","1190","1264","1190","1220","1.84 %","13,218.00"
"NMFBS","2024-05-02","1173","1224","1148","1198","4.17 %","20,332.00"
"NMFBS","2024-04-30","1123","1160","1123","1150","0.88 %","4,851.00"
"NMFBS","2024-04-29","1141","1163","1131","1140","-2.05 %","1,962.00"
"NMFBS","2024-04-28","1120.1","1165","1120.1","1163.9","2.10 %","7,670.00"
"NMFBS","2024-04-25","1158","1158","1130","1140","-0.61 %","1,459.00"
"NMFBS","2024-04-24","1150","1170","1147","1147","0.70 %","1,394.00"
"NMFBS","2024-04-22","1160","1183.2","1132","1139","-0.26 %","22,139.00"
"NMFBS","2024-04-21","1130","1142","1115.5","1142","1.06 %","1,527.00"
"NMFBS","2024-04-18","1136","1158.7","1128","1130","-1.65 %","23,507.00"
"NMFBS","2024-04-16","1180","1180","1140","1149","-2.63 %","1,989.00"
"NMFBS","2024-04-15","1165","1190","1151","1180","1.29 %","8,987.00"
"NMFBS","2024-04-14","1145.4","1165","1115","1165","3.74 %","4,064.00"
"NMFBS","2024-04-10","1140.1","1162.9","1120","1123","-3.04 %","6,247.00"
"NMFBS","2024-04-09","1217.9","1217.9","1158.1","1158.2","-3.08 %","3,461.00"
"NMFBS","2024-04-07","1173","1198.9","1163","1195","3.82 %","9,368.00"
"NMFBS","2024-04-04","1130","1165","1117","1151","1.86 %","5,635.00"
"NMFBS","2024-04-03","1095","1134","1095","1130","1.25 %","4,303.00"
"NMFBS","2024-04-02","1101","1125","1100","1116","1.36 %","2,312.00"
"NMFBS","2024-04-01","1095","1120.7","1091","1101","0.09 %","2,303.00"
"NMFBS","2024-03-31","1107","1129","1085.1","1100","-2.57 %","2,181.00"
"NMFBS","2024-03-28","1160","1161","1107.5","1129","-0.96 %","1,159.00"
