"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NRN","2024-08-11","1015","1035.5","996","996","-0.36 %","212,530.00"
"NRN","2024-08-08","1065.3","1079","999.6","999.6","-8.04 %","228,878.00"
"NRN","2024-08-07","989.1","1087","960","1087","9.90 %","339,175.00"
"NRN","2024-08-06","1077.1","1081","989.1","989.1","-10.00 %","305,503.00"
"NRN","2024-08-05","1028.1","1132","991","1099","4.77 %","474,452.00"
"NRN","2024-08-01","1020","1079","960","1049","1.35 %","415,234.00"
"NRN","2024-07-31","969.3","1085","969.3","1035","4.65 %","275,931.00"
"NRN","2024-07-30","920","996","911.5","989","6.92 %","221,346.00"
"NRN","2024-07-29","900.1","938.1","885.4","925","2.89 %","351,624.00"
"NRN","2024-07-28","892","900","858.4","899","2.16 %","246,632.00"
"NRN","2024-07-25","872","923","860","880","1.27 %","211,915.00"
"NRN","2024-07-24","882","899","851","869","-1.49 %","236,458.00"
"NRN","2024-07-23","876","903.7","868","882.1","0.70 %","172,098.00"
"NRN","2024-07-22","860","892.6","851","876","2.34 %","245,112.00"
"NRN","2024-07-21","840","875","830","856","1.18 %","278,966.00"
"NRN","2024-07-18","864","870","829.1","846","-2.08 %","189,063.00"
"NRN","2024-07-17","800","864","788.9","864","7.91 %","282,586.00"
"NRN","2024-07-16","748","800.7","748","800.7","7.05 %","234,237.00"
"NRN","2024-07-15","758","773.2","746.2","748","-1.32 %","216,585.00"
"NRN","2024-07-14","745","774","730.1","758","3.78 %","282,174.00"
"NRN","2024-07-11","729","742.9","726","730.4","0.19 %","161,341.00"
"NRN","2024-07-10","739","744","723.1","729","-0.82 %","156,196.00"
"NRN","2024-07-09","730","779","723","735","1.52 %","270,154.00"
"NRN","2024-07-08","730","765","721","724","-2.43 %","390,205.00"
"NRN","2024-07-07","700","750","700","742","4.80 %","295,259.00"
"NRN","2024-07-04","674","717.9","670","708","5.67 %","428,836.00"
"NRN","2024-07-03","675","679.5","665","670","-1.54 %","79,018.00"
"NRN","2024-07-02","669.4","705","669.4","680.5","3.69 %","181,060.00"
"NRN","2024-07-01","652.1","667.9","640.1","656.3","0.97 %","179,545.00"
"NRN","2024-06-30","650.8","674.9","647","650","-2.11 %","135,110.00"
"NRN","2024-06-27","666.4","680","660.1","664","-2.35 %","98,614.00"
"NRN","2024-06-26","670","706.8","670","680","-0.42 %","195,097.00"
"NRN","2024-06-25","649","697","649","682.9","3.16 %","185,330.00"
"NRN","2024-06-24","643.9","677","643.9","662","0.76 %","276,143.00"
"NRN","2024-06-23","644.9","677","644.9","657","-0.15 %","144,677.00"
"NRN","2024-06-20","622.3","667","622.3","658","3.62 %","242,053.00"
"NRN","2024-06-19","616.5","644","616.5","635","0.95 %","108,380.00"
"NRN","2024-06-18","640.1","653","629","629","-2.63 %","161,752.00"
"NRN","2024-06-16","631.1","668","631.1","646","0.94 %","279,844.00"
"NRN","2024-06-13","680.2","692","640","640","-7.78 %","313,127.00"
"NRN","2024-06-12","706.6","778","678","694","-3.74 %","396,134.00"
"NRN","2024-06-11","653","726","653","721","9.08 %","525,185.00"
"NRN","2024-06-10","641.1","715","641.1","661","1.69 %","627,676.00"
"NRN","2024-06-09","603","660","603","650","5.69 %","502,421.00"
"NRN","2024-06-06","593","618","593","615","1.65 %","306,300.00"
"NRN","2024-06-05","600","610","588","605","0.83 %","315,251.00"
"NRN","2024-06-04","583.1","631.1","583.1","600","0.84 %","197,852.00"
"NRN","2024-06-03","571","615","571","595","2.23 %","252,838.00"
"NRN","2024-06-02","581","590","568","582","0.34 %","185,410.00"
"NRN","2024-05-30","575","588.5","565","580","0.52 %","181,206.00"
"NRN","2024-05-29","584","594","572.1","577","0.73 %","176,324.00"
"NRN","2024-05-27","541","585","541","572.8","3.77 %","355,895.00"
"NRN","2024-05-26","561","561","540","552","0.36 %","95,677.00"
"NRN","2024-05-22","550","561.2","541.1","550","-0.90 %","80,296.00"
"NRN","2024-05-21","528","568","526","555","5.51 %","133,041.00"
"NRN","2024-05-20","531.1","561","520","526","-0.57 %","61,809.00"
"NRN","2024-05-19","505.9","545.6","496","529","6.65 %","129,566.00"
"NRN","2024-05-16","500","506","494.1","496","-0.80 %","24,298.00"
"NRN","2024-05-15","506","513","500","500","-1.09 %","22,095.00"
"NRN","2024-05-14","506","514.9","501","505.5","0.12 %","25,101.00"
"NRN","2024-05-13","481.1","521","481.1","504.9","3.89 %","39,967.00"
"NRN","2024-05-12","496.7","496.7","482","486","-0.25 %","19,508.00"
"NRN","2024-05-09","490","496","483","487.2","-0.57 %","11,269.00"
"NRN","2024-05-08","490","498.9","478.3","490","0.70 %","23,350.00"
"NRN","2024-05-07","498.1","498.1","486.6","486.6","-0.90 %","18,535.00"
"NRN","2024-05-06","492.4","507","490","491","-1.80 %","28,719.00"
"NRN","2024-05-05","515","515","494","500","-1.77 %","24,085.00"
"NRN","2024-05-02","513","520","507","509","-0.97 %","24,388.00"
"NRN","2024-04-30","500","526.9","495","514","2.80 %","72,213.00"
"NRN","2024-04-29","512.1","515","496","500","-2.34 %","17,790.00"
"NRN","2024-04-28","499","517","495","512","2.77 %","26,694.00"
"NRN","2024-04-25","515","522","498","498.2","-5.10 %","30,303.00"
"NRN","2024-04-24","498","525","489","525","5.53 %","37,075.00"
"NRN","2024-04-22","507","512","497.2","497.5","-1.87 %","37,697.00"
"NRN","2024-04-21","504","511","495","507","-0.78 %","30,557.00"
"NRN","2024-04-18","514.4","515","507","511","-0.87 %","13,377.00"
"NRN","2024-04-16","525.8","526.5","515.5","515.5","-2.74 %","23,699.00"
"NRN","2024-04-15","517","545","517","530","2.32 %","71,642.00"
"NRN","2024-04-14","517.1","524","515.3","518","0.29 %","21,812.00"
"NRN","2024-04-10","521","525","516","516.5","-0.48 %","24,765.00"
"NRN","2024-04-09","531","533","517","519","-1.14 %","36,534.00"
"NRN","2024-04-07","515","525","515","525","1.94 %","25,490.00"
"NRN","2024-04-04","515","523","515","515","-1.72 %","28,304.00"
"NRN","2024-04-03","516.5","540","514","524","1.55 %","23,595.00"
"NRN","2024-04-02","523","529","515","516","-1.30 %","20,653.00"
"NRN","2024-04-01","536","536","519.4","522.8","-0.61 %","27,888.00"
"NRN","2024-03-31","530","539","525","526","-2.21 %","29,421.00"
"NRN","2024-03-28","526.3","540.6","526.3","537.9","1.49 %","24,653.00"
"NRN","2024-03-27","530","540","527.2","530","-0.02 %","27,926.00"
"NRN","2024-03-26","540","541","530.1","530.1","-0.92 %","19,739.00"
"NRN","2024-03-25","536.9","540","533","535","-0.41 %","27,366.00"
"NRN","2024-03-21","554","554","537","537.2","-1.61 %","42,044.00"
"NRN","2024-03-20","561.9","561.9","545.1","546","-1.27 %","40,087.00"
"NRN","2024-03-19","555.1","566","550.1","553","-0.88 %","49,624.00"
"NRN","2024-03-18","561","565","553","557.9","0.14 %","51,871.00"
"NRN","2024-03-17","560","566","555","557.1","-1.22 %","75,138.00"
"NRN","2024-03-14","567.6","577","561.2","564","-2.08 %","87,741.00"
"NRN","2024-03-13","595.6","595.6","570","576","-1.37 %","73,280.00"
"NRN","2024-03-12","574.9","588","555.2","584","3.55 %","172,711.00"
"NRN","2024-03-10","563","574","560","564","0.71 %","72,178.00"
"NRN","2024-03-07","564","575","554","560","1.08 %","78,569.00"
"NRN","2024-03-06","549.9","570","530","554","2.57 %","140,217.00"
"NRN","2024-03-05","555.7","570","540","540.1","-4.74 %","138,682.00"
"NRN","2024-03-04","527.4","568","527.4","567","9.65 %","17,906.00"
"NRN","2024-03-03","520","530","510","517.1","-0.77 %","58,651.00"
"NRN","2024-02-29","540","546.9","520","521.1","-3.50 %","89,571.00"
"NRN","2024-02-28","541.5","557","540","540","-1.28 %","49,585.00"
"NRN","2024-02-27","549","558.5","543","547","-0.56 %","39,407.00"
"NRN","2024-02-26","535","554.9","535","550.1","1.85 %","71,260.00"
"NRN","2024-02-25","562","565","540","540.1","-3.88 %","79,361.00"
"NRN","2024-02-22","585","585","560","561.9","-3.69 %","84,830.00"
"NRN","2024-02-21","578","629.8","577.1","583.4","0.24 %","70,193.00"
"NRN","2024-02-20","582.5","589","574","582","-0.09 %","71,086.00"
"NRN","2024-02-18","599.9","599.9","582.5","582.5","-1.77 %","116,232.00"
"NRN","2024-02-15","598","610","593","593","-1.98 %","96,390.00"
"NRN","2024-02-14","599","610","591","605","1.46 %","105,282.00"
"NRN","2024-02-13","614","614","596","596.3","-2.88 %","117,536.00"
"NRN","2024-02-12","605","622","603","614","1.15 %","265,514.00"
"NRN","2024-02-11","595.1","609","595","607","2.88 %","199,833.00"
"NRN","2024-02-08","603.8","603.8","586","590","-0.34 %","117,261.00"
"NRN","2024-02-07","598","603","590","592","0.00 %","64,843.00"
"NRN","2024-02-06","596","600","587","592","0.36 %","72,468.00"
"NRN","2024-02-05","596","600","578","589.9","0.15 %","71,657.00"
"NRN","2024-02-04","598","605","586","589","-1.34 %","60,242.00"
"NRN","2024-02-01","603","614","594","597","-2.61 %","143,134.00"
"NRN","2024-01-31","600","628.9","595.1","613","3.55 %","422,853.00"
"NRN","2024-01-30","600","606","581.1","592","0.51 %","100,943.00"
"NRN","2024-01-29","585","613","583","589","-1.24 %","186,211.00"
"NRN","2024-01-28","599","609","579.1","596.4","1.08 %","157,492.00"
"NRN","2024-01-25","604","609.9","586.2","590","-1.99 %","130,099.00"
"NRN","2024-01-24","612","628","600","602","-1.31 %","196,002.00"
"NRN","2024-01-23","574.2","618.1","574","610","4.33 %","225,228.00"
"NRN","2024-01-22","595.1","611.8","561","584.7","-2.53 %","255,908.00"
"NRN","2024-01-21","617","630","596.2","599.9","-4.02 %","231,681.00"
"NRN","2024-01-18","600","635","586.1","625","2.80 %","206,436.00"
"NRN","2024-01-17","606","641","604.7","608","2.32 %","306,433.00"
"NRN","2024-01-16","551","594.2","550","594.2","10.00 %","362,806.00"
"NRN","2024-01-14","556","557.7","538","540.2","-1.06 %","149,119.00"
"NRN","2024-01-11","567","567","545","546","-1.82 %","120,373.00"
"NRN","2024-01-10","547.9","564.9","536","556.1","1.50 %","232,952.00"
"NRN","2024-01-09","570","578.9","543.1","547.9","-2.68 %","179,312.00"
"NRN","2024-01-08","520","571","520","563","8.06 %","261,494.00"
"NRN","2024-01-07","530","539.9","510","521","-1.70 %","299,893.00"
"NRN","2024-01-04","527.3","560","527","530","2.51 %","297,376.00"
"NRN","2024-01-03","479","517","476","517","10.00 %","305,032.00"
"NRN","2024-01-02","452","479","445.9","470","4.19 %","272,942.00"
"NRN","2024-01-01","454","474","447","451.1","0.47 %","204,257.00"
"NRN","2023-12-28","428","454","427.9","449","4.39 %","112,609.00"
"NRN","2023-12-27","422","453.9","422","430.1","1.92 %","131,857.00"
"NRN","2023-12-24","461.3","486.9","416","422","-6.70 %","223,347.00"
"NRN","2023-12-21","425","458.5","425","452.3","8.49 %","209,345.00"
"NRN","2023-12-20","385","416.9","370","416.9","10.00 %","150,685.00"
"NRN","2023-12-19","375","379","356","379","2.99 %","108,382.00"
"NRN","2023-12-18","365","376.9","362","368","2.22 %","96,713.00"
"NRN","2023-12-17","342","362","330.3","360","4.96 %","135,083.00"
"NRN","2023-12-14","350.8","350.8","333","343","-0.29 %","59,507.00"
"NRN","2023-12-13","334","347","334","338","3.80 %","77,796.00"
"NRN","2023-12-12","315.1","337.9","315.1","331.4","4.21 %","115,187.00"
"NRN","2023-12-11","327","327","310","318","-0.93 %","152,746.00"
"NRN","2023-12-10","319","336","317","321","2.56 %","17,805.00"
"NRN","2023-12-07","299.4","319","299","313","4.61 %","101,822.00"
