"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PCBL","2024-08-11","280","291.8","275","291.8","5.72 %","392,998.00"
"PCBL","2024-08-08","284.8","285","272","276","-1.22 %","317,619.00"
"PCBL","2024-08-07","268","290","265","279.4","2.34 %","295,934.00"
"PCBL","2024-08-06","298.9","298.9","271","273","-7.30 %","558,087.00"
"PCBL","2024-08-05","300","320","294.3","294.5","-0.17 %","662,783.00"
"PCBL","2024-08-01","295","300","294","295","-1.67 %","401,417.00"
"PCBL","2024-07-31","301","303.4","294","300","1.04 %","494,134.00"
"PCBL","2024-07-30","297","300","277.5","296.9","0.00 %","605,669.00"
"PCBL","2024-07-29","301","312","294","296.9","0.34 %","878,708.00"
"PCBL","2024-07-28","274.3","295.9","274.3","295.9","10.00 %","942,315.00"
"PCBL","2024-07-25","264.3","273","260","269","1.78 %","412,595.00"
"PCBL","2024-07-24","275","275","263.9","264.3","-2.62 %","336,036.00"
"PCBL","2024-07-23","267","271.5","261.9","271.4","1.65 %","299,030.00"
"PCBL","2024-07-22","282","282","264","267","-3.44 %","617,987.00"
"PCBL","2024-07-21","255","277.4","252","276.5","8.43 %","548,184.00"
"PCBL","2024-07-18","240","258.8","236","255","8.37 %","712,480.00"
"PCBL","2024-07-17","233","236","228","235.3","1.91 %","218,228.00"
"PCBL","2024-07-16","224.1","231","215","230.9","4.10 %","165,154.00"
"PCBL","2024-07-15","229.3","229.3","221","221.8","-1.38 %","237,100.00"
"PCBL","2024-07-14","215.2","225","214","224.9","6.59 %","365,788.00"
"PCBL","2024-07-11","211.3","212","208","211","1.83 %","128,334.00"
"PCBL","2024-07-10","208.3","208.3","201","207.2","1.42 %","76,963.00"
"PCBL","2024-07-09","200.1","204.6","200.1","204.3","1.14 %","54,457.00"
"PCBL","2024-07-08","203","204","200","202","-0.49 %","53,437.00"
"PCBL","2024-07-07","200","204","198.1","203","0.50 %","77,556.00"
"PCBL","2024-07-04","203","204","199.1","202","0.30 %","46,171.00"
"PCBL","2024-07-03","204","204","197.5","201.4","-0.30 %","51,762.00"
"PCBL","2024-07-02","199.7","211.1","199.7","202","3.17 %","106,105.00"
"PCBL","2024-07-01","191","195.8","190.1","195.8","1.45 %","131,954.00"
"PCBL","2024-06-30","195.1","196.9","191.6","193","-2.18 %","46,047.00"
"PCBL","2024-06-27","198.7","198.7","193","197.3","1.23 %","63,448.00"
"PCBL","2024-06-26","192.2","195.9","192.2","194.9","-0.05 %","77,862.00"
"PCBL","2024-06-25","196","198.8","193","195","-0.51 %","80,527.00"
"PCBL","2024-06-24","195","196.6","194.6","196","0.26 %","30,750.00"
"PCBL","2024-06-23","199","199","194.5","195.5","-1.26 %","33,667.00"
"PCBL","2024-06-20","201.5","201.5","196","198","0.20 %","42,427.00"
"PCBL","2024-06-19","196","198.5","196","197.6","-0.25 %","30,497.00"
"PCBL","2024-06-18","197.5","199.5","197.5","198.1","-1.64 %","42,409.00"
"PCBL","2024-06-16","198.5","203.9","198.5","201.4","-0.25 %","38,783.00"
"PCBL","2024-06-13","206","206","200.3","201.9","-1.51 %","38,988.00"
"PCBL","2024-06-12","203","210","200","205","0.99 %","85,425.00"
"PCBL","2024-06-11","201.7","203","196.1","203","2.63 %","51,029.00"
"PCBL","2024-06-10","202.8","202.8","197","197.8","-0.55 %","49,279.00"
"PCBL","2024-06-09","204","204","198","198.9","-0.55 %","31,290.00"
"PCBL","2024-06-06","198","201.3","198","200","0.50 %","58,157.00"
"PCBL","2024-06-05","201.1","201.1","199","199","-1.58 %","39,827.00"
"PCBL","2024-06-04","200.1","202.2","200","202.2","1.05 %","48,031.00"
"PCBL","2024-06-03","204","204","199","200.1","-0.79 %","80,888.00"
"PCBL","2024-06-02","198.4","202","198.4","201.7","0.75 %","35,246.00"
"PCBL","2024-05-30","205","205","200","200.2","-1.86 %","58,976.00"
"PCBL","2024-05-29","213.1","216","204","204","-2.39 %","121,252.00"
