"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PHCL","2024-08-11","428","454.9","422","442.1","3.29 %","139,257.00"
"PHCL","2024-08-08","430","437","420.1","428","-0.47 %","174,682.00"
"PHCL","2024-08-07","401","430","397","430","6.70 %","89,165.00"
"PHCL","2024-08-06","435","441.1","397","403","-8.41 %","113,008.00"
"PHCL","2024-08-05","422.4","449.4","411.7","440","2.09 %","187,907.00"
"PHCL","2024-08-01","464.9","464.9","430","431","-9.13 %","225,272.00"
"PHCL","2024-07-31","460","489","435","474.3","4.24 %","244,030.00"
"PHCL","2024-07-30","431.4","468","431.4","455","3.41 %","161,103.00"
"PHCL","2024-07-29","420","449","417.2","440","3.70 %","176,854.00"
"PHCL","2024-07-28","416.1","424.3","400","424.3","4.00 %","142,550.00"
"PHCL","2024-07-25","417","417","397","408","-0.24 %","192,600.00"
"PHCL","2024-07-24","424.1","432","406","409","-3.54 %","142,666.00"
"PHCL","2024-07-23","390","426","385.1","424","8.72 %","156,823.00"
"PHCL","2024-07-22","370","397.5","366","390","6.56 %","248,448.00"
"PHCL","2024-07-21","351","379.4","342.3","366","3.10 %","256,616.00"
"PHCL","2024-07-18","349.8","374","335.3","355","1.72 %","171,154.00"
"PHCL","2024-07-17","346","351.8","335.2","349","1.60 %","139,239.00"
"PHCL","2024-07-16","317.6","351.8","317.4","343.5","7.38 %","107,164.00"
"PHCL","2024-07-15","327.4","333.5","316","319.9","-0.34 %","38,656.00"
"PHCL","2024-07-14","323.2","328","316","321","1.29 %","38,727.00"
"PHCL","2024-07-11","310","318.9","308","316.9","2.89 %","65,892.00"
"PHCL","2024-07-10","306.2","311.7","306.2","308","0.65 %","37,076.00"
"PHCL","2024-07-09","302.3","310","302.3","306","0.00 %","19,289.00"
"PHCL","2024-07-08","301.9","320","301.9","306","-0.65 %","20,223.00"
"PHCL","2024-07-07","308","314","307.8","308","-0.65 %","34,829.00"
"PHCL","2024-07-04","303","318","303","310","0.81 %","31,979.00"
"PHCL","2024-07-03","306.1","312.3","306","307.5","-1.44 %","20,632.00"
"PHCL","2024-07-02","311.1","324.6","305","312","2.30 %","37,507.00"
"PHCL","2024-07-01","303.2","312","303.2","305","-0.97 %","22,215.00"
"PHCL","2024-06-30","305","312","302","308","0.98 %","18,625.00"
"PHCL","2024-06-27","313","318","304","305","-2.87 %","41,990.00"
"PHCL","2024-06-26","312","332","310","314","0.29 %","31,758.00"
"PHCL","2024-06-25","319","324.9","313","313.1","-1.85 %","35,042.00"
"PHCL","2024-06-24","314.7","339","314.7","319","-0.65 %","42,554.00"
"PHCL","2024-06-23","320.1","330","316.2","321.1","-1.50 %","22,928.00"
"PHCL","2024-06-20","317.6","336.9","317.6","326","0.62 %","62,270.00"
"PHCL","2024-06-19","325.2","329.4","312.7","324","1.60 %","56,091.00"
"PHCL","2024-06-18","318","324","313","318.9","-1.51 %","82,731.00"
"PHCL","2024-06-16","325","339","320","323.8","-2.18 %","71,461.00"
"PHCL","2024-06-13","320","332","317.2","331","3.44 %","82,329.00"
"PHCL","2024-06-12","320","332.4","315","320","0.00 %","68,019.00"
"PHCL","2024-06-11","306.2","325","303","320","6.60 %","124,025.00"
"PHCL","2024-06-10","298","310.9","297.2","300.2","0.03 %","30,719.00"
"PHCL","2024-06-09","300","306","299","300.1","-0.27 %","22,531.00"
"PHCL","2024-06-06","301","309.4","297","300.9","-1.54 %","28,707.00"
"PHCL","2024-06-05","313","313","302","305.6","-1.42 %","24,910.00"
