"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PMLI","2024-08-11","641.9","677","633","674","6.81 %","91,104.00"
"PMLI","2024-08-08","647.2","647.2","618","631","-0.57 %","38,932.00"
"PMLI","2024-08-07","607","635","600","634.6","4.38 %","49,941.00"
"PMLI","2024-08-06","665","675","605","608","-8.02 %","89,789.00"
"PMLI","2024-08-05","646","671","645.1","661","2.64 %","74,882.00"
"PMLI","2024-08-01","614","664","613.1","644","5.23 %","124,359.00"
"PMLI","2024-07-31","604.8","622","600","612","3.03 %","69,335.00"
"PMLI","2024-07-30","583","605","583","594","0.81 %","29,197.00"
"PMLI","2024-07-29","609","610","588.1","589.2","-3.11 %","50,509.00"
"PMLI","2024-07-28","612","622","588","608.1","1.35 %","27,042.00"
"PMLI","2024-07-25","606","610","593","600","-0.99 %","53,519.00"
"PMLI","2024-07-24","628","628","589","606","-1.80 %","62,877.00"
"PMLI","2024-07-23","599.9","625.9","585","617.1","4.24 %","65,549.00"
"PMLI","2024-07-22","590.1","601","575.2","592","0.32 %","35,286.00"
"PMLI","2024-07-21","580","595","575","590.1","3.15 %","68,902.00"
"PMLI","2024-07-18","590","593","571","572.1","-1.70 %","75,862.00"
"PMLI","2024-07-17","579","589","568","582","0.34 %","36,619.00"
"PMLI","2024-07-16","561","582","553","580","2.82 %","55,033.00"
"PMLI","2024-07-15","591","591","555.7","564.1","-2.74 %","48,394.00"
"PMLI","2024-07-14","585.4","608.6","574","580","1.05 %","31,415.00"
"PMLI","2024-07-11","545","577","545","574","7.09 %","99,900.00"
"PMLI","2024-07-10","536.9","541","533.1","536","-0.37 %","19,520.00"
"PMLI","2024-07-09","520","541.6","520","538","3.07 %","26,754.00"
"PMLI","2024-07-08","542.5","542.5","520.4","522","-1.86 %","23,688.00"
"PMLI","2024-07-07","521.5","535","517","531.9","3.99 %","51,056.00"
"PMLI","2024-07-04","496","520.2","496","511.5","3.10 %","43,456.00"
"PMLI","2024-07-03","500","503","494","496.1","-0.78 %","7,484.00"
"PMLI","2024-07-02","499","519.8","494","500","2.04 %","17,235.00"
"PMLI","2024-07-01","477.1","495","477.1","490","1.03 %","12,474.00"
"PMLI","2024-06-30","486.4","490","482.2","485","-0.29 %","11,540.00"
"PMLI","2024-06-27","500.3","500.3","485.2","486.4","-0.84 %","10,416.00"
"PMLI","2024-06-26","485.1","504","485.1","490.5","-0.91 %","4,423.00"
"PMLI","2024-06-25","490.8","502","490.8","495","0.41 %","12,896.00"
"PMLI","2024-06-24","484.2","498.5","484.2","493","-0.20 %","8,916.00"
"PMLI","2024-06-23","485.2","504","485.2","494","-0.22 %","15,967.00"
"PMLI","2024-06-20","505","505","494.9","495.1","-0.68 %","7,156.00"
"PMLI","2024-06-19","493","503","493","498.5","-0.89 %","5,532.00"
"PMLI","2024-06-18","495.8","511","495.6","503","0.14 %","9,139.00"
"PMLI","2024-06-16","507","512","501","502.3","-0.42 %","11,020.00"
"PMLI","2024-06-13","505","510","501","504.4","0.04 %","21,798.00"
"PMLI","2024-06-12","512","515","500","504.2","0.30 %","16,076.00"
"PMLI","2024-06-11","504","507","490.1","502.7","1.56 %","14,641.00"
