"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PPL","2024-08-11","500","513","498","512","4.28 %","63,065.00"
"PPL","2024-08-08","500","510","490","491","-1.80 %","41,544.00"
"PPL","2024-08-07","482","505.9","476","500","3.73 %","32,933.00"
"PPL","2024-08-06","525","525","480.3","482","-6.41 %","55,673.00"
"PPL","2024-08-05","500","525","495.2","515","3.00 %","43,437.00"
"PPL","2024-08-01","524.5","524.5","500","500","-2.91 %","59,244.00"
"PPL","2024-07-31","519.1","531","507","515","1.16 %","60,263.00"
"PPL","2024-07-30","486.9","512.8","486.9","509.1","2.52 %","52,848.00"
"PPL","2024-07-29","507","512.2","493","496.6","-1.17 %","42,752.00"
"PPL","2024-07-28","505","535.9","496.1","502.5","-0.48 %","37,859.00"
"PPL","2024-07-25","508","515","501","504.9","-0.61 %","33,828.00"
"PPL","2024-07-24","509.2","530","504","508","-2.19 %","54,981.00"
"PPL","2024-07-23","523","535","517","519.4","-0.86 %","68,593.00"
"PPL","2024-07-22","535","545.5","508","523.9","-2.06 %","72,457.00"
"PPL","2024-07-21","500","541","500","534.9","6.34 %","98,911.00"
"PPL","2024-07-18","500.8","510","493","503","2.44 %","82,469.00"
"PPL","2024-07-17","496","497.4","480","491","0.68 %","57,332.00"
"PPL","2024-07-16","455","488","455","487.7","7.19 %","78,465.00"
"PPL","2024-07-15","465","468","452","455","-1.09 %","21,235.00"
"PPL","2024-07-14","461.5","470","456.1","460","1.66 %","23,752.00"
"PPL","2024-07-11","453","460","452.3","452.5","0.11 %","23,415.00"
"PPL","2024-07-10","450","465","450","452","0.44 %","13,427.00"
"PPL","2024-07-09","455.9","459","448.1","450","-0.88 %","24,683.00"
"PPL","2024-07-08","465","465","450.2","454","-1.52 %","19,659.00"
"PPL","2024-07-07","457.1","467","457.1","461","0.00 %","12,384.00"
"PPL","2024-07-04","456","470","452.1","461","1.10 %","29,623.00"
"PPL","2024-07-03","460","464","452","456","-1.08 %","21,380.00"
"PPL","2024-07-02","464.1","482","460","461","1.32 %","30,580.00"
"PPL","2024-07-01","458","458","449","455","1.11 %","11,773.00"
"PPL","2024-06-30","460","463","447","450","-2.17 %","19,531.00"
"PPL","2024-06-27","473.4","473.4","455","460","-0.90 %","19,790.00"
"PPL","2024-06-26","483.4","483.4","464","464.2","-2.07 %","24,111.00"
"PPL","2024-06-25","462","484","462","474","3.18 %","40,836.00"
"PPL","2024-06-24","453","469","450","459.4","0.97 %","26,527.00"
"PPL","2024-06-23","446","458","446","455","1.11 %","11,920.00"
"PPL","2024-06-20","460","464.2","448","450","-1.14 %","14,875.00"
"PPL","2024-06-19","453","464.1","453","455.2","-1.04 %","20,821.00"
"PPL","2024-06-18","466","466","450","460","0.66 %","20,344.00"
"PPL","2024-06-16","460.6","475","452.1","457","-2.77 %","28,632.00"
"PPL","2024-06-13","485.4","485.4","462","470","-1.26 %","51,333.00"
"PPL","2024-06-12","495","499.9","472","476","-3.84 %","34,073.00"
"PPL","2024-06-11","487.2","506","487","495","3.58 %","83,059.00"
"PPL","2024-06-10","443","477.9","435","477.9","9.99 %","133,413.00"
"PPL","2024-06-09","441.2","441.6","429","434.5","0.35 %","26,215.00"
"PPL","2024-06-06","436","447","433","433","-0.92 %","33,816.00"
"PPL","2024-06-05","452.9","452.9","436","437","-2.24 %","25,613.00"
"PPL","2024-06-04","453","455","441","447","-1.32 %","37,083.00"
"PPL","2024-06-03","440","459","440","453","1.75 %","39,954.00"
"PPL","2024-06-02","445","453.9","441.6","445.2","-0.85 %","21,478.00"
"PPL","2024-05-30","445.1","459","440.1","449","-0.88 %","31,354.00"
"PPL","2024-05-29","465","472.9","447.1","453","-1.09 %","32,438.00"
"PPL","2024-05-27","460","464","451.5","458","0.22 %","22,701.00"
"PPL","2024-05-26","477.2","477.2","450.1","457","-2.35 %","35,417.00"
"PPL","2024-05-22","482.2","491.8","467","468","-4.88 %","47,836.00"
"PPL","2024-05-21","472.1","493","466","492","2.54 %","24,361.00"
"PPL","2024-05-20","507.9","507.9","472.3","479.8","-3.65 %","71,299.00"
"PPL","2024-05-19","530.1","530.1","493","498","-7.78 %","107,605.00"
"PPL","2024-05-16","558.6","570","513","540","-5.26 %","145,222.00"
"PPL","2024-05-15","560","580","533.1","570","1.79 %","218,466.00"
"PPL","2024-05-14","522","560","522","560","7.69 %","128,036.00"
"PPL","2024-05-13","517","520","496.9","520","1.17 %","23,793.00"
"PPL","2024-05-12","500.8","520","500.8","514","0.59 %","19,309.00"
"PPL","2024-05-09","527","527","506.2","511","-2.48 %","30,103.00"
"PPL","2024-05-08","508.5","524","501.1","524","1.00 %","47,040.00"
"PPL","2024-05-07","499.8","530","499.8","518.8","1.73 %","31,446.00"
"PPL","2024-05-06","544","552","504.7","510","-7.94 %","60,646.00"
"PPL","2024-05-05","602.7","602.7","553.5","554","-9.92 %","43,662.00"
"PPL","2024-05-02","683.4","683.4","603","615","-8.21 %","48,623.00"
"PPL","2024-04-30","617.3","670","566.9","670","6.38 %","120,355.00"
"PPL","2024-04-29","683.4","683.4","603","629.8","-6.00 %","75,224.00"
"PPL","2024-04-28","659.4","678","605.6","670","-0.42 %","158,078.00"
