"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRIN","2024-08-11","1019","1041.9","1018.3","1041.9","2.27 %","77,045.00"
"PRIN","2024-08-08","999.1","1040","990","1018.8","0.08 %","64,646.00"
"PRIN","2024-08-07","978","1018","950.1","1018","6.04 %","57,155.00"
"PRIN","2024-08-06","1034.9","1034.9","956","960","-5.88 %","85,280.00"
"PRIN","2024-08-05","1029","1030","989.8","1020","0.99 %","72,211.00"
"PRIN","2024-08-01","970","1020","956","1010","4.66 %","143,170.00"
"PRIN","2024-07-31","910","965","910","965","6.75 %","125,146.00"
"PRIN","2024-07-30","900","912","869","904","0.44 %","39,759.00"
"PRIN","2024-07-29","915.5","933","897","900","-3.12 %","34,686.00"
"PRIN","2024-07-28","938.4","950","903","929","0.98 %","45,673.00"
"PRIN","2024-07-25","890","925","881","920","2.56 %","75,020.00"
"PRIN","2024-07-24","900.1","920.9","880","897","-1.21 %","33,724.00"
"PRIN","2024-07-23","889.9","910","878.2","908","3.42 %","65,746.00"
"PRIN","2024-07-22","887.2","898.5","866","878","-1.35 %","38,925.00"
"PRIN","2024-07-21","888","897.4","863","890","0.69 %","33,757.00"
"PRIN","2024-07-18","879","895","865.2","883.9","1.25 %","45,333.00"
"PRIN","2024-07-17","865","875","850","873","2.72 %","49,851.00"
"PRIN","2024-07-16","809.5","851","809.5","849.9","2.89 %","16,652.00"
"PRIN","2024-07-15","849.9","849.9","822","826","-1.04 %","48,417.00"
"PRIN","2024-07-14","843.6","843.6","830","834.7","0.92 %","37,702.00"
"PRIN","2024-07-11","830","839","826.2","827.1","0.38 %","32,871.00"
"PRIN","2024-07-10","830","838","820","824","0.15 %","26,518.00"
"PRIN","2024-07-09","820","822.8","809","822.8","-0.07 %","11,961.00"
"PRIN","2024-07-08","844.5","844.5","806.8","823.4","-0.56 %","15,047.00"
"PRIN","2024-07-07","827","837","818","828","1.60 %","43,385.00"
"PRIN","2024-07-04","810","821","794","815","2.13 %","28,322.00"
"PRIN","2024-07-03","805","810","786","798","-0.87 %","23,843.00"
"PRIN","2024-07-02","780.3","805","779","805","5.23 %","68,002.00"
"PRIN","2024-07-01","757","769.5","757","765","0.01 %","6,319.00"
"PRIN","2024-06-30","763","774","756","764.9","0.12 %","4,519.00"
"PRIN","2024-06-27","762.1","776","761","764","-0.78 %","2,413.00"
"PRIN","2024-06-26","783","783","765","770","0.21 %","5,460.00"
"PRIN","2024-06-25","773.9","786","764.1","768.4","-0.71 %","8,971.00"
"PRIN","2024-06-24","770","785","761","773.9","0.51 %","6,471.00"
"PRIN","2024-06-23","766","780","766","770","0.13 %","5,587.00"
"PRIN","2024-06-20","770","779","768","769","-0.77 %","3,628.00"
"PRIN","2024-06-19","789.3","789.3","770","775","0.14 %","3,885.00"
"PRIN","2024-06-18","783","783","773","773.9","0.27 %","11,005.00"
"PRIN","2024-06-16","781.1","794","770","771.8","-1.44 %","13,115.00"
"PRIN","2024-06-13","786.9","803","783.1","783.1","-1.88 %","11,538.00"
"PRIN","2024-06-12","801","817","798.1","798.1","-0.24 %","27,486.00"
"PRIN","2024-06-11","779","800","770.1","800","4.56 %","30,511.00"
"PRIN","2024-06-10","769","774.5","765","765.1","0.00 %","6,381.00"
"PRIN","2024-06-09","768","771.9","765","765.1","0.01 %","9,601.00"
"PRIN","2024-06-06","770","770","764","765","-0.71 %","6,085.00"
"PRIN","2024-06-05","779","785.1","770.4","770.5","-0.84 %","4,177.00"
"PRIN","2024-06-04","772","784","770.2","777","0.61 %","15,683.00"
"PRIN","2024-06-03","774.1","784","772.3","772.3","-1.35 %","7,919.00"
"PRIN","2024-06-02","787.5","787.5","767","782.9","1.40 %","5,930.00"
"PRIN","2024-05-30","785","794.8","772","772.1","-1.13 %","7,386.00"
"PRIN","2024-05-29","790","795","780","780.9","0.76 %","2,298.00"
"PRIN","2024-05-27","780","804.6","775","775","-1.34 %","9,374.00"
"PRIN","2024-05-26","810","810","784","785.5","-1.19 %","12,657.00"
"PRIN","2024-05-22","799.1","807","793.1","795","-0.50 %","7,962.00"
"PRIN","2024-05-21","802.5","804","793.1","799","0.13 %","6,392.00"
"PRIN","2024-05-20","808","816","790","798","-0.25 %","15,856.00"
"PRIN","2024-05-19","782.5","820","782.5","800","4.28 %","42,867.00"
"PRIN","2024-05-16","788.9","789","767.2","767.2","-2.27 %","5,952.00"
"PRIN","2024-05-15","805","805","777.3","785","-0.76 %","16,219.00"
"PRIN","2024-05-14","777","795","777","791","1.15 %","8,168.00"
"PRIN","2024-05-13","791","791","778.5","782","-0.64 %","5,185.00"
"PRIN","2024-05-12","783","812","782.1","787","1.52 %","31,982.00"
"PRIN","2024-05-09","780","785","764","775.2","0.28 %","7,595.00"
"PRIN","2024-05-08","790","790","765","773","-0.36 %","7,003.00"
"PRIN","2024-05-07","778","790","770","775.8","1.66 %","6,394.00"
"PRIN","2024-05-06","772","783","761","763.1","-2.79 %","6,264.00"
"PRIN","2024-05-05","805","807.5","780.2","785","-0.63 %","18,136.00"
"PRIN","2024-05-02","810.5","812","790","790","-0.59 %","15,371.00"
"PRIN","2024-04-30","773","804.3","771.4","794.7","3.02 %","31,621.00"
"PRIN","2024-04-29","773","773.9","762","771.4","-0.98 %","3,101.00"
"PRIN","2024-04-28","758.1","779","758.1","779","1.70 %","7,588.00"
"PRIN","2024-04-25","785","798","755.3","766","-0.51 %","2,627.00"
"PRIN","2024-04-24","765","772","760.4","769.9","0.12 %","4,380.00"
"PRIN","2024-04-22","785","795","765","769","-1.45 %","6,195.00"
"PRIN","2024-04-21","740","780.3","740","780.3","5.81 %","13,628.00"
"PRIN","2024-04-18","770","773","765.1","772.5","0.06 %","9,263.00"
"PRIN","2024-04-16","762","775","761.1","772","0.10 %","4,895.00"
