"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PROFL","2024-08-11","639","661.1","605.7","636","1.44 %","218,485.00"
"PROFL","2024-08-08","660.8","670","620","627","-3.23 %","125,499.00"
"PROFL","2024-08-07","577.4","647.9","569","647.9","10.00 %","244,624.00"
"PROFL","2024-08-06","618","629.3","575.6","589","-6.51 %","300,437.00"
"PROFL","2024-08-05","670","670","610.6","630","-4.15 %","331,126.00"
"PROFL","2024-08-01","609","657.4","609","657.3","9.97 %","503,354.00"
"PROFL","2024-07-31","554.2","597.7","554.2","597.7","9.99 %","81,556.00"
"PROFL","2024-07-30","494","543.4","494","543.4","10.00 %","219,367.00"
"PROFL","2024-07-29","505","505","485","494","-0.48 %","128,361.00"
"PROFL","2024-07-28","500","505","480.2","496.4","-0.02 %","123,930.00"
"PROFL","2024-07-25","495","509.9","491","496.5","0.71 %","112,475.00"
"PROFL","2024-07-24","489.6","514","483","493","2.71 %","198,838.00"
"PROFL","2024-07-23","453","481","452.1","480","5.73 %","145,729.00"
"PROFL","2024-07-22","465.9","465.9","447","454","-0.63 %","97,277.00"
"PROFL","2024-07-21","458","476","449","456.9","-0.24 %","123,178.00"
"PROFL","2024-07-18","477.3","477.3","455.7","458","-2.14 %","136,150.00"
"PROFL","2024-07-17","443","475","440","468","5.88 %","168,070.00"
"PROFL","2024-07-16","430","442","430","442","3.76 %","83,925.00"
"PROFL","2024-07-15","436.5","439.9","426","426","-0.47 %","82,942.00"
"PROFL","2024-07-14","438.6","456","427","428","-0.47 %","54,895.00"
"PROFL","2024-07-11","430","437","428","430","-0.02 %","62,504.00"
"PROFL","2024-07-10","433","435","428","430.1","1.13 %","56,938.00"
"PROFL","2024-07-09","421.1","433","421","425.3","1.43 %","61,658.00"
"PROFL","2024-07-08","412.6","429","412.6","419.3","-0.40 %","63,949.00"
"PROFL","2024-07-07","433","433","420","421","-1.41 %","67,135.00"
"PROFL","2024-07-04","438","443","425","427","-2.22 %","133,801.00"
"PROFL","2024-07-03","411.4","438","411","436.7","7.01 %","221,421.00"
"PROFL","2024-07-02","411.5","436.5","407","408.1","1.14 %","47,812.00"
"PROFL","2024-07-01","396","410.9","396","403.5","-0.12 %","39,200.00"
"PROFL","2024-06-30","410.9","415","403","404","-0.25 %","48,202.00"
"PROFL","2024-06-27","408","412.5","402","405","-0.25 %","46,101.00"
"PROFL","2024-06-26","402.1","414","402","406","0.25 %","70,943.00"
"PROFL","2024-06-25","411","428.4","405","405","-2.41 %","112,975.00"
"PROFL","2024-06-24","427.1","440.6","411","415","-2.83 %","211,988.00"
"PROFL","2024-06-23","409","431","404","427.1","6.51 %","230,820.00"
"PROFL","2024-06-20","395","410","388","401","2.79 %","145,055.00"
"PROFL","2024-06-19","373","397.9","371","390.1","4.58 %","140,551.00"
"PROFL","2024-06-18","379","385","373","373","-2.74 %","67,885.00"
"PROFL","2024-06-16","380.4","395.1","380.4","383.5","-1.19 %","130,879.00"
"PROFL","2024-06-13","366.8","400","366.8","388.1","3.71 %","247,406.00"
"PROFL","2024-06-12","364.2","389","351.2","374.2","4.79 %","113,242.00"
"PROFL","2024-06-11","357.5","362.7","355.3","357.1","1.88 %","46,506.00"
"PROFL","2024-06-10","345","362.9","345","350.5","1.74 %","20,265.00"
"PROFL","2024-06-09","353","356","343.1","344.5","-2.90 %","34,415.00"
"PROFL","2024-06-06","364","368","354","354.8","-2.53 %","60,707.00"
"PROFL","2024-06-05","350.1","372","350","364","4.00 %","138,716.00"
"PROFL","2024-06-04","356","363.1","349","350","-1.69 %","58,433.00"
"PROFL","2024-06-03","357","374.8","355","356","1.69 %","160,533.00"
"PROFL","2024-06-02","342","356.9","342","350.1","4.01 %","83,034.00"
"PROFL","2024-05-30","330","343","330","336.6","1.69 %","25,296.00"
"PROFL","2024-05-29","346","346","330.1","331","-2.59 %","26,563.00"
"PROFL","2024-05-27","337","343.8","335.1","339.8","1.13 %","17,883.00"
"PROFL","2024-05-26","338","345","336","336","-2.33 %","23,878.00"
"PROFL","2024-05-22","358.9","359","344","344","-2.27 %","32,447.00"
"PROFL","2024-05-21","340","353","340","352","4.20 %","47,032.00"
"PROFL","2024-05-20","343.6","351.5","337.4","337.8","-0.62 %","28,707.00"
"PROFL","2024-05-19","343.6","343.6","336.1","339.9","0.89 %","28,261.00"
"PROFL","2024-05-16","340","344","335","336.9","-0.33 %","20,628.00"
"PROFL","2024-05-15","339.2","351","338","338","-0.65 %","29,033.00"
