"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RADHI","2024-08-11","408","424","397.1","412","3.00 %","349,102.00"
"RADHI","2024-08-08","412","418","395","400","-0.99 %","337,230.00"
"RADHI","2024-08-07","378.3","406","371","404","6.79 %","366,150.00"
"RADHI","2024-08-06","402","414","378","378.3","-5.31 %","575,945.00"
"RADHI","2024-08-05","394","407","376","399.5","3.23 %","373,912.00"
"RADHI","2024-08-01","387","396","378.1","387","0.52 %","350,339.00"
"RADHI","2024-07-31","370.2","397.8","370","385","6.06 %","407,836.00"
"RADHI","2024-07-30","345","365","341","363","6.45 %","418,059.00"
"RADHI","2024-07-29","331","353","331","341","2.10 %","354,002.00"
"RADHI","2024-07-28","338.6","349","326.5","334","0.60 %","159,019.00"
"RADHI","2024-07-25","340","340","328.2","332","-0.90 %","300,718.00"
"RADHI","2024-07-24","351","351","327","335","-3.87 %","348,585.00"
"RADHI","2024-07-23","340","349.9","327","348.5","4.37 %","220,357.00"
"RADHI","2024-07-22","325","337","316","333.9","4.02 %","404,105.00"
"RADHI","2024-07-21","309","324","298","321","5.94 %","365,342.00"
"RADHI","2024-07-18","290","303","285","303","5.80 %","359,724.00"
"RADHI","2024-07-17","285.1","294","281.5","286.4","0.49 %","186,266.00"
"RADHI","2024-07-16","270","289","268","285","6.26 %","215,541.00"
"RADHI","2024-07-15","274","274.8","267","268.2","-0.48 %","68,934.00"
"RADHI","2024-07-14","271.6","282","267","269.5","1.20 %","84,911.00"
"RADHI","2024-07-11","259","266.3","256","266.3","3.22 %","150,498.00"
"RADHI","2024-07-10","259","259.9","253","258","1.18 %","49,262.00"
"RADHI","2024-07-09","250.1","255","250","255","1.59 %","36,560.00"
"RADHI","2024-07-08","250.2","259","250.2","251","-1.18 %","27,665.00"
"RADHI","2024-07-07","255","256.7","253.2","254","0.71 %","33,014.00"
"RADHI","2024-07-04","255","257","252.1","252.2","-1.06 %","44,853.00"
"RADHI","2024-07-03","254","257","252","254.9","-0.55 %","26,219.00"
"RADHI","2024-07-02","258","270","253.1","256.3","1.30 %","76,250.00"
"RADHI","2024-07-01","246.1","257","246","253","2.85 %","52,716.00"
"RADHI","2024-06-30","251.1","252","246","246","-3.38 %","22,886.00"
"RADHI","2024-06-27","256","258","249.1","254.6","0.35 %","34,750.00"
"RADHI","2024-06-26","263","263","253.7","253.7","-1.74 %","40,001.00"
"RADHI","2024-06-25","253.4","263.2","251.1","258.2","1.25 %","73,956.00"
"RADHI","2024-06-24","256.1","266","254.8","255","-1.20 %","91,037.00"
"RADHI","2024-06-23","267","267","257","258.1","-2.75 %","86,669.00"
"RADHI","2024-06-20","272","272","264","265.4","-1.30 %","61,185.00"
"RADHI","2024-06-19","262","276","262","268.9","2.63 %","186,801.00"
"RADHI","2024-06-18","270.1","272","261","262","-2.96 %","155,591.00"
