"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RAWA","2024-08-11","677","689","662","683.9","2.84 %","23,468.00"
"RAWA","2024-08-08","680","696.9","653","665","-2.21 %","26,686.00"
"RAWA","2024-08-07","636","692","621","680","7.42 %","18,310.00"
"RAWA","2024-08-06","700.4","705","630","633","-7.82 %","31,663.00"
"RAWA","2024-08-05","631","687.5","615","686.7","9.87 %","29,067.00"
"RAWA","2024-08-01","615.9","639.9","615.9","625","0.06 %","19,295.00"
"RAWA","2024-07-31","625","648","621.2","624.6","-0.06 %","20,757.00"
"RAWA","2024-07-30","620","635","615.6","625","0.97 %","12,213.00"
"RAWA","2024-07-29","610","625","608","619","0.65 %","18,221.00"
"RAWA","2024-07-28","633.4","633.4","605","615","-0.97 %","10,341.00"
"RAWA","2024-07-25","609.3","640","609.1","621","0.32 %","17,431.00"
"RAWA","2024-07-24","610","635","607.3","619","0.65 %","19,594.00"
"RAWA","2024-07-23","590","620.2","590","615","4.24 %","23,812.00"
"RAWA","2024-07-22","588.2","608","587.1","590","-1.19 %","12,499.00"
"RAWA","2024-07-21","600","618","591.2","597.1","0.35 %","11,425.00"
"RAWA","2024-07-18","610","615","594","595","-2.46 %","25,460.00"
"RAWA","2024-07-17","620","640","598","610","0.00 %","22,253.00"
"RAWA","2024-07-16","578","615","578","610","3.92 %","22,296.00"
"RAWA","2024-07-15","595.5","609","570.6","587","0.53 %","28,551.00"
"RAWA","2024-07-14","578.3","600","568","583.9","2.98 %","23,562.00"
"RAWA","2024-07-11","578.3","588","560","567","0.00 %","14,856.00"
"RAWA","2024-07-10","579","579","556.8","567","-0.51 %","5,556.00"
"RAWA","2024-07-09","577","577","557.2","569.9","0.33 %","8,270.00"
"RAWA","2024-07-08","571.2","582.6","551.5","568","1.43 %","2,967.00"
"RAWA","2024-07-07","556","589.9","556","560","-1.23 %","5,506.00"
"RAWA","2024-07-04","576.2","576.2","563","567","0.35 %","5,478.00"
"RAWA","2024-07-03","571.9","583","552","565","-1.21 %","10,739.00"
"RAWA","2024-07-02","574.2","619","561.1","571.9","1.58 %","6,933.00"
"RAWA","2024-07-01","546.9","567.1","546.9","563","0.90 %","4,645.00"
"RAWA","2024-06-30","546.5","567","546.5","558","0.18 %","9,664.00"
"RAWA","2024-06-27","583.9","583.9","557","557","-2.96 %","6,084.00"
"RAWA","2024-06-26","591","591.6","565","574","-1.03 %","15,906.00"
"RAWA","2024-06-25","582","592","560.1","580","1.33 %","15,469.00"
"RAWA","2024-06-24","569","592.6","560.1","572.4","2.21 %","17,058.00"
"RAWA","2024-06-23","559","565","548","560","2.00 %","10,255.00"
"RAWA","2024-06-20","573.2","573.2","547","549","-2.31 %","8,163.00"
"RAWA","2024-06-19","566.1","573","549.8","562","1.26 %","13,120.00"
"RAWA","2024-06-18","567","567","550.2","555","-0.89 %","5,604.00"
"RAWA","2024-06-16","560","573","548.8","560","0.00 %","27,822.00"
"RAWA","2024-06-13","571.2","575","543","560","0.00 %","18,941.00"
"RAWA","2024-06-12","580.2","580.2","541.2","560","-1.56 %","26,922.00"
"RAWA","2024-06-11","575","598.2","565","568.9","0.69 %","20,718.00"
"RAWA","2024-06-10","549.7","592.9","540","565","4.82 %","33,085.00"
"RAWA","2024-06-09","523.7","540","519","539","4.97 %","34,105.00"
"RAWA","2024-06-06","505","520","500","513.5","1.93 %","8,063.00"
"RAWA","2024-06-05","514","514","500","503.8","-1.22 %","8,092.00"
"RAWA","2024-06-04","528.3","534","510","510","-1.54 %","9,658.00"
"RAWA","2024-06-03","527","535","516.7","518","-0.37 %","25,304.00"
"RAWA","2024-06-02","505.9","522.9","492","519.9","4.82 %","37,829.00"
"RAWA","2024-05-30","504.9","504.9","480","496","0.20 %","14,525.00"
"RAWA","2024-05-29","507","507","494","495","-0.56 %","11,241.00"
"RAWA","2024-05-27","501.8","505.9","486","497.8","1.18 %","17,646.00"
"RAWA","2024-05-26","519.9","524.9","490","492","-4.47 %","20,350.00"
"RAWA","2024-05-22","517","517","499","515","1.18 %","13,693.00"
"RAWA","2024-05-21","489","511","479","509","5.17 %","29,958.00"
"RAWA","2024-05-20","482","490.9","472.5","484","1.47 %","18,052.00"
"RAWA","2024-05-19","480","494.1","466","477","0.42 %","6,849.00"
"RAWA","2024-05-16","489","489","466","475","-2.66 %","15,417.00"
"RAWA","2024-05-15","487","507","470","488","2.09 %","11,875.00"
"RAWA","2024-05-14","473","489","460.5","478","2.80 %","10,765.00"
"RAWA","2024-05-13","465","475","457","465","-1.90 %","9,463.00"
