"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RBCL","2024-08-11","17037","17490","16902","17114.1","2.46 %","661.00"
"RBCL","2024-08-08","17340","18040.5","16700","16703","-1.75 %","892.00"
"RBCL","2024-08-07","17000.1","17190","16417","17000","1.80 %","1,206.00"
"RBCL","2024-08-06","17799.9","17799.9","16578","16700","-5.09 %","2,346.00"
"RBCL","2024-08-05","17400","17748","16990","17595","2.83 %","1,403.00"
"RBCL","2024-08-01","17400","17850","16600","17111.1","-3.33 %","2,942.00"
"RBCL","2024-07-31","18000","18198","17550","17700","-1.12 %","1,038.00"
"RBCL","2024-07-30","18300","18500","17502","17900","-2.19 %","892.00"
"RBCL","2024-07-29","18468","19100","17400","18300","1.07 %","3,015.00"
"RBCL","2024-07-28","17265","18105.9","16660","18105.9","6.95 %","2,321.00"
"RBCL","2024-07-25","15400","16940","15350","16930","9.94 %","4,495.00"
"RBCL","2024-07-24","15555","15840","14986","15400","-0.96 %","1,085.00"
"RBCL","2024-07-23","14625","15560","14625","15550","6.65 %","1,114.00"
"RBCL","2024-07-22","14594","14725","14290","14580","1.90 %","845.00"
"RBCL","2024-07-21","14550","14670","14259","14308","0.20 %","1,801.00"
"RBCL","2024-07-18","14160","15189","14014.2","14280","0.85 %","1,044.00"
"RBCL","2024-07-17","13844","14160","13800","14160","4.12 %","815.00"
"RBCL","2024-07-16","13451","13600","13450","13600","0.82 %","305.00"
"RBCL","2024-07-15","13500","13550","13365","13490","1.05 %","540.00"
"RBCL","2024-07-14","13615","13617","13344.7","13350","0.00 %","989.00"
"RBCL","2024-07-11","13290","13500","13290","13350","0.57 %","206.00"
"RBCL","2024-07-10","13200","13300","13112","13274","0.18 %","595.00"
"RBCL","2024-07-09","13100","13250","13052","13250","1.65 %","220.00"
"RBCL","2024-07-08","13100","13198","13035","13035","-0.58 %","381.00"
"RBCL","2024-07-07","13100","13245","13100","13111","0.45 %","240.00"
"RBCL","2024-07-04","13389","13389","13001.1","13052","-0.78 %","197.00"
"RBCL","2024-07-03","13003","13155","13000","13155","-0.60 %","155.00"
"RBCL","2024-07-02","13258.9","13260","13000","13235","1.82 %","175.00"
"RBCL","2024-07-01","13000","13000","12917","12999","0.38 %","110.00"
"RBCL","2024-06-30","13001","13100","12950","12950","-0.77 %","160.00"
"RBCL","2024-06-27","13060","13125","13051","13051","-0.18 %","90.00"
