"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RFPL","2024-08-11","405","427","405","420","3.70 %","45,967.00"
"RFPL","2024-08-08","424.3","424.3","403","405","-2.64 %","42,587.00"
"RFPL","2024-08-07","410","417.8","401","416","3.35 %","36,920.00"
"RFPL","2024-08-06","430","435","401.1","402.5","-6.40 %","59,810.00"
"RFPL","2024-08-05","404","435","402","430","4.65 %","57,893.00"
"RFPL","2024-08-01","420.4","435.4","400","410.9","-2.28 %","75,536.00"
"RFPL","2024-07-31","433.5","438","417","420.5","-1.06 %","66,202.00"
"RFPL","2024-07-30","403.8","453.2","403.8","425","3.16 %","72,041.00"
"RFPL","2024-07-29","431","439","410.2","412","-4.41 %","56,220.00"
"RFPL","2024-07-28","431.3","439.6","419.1","431","1.92 %","74,114.00"
"RFPL","2024-07-25","443.7","443.7","418","422.9","-2.78 %","80,747.00"
"RFPL","2024-07-24","460","460","422","435","-5.43 %","110,254.00"
"RFPL","2024-07-23","458.1","469.2","445","460","0.41 %","67,946.00"
"RFPL","2024-07-22","445","460","425","458.1","2.94 %","116,866.00"
"RFPL","2024-07-21","422","450","409.5","445","3.51 %","132,876.00"
"RFPL","2024-07-18","401.8","430","387","429.9","9.11 %","133,097.00"
"RFPL","2024-07-17","397.8","400.8","384.3","394","1.03 %","80,032.00"
"RFPL","2024-07-16","365","404","365","390","5.66 %","76,905.00"
"RFPL","2024-07-15","387","387","369.1","369.1","-2.74 %","32,535.00"
"RFPL","2024-07-14","386.5","387","365.9","379.5","0.13 %","44,099.00"
"RFPL","2024-07-11","375","385","371.3","379","1.88 %","49,226.00"
"RFPL","2024-07-10","371","377.7","369","372","-0.29 %","28,358.00"
"RFPL","2024-07-09","371","373.2","361.1","373.1","2.22 %","22,088.00"
"RFPL","2024-07-08","372","379","365","365","-0.27 %","21,945.00"
"RFPL","2024-07-07","373","380","359","366","-0.16 %","20,555.00"
"RFPL","2024-07-04","370","372.9","364","366.6","-0.11 %","39,443.00"
"RFPL","2024-07-03","379.4","379.4","360","367","-1.34 %","17,437.00"
"RFPL","2024-07-02","367.2","395","353.9","372","3.33 %","16,535.00"
"RFPL","2024-07-01","348.1","365","348.1","360","1.98 %","15,534.00"
"RFPL","2024-06-30","354","360","348.2","353","-0.28 %","19,141.00"
"RFPL","2024-06-27","360","360","353.2","354","-1.67 %","12,762.00"
"RFPL","2024-06-26","369.1","369.9","357","360","-2.44 %","21,759.00"
"RFPL","2024-06-25","375.3","376","368.1","369","0.27 %","17,211.00"
"RFPL","2024-06-24","361.5","375","361.5","368","0.03 %","16,874.00"
"RFPL","2024-06-23","372","377","362","367.9","-0.30 %","29,093.00"
"RFPL","2024-06-20","375","379.9","365","369","0.27 %","29,938.00"
"RFPL","2024-06-19","375","380","365.6","368","-1.89 %","25,901.00"
"RFPL","2024-06-18","383.1","383.1","374.3","375.1","-0.13 %","45,541.00"
"RFPL","2024-06-16","365.1","387.3","365.1","375.6","0.83 %","42,003.00"
"RFPL","2024-06-13","386.5","386.5","370","372.5","-1.72 %","36,381.00"
"RFPL","2024-06-12","374.5","395.9","372","379","-0.79 %","67,149.00"
"RFPL","2024-06-11","384.9","395","378","382","1.22 %","82,606.00"
"RFPL","2024-06-10","354.8","377.4","354.8","377.4","4.25 %","86,620.00"
"RFPL","2024-06-09","358.1","372","355.5","362","-0.28 %","32,549.00"
"RFPL","2024-06-06","345.1","371.9","345.1","363","3.71 %","56,938.00"
"RFPL","2024-06-05","358","360","345","350","-0.57 %","30,976.00"
"RFPL","2024-06-04","352.1","361","349","352","-0.59 %","29,146.00"
"RFPL","2024-06-03","373.3","373.3","354.1","354.1","-3.25 %","35,036.00"
"RFPL","2024-06-02","373","373","359.1","366","0.00 %","32,163.00"
"RFPL","2024-05-30","368","371.9","354.2","366","1.39 %","47,789.00"
"RFPL","2024-05-29","374","380","355","361","-1.55 %","32,890.00"
"RFPL","2024-05-27","363","374.9","360","366.7","-0.35 %","41,398.00"
"RFPL","2024-05-26","373.4","386.5","361.9","368","-3.41 %","83,554.00"
"RFPL","2024-05-22","392","421","378","381","-4.75 %","105,771.00"
"RFPL","2024-05-21","403.8","417","392","400","-2.91 %","74,815.00"
"RFPL","2024-05-20","384.2","430","384.2","412","5.10 %","247,580.00"
"RFPL","2024-05-19","364.5","392.7","356","392","7.10 %","125,339.00"
"RFPL","2024-05-16","333.8","368.9","333.8","366","7.68 %","72,307.00"
"RFPL","2024-05-15","343","354.2","337","339.9","-2.13 %","39,637.00"
"RFPL","2024-05-14","322.9","353.8","322.9","347.3","5.43 %","68,142.00"
