"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RHPL","2024-08-11","452","457","441.2","456","2.45 %","396,232.00"
"RHPL","2024-08-08","429","448.8","419.5","445.1","4.98 %","538,509.00"
"RHPL","2024-08-07","394","430","390","424","7.48 %","351,431.00"
"RHPL","2024-08-06","418.2","419.9","394.5","394.5","-4.48 %","262,367.00"
"RHPL","2024-08-05","405","432","391.1","413","1.98 %","305,980.00"
"RHPL","2024-08-01","435.9","435.9","401","405","-7.09 %","482,684.00"
"RHPL","2024-07-31","420.6","450","420","435.9","4.03 %","405,780.00"
"RHPL","2024-07-30","385","423","383","419","8.83 %","490,392.00"
"RHPL","2024-07-29","369.2","390","362.1","385","6.35 %","468,113.00"
"RHPL","2024-07-28","368","370","352.9","362","-0.28 %","165,297.00"
"RHPL","2024-07-25","359","367","354","363","0.83 %","233,814.00"
"RHPL","2024-07-24","369.9","379","354.1","360","-1.34 %","353,340.00"
"RHPL","2024-07-23","346.1","372","344","364.9","5.77 %","336,747.00"
"RHPL","2024-07-22","334","347.8","323","345","5.18 %","395,157.00"
"RHPL","2024-07-21","307.4","335","303","328","6.74 %","269,932.00"
"RHPL","2024-07-18","310","315","305.9","307.3","-1.51 %","134,454.00"
"RHPL","2024-07-17","310.1","315","304","312","-0.29 %","107,939.00"
"RHPL","2024-07-16","300","314.9","296","312.9","6.07 %","175,789.00"
"RHPL","2024-07-15","287","306","284","295","2.61 %","134,737.00"
"RHPL","2024-07-14","284","287.5","277.5","287.5","3.05 %","49,592.00"
"RHPL","2024-07-11","270.1","279","268","279","3.72 %","46,934.00"
"RHPL","2024-07-10","264","270","263.2","269","0.41 %","27,339.00"
"RHPL","2024-07-09","264.5","269.9","263.5","267.9","1.29 %","30,688.00"
"RHPL","2024-07-08","265","269","264","264.5","-1.34 %","29,857.00"
"RHPL","2024-07-07","270","274","265.2","268.1","-0.70 %","18,956.00"
"RHPL","2024-07-04","269","279","268","270","1.12 %","28,383.00"
"RHPL","2024-07-03","266","270","265","267","-1.11 %","9,520.00"
"RHPL","2024-07-02","269.2","279.9","265.6","270","2.27 %","21,933.00"
"RHPL","2024-07-01","260.3","266","260.3","264","0.00 %","15,335.00"
"RHPL","2024-06-30","265.5","266.1","263.4","264","-1.12 %","10,547.00"
"RHPL","2024-06-27","271","277","265.9","267","0.00 %","13,062.00"
"RHPL","2024-06-26","268","272","266","267","-1.11 %","12,180.00"
"RHPL","2024-06-25","266.2","272.1","266.2","270","0.00 %","26,884.00"
"RHPL","2024-06-24","270","272","268","270","0.00 %","18,040.00"
"RHPL","2024-06-23","270.1","271.8","268.1","270","-0.26 %","10,866.00"
"RHPL","2024-06-20","279.4","279.4","270.5","270.7","-1.20 %","15,710.00"
"RHPL","2024-06-19","271","277","271","274","-0.36 %","17,647.00"
"RHPL","2024-06-18","275","276","272.5","275","-0.72 %","24,444.00"
