"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RIDI","2024-08-11","263.4","284.1","260","284.1","9.99 %","682,485.00"
"RIDI","2024-08-08","246","266.2","246","258.3","5.43 %","721,280.00"
"RIDI","2024-08-07","230","248.5","230","245","5.15 %","317,215.00"
"RIDI","2024-08-06","255","258","231","233","-6.80 %","421,547.00"
"RIDI","2024-08-05","247","257","241.1","250","1.63 %","325,023.00"
"RIDI","2024-08-01","254.4","261.1","245","246","-1.40 %","305,236.00"
"RIDI","2024-07-31","243","260","241.2","249.5","4.39 %","537,991.00"
"RIDI","2024-07-30","231","248","230","239","2.05 %","385,139.00"
"RIDI","2024-07-29","238","250","231.3","234.2","-0.59 %","360,963.00"
"RIDI","2024-07-28","232.5","245","223","235.6","3.33 %","264,353.00"
"RIDI","2024-07-25","233","235","225","228","-0.44 %","308,608.00"
"RIDI","2024-07-24","239.9","245","227.5","229","-3.78 %","417,027.00"
"RIDI","2024-07-23","232.8","247.8","230","238","2.23 %","370,531.00"
"RIDI","2024-07-22","218","237.1","218","232.8","6.79 %","489,809.00"
"RIDI","2024-07-21","216.2","221","206.9","218","0.83 %","390,958.00"
"RIDI","2024-07-18","223.3","223.3","210","216.2","-1.28 %","428,360.00"
"RIDI","2024-07-17","213.6","220.9","210","219","4.53 %","515,970.00"
"RIDI","2024-07-16","191","209.5","191","209.5","9.97 %","577,489.00"
"RIDI","2024-07-15","187.3","199.9","186","190.5","3.70 %","468,686.00"
"RIDI","2024-07-14","170.3","183.7","170","183.7","10.00 %","345,857.00"
"RIDI","2024-07-11","162.1","168.6","162.1","167","0.97 %","89,715.00"
"RIDI","2024-07-10","165","167.5","164.1","165.4","0.67 %","58,647.00"
"RIDI","2024-07-09","167.2","167.2","162.6","164.3","0.18 %","76,986.00"
"RIDI","2024-07-08","166.5","168.7","164","164","-2.09 %","39,555.00"
"RIDI","2024-07-07","165","170","165","167.5","-0.30 %","50,480.00"
"RIDI","2024-07-04","165.1","171.2","165","168","1.82 %","106,573.00"
"RIDI","2024-07-03","161.5","166.9","160","165","0.18 %","155,783.00"
"RIDI","2024-07-02","163.7","174","162.7","164.7","2.62 %","103,882.00"
"RIDI","2024-07-01","158.1","162","158","160.5","0.31 %","35,464.00"
"RIDI","2024-06-30","162.2","162.4","157.9","160","-1.23 %","151,401.00"
"RIDI","2024-06-27","163","165.9","162","162","-0.92 %","48,105.00"
"RIDI","2024-06-26","169","169","163","163.5","-1.62 %","67,771.00"
"RIDI","2024-06-25","169","169","166","166.2","-0.48 %","87,021.00"
"RIDI","2024-06-24","165","168","164.4","167","0.72 %","77,067.00"
"RIDI","2024-06-23","167.1","169.6","165.7","165.8","-0.78 %","52,675.00"
"RIDI","2024-06-20","170.1","172","167","167.1","-1.71 %","51,529.00"
"RIDI","2024-06-19","171","172.9","170","170","-0.58 %","84,201.00"
"RIDI","2024-06-18","174","175.5","168","171","0.00 %","88,180.00"
