"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RMDC","2023-07-06","794.5","794.5","766.1","775","-0.51 %","9,689.00"
"RMDC","2023-07-05","797","797","771","779","-0.38 %","4,671.00"
"RMDC","2023-07-04","786.9","790","774","782","1.36 %","5,958.00"
"RMDC","2023-07-03","769","793","769","771.5","-1.59 %","12,637.00"
"RMDC","2023-07-02","845","845","780.1","784","-5.43 %","16,001.00"
"RMDC","2023-06-28","877.2","877.2","826","829","-3.60 %","17,437.00"
"RMDC","2023-06-27","816","864","809","860","7.50 %","21,725.00"
"RMDC","2023-06-26","780","805","780","800","2.96 %","14,478.00"
"RMDC","2023-06-25","780.3","794","776","777","1.57 %","8,946.00"
"RMDC","2023-06-22","785.4","801.1","765","765","-0.65 %","10,708.00"
"RMDC","2023-06-21","794","794","770","770","-1.16 %","4,845.00"
"RMDC","2023-06-20","802.6","805.9","779","779","-1.14 %","19,855.00"
"RMDC","2023-06-19","798","805","780.3","788","-0.99 %","18,277.00"
"RMDC","2023-06-18","785","799.8","779","795.9","2.17 %","19,588.00"
"RMDC","2023-06-15","780","826","771.3","779","-0.13 %","6,946.00"
"RMDC","2023-06-14","785","791.9","771","780","0.39 %","19,065.00"
"RMDC","2023-06-13","770","780","763.1","777","1.60 %","11,213.00"
"RMDC","2023-06-12","764.9","765","752.1","764.8","1.96 %","9,666.00"
"RMDC","2023-06-11","740","755","740","750.1","2.68 %","9,480.00"
"RMDC","2023-06-08","725.1","740.1","725","730.5","0.07 %","7,889.00"
"RMDC","2023-06-07","730","749","730","730","0.41 %","5,200.00"
"RMDC","2023-06-06","710.5","729","710.5","727","0.28 %","5,159.00"
"RMDC","2023-06-05","728","731","720.1","725","-0.17 %","4,229.00"
"RMDC","2023-06-04","728","734","715","726.2","1.71 %","1,366.00"
"RMDC","2023-06-01","716","717.3","703.2","714","1.52 %","1,954.00"
"RMDC","2023-05-31","721","729.3","700","703.3","-2.51 %","6,308.00"
"RMDC","2023-05-30","729","729","720","721.4","-2.91 %","6,660.00"
