"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RNLI","2024-08-11","534","563.9","527.4","560","4.07 %","212,949.00"
"RNLI","2024-08-08","546","561","537.1","538.1","-0.72 %","200,111.00"
"RNLI","2024-08-07","518.1","545.8","518.1","542","2.85 %","136,248.00"
"RNLI","2024-08-06","565","568","521.6","527","-6.73 %","224,897.00"
"RNLI","2024-08-05","550","570","547","565","3.10 %","245,524.00"
"RNLI","2024-08-01","535","570","531","548","3.01 %","396,350.00"
"RNLI","2024-07-31","523","535.9","518","532","3.58 %","255,491.00"
"RNLI","2024-07-30","526.3","526.3","500","513.6","-0.47 %","121,846.00"
"RNLI","2024-07-29","535","535","511","516","-1.71 %","149,345.00"
"RNLI","2024-07-28","527.3","537.5","506.1","525","1.55 %","142,671.00"
"RNLI","2024-07-25","529","529","507","517","-0.39 %","114,543.00"
"RNLI","2024-07-24","530","540.6","512","519","-1.52 %","200,145.00"
"RNLI","2024-07-23","508","532","498","527","4.15 %","181,734.00"
"RNLI","2024-07-22","504.9","508","485.2","506","2.22 %","214,796.00"
"RNLI","2024-07-21","487","503","479","495","1.68 %","152,468.00"
"RNLI","2024-07-18","486","501.5","477.5","486.8","0.16 %","178,524.00"
"RNLI","2024-07-17","475","488","474","486","2.97 %","104,184.00"
"RNLI","2024-07-16","460","473.8","450","472","3.06 %","74,627.00"
"RNLI","2024-07-15","474","478","454","458","-2.37 %","101,656.00"
"RNLI","2024-07-14","472.2","490","463","469.1","1.32 %","63,941.00"
"RNLI","2024-07-11","459","466","456","463","1.69 %","77,138.00"
"RNLI","2024-07-10","443","457.9","443","455.3","2.18 %","71,847.00"
"RNLI","2024-07-09","445","451.6","443","445.6","0.13 %","41,407.00"
"RNLI","2024-07-08","462.4","462.4","444","445","-1.85 %","71,296.00"
"RNLI","2024-07-07","443.5","455","438.1","453.4","3.75 %","129,248.00"
"RNLI","2024-07-04","426.2","441","426.2","437","2.34 %","75,225.00"
"RNLI","2024-07-03","429","431","422.1","427","-0.54 %","21,668.00"
"RNLI","2024-07-02","429.5","446.7","425.6","429.3","1.95 %","28,451.00"
"RNLI","2024-07-01","420","423.5","417","421.1","0.62 %","23,766.00"
"RNLI","2024-06-30","419.5","421","415","418.5","0.00 %","29,396.00"
"RNLI","2024-06-27","415.1","423","415.1","418.5","-0.38 %","21,651.00"
"RNLI","2024-06-26","425","425","420","420.1","-0.94 %","19,674.00"
"RNLI","2024-06-25","421.1","426","421.1","424.1","0.71 %","19,270.00"
"RNLI","2024-06-24","420","426","419.5","421.1","0.24 %","23,432.00"
"RNLI","2024-06-23","420.2","424","420","420.1","-0.71 %","33,979.00"
"RNLI","2024-06-20","425.4","428","423.1","423.1","-0.75 %","22,044.00"
"RNLI","2024-06-19","426.5","429","425.5","426.3","-0.05 %","20,615.00"
"RNLI","2024-06-18","425.1","430","424.5","426.5","-0.35 %","30,691.00"
"RNLI","2024-06-16","431.6","434.9","427.5","428","-0.83 %","40,074.00"
"RNLI","2024-06-13","442.6","442.6","429.2","431.6","-0.55 %","27,863.00"
"RNLI","2024-06-12","438","444.2","434","434","-0.91 %","26,088.00"
"RNLI","2024-06-11","423.2","443","423.2","438","3.18 %","38,621.00"
"RNLI","2024-06-10","424","429","424","424.5","-0.24 %","31,273.00"
"RNLI","2024-06-09","426","430","423","425.5","0.12 %","27,450.00"
"RNLI","2024-06-06","425","431","424.5","425","-1.16 %","33,192.00"
"RNLI","2024-06-05","430","436","428.1","430","0.00 %","21,627.00"
"RNLI","2024-06-04","426","436","425.1","430","0.94 %","45,938.00"
"RNLI","2024-06-03","427","434.9","425.6","426","-0.70 %","29,460.00"
"RNLI","2024-06-02","430","448","422.5","429","0.63 %","38,368.00"
"RNLI","2024-05-30","430","432","425.2","426.3","-0.63 %","23,961.00"
"RNLI","2024-05-29","445.5","446","428.3","429","-2.01 %","47,692.00"
"RNLI","2024-05-27","435","442","433","437.8","-0.05 %","25,304.00"
"RNLI","2024-05-26","440.1","440.3","435.2","438","-1.04 %","36,164.00"
"RNLI","2024-05-22","440","448.8","440","442.6","-0.67 %","52,775.00"
"RNLI","2024-05-21","440.2","448.9","438","445.6","0.59 %","35,980.00"
"RNLI","2024-05-20","452.6","460","440","443","-0.67 %","80,491.00"
"RNLI","2024-05-19","437.4","455","430","446","3.99 %","127,768.00"
"RNLI","2024-05-16","428.1","430","423.4","428.9","0.19 %","25,913.00"
"RNLI","2024-05-15","441","441","427","428.1","-0.99 %","34,483.00"
"RNLI","2024-05-14","437","437","428","432.4","0.32 %","26,837.00"
"RNLI","2024-05-13","420","434.3","420","431","0.91 %","35,680.00"
"RNLI","2024-05-12","421","435","421","427.1","1.45 %","34,083.00"
"RNLI","2024-05-09","428","428","418","421","-0.43 %","31,430.00"
"RNLI","2024-05-08","425.1","430","422.8","422.8","-0.82 %","19,298.00"
"RNLI","2024-05-07","428","435","426","426.3","-0.16 %","17,579.00"
"RNLI","2024-05-06","434.5","443","423.6","427","0.23 %","69,367.00"
"RNLI","2024-05-05","427","435","425","426","-1.62 %","31,963.00"
"RNLI","2024-05-02","442.5","448","433","433","-0.21 %","62,417.00"
"RNLI","2024-04-30","421","440","421","433.9","2.33 %","37,022.00"
"RNLI","2024-04-29","426","434.5","424","424","-0.21 %","19,162.00"
"RNLI","2024-04-28","422","430","420.1","424.9","0.45 %","23,477.00"
"RNLI","2024-04-25","421.1","427","421","423","0.26 %","21,457.00"
"RNLI","2024-04-24","420","426.5","420","421.9","0.02 %","25,213.00"
"RNLI","2024-04-22","437.9","437.9","421.5","421.8","-1.91 %","24,994.00"
"RNLI","2024-04-21","429.4","432.5","417","430","2.14 %","23,437.00"
"RNLI","2024-04-18","422.4","426.8","420","421","-1.17 %","24,011.00"
"RNLI","2024-04-16","427.1","430","425.1","426","-0.49 %","22,954.00"
"RNLI","2024-04-15","429","434","428","428.1","-0.56 %","27,603.00"
