"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"RRHP","2021-11-03","575","575","550","563.1","-0.14 %","114,923.00"
"RRHP","2021-11-02","550","574","545","563.9","0.52 %","124,142.00"
"RRHP","2021-11-01","583.2","589.9","551","561","-1.89 %","170,337.00"
"RRHP","2021-10-31","530.2","571.8","521","571.8","9.98 %","287,270.00"
"RRHP","2021-10-28","486","521.2","480","519.9","6.98 %","159,486.00"
"RRHP","2021-10-27","510","518.1","486","486","-4.71 %","136,087.00"
"RRHP","2021-10-26","517","538.4","501","510","-0.97 %","127,673.00"
"RRHP","2021-10-25","495","517","482","515","5.53 %","131,169.00"
"RRHP","2021-10-24","468","496","441.1","488","3.83 %","68,725.00"
"RRHP","2021-10-21","489.9","489.9","451.4","470","-4.28 %","26,040.00"
"RRHP","2021-10-20","467","500","447","491","6.97 %","83,048.00"
"RRHP","2021-10-19","466","466","427.5","459","-3.37 %","158,039.00"
"RRHP","2021-10-18","500","500","463.7","475","-6.31 %","67,374.00"
"RRHP","2021-10-17","523","523","500","507","-1.29 %","17,104.00"
"RRHP","2021-10-11","549","549","509.1","513.6","-8.29 %","69,218.00"
"RRHP","2021-10-10","557.5","568","530","560","-1.55 %","151,184.00"
"RRHP","2021-10-06","540.6","568.8","511","568.8","7.32 %","89,620.00"
"RRHP","2021-10-05","536","568","526","530","0.53 %","25,888.00"
"RRHP","2021-10-04","550","555","527","527.2","-5.20 %","172,019.00"
"RRHP","2021-10-03","599.8","601","554.1","556.1","-9.13 %","55,998.00"
"RRHP","2021-09-30","629","632","595","612","-1.29 %","76,834.00"
"RRHP","2021-09-29","590","624","571","620","5.08 %","92,269.00"
"RRHP","2021-09-28","599","615","571.4","590","-3.42 %","131,142.00"
"RRHP","2021-09-27","653.8","659","601","610.9","-4.70 %","118,476.00"
"RRHP","2021-09-26","675","675.1","632.2","641","-3.16 %","108,261.00"
"RRHP","2021-09-23","680","680","648.2","661.9","-0.84 %","108,049.00"
"RRHP","2021-09-22","647","676.1","645","667.5","5.12 %","112,019.00"
"RRHP","2021-09-21","639","654","615.1","635","1.28 %","168,316.00"
"RRHP","2021-09-20","641","663","625","627","-4.13 %","211,858.00"
"RRHP","2021-09-16","678","678","648","654","-5.22 %","188,225.00"
"RRHP","2021-09-15","701.7","701.7","674","690","0.29 %","209,824.00"
"RRHP","2021-09-14","642","710","642","688","5.04 %","334,522.00"
"RRHP","2021-09-13","694","701","640.1","655","-5.62 %","356,523.00"
"RRHP","2021-09-12","724","739","684","694","-2.24 %","293,844.00"
"RRHP","2021-09-09","663","712","655","709.9","9.22 %","485,752.00"
"RRHP","2021-09-08","590","655","588","650","8.33 %","375,556.00"
"RRHP","2021-09-07","630.3","630.3","598","600","-2.91 %","73,908.00"
"RRHP","2021-09-06","570","625","569","618","8.38 %","184,745.00"
"RRHP","2021-09-05","590","605","551.2","570.2","-4.81 %","172,089.00"
"RRHP","2021-09-02","621.9","621.9","570","599","-1.80 %","138,263.00"
"RRHP","2021-09-01","643","645","606","610","-3.48 %","103,083.00"
"RRHP","2021-08-31","635","663","625","632","-0.47 %","180,056.00"
"RRHP","2021-08-29","628.3","665","628.3","635","3.08 %","164,837.00"
"RRHP","2021-08-26","615","648","602.7","616","1.82 %","142,454.00"
"RRHP","2021-08-25","599","632","587.1","605","-0.82 %","106,562.00"
"RRHP","2021-08-24","645","647","610","610","-5.43 %","215,244.00"
"RRHP","2021-08-19","660","663","630","645","-2.27 %","178,801.00"
"RRHP","2021-08-18","656.9","700","651","660","2.47 %","184,937.00"
"RRHP","2021-08-17","639","664.7","634","644.1","2.73 %","123,994.00"
"RRHP","2021-08-16","616","638","600.1","627","1.79 %","115,579.00"
"RRHP","2021-08-15","651","651","585","616","-5.23 %","158,040.00"
"RRHP","2021-08-12","618","666.6","618","650","7.26 %","218,051.00"
"RRHP","2021-08-11","557","607","557","606","9.39 %","242,017.00"
"RRHP","2021-08-10","578","585","547","554","-2.29 %","155,662.00"
"RRHP","2021-08-09","562","585","557.6","567","0.89 %","184,545.00"
"RRHP","2021-08-08","540","581","524.3","562","5.03 %","192,153.00"
"RRHP","2021-08-05","555.9","560","529","535.1","-1.82 %","147,180.00"
"RRHP","2021-08-04","543","575","543","545","2.25 %","202,329.00"
"RRHP","2021-08-03","504","533","500","533","3.70 %","172,377.00"
"RRHP","2021-08-02","530","550","513.9","514","-1.13 %","141,245.00"
"RRHP","2021-08-01","484.5","520","484","519.9","9.45 %","260,072.00"
"RRHP","2021-07-29","498.7","498.7","471","475","-2.86 %","91,239.00"
"RRHP","2021-07-28","495","525","480","489","0.62 %","176,598.00"
"RRHP","2021-07-27","452","497","452","486","7.52 %","182,015.00"
"RRHP","2021-07-26","444.7","460","440","452","3.67 %","101,039.00"
"RRHP","2021-07-25","433","442","425","436","1.40 %","98,992.00"
"RRHP","2021-07-22","431.8","441","427","430","0.23 %","41,684.00"
"RRHP","2021-07-20","420","445","420","428","1.90 %","60,031.00"
"RRHP","2021-07-19","438","438","416","420","-2.33 %","35,409.00"
"RRHP","2021-07-18","433.5","444","417","430","0.47 %","48,646.00"
"RRHP","2021-07-15","400","432","400","428","8.91 %","132,494.00"
"RRHP","2021-07-14","374","397","365","393","5.08 %","42,705.00"
"RRHP","2021-07-13","370","378","366","374","1.08 %","14,630.00"
"RRHP","2021-07-12","384","390","365","370","-1.86 %","20,398.00"
"RRHP","2021-07-11","355","380","355","377","6.80 %","20,029.00"
"RRHP","2021-07-08","356","364","349","353","0.57 %","5,169.00"
"RRHP","2021-07-07","366","367","350","351","-2.77 %","10,564.00"
"RRHP","2021-07-06","361","375","361","361","-1.90 %","5,997.00"
"RRHP","2021-07-05","365","368","361","368","0.00 %","10,042.00"
"RRHP","2021-07-04","376","382","359","368","-0.27 %","12,300.00"
