"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SALICO","2024-08-11","836.4","892","835","890","6.57 %","82,375.00"
"SALICO","2024-08-08","849","853","830.2","835.1","0.01 %","52,029.00"
"SALICO","2024-08-07","817","835","810","835","2.20 %","43,397.00"
"SALICO","2024-08-06","862","866","815","817","-5.31 %","51,478.00"
"SALICO","2024-08-05","850","863","840","862.8","2.84 %","95,634.00"
"SALICO","2024-08-01","827","875","810","839","1.57 %","87,378.00"
"SALICO","2024-07-31","810","840.9","807","826","1.98 %","32,221.00"
"SALICO","2024-07-30","805","811.5","780.1","810","-0.01 %","26,553.00"
"SALICO","2024-07-29","805","821","805","810.1","-0.60 %","46,143.00"
"SALICO","2024-07-28","801","832","769","815","1.88 %","31,342.00"
"SALICO","2024-07-25","794","820","794","800","-1.23 %","32,769.00"
"SALICO","2024-07-24","830","830","791.2","810","-0.86 %","41,787.00"
"SALICO","2024-07-23","773.1","819","772.5","817","3.68 %","44,615.00"
"SALICO","2024-07-22","782","790","757","788","0.13 %","42,365.00"
"SALICO","2024-07-21","771","787.8","769.3","787","0.25 %","36,778.00"
"SALICO","2024-07-18","775","788","758","785","2.21 %","44,102.00"
"SALICO","2024-07-17","733","775.2","733","768","3.52 %","19,479.00"
"SALICO","2024-07-16","727","764","717","741.9","2.05 %","21,660.00"
"SALICO","2024-07-15","731.1","745","727","727","-1.76 %","26,652.00"
"SALICO","2024-07-14","734.4","749","720","740","2.78 %","14,005.00"
"SALICO","2024-07-11","715","726","711","720","1.84 %","27,427.00"
"SALICO","2024-07-10","700","715","696","707","1.01 %","36,910.00"
"SALICO","2024-07-09","697.5","700","691","699.9","0.27 %","21,365.00"
"SALICO","2024-07-08","700.2","703","696.1","698","-0.85 %","17,529.00"
"SALICO","2024-07-07","708","711","697","704","1.00 %","10,722.00"
"SALICO","2024-07-04","700","700","688","697","1.23 %","9,585.00"
"SALICO","2024-07-03","677","688.5","677","688.5","0.15 %","3,735.00"
"SALICO","2024-07-02","697.1","711","682.1","687.5","0.59 %","6,115.00"
"SALICO","2024-07-01","684","684","675","683.5","0.65 %","11,972.00"
"SALICO","2024-06-30","678","680","675","679.1","0.03 %","14,673.00"
"SALICO","2024-06-27","668.4","678.9","668","678.9","-0.31 %","1,397.00"
"SALICO","2024-06-26","684","684","675.1","681","-0.44 %","4,218.00"
"SALICO","2024-06-25","683","692","680","684","0.28 %","9,312.00"
"SALICO","2024-06-24","680.3","702","680.3","682.1","-1.30 %","11,151.00"
"SALICO","2024-06-23","695","709","690.1","691.1","-0.55 %","15,828.00"
"SALICO","2024-06-20","673.3","694.9","673.3","694.9","1.47 %","14,166.00"
"SALICO","2024-06-19","689.5","710","675","684.8","1.30 %","6,068.00"
"SALICO","2024-06-18","685","694","676","676","-1.60 %","10,484.00"
"SALICO","2024-06-16","695","704.9","687","687","-1.43 %","8,201.00"
"SALICO","2024-06-13","704.9","709","695.1","697","-1.13 %","13,383.00"
"SALICO","2024-06-12","711","717.5","700","705","-1.25 %","24,909.00"
"SALICO","2024-06-11","700","715","692.1","713.9","2.45 %","26,556.00"
"SALICO","2024-06-10","679","725","676.1","696.8","2.47 %","5,733.00"
"SALICO","2024-06-09","671.6","698.9","671.5","680","-0.76 %","6,196.00"
"SALICO","2024-06-06","688","688","676","685.2","1.06 %","14,358.00"
"SALICO","2024-06-05","680","685","677.1","678","-1.45 %","3,605.00"
"SALICO","2024-06-04","684","694.9","681.1","688","0.73 %","14,292.00"
"SALICO","2024-06-03","690","690","677.6","683","-1.01 %","6,939.00"
"SALICO","2024-06-02","681","704","679","690","1.46 %","9,721.00"
"SALICO","2024-05-30","680.1","691","680.1","680.1","-1.86 %","7,765.00"
"SALICO","2024-05-29","715","715","688","693","-1.56 %","10,748.00"
"SALICO","2024-05-27","702","707","696","704","0.28 %","12,053.00"
"SALICO","2024-05-26","700.7","708.9","700.7","702","-1.82 %","8,243.00"
"SALICO","2024-05-22","704.1","715","704.1","715","0.01 %","22,512.00"
"SALICO","2024-05-21","705","719","703.3","714.9","-0.01 %","12,011.00"
"SALICO","2024-05-20","715","722.8","710","715","0.42 %","27,497.00"
"SALICO","2024-05-19","694.6","722","694.6","712","4.55 %","46,847.00"
"SALICO","2024-05-16","685","689","675","681","-1.62 %","6,083.00"
"SALICO","2024-05-15","714.9","719","690","692.2","-1.82 %","22,917.00"
"SALICO","2024-05-14","681.8","723","675","705","5.22 %","14,550.00"
"SALICO","2024-05-13","672.9","679.6","661","670","1.52 %","9,283.00"
"SALICO","2024-05-12","646.9","672.1","644.9","660","4.02 %","18,590.00"
"SALICO","2024-05-09","632","634.5","624","634.5","0.40 %","10,538.00"
"SALICO","2024-05-08","629","633","629","632","0.51 %","2,211.00"
"SALICO","2024-05-07","620.2","642.6","620.2","628.8","-0.19 %","4,030.00"
"SALICO","2024-05-06","630","640","627","630","-1.42 %","8,552.00"
