"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SARBTM","2024-08-11","1009.8","1060","981.5","1016","2.63 %","157,686.00"
"SARBTM","2024-08-08","910","990","891","990","10.00 %","252,172.00"
"SARBTM","2024-08-07","888","907","864","900","3.33 %","68,964.00"
"SARBTM","2024-08-06","940","940","867","871","-5.74 %","116,061.00"
"SARBTM","2024-08-05","914","937.1","911","924","0.98 %","83,588.00"
"SARBTM","2024-08-01","941","963","910","915","-2.56 %","125,592.00"
"SARBTM","2024-07-31","915","959.9","911","939","3.07 %","106,833.00"
"SARBTM","2024-07-30","900","925","894","911","0.89 %","67,915.00"
"SARBTM","2024-07-29","900.2","938","890","903","0.33 %","150,207.00"
"SARBTM","2024-07-28","903.7","921","882.6","900","1.58 %","77,417.00"
"SARBTM","2024-07-25","877","907.6","877","886","-0.89 %","82,154.00"
"SARBTM","2024-07-24","920","938","882","894","-2.83 %","124,796.00"
"SARBTM","2024-07-23","875","921","863","920","6.49 %","109,560.00"
"SARBTM","2024-07-22","860.2","875.1","851","863.9","0.92 %","88,366.00"
"SARBTM","2024-07-21","850","873","842","856","1.04 %","85,066.00"
"SARBTM","2024-07-18","881","881","847.2","847.2","-1.94 %","80,598.00"
"SARBTM","2024-07-17","846","869","838","864","3.66 %","101,874.00"
"SARBTM","2024-07-16","805","836.1","805","833.5","3.35 %","49,647.00"
"SARBTM","2024-07-15","835","835","806","806.5","-1.90 %","43,262.00"
"SARBTM","2024-07-14","819","834.5","805","822.1","2.38 %","59,118.00"
"SARBTM","2024-07-11","807","813","800","803","-0.25 %","36,276.00"
"SARBTM","2024-07-10","792","809.9","791","805","0.88 %","47,301.00"
"SARBTM","2024-07-09","809","809","792.1","798","0.00 %","23,969.00"
"SARBTM","2024-07-08","815.9","819","795.1","798","-1.60 %","19,769.00"
"SARBTM","2024-07-07","792","815","790","811","2.66 %","53,304.00"
"SARBTM","2024-07-04","778.6","809","778.6","790","-0.55 %","26,950.00"
"SARBTM","2024-07-03","793.1","795.7","785.3","794.4","-0.70 %","20,091.00"
"SARBTM","2024-07-02","795.6","856.8","785.1","800","2.56 %","42,999.00"
