"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBCF","2024-08-11","8.99","9.2","8.85","9.2","0.44 %","78,500.00"
"SBCF","2024-08-08","9.11","9.3","8.95","9.16","-1.40 %","74,125.00"
"SBCF","2024-08-07","9","9.29","8.79","9.29","2.09 %","35,200.00"
"SBCF","2024-08-06","9.23","9.26","9.07","9.1","-3.29 %","82,685.00"
"SBCF","2024-08-05","9.3","9.41","9.23","9.41","1.95 %","103,275.00"
"SBCF","2024-08-01","9.2","9.4","9.02","9.23","0.33 %","153,884.00"
"SBCF","2024-07-31","9","9.2","9","9.2","0.99 %","52,455.00"
"SBCF","2024-07-30","9.24","9.42","9.07","9.11","-1.41 %","58,075.00"
"SBCF","2024-07-29","9.11","9.5","9.11","9.24","1.54 %","125,320.00"
"SBCF","2024-07-28","8.97","9.32","8.8","9.1","3.41 %","21,150.00"
"SBCF","2024-07-25","8.92","9.89","8.74","8.8","-3.19 %","14,750.00"
"SBCF","2024-07-24","9.28","9.28","8.77","9.09","-0.11 %","28,200.00"
"SBCF","2024-07-23","8.73","9.2","8.73","9.1","2.25 %","162,043.00"
"SBCF","2024-07-22","9.25","9.25","8.66","8.9","-1.98 %","114,100.00"
"SBCF","2024-07-21","8.77","9.09","8.77","9.08","1.57 %","40,649.00"
"SBCF","2024-07-18","8.5","8.94","8.5","8.94","5.18 %","56,590.00"
"SBCF","2024-07-17","8.48","8.64","8.45","8.5","2.16 %","25,470.00"
"SBCF","2024-07-16","8.18","8.43","8.18","8.32","0.60 %","17,645.00"
"SBCF","2024-07-15","8.32","8.59","8.25","8.27","-2.36 %","6,838.00"
"SBCF","2024-07-14","8.03","8.48","8.03","8.47","3.80 %","47,449.00"
"SBCF","2024-07-11","8","8.35","8","8.16","0.00 %","20,950.00"
"SBCF","2024-07-10","7.95","8.16","7.95","8.16","0.74 %","10,650.00"
"SBCF","2024-07-09","8","8.16","8","8.1","1.25 %","14,450.00"
"SBCF","2024-07-08","7.87","8.16","7.87","8","-0.37 %","11,859.00"
"SBCF","2024-07-07","8.11","8.15","8.01","8.03","-1.71 %","2,300.00"
"SBCF","2024-07-04","8.19","8.35","8.17","8.17","-2.16 %","5,950.00"
"SBCF","2024-07-03","8.42","8.42","8.1","8.35","1.09 %","2,525.00"
"SBCF","2024-07-02","7.72","8.26","7.72","8.26","5.36 %","3,825.00"
"SBCF","2024-07-01","7.8","7.85","7.7","7.84","-0.51 %","1,300.00"
"SBCF","2024-06-30","7.88","8","7.88","7.88","-1.50 %","28,605.00"
"SBCF","2024-06-27","7.96","8","7.96","8","0.88 %","3,780.00"
"SBCF","2024-06-26","7.94","8.09","7.81","7.93","-1.98 %","8,600.00"
"SBCF","2024-06-25","7.94","8.09","7.94","8.09","2.28 %","2,050.00"
"SBCF","2024-06-24","7.91","7.91","7.9","7.91","-0.63 %","2,300.00"
"SBCF","2024-06-23","8.24","8.25","7.93","7.96","-5.24 %","30,555.00"
"SBCF","2024-06-20","7.9","8.6","7.79","8.4","5.93 %","9,500.00"
"SBCF","2024-06-19","7.9","8","7.9","7.93","-1.25 %","1,350.00"
"SBCF","2024-06-18","8.03","8.16","8.03","8.03","-1.95 %","5,300.00"
"SBCF","2024-06-16","8.02","8.19","8.02","8.19","1.99 %","600.00"
"SBCF","2024-06-13","8.01","8.17","8.01","8.03","0.00 %","1,550.00"
"SBCF","2024-06-12","8.13","8.13","7.98","8.03","0.63 %","10,100.00"
"SBCF","2024-06-11","7.99","8.14","7.92","7.98","1.79 %","9,785.00"
"SBCF","2024-06-10","7.79","7.93","7.79","7.84","-1.13 %","2,700.00"
"SBCF","2024-06-09","7.92","8","7.82","7.93","-1.73 %","61,900.00"
"SBCF","2024-06-06","8.19","8.2","8.03","8.07","-3.35 %","3,050.00"
"SBCF","2024-06-05","8.01","8.52","8.01","8.35","2.33 %","14,220.00"
"SBCF","2024-06-04","8.55","8.55","8.09","8.16","-2.74 %","4,100.00"
"SBCF","2024-06-03","8.51","8.6","8.39","8.39","-3.23 %","8,886.00"
"SBCF","2024-06-02","8.33","8.67","8.17","8.67","2.00 %","10,660.00"
"SBCF","2024-05-30","8.14","8.62","8.14","8.5","2.41 %","256,139.00"
