"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBL","2024-08-11","320","331","315","331","5.28 %","178,430.00"
"SBL","2024-08-08","320","325","312.1","314.4","-0.82 %","108,004.00"
"SBL","2024-08-07","303.5","320","303.5","317","2.39 %","116,837.00"
"SBL","2024-08-06","334.9","334.9","299","309.6","-5.90 %","203,764.00"
"SBL","2024-08-05","335","339","326.6","329","-3.52 %","218,622.00"
"SBL","2024-08-01","347.4","349","338","341","-1.84 %","116,607.00"
"SBL","2024-07-31","348","355","343.1","347.4","1.14 %","129,264.00"
"SBL","2024-07-30","337.2","355","334","343.5","-0.15 %","210,421.00"
"SBL","2024-07-29","366.6","373","343","344","-4.31 %","287,269.00"
"SBL","2024-07-28","333.4","359.5","333.4","359.5","9.97 %","421,723.00"
"SBL","2024-07-25","333.4","333.4","319.5","326.9","0.00 %","170,449.00"
"SBL","2024-07-24","321.8","335","315","326.9","3.61 %","254,397.00"
"SBL","2024-07-23","309.4","317.1","304.1","315.5","1.97 %","133,698.00"
"SBL","2024-07-22","322","322","304","309.4","-2.37 %","163,946.00"
"SBL","2024-07-21","306","318.2","294.1","316.9","3.56 %","240,175.00"
"SBL","2024-07-18","293","315","285.5","306","5.19 %","243,614.00"
"SBL","2024-07-17","293","293","285","290.9","1.01 %","101,992.00"
"SBL","2024-07-16","284","288","274.5","288","1.77 %","62,717.00"
"SBL","2024-07-15","288","290","279.1","283","-0.18 %","119,945.00"
"SBL","2024-07-14","281","290","281","283.5","2.72 %","88,787.00"
"SBL","2024-07-11","277.3","277.3","270","276","1.51 %","125,457.00"
"SBL","2024-07-10","271.8","273","261.9","271.9","2.03 %","101,857.00"
"SBL","2024-07-09","265","268.1","260.7","266.5","0.60 %","52,207.00"
"SBL","2024-07-08","268","268","261","264.9","-0.30 %","72,422.00"
"SBL","2024-07-07","261","266","257.6","265.7","2.23 %","102,351.00"
"SBL","2024-07-04","254.2","266.8","254","259.9","2.73 %","42,817.00"
"SBL","2024-07-03","245.8","254","245.8","253","0.88 %","45,374.00"
"SBL","2024-07-02","247.3","266.7","245","250.8","3.42 %","33,013.00"
"SBL","2024-07-01","237.1","242.5","237","242.5","1.63 %","22,042.00"
"SBL","2024-06-30","245.8","245.8","238.2","238.6","-1.00 %","22,910.00"
"SBL","2024-06-27","246.5","246.5","238","241","-0.41 %","14,796.00"
"SBL","2024-06-26","246.9","246.9","239.6","242","-0.04 %","33,346.00"
"SBL","2024-06-25","248","248","241.2","242.1","-1.59 %","21,927.00"
"SBL","2024-06-24","248","250","242","246","0.04 %","51,992.00"
"SBL","2024-06-23","247","247","242.6","245.9","0.37 %","37,504.00"
"SBL","2024-06-20","257","257","243.6","245","-2.78 %","87,352.00"
"SBL","2024-06-19","244","252","244","252","1.61 %","29,506.00"
"SBL","2024-06-18","253.1","253.1","245","248","-0.08 %","23,534.00"
"SBL","2024-06-16","253","255","247.1","248.2","-1.47 %","35,205.00"
"SBL","2024-06-13","258","258","249.3","251.9","-0.83 %","28,162.00"
"SBL","2024-06-12","257","258.9","252","254","0.79 %","28,340.00"
"SBL","2024-06-11","254.8","259.8","245","252","0.84 %","83,287.00"
"SBL","2024-06-10","253.9","253.9","246","249.9","0.36 %","59,254.00"
"SBL","2024-06-09","253.9","253.9","247","249","0.00 %","28,100.00"
"SBL","2024-06-06","253.4","253.4","246","249","0.00 %","36,703.00"
"SBL","2024-06-05","254.4","254.4","247.3","249","-0.20 %","30,602.00"
"SBL","2024-06-04","250","252.4","248","249.5","0.81 %","27,944.00"
"SBL","2024-06-03","258.9","258.9","246","247.5","-2.56 %","21,934.00"
"SBL","2024-06-02","255.9","255.9","246","254","0.83 %","40,737.00"
"SBL","2024-05-30","251","256.8","248.2","251.9","-1.22 %","39,218.00"
"SBL","2024-05-29","271.2","276","252.4","255","-4.10 %","81,781.00"
"SBL","2024-05-27","272","274","260.4","265.9","-1.15 %","104,586.00"
"SBL","2024-05-26","269","271.2","257.3","269","1.13 %","139,233.00"
"SBL","2024-05-22","245.7","272","245.7","266","6.10 %","290,186.00"
"SBL","2024-05-21","245","252","240","250.7","4.24 %","95,137.00"
"SBL","2024-05-20","238.6","250.5","237","240.5","2.78 %","140,503.00"
"SBL","2024-05-19","232","241","224.3","234","2.86 %","86,405.00"
"SBL","2024-05-16","233.3","233.3","225.4","227.5","-0.57 %","58,482.00"
"SBL","2024-05-15","233","233","224.7","228.8","-0.17 %","44,941.00"
"SBL","2024-05-14","231.4","231.4","225","229.2","0.17 %","44,431.00"
"SBL","2024-05-13","224","233","222","228.8","2.60 %","75,603.00"
"SBL","2024-05-12","224.4","225","219.5","223","1.36 %","50,226.00"
"SBL","2024-05-09","217","221.3","215.6","220","1.43 %","39,899.00"
"SBL","2024-05-08","224","224","215.6","216.9","-1.36 %","23,250.00"
"SBL","2024-05-07","220","222.1","214.5","219.9","0.96 %","17,752.00"
"SBL","2024-05-06","218.5","221.9","214","217.8","-0.55 %","14,531.00"
"SBL","2024-05-05","220.5","222","216","219","-1.57 %","26,122.00"
"SBL","2024-05-02","228.4","229.5","220.7","222.5","-0.67 %","26,807.00"
"SBL","2024-04-30","222.9","225","217","224","2.47 %","32,194.00"
"SBL","2024-04-29","221.1","221.1","215.5","218.6","0.74 %","22,753.00"
"SBL","2024-04-28","221.1","221.1","215","217","0.09 %","103,359.00"
"SBL","2024-04-25","218.4","222.4","215.5","216.8","-0.73 %","28,327.00"
"SBL","2024-04-24","216","220","216","218.4","0.23 %","10,194.00"
"SBL","2024-04-22","220","222","216.4","217.9","-1.85 %","35,778.00"
"SBL","2024-04-21","227","227","218.9","222","-0.31 %","11,266.00"
"SBL","2024-04-18","223","224.8","219","222.7","-0.13 %","17,431.00"
"SBL","2024-04-16","224","224.8","221","223","-0.45 %","101,346.00"
"SBL","2024-04-15","221.7","229.8","221.1","224","-0.88 %","94,566.00"
"SBL","2024-04-14","227","227","221","226","0.89 %","33,858.00"
"SBL","2024-04-10","229","229.1","219","224","-0.31 %","18,476.00"
"SBL","2024-04-09","227.4","227.4","221.5","224.7","0.76 %","26,531.00"
"SBL","2024-04-07","217.5","230","216.1","223","2.76 %","15,360.00"
"SBL","2024-04-04","219","219.9","216","217","-0.91 %","22,228.00"
"SBL","2024-04-03","216.3","220","216.2","219","0.46 %","22,266.00"
"SBL","2024-04-02","220","221.9","217.6","218","-0.91 %","18,300.00"
"SBL","2024-04-01","218","221","217.6","220","0.00 %","37,531.00"
"SBL","2024-03-31","220","223","219","220","0.00 %","19,027.00"
"SBL","2024-03-28","225.8","225.8","219","220","-0.90 %","14,696.00"
"SBL","2024-03-27","220","223","219","222","-0.45 %","25,058.00"
"SBL","2024-03-26","225","225","219","223","0.90 %","17,735.00"
"SBL","2024-03-25","222","225","219","221","-1.78 %","24,767.00"
"SBL","2024-03-21","231.8","231.8","221.5","225","-1.06 %","26,960.00"
"SBL","2024-03-20","229.8","234","222.7","227.4","0.66 %","23,792.00"
"SBL","2024-03-19","230.9","230.9","225","225.9","-0.40 %","31,416.00"
"SBL","2024-03-18","229","229","226","226.8","-1.39 %","14,851.00"
"SBL","2024-03-17","234.6","234.6","227.2","230","0.00 %","14,381.00"
"SBL","2024-03-14","233","233","228","230","-1.29 %","21,776.00"
"SBL","2024-03-13","237.5","237.5","230.1","233","0.00 %","76,518.00"
"SBL","2024-03-12","227","233.5","225","233","3.56 %","26,861.00"
"SBL","2024-03-10","227","230.9","223","225","0.90 %","12,942.00"
"SBL","2024-03-07","220.1","233","220.1","223","1.36 %","21,453.00"
"SBL","2024-03-06","217.1","224","217","220","0.36 %","27,290.00"
"SBL","2024-03-05","232.5","232.5","219.2","219.2","-3.86 %","41,185.00"
"SBL","2024-03-04","219.3","228","219.3","228","6.05 %","69.00"
"SBL","2024-03-03","214.1","216.4","212.2","215","-0.78 %","41,174.00"
"SBL","2024-02-29","217.1","219","215","216.7","-1.05 %","71,868.00"
"SBL","2024-02-28","220","220","217","219","-1.35 %","23,828.00"
"SBL","2024-02-27","223","224","218","222","0.95 %","24,960.00"
"SBL","2024-02-26","220.2","225","216","219.9","-1.39 %","57,953.00"
"SBL","2024-02-25","229","229","219.9","223","-1.33 %","31,854.00"
"SBL","2024-02-22","221.6","228","221.6","226","0.00 %","28,291.00"
"SBL","2024-02-21","230","230","224.5","226","-0.88 %","29,943.00"
"SBL","2024-02-20","226","228","226","228","0.31 %","12,497.00"
"SBL","2024-02-18","230","231.7","226.2","227.3","0.58 %","32,072.00"
"SBL","2024-02-15","230","231","226","226","-0.88 %","32,083.00"
"SBL","2024-02-14","229","231","227","228","-0.22 %","33,497.00"
"SBL","2024-02-13","235","235","228.5","228.5","-1.72 %","34,419.00"
"SBL","2024-02-12","231.4","235.9","231.4","232.5","-0.17 %","18,126.00"
"SBL","2024-02-11","237","238","232.5","232.9","-0.56 %","21,645.00"
"SBL","2024-02-08","233","234.9","233","234.2","0.52 %","19,336.00"
"SBL","2024-02-07","237.6","242","232.6","233","0.00 %","20,492.00"
"SBL","2024-02-06","236.9","236.9","232.3","233","0.30 %","15,060.00"
"SBL","2024-02-05","234","235.2","232","232.3","-0.30 %","15,093.00"
"SBL","2024-02-04","233","236.5","231","233","-0.09 %","19,866.00"
"SBL","2024-02-01","239","240","233","233.2","-2.43 %","16,993.00"
"SBL","2024-01-31","235","240.5","235","239","1.75 %","59,498.00"
"SBL","2024-01-30","234.3","240","234","234.9","0.26 %","20,854.00"
"SBL","2024-01-29","239.5","244","234.2","234.3","-0.26 %","28,579.00"
"SBL","2024-01-28","237","239","233","234.9","-0.09 %","54,648.00"
"SBL","2024-01-25","238.1","240","234.1","235.1","-1.55 %","40,477.00"
"SBL","2024-01-24","240","241.9","237","238.8","-0.29 %","40,782.00"
"SBL","2024-01-23","244","244.4","239.5","239.5","-1.03 %","30,744.00"
"SBL","2024-01-22","244","247","239","242","0.83 %","68,039.00"
"SBL","2024-01-21","249","249","240","240","-2.44 %","42,988.00"
"SBL","2024-01-18","249.1","257","246","246","-2.73 %","43,518.00"
"SBL","2024-01-17","260","260.2","250.1","252.9","-1.02 %","149,333.00"
"SBL","2024-01-16","250","256","250","255.5","2.20 %","75,269.00"
"SBL","2024-01-14","254","254","245.2","250","-0.04 %","41,542.00"
"SBL","2024-01-11","249","256","249","250.1","2.04 %","40,324.00"
"SBL","2024-01-10","248","256.2","245.1","245.1","-1.17 %","60,402.00"
"SBL","2024-01-09","246","249","245.1","248","1.22 %","24,958.00"
"SBL","2024-01-08","242.1","246","241.2","245","0.20 %","70,283.00"
"SBL","2024-01-07","258","258","243.2","244.5","-3.36 %","97,843.00"
"SBL","2024-01-04","258","258","252","253","-0.39 %","37,719.00"
"SBL","2024-01-03","250.2","255","249.9","254","1.52 %","39,567.00"
"SBL","2024-01-02","254","256","250.2","250.2","-0.71 %","56,527.00"
"SBL","2024-01-01","252","255","251","252","0.80 %","50,148.00"
"SBL","2023-12-28","252.6","257","250","250","-1.96 %","46,429.00"
"SBL","2023-12-27","253","258.9","252.5","255","-0.89 %","41,146.00"
"SBL","2023-12-24","253","259.8","253","257.3","0.12 %","56,225.00"
"SBL","2023-12-21","263","270","257","257","-4.10 %","64,991.00"
"SBL","2023-12-20","265","280.5","265","268","-0.74 %","61,636.00"
"SBL","2023-12-19","260","283","257.4","270","4.85 %","116,866.00"
"SBL","2023-12-18","250","262","245.7","257.5","4.25 %","93,509.00"
"SBL","2023-12-17","243","248","239","247","0.41 %","50,829.00"
"SBL","2023-12-14","245","249","243.2","246","2.07 %","24,854.00"
"SBL","2023-12-13","235.9","245","235.9","241","0.12 %","29,714.00"
"SBL","2023-12-12","238.1","247","234","240.7","-0.91 %","29,170.00"
"SBL","2023-12-11","240.1","248","237.2","242.9","-0.86 %","49,490.00"
"SBL","2023-12-10","227","245","227","245","7.83 %","4,181.00"
"SBL","2023-12-07","225","229.6","225","227.2","-0.74 %","8,262.00"
"SBL","2023-12-06","224.1","229.1","224.1","228.9","0.39 %","10,290.00"
"SBL","2023-12-05","232.5","232.5","226.6","228","-1.30 %","9,925.00"
"SBL","2023-12-04","231.1","234","228.1","231","-0.35 %","23,358.00"
"SBL","2023-12-03","227","232.5","227","231.8","0.78 %","17,582.00"
"SBL","2023-11-30","226.6","230","225.4","230","0.00 %","9,692.00"
"SBL","2023-11-29","230.3","232","228","230","-0.13 %","15,852.00"
"SBL","2023-11-28","228.1","234.8","228.1","230.3","0.04 %","30,633.00"
"SBL","2023-11-27","232","234","230","230.2","-0.43 %","11,776.00"
"SBL","2023-11-26","224.1","233.3","224","231.2","1.85 %","26,526.00"
"SBL","2023-11-23","223","227.4","223","227","0.00 %","20,260.00"
"SBL","2023-11-22","228.9","228.9","223.5","227","-0.44 %","9,271.00"
"SBL","2023-11-21","228.1","230","226","228","-0.87 %","6,932.00"
"SBL","2023-11-20","230.4","237.5","226","230","-0.86 %","19,051.00"
