"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFCL","2024-08-11","625","636","615","627","1.79 %","102,129.00"
"SFCL","2024-08-08","640","660","615","616","-2.10 %","100,611.00"
"SFCL","2024-08-07","572","629.2","553","629.2","10.00 %","163,577.00"
"SFCL","2024-08-06","625","629","570","572","-9.06 %","247,137.00"
"SFCL","2024-08-05","669","669","606.7","629","-6.12 %","239,756.00"
"SFCL","2024-08-01","715.5","729.8","668","670","-4.49 %","175,184.00"
"SFCL","2024-07-31","645","701.8","645","701.5","9.95 %","217,365.00"
"SFCL","2024-07-30","590","642.4","585","638","9.25 %","267,182.00"
"SFCL","2024-07-29","584","600","568","584","0.00 %","174,407.00"
"SFCL","2024-07-28","554.7","620","542","584","3.18 %","221,891.00"
"SFCL","2024-07-25","572","596","555","566","-0.37 %","168,664.00"
"SFCL","2024-07-24","528.4","569.9","528.4","568.1","9.65 %","353,884.00"
"SFCL","2024-07-23","475","518.1","472","518.1","10.00 %","234,910.00"
"SFCL","2024-07-22","488","488","470","471","-1.67 %","82,330.00"
"SFCL","2024-07-21","494","496","476","479","-1.24 %","158,074.00"
"SFCL","2024-07-18","498","501","480","485","-2.61 %","137,978.00"
"SFCL","2024-07-17","468","503","468","498","6.41 %","148,750.00"
"SFCL","2024-07-16","459","471","456.5","468","1.74 %","92,041.00"
"SFCL","2024-07-15","460","465","447","460","1.10 %","88,644.00"
"SFCL","2024-07-14","463","470","454","455","0.22 %","50,186.00"
"SFCL","2024-07-11","456","464.9","451","454","0.00 %","65,275.00"
"SFCL","2024-07-10","461","461","451","454","0.22 %","58,591.00"
"SFCL","2024-07-09","460","460","450.8","453","0.22 %","43,121.00"
"SFCL","2024-07-08","450","463","448","452","0.51 %","49,475.00"
"SFCL","2024-07-07","466","466","442","449.7","-2.03 %","73,871.00"
"SFCL","2024-07-04","470","478","456","459","-2.13 %","158,086.00"
"SFCL","2024-07-03","452.8","477","436","469","5.63 %","207,602.00"
"SFCL","2024-07-02","443.5","460","436.1","444","2.09 %","97,260.00"
"SFCL","2024-07-01","445.7","445.7","430.5","434.9","-0.48 %","45,995.00"
"SFCL","2024-06-30","425","447.7","425","437","1.25 %","91,418.00"
"SFCL","2024-06-27","448.8","448.8","431.6","431.6","-1.91 %","72,428.00"
"SFCL","2024-06-26","457.9","457.9","440","440","-2.00 %","89,219.00"
"SFCL","2024-06-25","472.2","472.2","444","449","-3.02 %","161,813.00"
"SFCL","2024-06-24","470","485","442","463","-0.22 %","214,161.00"
"SFCL","2024-06-23","437","465","437","464","6.79 %","214,946.00"
"SFCL","2024-06-20","423.3","444.9","415","434.5","4.70 %","185,208.00"
"SFCL","2024-06-19","409","428","401.1","415","3.23 %","106,888.00"
"SFCL","2024-06-18","400.9","414","399","402","-1.71 %","117,346.00"
"SFCL","2024-06-16","444.3","445","407","409","-6.11 %","307,737.00"
"SFCL","2024-06-13","403.9","435.6","403.9","435.6","10.00 %","406,205.00"
"SFCL","2024-06-12","366.8","396","357","396","10.00 %","186,393.00"
"SFCL","2024-06-11","360","367","354.1","360","1.69 %","41,609.00"
"SFCL","2024-06-10","360.5","365","351","354","0.14 %","43,413.00"
"SFCL","2024-06-09","365","365","352","353.5","-1.26 %","31,581.00"
"SFCL","2024-06-06","373","373","357","358","-2.19 %","48,730.00"
"SFCL","2024-06-05","369","375","363","366","0.83 %","53,797.00"
"SFCL","2024-06-04","372","377","363","363","-1.89 %","64,599.00"
"SFCL","2024-06-03","355.9","381","355.9","370","6.02 %","192,568.00"
"SFCL","2024-06-02","334","357","334","349","2.62 %","62,144.00"
"SFCL","2024-05-30","335","345","335","340.1","0.92 %","28,359.00"
"SFCL","2024-05-29","347.9","353","335.1","337","-1.20 %","30,935.00"
"SFCL","2024-05-27","345","347.9","333.3","341.1","0.47 %","29,591.00"
"SFCL","2024-05-26","343.3","350","339.2","339.5","-2.44 %","29,029.00"
"SFCL","2024-05-22","356","360","345","348","-0.63 %","33,485.00"
"SFCL","2024-05-21","347","357","338.1","350.2","2.70 %","56,393.00"
"SFCL","2024-05-20","339","351.8","339","341","0.00 %","31,767.00"
"SFCL","2024-05-19","345.7","347","336","341","0.59 %","21,839.00"
"SFCL","2024-05-16","349","350","338","339","-1.74 %","38,720.00"
"SFCL","2024-05-15","350","351","342","345","0.00 %","27,352.00"
"SFCL","2024-05-14","337.2","352.8","337.2","345","0.29 %","25,102.00"
"SFCL","2024-05-13","348","349.9","340","344","0.00 %","20,034.00"
"SFCL","2024-05-12","357","358","342.3","344","-1.99 %","34,182.00"
"SFCL","2024-05-09","358.5","363","351","351","-0.28 %","68,157.00"
"SFCL","2024-05-08","338.1","354","338","352","4.14 %","32,671.00"
"SFCL","2024-05-07","344","344.9","336","338","0.00 %","35,782.00"
"SFCL","2024-05-06","336","345","335","338","-0.59 %","44,695.00"
"SFCL","2024-05-05","347","355","340","340","-2.02 %","69,476.00"
"SFCL","2024-05-02","350","363.9","345","347","-2.23 %","99,497.00"
"SFCL","2024-04-30","367.3","386","350.2","354.9","-1.44 %","245,766.00"
"SFCL","2024-04-29","345","366","336","360.1","5.11 %","124,103.00"
"SFCL","2024-04-28","333","350","323.7","342.6","4.13 %","167,355.00"
"SFCL","2024-04-25","321","336","319","329","3.20 %","91,765.00"
"SFCL","2024-04-24","310","324.3","310","318.8","2.18 %","18,660.00"
"SFCL","2024-04-22","330","330","310.3","312","-4.00 %","31,011.00"
"SFCL","2024-04-21","310.5","325","310.5","325","3.60 %","21,329.00"
"SFCL","2024-04-18","313","322.9","312.6","313.7","-0.88 %","27,340.00"
"SFCL","2024-04-16","315","321","315","316.5","-0.94 %","18,137.00"
"SFCL","2024-04-15","322","330","318.7","319.5","-1.69 %","21,685.00"
"SFCL","2024-04-14","323.8","331.9","320.5","325","0.37 %","22,286.00"
"SFCL","2024-04-10","336.4","339.9","322","323.8","-3.69 %","61,631.00"
"SFCL","2024-04-09","336","350.8","335.5","336.2","0.06 %","108,204.00"
"SFCL","2024-04-07","312.8","336","310.4","336","7.42 %","102,959.00"
"SFCL","2024-04-04","313.9","315","310.1","312.8","1.56 %","11,792.00"
"SFCL","2024-04-03","311","315","308","308","-0.65 %","11,831.00"
"SFCL","2024-04-02","305.1","313.1","305.1","310","0.06 %","8,376.00"
"SFCL","2024-04-01","310","314.9","308","309.8","-1.02 %","16,965.00"
"SFCL","2024-03-31","316.5","318","309","313","-0.22 %","21,571.00"
"SFCL","2024-03-28","314","318.9","312.3","313.7","-0.41 %","26,733.00"
"SFCL","2024-03-27","318.5","324","313","315","-1.65 %","28,618.00"
"SFCL","2024-03-26","323","325","319","320.3","0.41 %","21,049.00"
"SFCL","2024-03-25","326","326.5","318.2","319","-2.15 %","25,884.00"
"SFCL","2024-03-21","326","334","321","326","0.62 %","52,224.00"
"SFCL","2024-03-20","332","332","320.5","324","-1.52 %","31,913.00"
"SFCL","2024-03-19","329.4","343","327","329","1.86 %","140,366.00"
"SFCL","2024-03-18","326","327","321.1","323","0.94 %","28,208.00"
"SFCL","2024-03-17","321","327.7","309","320","0.31 %","48,130.00"
"SFCL","2024-03-14","329.9","332","319","319","-2.15 %","47,389.00"
"SFCL","2024-03-13","322","331","317","326","1.27 %","73,975.00"
"SFCL","2024-03-12","316.3","323.3","313","321.9","2.19 %","29,675.00"
"SFCL","2024-03-10","313.1","317","309","315","2.61 %","38,822.00"
"SFCL","2024-03-07","312.1","318","305","307","0.00 %","23,131.00"
"SFCL","2024-03-06","308","314","299.9","307","1.32 %","27,587.00"
"SFCL","2024-03-05","308.8","313.9","303","303","-3.81 %","23,547.00"
"SFCL","2024-03-04","302.9","321","302.9","315","6.06 %","180.00"
"SFCL","2024-03-03","293","300","293","297","0.34 %","19,913.00"
"SFCL","2024-02-29","305","309.2","294.1","296","-3.11 %","34,874.00"
"SFCL","2024-02-28","313","313","305.5","305.5","-2.36 %","9,885.00"
"SFCL","2024-02-27","312","314.9","306","312.9","-0.35 %","17,680.00"
"SFCL","2024-02-26","315","318.9","304","314","1.62 %","20,440.00"
"SFCL","2024-02-25","313.2","317","303.3","309","0.62 %","28,838.00"
"SFCL","2024-02-22","310.9","318","305.2","307.1","0.69 %","66,549.00"
"SFCL","2024-02-21","316","316","304","305","-1.61 %","23,311.00"
"SFCL","2024-02-20","309.1","321","309","310","1.27 %","24,363.00"
"SFCL","2024-02-18","312","315.8","306.1","306.1","-3.13 %","40,400.00"
"SFCL","2024-02-15","329","329.4","315.1","316","-4.24 %","43,083.00"
"SFCL","2024-02-14","307","334.4","305","330","8.55 %","178,236.00"
"SFCL","2024-02-13","308","311.9","304","304","-2.53 %","11,933.00"
"SFCL","2024-02-12","311","312.2","306.3","311.9","0.94 %","23,435.00"
"SFCL","2024-02-11","315.1","315.1","308","309","0.00 %","26,697.00"
"SFCL","2024-02-08","307","310","306.1","309","0.32 %","11,807.00"
"SFCL","2024-02-07","312.9","313.2","307","308","0.29 %","17,146.00"
"SFCL","2024-02-06","308","312.9","304","307.1","-0.29 %","15,480.00"
"SFCL","2024-02-05","313","313","306","308","0.16 %","13,408.00"
"SFCL","2024-02-04","306","311.2","305","307.5","0.75 %","14,907.00"
"SFCL","2024-02-01","308","322","304.1","305.2","-1.52 %","43,750.00"
"SFCL","2024-01-31","316.5","321","306","309.9","-2.05 %","38,332.00"
"SFCL","2024-01-30","313","318","310","316.4","1.15 %","23,041.00"
