"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SFFIL","2020-01-22","200","210","200","210","3.96 %","6,787.00"
"SFFIL","2020-01-21","202","205","202","202","-1.94 %","4,802.00"
"SFFIL","2020-01-20","212","212","203","206","-4.19 %","5,475.00"
"SFFIL","2020-01-19","205","217","201","217","5.74 %","3,949.00"
"SFFIL","2020-01-16","232","241","232","236","2.16 %","12,324.00"
"SFFIL","2020-01-15","216","228","216","228","6.05 %","6,855.00"
"SFFIL","2020-01-14","205","219","202","215","6.44 %","4,177.00"
"SFFIL","2020-01-13","205","205","202","202","-2.88 %","1,469.00"
"SFFIL","2020-01-12","199","207","196","207","4.02 %","1,167.00"
"SFFIL","2020-01-09","199","199","196","199","-1.49 %","605.00"
"SFFIL","2020-01-08","199","202","199","202","2.54 %","3,598.00"
"SFFIL","2020-01-07","195","200","195","197","1.55 %","1,980.00"
"SFFIL","2020-01-06","194","197","193","194","0.00 %","2,654.00"
"SFFIL","2020-01-05","194","195","193","194","1.04 %","6,650.00"
"SFFIL","2020-01-01","192","194","190","192","1.59 %","3,150.00"
"SFFIL","2019-12-31","191","191","186","189","-2.58 %","954.00"
"SFFIL","2019-12-30","191","194","191","194","0.52 %","538.00"
"SFFIL","2019-12-29","189","193","189","193","3.76 %","3,439.00"
"SFFIL","2019-12-26","189","189","186","186","-2.62 %","115.00"
"SFFIL","2019-12-25","185","191","185","191","3.80 %","271.00"
"SFFIL","2019-12-24","194","194","184","184","-4.17 %","768.00"
"SFFIL","2019-12-23","174","192","174","192","9.71 %","1,718.00"
"SFFIL","2019-12-22","178","178","175","175","-1.69 %","39.00"
"SFFIL","2019-12-18","175","178","175","178","0.00 %","20.00"
"SFFIL","2019-12-17","179","179","178","178","-0.56 %","220.00"
"SFFIL","2019-12-16","180","180","179","179","-0.56 %","600.00"
"SFFIL","2019-12-15","187","187","185","185","-1.07 %","726.00"
"SFFIL","2019-12-12","187","187","187","187","1.63 %","15.00"
"SFFIL","2019-12-11","182","185","182","184","2.79 %","1,223.00"
"SFFIL","2019-12-10","179","179","179","179","1.70 %","100.00"
"SFFIL","2019-12-09","176","176","176","176","1.73 %","200.00"
"SFFIL","2019-12-08","170","173","170","173","2.37 %","616.00"
"SFFIL","2019-12-05","169","169","169","169","1.81 %","80.00"
"SFFIL","2019-12-04","167","167","164","166","1.22 %","571.00"
"SFFIL","2019-12-03","164","164","164","164","-1.80 %","100.00"
"SFFIL","2019-12-02","166","167","165","167","0.60 %","1,100.00"
"SFFIL","2019-12-01","168","168","164","166","-0.60 %","1,845.00"
"SFFIL","2019-11-28","167","167","167","167","-1.76 %","100.00"
"SFFIL","2019-11-27","168","170","168","170","3.03 %","45.00"
"SFFIL","2019-11-26","167","167","164","165","-2.94 %","905.00"
"SFFIL","2019-11-25","168","170","168","170","1.19 %","100.00"
"SFFIL","2019-11-24","166","168","165","168","0.00 %","380.00"
"SFFIL","2019-11-20","169","169","168","168","-1.18 %","297.00"
"SFFIL","2019-11-19","176","176","170","170","-2.86 %","2,095.00"
"SFFIL","2019-11-18","176","176","175","175","-0.57 %","280.00"
"SFFIL","2019-11-17","176","176","176","176","-1.68 %","20.00"
"SFFIL","2019-11-14","178","180","179","179","0.56 %","230.00"
"SFFIL","2019-11-12","177","178","177","178","0.00 %","1,050.00"
"SFFIL","2019-11-11","178","178","178","178","0.00 %","1,207.00"
"SFFIL","2019-11-10","179","180","178","178","-1.66 %","318.00"
"SFFIL","2019-11-07","184","184","181","181","-1.63 %","330.00"
"SFFIL","2019-11-05","188","190","184","184","-3.16 %","1,880.00"
"SFFIL","2019-11-04","192","192","189","190","-2.56 %","580.00"
"SFFIL","2019-11-03","198","198","195","195","0.00 %","290.00"
"SFFIL","2019-10-23","198","198","195","195","-1.52 %","77.00"
"SFFIL","2019-10-22","207","207","198","198","0.00 %","215.00"
"SFFIL","2019-10-21","198","198","198","198","1.02 %","100.00"
"SFFIL","2019-10-16","199","199","196","196","0.00 %","265.00"
"SFFIL","2019-10-15","196","196","196","196","1.55 %","10.00"
"SFFIL","2019-10-03","193","193","193","193","-1.03 %","310.00"
"SFFIL","2019-10-02","198","198","195","195","0.00 %","880.00"
"SFFIL","2019-10-01","195","195","195","195","1.04 %","50.00"
"SFFIL","2019-09-29","204","204","193","193","-1.03 %","760.00"
"SFFIL","2019-09-26","192","195","192","195","1.56 %","260.00"
"SFFIL","2019-09-24","196","200","196","198","-1.00 %","405.00"
"SFFIL","2019-09-23","193","206","193","200","3.90 %","402.00"
"SFFIL","2019-09-22","250","260","246","248","-1.59 %","8,789.00"
"SFFIL","2019-09-19","250","252","243","252","1.20 %","2,731.00"
"SFFIL","2019-09-18","252","252","249","249","0.00 %","1,623.00"
"SFFIL","2019-09-17","251","254","233","249","-0.40 %","2,385.00"
"SFFIL","2019-09-16","249","251","249","250","2.04 %","571.00"
"SFFIL","2019-09-15","245","245","245","245","-2.00 %","1,128.00"
"SFFIL","2019-09-12","250","250","250","250","0.00 %","85.00"
"SFFIL","2019-09-11","251","251","249","250","0.00 %","370.00"
"SFFIL","2019-09-10","253","254","250","250","-0.40 %","933.00"
"SFFIL","2019-09-09","243","251","243","251","2.03 %","211.00"
"SFFIL","2019-09-08","252","267","246","246","-0.81 %","1,084.00"
"SFFIL","2019-09-05","260","265","248","248","-2.75 %","4,365.00"
"SFFIL","2019-09-04","262","263","255","255","-3.41 %","2,080.00"
"SFFIL","2019-09-03","265","265","255","264","1.54 %","450.00"
"SFFIL","2019-09-02","263","264","260","260","0.00 %","268.00"
"SFFIL","2019-09-01","269","269","258","260","-1.89 %","742.00"
"SFFIL","2019-08-29","262","265","260","265","1.92 %","1,415.00"
"SFFIL","2019-08-28","268","268","260","260","-1.89 %","7,760.00"
"SFFIL","2019-08-27","265","274","265","265","1.92 %","832.00"
"SFFIL","2019-08-26","270","275","260","260","-4.41 %","3,745.00"
"SFFIL","2019-08-25","262","272","261","272","4.21 %","775.00"
"SFFIL","2019-08-22","269","272","261","261","-4.74 %","676.00"
