"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SGIC","2024-08-11","712","733","702","733","4.86 %","205,849.00"
"SGIC","2024-08-08","706","713","690.1","699","-0.30 %","152,318.00"
"SGIC","2024-08-07","680.3","708","676.3","701.1","3.06 %","152,156.00"
"SGIC","2024-08-06","724","738","680","680.3","-5.98 %","226,558.00"
"SGIC","2024-08-05","732.3","735.4","720","723.6","0.78 %","186,335.00"
"SGIC","2024-08-01","692.2","738","692.2","718","3.73 %","379,949.00"
"SGIC","2024-07-31","700","717","690.1","692.2","-0.40 %","253,652.00"
"SGIC","2024-07-30","690","703.8","671.3","695","1.02 %","186,687.00"
"SGIC","2024-07-29","735","735","686","688","-5.10 %","308,181.00"
"SGIC","2024-07-28","749","749","715","725","-1.36 %","293,284.00"
"SGIC","2024-07-25","703.8","757.8","684","735","6.52 %","468,495.00"
"SGIC","2024-07-24","650","710","635","690","6.14 %","346,277.00"
"SGIC","2024-07-23","620","655","613","650.1","4.84 %","147,976.00"
"SGIC","2024-07-22","625","636.8","608.1","620.1","-1.08 %","106,708.00"
"SGIC","2024-07-21","630","635","603","626.9","1.11 %","126,479.00"
"SGIC","2024-07-18","620","635","608","620","1.64 %","161,964.00"
"SGIC","2024-07-17","589","613","587.3","610","3.74 %","129,052.00"
"SGIC","2024-07-16","577.5","591","575","588","1.91 %","88,011.00"
"SGIC","2024-07-15","597.9","597.9","576.2","577","-1.57 %","143,110.00"
"SGIC","2024-07-14","590","601","575","586.2","1.24 %","135,104.00"
"SGIC","2024-07-11","562.1","579","562","579","2.97 %","222,792.00"
"SGIC","2024-07-10","560","568","559.3","562.3","0.61 %","94,703.00"
"SGIC","2024-07-09","555.1","560","553","558.9","0.02 %","61,651.00"
"SGIC","2024-07-08","565","568","555","558.8","-1.10 %","63,936.00"
"SGIC","2024-07-07","570","575.9","565","565","0.53 %","202,047.00"
"SGIC","2024-07-04","552","566","548","562","2.37 %","108,469.00"
"SGIC","2024-07-03","551","554","540.5","549","-0.90 %","67,102.00"
"SGIC","2024-07-02","537.5","558","530","554","5.12 %","173,427.00"
"SGIC","2024-07-01","516","528","516","527","1.68 %","42,625.00"
"SGIC","2024-06-30","517.1","526","517.1","518.3","-0.52 %","34,941.00"
"SGIC","2024-06-27","523.1","533.5","521","521","-1.33 %","37,445.00"
"SGIC","2024-06-26","540","540","524.4","528","-0.38 %","31,087.00"
"SGIC","2024-06-25","528.1","536.8","528.1","530","0.19 %","41,436.00"
"SGIC","2024-06-24","526.1","533.2","526.1","529","0.57 %","51,942.00"
"SGIC","2024-06-23","528.3","534.8","526","526","-0.75 %","46,939.00"
"SGIC","2024-06-20","532.5","535","528","530","-0.64 %","53,507.00"
"SGIC","2024-06-19","538","538","531","533.4","-0.09 %","29,130.00"
"SGIC","2024-06-18","549","549","532.6","533.9","-1.13 %","21,750.00"
"SGIC","2024-06-16","556","557","539","540","-1.82 %","42,841.00"
"SGIC","2024-06-13","560","567","550","550","-1.79 %","38,762.00"
"SGIC","2024-06-12","552","577.9","543","560","3.13 %","224,670.00"
"SGIC","2024-06-11","532","549","527","543","2.65 %","48,380.00"
"SGIC","2024-06-10","523","534","522","529","0.95 %","28,821.00"
"SGIC","2024-06-09","526.1","530","524","524","-0.95 %","26,715.00"
"SGIC","2024-06-06","535","535","526","529","-0.51 %","18,922.00"
"SGIC","2024-06-05","531","534","530","531.7","-0.06 %","32,374.00"
"SGIC","2024-06-04","530.1","541","529.1","532","0.36 %","36,133.00"
"SGIC","2024-06-03","531.5","535","530","530.1","-0.17 %","22,784.00"
"SGIC","2024-06-02","532","535","529.3","531","-0.19 %","26,484.00"
"SGIC","2024-05-30","531.2","543","528.4","532","-0.58 %","22,901.00"
"SGIC","2024-05-29","560","560","535.1","535.1","-2.71 %","36,334.00"
"SGIC","2024-05-27","546","554","545.4","550","-0.34 %","28,745.00"
"SGIC","2024-05-26","548.1","556.9","545","551.9","0.29 %","39,375.00"
"SGIC","2024-05-22","553","560","548.1","550.3","-0.67 %","49,050.00"
