"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SHPC","2024-08-11","578","599","578","584.1","1.06 %","641,263.00"
"SHPC","2024-08-08","582.4","599.1","561","578","1.23 %","738,838.00"
"SHPC","2024-08-07","544.6","576","520","571","6.93 %","1,017,338.00"
"SHPC","2024-08-06","535","552","507","534","-0.19 %","800,822.00"
"SHPC","2024-08-05","506.9","546","500","535","7.65 %","852,836.00"
"SHPC","2024-08-01","455","497.2","447","497","9.96 %","872,303.00"
"SHPC","2024-07-31","445","475","443","452","2.03 %","436,293.00"
"SHPC","2024-07-30","445","449.6","429","443","1.37 %","350,633.00"
"SHPC","2024-07-29","450","460","435","437","-1.35 %","613,844.00"
"SHPC","2024-07-28","426","447","416.6","443","4.24 %","364,675.00"
"SHPC","2024-07-25","400","426.5","400","425","4.68 %","426,015.00"
"SHPC","2024-07-24","412.2","422","403","406","-1.69 %","358,407.00"
"SHPC","2024-07-23","391","413.7","390","413","5.90 %","477,783.00"
"SHPC","2024-07-22","371.3","395","362","390","5.69 %","315,099.00"
"SHPC","2024-07-21","368.9","374","357.2","369","1.93 %","191,765.00"
"SHPC","2024-07-18","367","374","352","362","-0.28 %","197,245.00"
"SHPC","2024-07-17","358","364.3","349.1","363","2.54 %","224,564.00"
"SHPC","2024-07-16","343","360","335.4","354","4.27 %","145,502.00"
"SHPC","2024-07-15","341","344","335","339.5","0.15 %","87,377.00"
"SHPC","2024-07-14","334.5","347","332","339","3.35 %","80,953.00"
"SHPC","2024-07-11","328","332.8","325.1","328","0.31 %","93,409.00"
"SHPC","2024-07-10","324.7","328.7","320.4","327","2.70 %","168,447.00"
"SHPC","2024-07-09","320.5","324.1","318.2","318.4","-0.84 %","131,264.00"
"SHPC","2024-07-08","324.5","325","321","321.1","0.06 %","44,334.00"
"SHPC","2024-07-07","320.1","326","316","320.9","0.22 %","105,890.00"
"SHPC","2024-07-04","320.1","325","320","320.2","-0.56 %","61,554.00"
"SHPC","2024-07-03","323.9","323.9","318.8","322","-0.62 %","27,201.00"
