"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIKLES","2024-08-11","775","807","760.5","804","2.16 %","26,534.00"
"SIKLES","2024-08-08","810","810","776.1","787","-1.60 %","11,511.00"
"SIKLES","2024-08-07","782","800.7","765","799.8","4.14 %","15,735.00"
"SIKLES","2024-08-06","800","814","750","768","-3.64 %","35,570.00"
"SIKLES","2024-08-05","795.6","815","761","797","2.18 %","25,267.00"
"SIKLES","2024-08-01","805","832.3","775","780","-2.50 %","28,929.00"
"SIKLES","2024-07-31","805","836","791.5","800","-2.44 %","34,603.00"
"SIKLES","2024-07-30","805","828.2","800.4","820","0.86 %","17,327.00"
"SIKLES","2024-07-29","847.6","847.6","800","813","-2.17 %","41,451.00"
"SIKLES","2024-07-28","860","863","800","831","-1.84 %","14,488.00"
"SIKLES","2024-07-25","847.7","847.7","798.7","846.6","-2.13 %","35,099.00"
"SIKLES","2024-07-24","833","878.7","801.7","865","1.76 %","37,494.00"
"SIKLES","2024-07-23","800","850","794","850","6.38 %","57,652.00"
"SIKLES","2024-07-22","874","889.8","799","799","-8.66 %","43,394.00"
"SIKLES","2024-07-21","952.6","952.6","874.8","874.8","-10.00 %","24,478.00"
"SIKLES","2024-07-18","935","972","861","972","1.89 %","24,516.00"
"SIKLES","2024-07-17","886.3","954","840","954","7.64 %","51,464.00"
"SIKLES","2024-07-16","789.7","886.3","782.8","886.3","9.99 %","26,574.00"
"SIKLES","2024-07-15","790","805.8","735","805.8","2.26 %","42,430.00"
"SIKLES","2024-07-14","775.2","800","741","788","3.68 %","40,521.00"
"SIKLES","2024-07-11","769","785","720.3","760","0.66 %","21,691.00"
"SIKLES","2024-07-10","710","766","688.1","755","8.32 %","70,236.00"
"SIKLES","2024-07-09","679.1","700","679.1","697","0.72 %","24,603.00"
"SIKLES","2024-07-08","686","698","680.8","692","-1.14 %","7,376.00"
"SIKLES","2024-07-07","703.7","710","681.2","700","-2.51 %","11,965.00"
"SIKLES","2024-07-04","722","727","686.7","718","-0.26 %","20,356.00"
"SIKLES","2024-07-03","699","724.9","686","719.9","2.99 %","27,433.00"
"SIKLES","2024-07-02","714","770","677","699","-0.14 %","18,769.00"
"SIKLES","2024-07-01","698","700","687","700","1.45 %","17,667.00"
"SIKLES","2024-06-30","700","719.9","680","690","-3.36 %","44,864.00"
"SIKLES","2024-06-27","694","718","687.5","714","0.85 %","31,522.00"
"SIKLES","2024-06-26","704","714","676.2","708","0.57 %","27,612.00"
"SIKLES","2024-06-25","648","705","635","704","6.67 %","106,328.00"
"SIKLES","2024-06-24","653","660","632.1","660","2.33 %","51,868.00"
"SIKLES","2024-06-23","620.8","645","603.1","645","5.77 %","45,924.00"
"SIKLES","2024-06-20","593","610","592.9","609.8","0.79 %","7,920.00"
"SIKLES","2024-06-19","571.1","605","571.1","605","4.13 %","9,980.00"
"SIKLES","2024-06-18","605","605","581","581","-2.35 %","18,067.00"
"SIKLES","2024-06-16","610","619.5","587","595","-2.46 %","27,795.00"
"SIKLES","2024-06-13","629","631.3","608","610","-1.45 %","34,114.00"
"SIKLES","2024-06-12","644","657","603","619","-2.06 %","40,709.00"
"SIKLES","2024-06-11","620","645","596","632","3.78 %","28,814.00"
"SIKLES","2024-06-10","601.2","610","583","609","3.31 %","25,748.00"
"SIKLES","2024-06-09","574.5","599","565","589.5","4.52 %","30,358.00"
"SIKLES","2024-06-06","539","570","529","564","2.92 %","33,544.00"
"SIKLES","2024-06-05","543.1","564","540","548","-0.90 %","13,784.00"
"SIKLES","2024-06-04","574","574","546","553","-1.78 %","27,385.00"
"SIKLES","2024-06-03","546.9","566.1","546.9","563","0.90 %","31,725.00"
"SIKLES","2024-06-02","545","560","525","558","4.30 %","48,247.00"
"SIKLES","2024-05-30","511.3","548","511.3","535","2.69 %","20,962.00"
"SIKLES","2024-05-29","516.1","536.9","510.6","521","0.95 %","15,109.00"
"SIKLES","2024-05-27","539","539","512","516.1","-3.17 %","7,970.00"
"SIKLES","2024-05-26","520.6","540","516.3","533","0.36 %","7,468.00"
"SIKLES","2024-05-22","541","578","531","531.1","-2.55 %","22,189.00"
"SIKLES","2024-05-21","530","559.9","530","545","2.25 %","44,077.00"
"SIKLES","2024-05-20","523","543","516","533","0.19 %","18,738.00"
"SIKLES","2024-05-19","525","549.8","515.1","532","2.72 %","30,298.00"
"SIKLES","2024-05-16","510","524.9","507","517.9","1.55 %","10,285.00"
"SIKLES","2024-05-15","495","515","495","510","1.96 %","8,397.00"
"SIKLES","2024-05-14","492","525.1","490","500.2","1.05 %","2,582.00"
"SIKLES","2024-05-13","507.7","507.7","487.8","495","-0.56 %","1,692.00"
"SIKLES","2024-05-12","501.8","501.8","485.1","497.8","1.16 %","4,640.00"
"SIKLES","2024-05-09","490","510","490","492.1","-1.58 %","1,285.00"
"SIKLES","2024-05-08","494","503","493.9","500","-0.75 %","715.00"
"SIKLES","2024-05-07","500","505","490","503.8","0.96 %","2,940.00"
"SIKLES","2024-05-06","481.4","499","480","499","1.59 %","2,148.00"
"SIKLES","2024-05-05","497","506","490.1","491.2","-1.35 %","4,670.00"
"SIKLES","2024-05-02","501","510","493","497.9","-1.99 %","4,089.00"
"SIKLES","2024-04-30","496.9","514","490","508","0.20 %","1,175.00"
"SIKLES","2024-04-29","514","514","498.9","507","0.50 %","2,160.00"
"SIKLES","2024-04-28","490.1","508","490.1","504.5","1.10 %","692.00"
"SIKLES","2024-04-25","500","509","490","499","1.42 %","3,575.00"
"SIKLES","2024-04-24","500","508","490","492","-3.15 %","7,970.00"
"SIKLES","2024-04-22","501","511","495","508","-0.59 %","2,320.00"
"SIKLES","2024-04-21","485.4","511.5","485.4","511","3.23 %","2,390.00"
"SIKLES","2024-04-18","500","510","483","495","-2.02 %","4,405.00"
"SIKLES","2024-04-16","505","513","504.3","505.2","-1.71 %","6,200.00"
"SIKLES","2024-04-15","528","530","508.1","514","-2.63 %","2,350.00"
"SIKLES","2024-04-14","518.8","530","504.4","527.9","3.71 %","17,818.00"
"SIKLES","2024-04-10","513","523","504.7","509","-0.78 %","8,800.00"
"SIKLES","2024-04-09","505.3","518","505.3","513","0.39 %","9,282.00"
"SIKLES","2024-04-07","513.4","519","504.1","511","1.51 %","9,043.00"
"SIKLES","2024-04-04","503.8","510","500","503.4","-2.06 %","7,006.00"
"SIKLES","2024-04-03","509.6","528.3","506","514","-1.15 %","10,063.00"
"SIKLES","2024-04-02","494.9","522.9","494.9","520","2.97 %","25,137.00"
"SIKLES","2024-04-01","470.4","509","470.4","505","5.21 %","34,115.00"
"SIKLES","2024-03-31","474","485","474","480","0.00 %","1,540.00"
"SIKLES","2024-03-28","467","483.9","467","480","1.05 %","730.00"
"SIKLES","2024-03-27","470","490.4","467","475","0.74 %","1,491.00"
"SIKLES","2024-03-26","461.1","494.1","461.1","471.5","0.32 %","2,968.00"
"SIKLES","2024-03-25","464","482.6","455","470","-0.68 %","985.00"
"SIKLES","2024-03-21","472.6","473.2","472.6","473.2","-1.83 %","460.00"
"SIKLES","2024-03-20","479","485","476","482","-0.62 %","2,772.00"
"SIKLES","2024-03-19","476.1","490","476.1","485","0.21 %","3,675.00"
"SIKLES","2024-03-18","471","486.5","471","484","1.47 %","990.00"
"SIKLES","2024-03-17","480","497","475.1","477","-2.45 %","830.00"
"SIKLES","2024-03-14","500.8","500.8","481","489","-2.14 %","3,008.00"
"SIKLES","2024-03-13","483.3","499.8","480.1","499.7","1.36 %","3,046.00"
"SIKLES","2024-03-12","490","494.7","480","493","2.28 %","4,084.00"
"SIKLES","2024-03-10","476.6","495.4","476","482","-0.76 %","6,025.00"
"SIKLES","2024-03-07","482.9","489.3","473.3","485.7","2.58 %","4,595.00"
"SIKLES","2024-03-06","465","489.6","458","473.5","0.36 %","13,039.00"
"SIKLES","2024-03-05","500","500","471.5","471.8","-5.64 %","15,143.00"
"SIKLES","2024-03-04","482","500","482","500","5.71 %","40.00"
"SIKLES","2024-03-03","461","479","452","473","0.64 %","2,302.00"
"SIKLES","2024-02-29","495","505.6","462","470","-3.29 %","7,170.00"
"SIKLES","2024-02-28","500","502.7","486","486","-1.82 %","3,460.00"
"SIKLES","2024-02-27","495","509.9","485.3","495","-1.00 %","3,500.00"
"SIKLES","2024-02-26","515","515","489.1","500","-1.69 %","7,946.00"
"SIKLES","2024-02-25","505.9","508.6","482.4","508.6","2.54 %","8,527.00"
"SIKLES","2024-02-22","509","519.2","495","496","-2.57 %","13,240.00"
"SIKLES","2024-02-21","507.1","525.3","506","509.1","0.22 %","7,530.00"
"SIKLES","2024-02-20","502","516","502","508","-0.06 %","15,495.00"
"SIKLES","2024-02-18","517","518.1","503","508.3","-3.05 %","12,968.00"
"SIKLES","2024-02-15","535","540","524.3","524.3","-2.00 %","15,782.00"
"SIKLES","2024-02-14","520.6","546","520.6","535","0.72 %","6,416.00"
"SIKLES","2024-02-13","545.1","555","525","531.2","-0.71 %","30,409.00"
"SIKLES","2024-02-12","518","549","518","535","2.29 %","54,252.00"
"SIKLES","2024-02-11","513","529.9","513","523","0.00 %","21,777.00"
"SIKLES","2024-02-08","511.2","528","511.2","523","0.58 %","17,281.00"
"SIKLES","2024-02-07","501","531.6","501","520","3.17 %","13,397.00"
"SIKLES","2024-02-06","492.2","515","492.2","504","0.80 %","6,446.00"
"SIKLES","2024-02-05","505","513","495","500","0.93 %","7,212.00"
"SIKLES","2024-02-04","498.1","505","494.1","495.4","-2.48 %","3,520.00"
"SIKLES","2024-02-01","508","515","500.2","508","-1.74 %","8,568.00"
"SIKLES","2024-01-31","529","530","511","517","-0.77 %","17,972.00"
"SIKLES","2024-01-30","510","531","507.1","521","2.76 %","46,221.00"
"SIKLES","2024-01-29","500","508","496","507","1.42 %","23,513.00"
"SIKLES","2024-01-28","495","499.9","490.1","499.9","0.44 %","3,925.00"
"SIKLES","2024-01-25","483","500","483","497.7","1.16 %","8,725.00"
"SIKLES","2024-01-24","488.1","497","481","492","0.80 %","5,405.00"
"SIKLES","2024-01-23","500","501","487","488.1","-2.38 %","12,484.00"
"SIKLES","2024-01-22","500.1","507","485.3","500","-1.57 %","21,560.00"
"SIKLES","2024-01-21","502","512","496","508","1.20 %","14,047.00"
"SIKLES","2024-01-18","495.9","510.1","487","502","-0.79 %","11,722.00"
"SIKLES","2024-01-17","505","516","493","506","-1.56 %","33,204.00"
"SIKLES","2024-01-16","518","528","507.5","514","0.78 %","21,428.00"
"SIKLES","2024-01-14","505","516","496.2","510","0.95 %","15,375.00"
"SIKLES","2024-01-11","509.7","514","500.1","505.2","-2.85 %","13,275.00"
"SIKLES","2024-01-10","492","530.4","492","520","5.69 %","28,343.00"
"SIKLES","2024-01-09","515","517.9","491","492","-2.77 %","39,613.00"
"SIKLES","2024-01-08","482.2","520","482.2","506","2.85 %","42,862.00"
"SIKLES","2024-01-07","474","511","461","492","5.35 %","79,504.00"
"SIKLES","2024-01-04","443.7","478.5","435.2","467","7.36 %","66,728.00"
"SIKLES","2024-01-03","425","436.8","421.3","435","1.21 %","2,400.00"
"SIKLES","2024-01-02","427","435","423.1","429.8","-1.20 %","5,805.00"
"SIKLES","2024-01-01","435.2","450","430.6","435","-2.03 %","7,760.00"
"SIKLES","2023-12-28","444.2","450","422.3","444","1.95 %","15,257.00"
"SIKLES","2023-12-27","448.8","466","435.5","435.5","-1.02 %","23,016.00"
"SIKLES","2023-12-24","427","448","426","440","4.76 %","16,992.00"
"SIKLES","2023-12-21","431.2","435","419","420","-4.55 %","16,555.00"
"SIKLES","2023-12-20","439.1","455.9","430.4","440","-1.79 %","14,750.00"
"SIKLES","2023-12-19","432.2","448","424.1","448","1.82 %","10,413.00"
"SIKLES","2023-12-18","453.8","461.9","424.3","440","-1.12 %","39,856.00"
"SIKLES","2023-12-17","427.3","447.1","412.5","445","2.06 %","25,380.00"
"SIKLES","2023-12-14","408.8","450","408.7","436","4.56 %","8,468.00"
"SIKLES","2023-12-13","420","424","407.7","417","-0.48 %","9,951.00"
"SIKLES","2023-12-12","400","424","388.1","419","3.71 %","14,773.00"
"SIKLES","2023-12-11","419","420","392","404","-1.66 %","14,818.00"
"SIKLES","2023-12-10","395","410.9","395","410.8","5.33 %","610.00"
"SIKLES","2023-12-07","387.2","400","380.1","390","-1.27 %","3,559.00"
"SIKLES","2023-12-06","380","395","371.6","395","3.78 %","7,190.00"
"SIKLES","2023-12-05","394","394","379","380.6","-3.38 %","1,681.00"
"SIKLES","2023-12-04","386.2","394","386.2","393.9","-0.03 %","1,677.00"
"SIKLES","2023-12-03","380.3","394","373","394","1.55 %","1,940.00"
"SIKLES","2023-11-30","392.9","394","385.2","388","-3.22 %","5,020.00"
"SIKLES","2023-11-29","394.4","402","388","400.9","1.65 %","4,452.00"
"SIKLES","2023-11-28","393","400","393","394.4","-1.40 %","4,549.00"
"SIKLES","2023-11-27","405","413.9","392.6","400","-1.48 %","3,820.00"
"SIKLES","2023-11-26","386","406.7","378.6","406","5.73 %","7,442.00"
"SIKLES","2023-11-23","350","387.8","346.8","384","8.54 %","9,462.00"
"SIKLES","2023-11-22","340.1","353.8","339","353.8","1.99 %","2,126.00"
"SIKLES","2023-11-21","341.1","348.1","341.1","346.9","0.46 %","572.00"
"SIKLES","2023-11-20","343.7","359","343.7","345.3","2.46 %","2,632.00"
"SIKLES","2023-11-09","338.1","339.2","332.6","337","-2.32 %","360.00"
"SIKLES","2023-11-08","339","345","333","345","-0.26 %","330.00"
"SIKLES","2023-11-07","334","345.9","327.4","345.9","1.74 %","470.00"
"SIKLES","2023-11-06","327.1","340","327.1","340","1.89 %","900.00"
"SIKLES","2023-11-05","330.1","333.7","327","333.7","-0.80 %","500.00"
"SIKLES","2023-11-02","343","343","336.3","336.4","-3.89 %","590.00"
"SIKLES","2023-11-01","343","350","337","350","0.00 %","450.00"
"SIKLES","2023-10-31","346","350","339.6","350","-0.85 %","455.00"
"SIKLES","2023-10-30","346.9","353","334","353","-0.25 %","785.00"
"SIKLES","2023-10-29","358.5","358.5","339.1","353.9","-3.25 %","1,350.00"
"SIKLES","2023-10-19","360","365.8","350","365.8","-0.05 %","440.00"
"SIKLES","2023-10-18","362","368","354.3","366","1.10 %","850.00"
"SIKLES","2023-10-17","359","362","341.1","362","0.00 %","770.00"
"SIKLES","2023-10-16","347.9","362","328.1","362","1.97 %","1,622.00"
"SIKLES","2023-10-12","351.9","355","340","355","-1.11 %","720.00"
"SIKLES","2023-10-11","352.8","360","352.8","359","-0.28 %","850.00"
"SIKLES","2023-10-10","362","362","340.9","360","-2.44 %","4,470.00"
"SIKLES","2023-10-09","352.8","369","341.2","369","2.53 %","2,530.00"
"SIKLES","2023-10-08","352.8","359.9","352.8","359.9","-0.03 %","2,200.00"
"SIKLES","2023-10-05","366.1","366.1","359.5","360","-3.61 %","1,031.00"
"SIKLES","2023-10-04","359.7","374","354.1","373.5","1.77 %","2,431.00"
"SIKLES","2023-10-03","364.6","367","360","367","-1.34 %","1,610.00"
"SIKLES","2023-10-02","370.5","372","356","372","-1.59 %","2,670.00"
"SIKLES","2023-10-01","373.4","378","355.3","378","-0.79 %","1,880.00"
"SIKLES","2023-09-27","373","381","362","381","0.26 %","3,572.00"
"SIKLES","2023-09-26","375","386.5","365","380","2.15 %","2,225.00"
"SIKLES","2023-09-25","370","373.3","360.3","372","-0.80 %","2,160.00"
"SIKLES","2023-09-24","377.3","377.3","362.6","375","-2.60 %","1,691.00"
"SIKLES","2023-09-21","350","386","350","385","9.69 %","5,419.00"
"SIKLES","2023-09-19","340","351.9","333.2","351","1.21 %","1,010.00"
"SIKLES","2023-09-18","336.2","346.8","323.6","346.8","1.11 %","410.00"
"SIKLES","2023-09-17","343","343","330","343","-1.94 %","510.00"
"SIKLES","2023-09-13","334","349.8","333.5","349.8","2.88 %","850.00"
"SIKLES","2023-09-12","344","344","332","340","-3.13 %","562.00"
"SIKLES","2023-09-11","330","351","325","351","6.36 %","1,634.00"
"SIKLES","2023-09-10","318.5","338","315","330","1.54 %","570.00"
"SIKLES","2023-09-07","337","349.7","325","325","-5.25 %","1,260.00"
"SIKLES","2023-09-05","330.3","343","324","343","1.78 %","1,688.00"
"SIKLES","2023-09-04","355.9","356","329","337","-6.10 %","1,350.00"
"SIKLES","2023-09-03","333.5","366.1","327.1","358.9","5.56 %","995.00"
"SIKLES","2023-08-30","350","357","335","340","-2.86 %","1,089.00"
"SIKLES","2023-08-29","350","351.9","339","350","0.00 %","1,380.00"
"SIKLES","2023-08-28","349.9","362","343.2","350","-1.96 %","915.00"
"SIKLES","2023-08-27","358","358","345","357","-1.87 %","1,592.00"
"SIKLES","2023-08-24","363.6","370","350.3","363.8","-1.94 %","1,190.00"
"SIKLES","2023-08-23","352.6","378","347","371","3.14 %","2,139.00"
"SIKLES","2023-08-22","352.8","359.7","341.3","359.7","-0.08 %","550.00"
