"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SIL","2023-02-28","603.1","651.2","603.1","651.2","6.41 %","5,982.00"
"SIL","2023-02-27","619","620","590.1","612","0.66 %","3,464.00"
"SIL","2023-02-26","599","608","578.2","608","-0.51 %","8,771.00"
"SIL","2023-02-23","620","620","601","611.1","-2.27 %","6,068.00"
"SIL","2023-02-22","615","638","606","625.3","2.51 %","1,978.00"
"SIL","2023-02-20","613.2","617","607.5","610","-2.24 %","2,558.00"
"SIL","2023-02-16","634","634","620.1","624","-1.73 %","4,498.00"
"SIL","2023-02-15","627","635","627","635","1.20 %","1,284.00"
"SIL","2023-02-14","641","653","627.1","627.5","-2.11 %","4,189.00"
"SIL","2023-02-12","652","652","627.2","641","-3.61 %","4,634.00"
"SIL","2023-02-09","637","665","637","665","2.32 %","10,473.00"
"SIL","2023-02-08","659","669","647","649.9","0.54 %","8,880.00"
"SIL","2023-02-07","637.5","663.2","628","646.4","3.42 %","6,964.00"
"SIL","2023-02-06","621.1","625","616","625","-0.40 %","2,297.00"
"SIL","2023-02-05","656.7","656.7","626.1","627.5","-2.56 %","5,010.00"
"SIL","2023-02-02","690","690","632","644","-5.29 %","8,531.00"
"SIL","2023-02-01","628","680","626","680","8.28 %","15,047.00"
"SIL","2023-01-31","644","645","628","628","-2.62 %","5,755.00"
"SIL","2023-01-30","650","658","638","644.9","-2.29 %","10,851.00"
"SIL","2023-01-29","640.1","693.9","640.1","660","1.06 %","5,818.00"
"SIL","2023-01-26","660","667","652","653.1","-0.44 %","5,171.00"
"SIL","2023-01-25","650","660.1","650","656","2.58 %","11,041.00"
"SIL","2023-01-24","635","639.5","623","639.5","0.71 %","4,171.00"
"SIL","2023-01-23","651","660","635","635","-2.31 %","2,228.00"
"SIL","2023-01-19","647","669","646","650","-1.37 %","3,205.00"
"SIL","2023-01-18","647.1","680","647.1","659","-0.15 %","5,803.00"
"SIL","2023-01-17","638.2","662","635.1","660","1.85 %","7,256.00"
"SIL","2023-01-12","690","690","639","648","-5.26 %","13,381.00"
"SIL","2023-01-10","710","710","667.5","684","-3.66 %","8,555.00"
"SIL","2023-01-09","700","717.8","691","710","0.00 %","14,964.00"
"SIL","2023-01-08","680","722.9","660","710","4.27 %","9,310.00"
"SIL","2023-01-05","654","681","631","680.9","4.11 %","14,464.00"
"SIL","2023-01-04","595","655","595","654","8.10 %","11,154.00"
"SIL","2023-01-03","624","624","602","605","-1.14 %","4,102.00"
"SIL","2023-01-02","580","632.8","573","612","3.44 %","9,318.00"
