"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SINDU","2024-08-11","515","532.4","515","528","4.35 %","66,436.00"
"SINDU","2024-08-08","493.1","528","493.1","506","0.58 %","61,408.00"
"SINDU","2024-08-07","501","510","487.5","503.1","2.26 %","31,375.00"
"SINDU","2024-08-06","510","530","468","492","-3.72 %","71,415.00"
"SINDU","2024-08-05","514","520","506.1","511","-0.58 %","40,719.00"
"SINDU","2024-08-01","540.6","540.6","502.4","514","-3.02 %","80,016.00"
"SINDU","2024-07-31","513","545","513","530","3.31 %","73,320.00"
"SINDU","2024-07-30","503","517.9","500","513","1.99 %","60,833.00"
"SINDU","2024-07-29","515","524","500","503","-2.33 %","45,280.00"
"SINDU","2024-07-28","510","520","499","515","3.00 %","50,184.00"
"SINDU","2024-07-25","500","510","493.2","500","0.60 %","49,632.00"
"SINDU","2024-07-24","510","515.1","495.1","497","-2.38 %","42,823.00"
"SINDU","2024-07-23","500","519","500","509.1","0.61 %","41,920.00"
"SINDU","2024-07-22","514.9","514.9","495.1","506","0.20 %","58,628.00"
"SINDU","2024-07-21","496","514","491","505","0.80 %","68,384.00"
"SINDU","2024-07-18","529.9","529.9","500","501","-4.57 %","62,400.00"
"SINDU","2024-07-17","509","529","509","525","5.13 %","80,676.00"
"SINDU","2024-07-16","463","499.4","450","499.4","10.00 %","69,567.00"
"SINDU","2024-07-15","466","466","449","454","-1.73 %","20,953.00"
"SINDU","2024-07-14","469","487.8","460","462","0.43 %","19,378.00"
"SINDU","2024-07-11","469","469.9","458.2","460","0.00 %","18,629.00"
"SINDU","2024-07-10","475","475","456.1","460","-1.69 %","25,234.00"
"SINDU","2024-07-09","469","482","461","467.9","-0.23 %","38,819.00"
"SINDU","2024-07-08","446.1","469","438","469","5.16 %","31,444.00"
"SINDU","2024-07-07","452","458","441","446","-1.22 %","31,321.00"
"SINDU","2024-07-04","451.8","464.9","449","451.5","1.92 %","77,080.00"
"SINDU","2024-07-03","424.9","444","415","443","5.53 %","60,859.00"
"SINDU","2024-07-02","417","442","410","419.8","2.64 %","33,751.00"
"SINDU","2024-07-01","396","410","396","409","1.77 %","19,041.00"
"SINDU","2024-06-30","402","408","398","401.9","-1.69 %","19,947.00"
"SINDU","2024-06-27","417","417","396.9","408.8","-0.78 %","24,223.00"
"SINDU","2024-06-26","424.8","424.9","410","412","-1.90 %","24,196.00"
"SINDU","2024-06-25","419","429","417","420","1.45 %","39,061.00"
"SINDU","2024-06-24","390","414","390","414","6.15 %","60,641.00"
"SINDU","2024-06-23","380.5","395.6","380.5","390","0.52 %","18,452.00"
"SINDU","2024-06-20","390.7","398.5","383.2","388","1.28 %","24,289.00"
"SINDU","2024-06-19","395.7","395.7","383","383.1","-1.26 %","18,290.00"
"SINDU","2024-06-18","384.6","394.9","384.2","388","-0.59 %","16,847.00"
"SINDU","2024-06-16","401.2","403","390","390.3","-1.86 %","31,322.00"
"SINDU","2024-06-13","393.7","416","385","397.7","3.03 %","79,466.00"
"SINDU","2024-06-12","376","390.9","376","386","1.31 %","20,245.00"
"SINDU","2024-06-11","384","384","372","381","1.06 %","14,881.00"
"SINDU","2024-06-10","368","381","368","377","0.59 %","12,825.00"
"SINDU","2024-06-09","382.9","382.9","370.2","374.8","-0.43 %","9,824.00"
"SINDU","2024-06-06","382.8","382.8","373.3","376.4","-0.16 %","7,534.00"
"SINDU","2024-06-05","390","390","374.3","377","-2.08 %","11,277.00"
"SINDU","2024-06-04","383.3","385","377.7","385","2.45 %","15,297.00"
"SINDU","2024-06-03","387","387","375.2","375.8","-1.08 %","11,458.00"
"SINDU","2024-06-02","379","384.5","374.3","379.9","0.24 %","10,990.00"
"SINDU","2024-05-30","385","385","375","379","-0.21 %","7,692.00"
"SINDU","2024-05-29","388","388","373.5","379.8","-0.31 %","8,433.00"
"SINDU","2024-05-27","386","387","378","381","0.26 %","9,745.00"
"SINDU","2024-05-26","395","395","380","380","-2.06 %","15,337.00"
"SINDU","2024-05-22","403","403","388","388","-1.97 %","7,439.00"
"SINDU","2024-05-21","392","399","385","395.8","2.81 %","11,362.00"
"SINDU","2024-05-20","393.8","395","385","385","-0.28 %","15,073.00"
"SINDU","2024-05-19","392.2","392.2","383.1","386.1","0.39 %","18,152.00"
"SINDU","2024-05-16","397","397","384.6","384.6","-1.36 %","12,860.00"
"SINDU","2024-05-15","399","405.7","386.4","389.9","-1.29 %","20,816.00"
"SINDU","2024-05-14","391","397","388","395","1.02 %","21,115.00"
"SINDU","2024-05-13","394","404.9","380.6","391","1.01 %","29,806.00"
"SINDU","2024-05-12","399","402","387.1","387.1","-1.25 %","24,990.00"
"SINDU","2024-05-09","388.6","392.7","379.3","392","2.89 %","32,000.00"
"SINDU","2024-05-08","384","389","378","381","0.53 %","7,448.00"
"SINDU","2024-05-07","385.4","385.4","368","379","0.29 %","10,065.00"
"SINDU","2024-05-06","368","384","365","377.9","2.44 %","20,962.00"
"SINDU","2024-05-05","380","387.6","368.9","368.9","-2.95 %","39,554.00"
"SINDU","2024-05-02","405","405","380.1","380.1","-4.74 %","24,823.00"
"SINDU","2024-04-30","394.7","419","390","399","3.10 %","69,586.00"
"SINDU","2024-04-29","374","387","364.6","387","5.48 %","68,504.00"
"SINDU","2024-04-28","366","374","353.7","366.9","2.23 %","33,736.00"
"SINDU","2024-04-25","357","366","347","358.9","2.54 %","24,153.00"
"SINDU","2024-04-24","346","356","345","350","0.00 %","11,440.00"
"SINDU","2024-04-22","368","368","347.5","350","-3.05 %","14,897.00"
"SINDU","2024-04-21","371.2","371.2","345.1","361","-0.82 %","25,281.00"
"SINDU","2024-04-18","360.1","372","356.5","364","-0.27 %","13,913.00"
"SINDU","2024-04-16","359","374","359","365","1.39 %","28,487.00"
"SINDU","2024-04-15","371","371","356.7","360","-1.45 %","12,142.00"
"SINDU","2024-04-14","360","368.9","351","365.3","2.61 %","19,798.00"
"SINDU","2024-04-10","367","369","356","356","-3.76 %","23,454.00"
"SINDU","2024-04-09","367","372","361","369.9","2.78 %","26,565.00"
"SINDU","2024-04-07","348","361.9","337","359.9","4.93 %","23,197.00"
"SINDU","2024-04-04","345","358.9","338","343","0.59 %","9,708.00"
"SINDU","2024-04-03","336.4","344.7","336","341","-0.29 %","17,525.00"
"SINDU","2024-04-02","354","354","339.2","342","-1.72 %","11,499.00"
"SINDU","2024-04-01","350","356","345","348","0.87 %","6,114.00"
"SINDU","2024-03-31","360","360","345","345","-2.54 %","18,725.00"
"SINDU","2024-03-28","348.5","358","348.1","354","-0.28 %","17,844.00"
"SINDU","2024-03-27","366","366","352.1","355","-1.11 %","23,497.00"
"SINDU","2024-03-26","362","365","348.5","359","1.13 %","23,155.00"
"SINDU","2024-03-25","360.9","364.1","350","355","-0.84 %","17,986.00"
"SINDU","2024-03-21","353","365","346.2","358","1.42 %","32,370.00"
"SINDU","2024-03-20","356.4","378","350","353","-2.89 %","24,536.00"
"SINDU","2024-03-19","366","380","357","363.5","-2.55 %","30,074.00"
"SINDU","2024-03-18","370.2","375","360","373","2.75 %","37,664.00"
"SINDU","2024-03-17","351","364.6","344","363","5.22 %","58,448.00"
"SINDU","2024-03-14","340","349.8","337","345","0.58 %","25,099.00"
"SINDU","2024-03-13","338","346","338","343","0.35 %","32,063.00"
"SINDU","2024-03-12","345","347.8","339.2","341.8","0.23 %","24,479.00"
"SINDU","2024-03-10","342","345.7","334.3","341","0.86 %","24,195.00"
"SINDU","2024-03-07","338.9","340","334","338.1","1.53 %","33,207.00"
"SINDU","2024-03-06","330","333","318","333","0.91 %","31,671.00"
"SINDU","2024-03-05","325","331","318.6","330","-0.30 %","38,011.00"
"SINDU","2024-03-04","325","331","323","331","3.76 %","8,065.00"
"SINDU","2024-03-03","315","321.3","307.7","319","1.27 %","9,031.00"
"SINDU","2024-02-29","324","330","300","315","-0.97 %","24,746.00"
"SINDU","2024-02-28","322","323.3","314.1","318.1","-0.59 %","14,422.00"
"SINDU","2024-02-27","314.2","322","311.9","320","1.11 %","13,684.00"
"SINDU","2024-02-26","316.8","329","305.8","316.5","1.44 %","12,904.00"
"SINDU","2024-02-25","308.1","320.2","304.2","312","-0.64 %","16,187.00"
"SINDU","2024-02-22","318","320","310","314","-0.60 %","11,020.00"
"SINDU","2024-02-21","321.7","321.7","311.2","315.9","0.16 %","5,959.00"
"SINDU","2024-02-20","319","322","315.1","315.4","-1.44 %","10,803.00"
"SINDU","2024-02-18","324","324","316","320","-2.44 %","12,402.00"
"SINDU","2024-02-15","330","338.5","325","328","-1.44 %","22,362.00"
"SINDU","2024-02-14","317","340","316.3","332.8","3.19 %","47,648.00"
"SINDU","2024-02-13","335","335","319.5","322.5","-3.87 %","48,582.00"
"SINDU","2024-02-12","335","337","326","335.5","1.67 %","21,366.00"
"SINDU","2024-02-11","330","344.7","327","330","1.54 %","53,228.00"
"SINDU","2024-02-08","310","329","310","325","4.67 %","55,638.00"
"SINDU","2024-02-07","315.6","315.6","308","310.5","0.32 %","9,880.00"
"SINDU","2024-02-06","314.8","316.2","309","309.5","-0.45 %","10,360.00"
"SINDU","2024-02-05","307","311","303","310.9","3.29 %","9,400.00"
"SINDU","2024-02-04","295","305","294","301","2.38 %","6,662.00"
"SINDU","2024-02-01","307.9","308","294","294","-3.29 %","15,290.00"
"SINDU","2024-01-31","319.7","319.7","302","304","-3.49 %","13,195.00"
"SINDU","2024-01-30","319","319","309.3","315","0.38 %","12,189.00"
"SINDU","2024-01-29","307","318","307","313.8","0.61 %","16,525.00"
"SINDU","2024-01-28","309","313.1","300","311.9","1.93 %","15,543.00"
"SINDU","2024-01-25","297","307.5","297","306","0.99 %","9,959.00"
"SINDU","2024-01-24","312.1","312.1","303","303","-0.98 %","16,144.00"
"SINDU","2024-01-23","308","312","294","306","0.86 %","13,193.00"
"SINDU","2024-01-22","313","315","300","303.4","-1.49 %","19,931.00"
"SINDU","2024-01-21","320","320","308","308","-3.75 %","30,278.00"
"SINDU","2024-01-18","314","329.9","313.8","320","0.00 %","21,172.00"
"SINDU","2024-01-17","329","348","320","320","-1.02 %","70,619.00"
"SINDU","2024-01-16","310","330","310","323.3","2.96 %","47,665.00"
"SINDU","2024-01-14","317.2","319","311","314","0.96 %","34,847.00"
"SINDU","2024-01-11","316","316","304","311","0.29 %","29,315.00"
"SINDU","2024-01-10","314.1","327","310.1","310.1","0.68 %","53,787.00"
"SINDU","2024-01-09","282","308","282","308","10.00 %","90,467.00"
"SINDU","2024-01-08","277.3","280","270","280","2.98 %","6,315.00"
"SINDU","2024-01-07","271","274","265.1","271.9","1.46 %","12,040.00"
"SINDU","2024-01-04","280","280","266","268","-2.55 %","10,279.00"
"SINDU","2024-01-03","278.4","278.4","272","275","0.73 %","6,625.00"
"SINDU","2024-01-02","274.1","284.5","269","273","-2.15 %","9,531.00"
"SINDU","2024-01-01","283","283.4","275","279","0.40 %","7,561.00"
"SINDU","2023-12-28","284.5","284.5","273.5","277.9","-0.39 %","5,875.00"
"SINDU","2023-12-27","286.5","286.5","276","279","-0.68 %","8,509.00"
"SINDU","2023-12-24","285","297","280.9","280.9","-2.13 %","21,889.00"
"SINDU","2023-12-21","302","302","285","287","-4.33 %","23,228.00"
"SINDU","2023-12-20","302.1","302.1","288","300","0.33 %","37,925.00"
"SINDU","2023-12-19","308","308","289.1","299","-0.99 %","8,630.00"
"SINDU","2023-12-18","288.9","304.9","286.4","302","6.34 %","43,864.00"
"SINDU","2023-12-17","279.9","285","275","284","1.43 %","14,333.00"
"SINDU","2023-12-14","273.8","281","265","280","4.28 %","10,799.00"
"SINDU","2023-12-13","272.2","277.6","265","268.5","0.56 %","12,919.00"
"SINDU","2023-12-12","266.2","280","259","267","2.30 %","7,605.00"
"SINDU","2023-12-11","266.7","272","261","261","-0.19 %","2,952.00"
"SINDU","2023-12-10","256.4","261.5","256.4","261.5","4.02 %","86.00"
"SINDU","2023-12-07","258.5","258.5","251.4","251.4","-0.83 %","3,245.00"
"SINDU","2023-12-06","248","255.9","242","253.5","3.05 %","6,975.00"
"SINDU","2023-12-05","254.8","259.8","245.1","246","-1.56 %","2,730.00"
"SINDU","2023-12-04","250","255","245","249.9","0.97 %","3,835.00"
"SINDU","2023-12-03","249.9","254.8","241","247.5","1.02 %","3,325.00"
"SINDU","2023-11-30","253.9","253.9","245","245","-1.61 %","1,255.00"
"SINDU","2023-11-29","255","260.1","249","249","-2.35 %","859.00"
"SINDU","2023-11-28","256","256","252","255","1.59 %","1,678.00"
"SINDU","2023-11-27","250","257","250","251","-1.18 %","3,118.00"
"SINDU","2023-11-26","249.9","259.8","246","254","3.25 %","1,836.00"
"SINDU","2023-11-23","247.8","248","244","246","0.41 %","1,165.00"
"SINDU","2023-11-22","242","255","240.1","245","2.94 %","2,981.00"
"SINDU","2023-11-21","245","245","237","238","-1.45 %","1,842.00"
"SINDU","2023-11-20","243.8","253","241.1","241.5","1.00 %","1,710.00"
"SINDU","2023-11-09","247.7","247.7","239","239.1","-1.56 %","2,930.00"
"SINDU","2023-11-08","245","245","241","242.9","0.37 %","745.00"
"SINDU","2023-11-07","243","244","239","242","0.83 %","4,070.00"
"SINDU","2023-11-06","242.2","244.2","240","240","0.21 %","1,649.00"
"SINDU","2023-11-05","234","240","234","239.5","0.55 %","2,447.00"
"SINDU","2023-11-02","240.1","242","237.1","238.2","-2.74 %","964.00"
"SINDU","2023-11-01","240.6","244.9","240.2","244.9","-0.04 %","1,026.00"
"SINDU","2023-10-31","245.5","246","245","245","-1.96 %","200.00"
"SINDU","2023-10-30","237.5","249.9","237.5","249.9","3.69 %","1,545.00"
"SINDU","2023-10-29","238.3","241","238.3","241","-0.82 %","310.00"
"SINDU","2023-10-19","249","249","242","243","-1.22 %","3,106.00"
