"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMB","2024-08-11","1787.2","1850","1787.2","1823","4.04 %","2,925.00"
"SMB","2024-08-08","1800","1840","1750","1752.2","-1.01 %","1,305.00"
"SMB","2024-08-07","1792.9","1830","1760","1770","0.57 %","2,652.00"
"SMB","2024-08-06","1839","1839","1750","1760","-2.44 %","1,178.00"
"SMB","2024-08-05","1850","1860","1775","1804","-1.58 %","3,018.00"
"SMB","2024-08-01","1868","1870","1812","1833","-0.65 %","2,528.00"
"SMB","2024-07-31","1825.1","1893","1825.1","1845","-0.81 %","3,579.00"
"SMB","2024-07-30","1850","1877.9","1820.1","1860","0.54 %","1,256.00"
"SMB","2024-07-29","1919.1","1919.1","1848","1850","-5.52 %","2,169.00"
"SMB","2024-07-28","2009.9","2010","1870","1958","-0.66 %","3,230.00"
"SMB","2024-07-25","1881.9","2029.5","1881.9","1971","6.83 %","7,542.00"
"SMB","2024-07-24","1840.2","1890","1840.2","1845","-0.65 %","1,795.00"
"SMB","2024-07-23","1862","1899","1855","1857","-1.10 %","3,230.00"
"SMB","2024-07-22","1880","1880","1860","1877.7","-0.12 %","1,034.00"
"SMB","2024-07-21","1926","1926","1853","1880","-2.39 %","1,932.00"
"SMB","2024-07-18","1875","1948.2","1870","1926","1.42 %","3,690.00"
"SMB","2024-07-17","1896","1899","1864","1899","0.16 %","2,094.00"
"SMB","2024-07-16","1853","1897","1853","1896","1.94 %","1,061.00"
"SMB","2024-07-15","1883.1","1887.1","1853","1860","-3.12 %","2,257.00"
"SMB","2024-07-14","1885","1921","1885","1919.9","-0.05 %","3,666.00"
"SMB","2024-07-11","1880","1960","1854.2","1920.8","1.68 %","3,554.00"
"SMB","2024-07-10","1840","1955.3","1840","1889","4.65 %","5,593.00"
"SMB","2024-07-09","1627.3","1805","1627.3","1805","8.73 %","6,086.00"
"SMB","2024-07-08","1690","1690","1638.4","1660","-0.31 %","429.00"
"SMB","2024-07-07","1690","1690","1656","1665.1","0.19 %","2,170.00"
"SMB","2024-07-04","1625.1","1663","1625.1","1662","1.90 %","1,320.00"
"SMB","2024-07-03","1615","1639","1615","1631","-0.85 %","943.00"
"SMB","2024-07-02","1668","1701","1645","1645","0.55 %","1,020.00"
"SMB","2024-07-01","1605","1636.8","1600","1636","1.93 %","1,195.00"
"SMB","2024-06-30","1600.2","1662.6","1599","1605","-1.53 %","2,179.00"
"SMB","2024-06-27","1618.2","1650","1618.2","1630","-1.21 %","772.00"
"SMB","2024-06-26","1651","1660","1623.1","1650","-1.13 %","1,292.00"
"SMB","2024-06-25","1688","1688","1660","1668.9","-0.07 %","1,418.00"
"SMB","2024-06-24","1666","1698","1650","1670","2.14 %","1,020.00"
"SMB","2024-06-23","1695","1695","1628.1","1635","-2.38 %","812.00"
"SMB","2024-06-20","1703.4","1703.4","1650","1674.9","0.29 %","2,128.00"
"SMB","2024-06-19","1665","1677","1620.2","1670","1.52 %","3,902.00"
"SMB","2024-06-18","1620","1719","1587.6","1645","1.54 %","1,562.00"
"SMB","2024-06-16","1700","1700","1620","1620","-3.11 %","1,210.00"
"SMB","2024-06-13","1600.3","1695","1600.3","1672","2.39 %","2,300.00"
"SMB","2024-06-12","1635","1657","1592.5","1632.9","1.74 %","1,977.00"
"SMB","2024-06-11","1622","1622","1592.1","1605","0.89 %","1,403.00"
"SMB","2024-06-10","1622.6","1622.6","1560","1590.9","-0.01 %","1,365.00"
"SMB","2024-06-09","1604.2","1604.2","1545","1591","1.16 %","2,218.00"
"SMB","2024-06-06","1632","1632","1568.1","1572.8","-1.70 %","1,914.00"
"SMB","2024-06-05","1669","1669","1600","1600","-2.26 %","1,761.00"
"SMB","2024-06-04","1668.9","1668.9","1590","1637","-0.18 %","5,696.00"
"SMB","2024-06-03","1552","1670","1552","1640","3.80 %","2,102.00"
"SMB","2024-06-02","1580","1580","1555","1580","0.00 %","961.00"
"SMB","2024-05-30","1559","1590","1502","1580","1.35 %","783.00"
"SMB","2024-05-29","1645","1645","1550","1559","-3.71 %","881.00"
"SMB","2024-05-27","1570","1628","1540","1619","3.07 %","1,095.00"
"SMB","2024-05-26","1615","1620","1535","1570.8","-3.93 %","1,954.00"
"SMB","2024-05-22","1680","1680","1599","1635","-3.77 %","1,294.00"
"SMB","2024-05-21","1689","1723","1653","1699","1.13 %","2,905.00"
"SMB","2024-05-20","1674.8","1715","1625","1680","2.31 %","2,626.00"
"SMB","2024-05-19","1690","1740","1641","1642","-2.26 %","3,318.00"
"SMB","2024-05-16","1630","1715","1630","1680","3.32 %","5,493.00"
"SMB","2024-05-15","1580","1660","1556","1626","2.46 %","3,721.00"
