"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SMFDB","2023-07-13","1002.9","1002.9","950","967","-1.73 %","2,606.00"
"SMFDB","2023-07-12","966.9","984.3","933","984","3.80 %","3,300.00"
"SMFDB","2023-07-11","969","969","931","948","-1.76 %","1,314.00"
"SMFDB","2023-07-10","947","965","936","965","1.58 %","1,455.00"
"SMFDB","2023-07-09","960","960","926.6","950","0.53 %","1,223.00"
"SMFDB","2023-07-06","935.1","948","935.1","945","1.06 %","480.00"
"SMFDB","2023-07-05","936","954","935.1","935.1","-1.36 %","1,090.00"
"SMFDB","2023-07-04","930","948","930","948","1.83 %","285.00"
"SMFDB","2023-07-03","944","968","931","931","0.43 %","2,961.00"
"SMFDB","2023-07-02","984","985","927","927","-4.92 %","2,577.00"
"SMFDB","2023-06-28","1034","1034","963","975","-3.85 %","2,670.00"
"SMFDB","2023-06-27","975","1022","974","1014","5.85 %","5,728.00"
"SMFDB","2023-06-26","909.8","958","900","958","7.40 %","2,877.00"
"SMFDB","2023-06-25","872.1","924","872","892","0.39 %","2,709.00"
"SMFDB","2023-06-22","907","907","888.5","888.5","-2.04 %","1,518.00"
"SMFDB","2023-06-21","891","914","890","907","0.43 %","2,673.00"
"SMFDB","2023-06-20","904","938.4","902","903.1","-1.84 %","2,140.00"
"SMFDB","2023-06-19","931","949","905","920","-1.18 %","3,399.00"
"SMFDB","2023-06-18","921.9","931","921.9","931","1.75 %","1,655.00"
"SMFDB","2023-06-15","901","915","900","915","0.88 %","121.00"
"SMFDB","2023-06-14","907","943","906","907","1.67 %","1,794.00"
"SMFDB","2023-06-13","880","910","880","892.1","-0.55 %","1,631.00"
"SMFDB","2023-06-12","884","899.9","865","897","-0.33 %","618.00"
"SMFDB","2023-06-11","868","900","837.9","900","5.26 %","1,775.00"
"SMFDB","2023-06-08","846","855","840","855","-0.58 %","924.00"
"SMFDB","2023-06-07","847","881","847","860","3.49 %","636.00"
"SMFDB","2023-06-06","817.5","847","815.1","831","0.00 %","1,344.00"
"SMFDB","2023-06-05","836.3","836.3","803.6","831","1.34 %","3,931.00"
"SMFDB","2023-06-04","935","949","910","931.2","1.55 %","4,690.00"
"SMFDB","2023-06-01","890","918","890","917","1.89 %","693.00"
