"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SSHL","2024-08-11","216","233.2","212.2","233","9.91 %","571,229.00"
"SSHL","2024-08-08","215","218","210","212","-0.52 %","239,240.00"
"SSHL","2024-08-07","206","215.2","202.6","213.1","3.45 %","185,651.00"
"SSHL","2024-08-06","221.9","223.9","205","206","-5.50 %","305,430.00"
"SSHL","2024-08-05","220.8","225.2","213.7","218","0.69 %","249,096.00"
"SSHL","2024-08-01","219.5","225","215","216.5","-0.69 %","250,989.00"
"SSHL","2024-07-31","213.1","226","211","218","3.81 %","416,743.00"
"SSHL","2024-07-30","209","213","203.1","210","1.45 %","225,046.00"
"SSHL","2024-07-29","214.2","216","206.9","207","-1.43 %","258,153.00"
"SSHL","2024-07-28","210.1","218.4","202.9","210","1.94 %","197,246.00"
"SSHL","2024-07-25","216.2","216.2","202.8","206","-2.83 %","264,193.00"
"SSHL","2024-07-24","214.8","222.5","208.6","212","-3.24 %","330,880.00"
"SSHL","2024-07-23","207","220.8","207","219.1","3.84 %","255,082.00"
"SSHL","2024-07-22","211.1","214","200.1","211","1.93 %","329,017.00"
"SSHL","2024-07-21","192","210.8","192","207","7.81 %","517,317.00"
"SSHL","2024-07-18","195","198","190.2","192","-1.34 %","199,826.00"
"SSHL","2024-07-17","194.8","197.7","187.1","194.6","1.35 %","213,186.00"
"SSHL","2024-07-16","182.4","192","178.8","192","7.26 %","288,355.00"
"SSHL","2024-07-15","184.6","188.2","178","179","-1.10 %","108,047.00"
"SSHL","2024-07-14","178.5","182","175","181","3.43 %","101,367.00"
"SSHL","2024-07-11","175","176.4","172","175","1.45 %","65,767.00"
"SSHL","2024-07-10","168","174.3","168","172.5","1.95 %","59,225.00"
"SSHL","2024-07-09","167.2","170.2","167","169.2","0.71 %","41,329.00"
"SSHL","2024-07-08","172.2","172.2","167.6","168","-1.00 %","31,041.00"
"SSHL","2024-07-07","172","174","169.6","169.7","-1.45 %","48,132.00"
"SSHL","2024-07-04","173.4","173.4","168.2","172.2","1.29 %","58,440.00"
"SSHL","2024-07-03","169.8","174.8","167","170","-1.73 %","56,660.00"
"SSHL","2024-07-02","174.2","184.6","172.1","173","1.29 %","81,920.00"
"SSHL","2024-07-01","167","171.3","166","170.8","1.24 %","55,656.00"
"SSHL","2024-06-30","174","176.9","167.4","168.7","-4.69 %","76,698.00"
"SSHL","2024-06-27","195.8","195.8","174","177","-7.81 %","266,587.00"
"SSHL","2024-06-26","181.5","192","172.1","192","7.26 %","112,857.00"
"SSHL","2024-06-25","185.6","185.6","176.9","179","-3.56 %","129,185.00"
"SSHL","2024-06-24","174","185.6","172.5","185.6","6.91 %","182,255.00"
"SSHL","2024-06-23","179","179","173.3","173.6","-1.92 %","87,826.00"
"SSHL","2024-06-20","183","183","176.6","177","-4.17 %","138,219.00"
"SSHL","2024-06-19","181.1","187","179.5","184.7","1.60 %","197,474.00"
"SSHL","2024-06-18","180","188.5","179.4","181.8","-0.55 %","209,978.00"
"SSHL","2024-06-16","172.3","184.6","170","182.8","8.17 %","409,555.00"
"SSHL","2024-06-13","167","171.3","164","169","1.20 %","120,427.00"
"SSHL","2024-06-12","169","169","164","167","0.72 %","45,527.00"
"SSHL","2024-06-11","162.8","169.3","160","165.8","1.84 %","39,960.00"
"SSHL","2024-06-10","160","165","158.7","162.8","1.75 %","33,211.00"
"SSHL","2024-06-09","163","163","158.1","160","-1.23 %","31,939.00"
