"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UFL","2021-04-29","410","425","409","423","3.17 %","4,524.00"
"UFL","2021-04-28","418","418","405","410","-0.24 %","4,566.00"
"UFL","2021-04-27","397","418","393","411","1.99 %","5,985.00"
"UFL","2021-04-26","408","416","392","403","-1.23 %","11,058.00"
"UFL","2021-04-25","430","430","405","408","-5.12 %","6,850.00"
"UFL","2021-04-22","422","438","422","430","0.00 %","9,444.00"
"UFL","2021-04-21","440","440","421","430","-1.38 %","7,183.00"
"UFL","2021-04-20","445","450","433","436","-0.23 %","7,310.00"
"UFL","2021-04-19","457","466","433","437","0.23 %","21,249.00"
"UFL","2021-04-18","438","450","420","436","1.40 %","22,569.00"
"UFL","2021-04-15","434","465","426","430","0.94 %","31,691.00"
"UFL","2021-04-13","413","436","413","426","2.40 %","35,563.00"
"UFL","2021-04-12","440","440","408","416","-0.48 %","22,793.00"
"UFL","2021-04-08","431","432","418","418","-1.65 %","11,462.00"
"UFL","2021-04-07","447","447","418","425","-0.23 %","33,352.00"
"UFL","2021-04-06","454","454","415","426","-5.96 %","23,924.00"
"UFL","2021-04-05","450","453","415","453","1.80 %","48,265.00"
"UFL","2021-04-04","421","445","412","445","5.95 %","36,634.00"
"UFL","2021-04-01","380","420","379","420","9.95 %","52,464.00"
"UFL","2021-03-31","387","390","381","382","-1.29 %","20,730.00"
"UFL","2021-03-30","382","394","382","387","0.52 %","7,282.00"
"UFL","2021-03-29","402","402","378","385","-3.27 %","3,794.00"
"UFL","2021-03-25","395","401","387","398","2.05 %","24,096.00"
"UFL","2021-03-24","380","412","380","390","4.00 %","34,564.00"
"UFL","2021-03-23","376","379","370","375","-2.09 %","4,444.00"
"UFL","2021-03-22","370","384","370","383","3.51 %","37,045.00"
"UFL","2021-03-21","380","380","361","370","0.27 %","18,146.00"
"UFL","2021-03-18","372","386","368","369","-0.54 %","17,132.00"
"UFL","2021-03-17","367","396","367","371","3.06 %","37,006.00"
"UFL","2021-03-16","358","372","345","360","0.56 %","22,266.00"
"UFL","2021-03-15","353","358","346","358","-0.56 %","2,539.00"
"UFL","2021-03-14","353","372","347","360","1.98 %","12,966.00"
"UFL","2021-03-10","366","383","353","353","1.15 %","42,446.00"
"UFL","2021-03-09","324","349","324","349","9.75 %","27,764.00"
"UFL","2021-03-08","320","322","318","318","-1.24 %","655.00"
"UFL","2021-03-04","315","322","315","322","3.87 %","1,070.00"
"UFL","2021-03-03","315","318","310","310","-3.43 %","3,017.00"
"UFL","2021-03-02","329","332","314","321","-1.53 %","1,485.00"
"UFL","2021-03-01","312","330","312","326","0.00 %","1,810.00"
"UFL","2021-02-28","324","330","317","318","-2.75 %","3,620.00"
"UFL","2021-02-25","328","328","325","327","0.00 %","2,898.00"
"UFL","2021-02-24","332","338","330","331","1.53 %","2,266.00"
"UFL","2021-02-23","322","327","318","326","-0.61 %","6,012.00"
"UFL","2021-02-22","330","336","328","328","-2.38 %","4,463.00"
"UFL","2021-02-21","330","336","330","336","0.00 %","2,363.00"
"UFL","2021-02-18","345","345","335","336","-0.01 %","4,494.00"
"UFL","2021-02-17","333","342","333","341","0.01 %","3,679.00"
"UFL","2021-02-16","338","339","333","337","-0.01 %","8,519.00"
"UFL","2021-02-15","335","347","329","341","0.02 %","5,647.00"
"UFL","2021-02-14","331","349","331","335","0.02 %","7,912.00"
"UFL","2021-02-11","345","345","327","327","-0.04 %","8,560.00"
"UFL","2021-02-10","330","344","325","340","0.04 %","11,003.00"
"UFL","2021-02-09","330","336","323","333","0.01 %","11,084.00"
"UFL","2021-02-08","336","340","327","329","-0.00 %","11,363.00"
"UFL","2021-02-07","327","339","327","330","0.01 %","11,514.00"
"UFL","2021-02-04","335","340","327","327","-0.02 %","7,155.00"
"UFL","2021-02-03","340","340","329","335","0.00 %","4,710.00"
"UFL","2021-02-02","335","346","329","335","-0.01 %","5,785.00"
"UFL","2021-02-01","335","352","334","339","0.03 %","22,534.00"
"UFL","2021-01-31","343","347","325","330","-0.05 %","13,894.00"
"UFL","2021-01-28","348","354","348","349","-0.01 %","14,741.00"
"UFL","2021-01-27","361","363","352","353","-0.01 %","20,732.00"
"UFL","2021-01-26","330","356","325","356","0.10 %","96,929.00"
"UFL","2021-01-25","334","341","319","324","-0.02 %","16,664.00"
"UFL","2021-01-24","334","351","328","330","0.01 %","21,517.00"
"UFL","2021-01-21","335","342","318","328","-0.01 %","16,397.00"
"UFL","2021-01-20","318","334","315","333","0.05 %","16,123.00"
"UFL","2021-01-19","320","320","312","318","-0.02 %","17,761.00"
"UFL","2021-01-18","330","330","320","324","-0.02 %","17,698.00"
"UFL","2021-01-17","357","364","315","330","-0.06 %","72,213.00"
"UFL","2021-01-13","338","354","338","350","0.09 %","77,618.00"
"UFL","2021-01-12","307","322","307","322","0.10 %","15,710.00"
"UFL","2021-01-11","265","293","265","293","0.10 %","62,449.00"
"UFL","2021-01-10","247","267","247","267","0.10 %","23,795.00"
"UFL","2021-01-07","243","251","242","243","-0.01 %","16,263.00"
"UFL","2021-01-06","245","250","245","246","0.01 %","2,813.00"
"UFL","2021-01-05","250","250","241","244","-0.02 %","6,843.00"
"UFL","2021-01-04","244","253","244","249","0.04 %","1,447.00"
"UFL","2021-01-03","249","252","240","240","-0.03 %","7,608.00"
"UFL","2020-12-31","249","255","244","248","-0.00 %","8,032.00"
"UFL","2020-12-30","250","250","245","249","0.00 %","2,841.00"
"UFL","2020-12-29","253","253","245","249","0.00 %","7,393.00"
"UFL","2020-12-28","250","252","246","249","-0.01 %","3,941.00"
"UFL","2020-12-27","251","256","245","251","0.02 %","6,890.00"
"UFL","2020-12-24","262","262","246","247","-0.01 %","5,744.00"
"UFL","2020-12-23","258","263","248","250","-0.01 %","13,164.00"
"UFL","2020-12-22","241","258","241","253","0.07 %","27,013.00"
"UFL","2020-12-21","248","248","232","237","0.00 %","16,553.00"
"UFL","2020-12-20","237","241","227","237","0.02 %","7,059.00"
"UFL","2020-12-17","243","243","233","233","-0.03 %","3,120.00"
"UFL","2020-12-16","244","247","234","240","0.00 %","6,721.00"
"UFL","2020-12-15","240","242","234","240","0.01 %","7,051.00"
