"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UHEWA","2024-08-11","577.2","599","566","599","1.78 %","32,926.00"
"UHEWA","2024-08-08","590","609.9","568.4","588.5","-0.25 %","41,781.00"
"UHEWA","2024-08-07","550","599.9","544.1","590","7.27 %","44,176.00"
"UHEWA","2024-08-06","591.9","596","534","550","-6.14 %","25,499.00"
"UHEWA","2024-08-05","592.5","607.9","565.1","586","0.86 %","25,941.00"
"UHEWA","2024-08-01","580","599.9","559","581","-1.53 %","27,869.00"
"UHEWA","2024-07-31","553.7","612","553.7","590","4.42 %","55,439.00"
"UHEWA","2024-07-30","563","572","555","565","0.71 %","26,120.00"
"UHEWA","2024-07-29","555","571.2","555","561","1.08 %","31,053.00"
"UHEWA","2024-07-28","561","570","550","555","0.91 %","27,001.00"
"UHEWA","2024-07-25","545","561","537","550","0.00 %","26,082.00"
"UHEWA","2024-07-24","556","564","535","550","-3.00 %","46,823.00"
"UHEWA","2024-07-23","545","575","545","567","2.18 %","40,906.00"
"UHEWA","2024-07-22","550","557","530","554.9","2.00 %","56,731.00"
"UHEWA","2024-07-21","535","559.9","517","544","1.68 %","62,816.00"
"UHEWA","2024-07-18","533.4","542","508.5","535","2.29 %","52,473.00"
"UHEWA","2024-07-17","504.9","529","499.8","523","5.25 %","67,044.00"
"UHEWA","2024-07-16","470","497","470","496.9","6.56 %","37,331.00"
"UHEWA","2024-07-15","469.3","482","466.1","466.3","-2.61 %","13,182.00"
"UHEWA","2024-07-14","479.4","498.5","465","478.8","1.87 %","13,097.00"
"UHEWA","2024-07-11","470.3","480.4","467.3","470","-0.21 %","27,064.00"
"UHEWA","2024-07-10","475","480","470.2","471","-0.84 %","14,709.00"
"UHEWA","2024-07-09","466.5","478.9","466.5","475","0.42 %","9,708.00"
"UHEWA","2024-07-08","475","477","468.6","473","-1.03 %","24,622.00"
"UHEWA","2024-07-07","459","485.6","459","477.9","2.12 %","33,677.00"
"UHEWA","2024-07-04","471","477.9","465","468","-0.64 %","15,607.00"
"UHEWA","2024-07-03","471","480.4","466","471","-1.88 %","15,481.00"
"UHEWA","2024-07-02","489.2","515","475.4","480","0.06 %","25,802.00"
"UHEWA","2024-07-01","445.5","480","445.5","479.7","5.66 %","37,835.00"
"UHEWA","2024-06-30","458","464","454","454","-1.63 %","11,217.00"
"UHEWA","2024-06-27","478","478","461","461.5","-2.27 %","17,825.00"
"UHEWA","2024-06-26","482.3","485","467","472.2","-1.40 %","10,816.00"
"UHEWA","2024-06-25","471.9","489","461.6","478.9","2.77 %","27,408.00"
"UHEWA","2024-06-24","471","480.4","453","466","-2.86 %","36,580.00"
"UHEWA","2024-06-23","488.9","489","473.5","479.7","-0.08 %","27,826.00"
"UHEWA","2024-06-20","488","498","478.1","480.1","0.23 %","26,681.00"
"UHEWA","2024-06-19","475.1","484.5","473.2","479","0.84 %","19,667.00"
"UHEWA","2024-06-18","472.3","490","472","475","-1.43 %","27,064.00"
"UHEWA","2024-06-16","500.8","500.8","477","481.9","-1.85 %","46,125.00"
"UHEWA","2024-06-13","509.1","509.1","480.2","491","-3.56 %","48,753.00"
"UHEWA","2024-06-12","487.8","519","485","509.1","6.44 %","124,156.00"
"UHEWA","2024-06-11","427","478.3","427","478.3","9.98 %","81,348.00"
"UHEWA","2024-06-10","430","449.9","422","434.9","-0.66 %","25,523.00"
"UHEWA","2024-06-09","413","446","408.1","437.8","6.00 %","57,741.00"
