"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ULBSL","2024-08-11","2740","2850","2732.6","2751","2.26 %","5,637.00"
"ULBSL","2024-08-08","2700","2725","2682","2690.1","-0.40 %","1,251.00"
"ULBSL","2024-08-07","2670","2820","2670","2701","1.16 %","3,446.00"
"ULBSL","2024-08-06","2810","2810","2652","2670","-3.09 %","3,642.00"
"ULBSL","2024-08-05","2750","2942","2650.5","2755","2.03 %","4,059.00"
"ULBSL","2024-08-01","2850","2907","2676","2700.1","-5.26 %","3,843.00"
"ULBSL","2024-07-31","3060","3179.9","2825.1","2850","-5.00 %","1,791.00"
"ULBSL","2024-07-30","2755","3091","2755","3000","6.76 %","4,897.00"
"ULBSL","2024-07-29","2800.9","2912","2730","2810","-1.68 %","2,598.00"
"ULBSL","2024-07-28","2650.1","2858","2650","2858","10.00 %","4,766.00"
"ULBSL","2024-07-25","2315","2598.2","2315","2598.2","10.00 %","4,645.00"
"ULBSL","2024-07-24","2361","2492","2361","2362","-1.42 %","2,313.00"
"ULBSL","2024-07-23","2311.5","2524","2311.5","2396","3.66 %","2,659.00"
"ULBSL","2024-07-22","2274","2433.2","2047.1","2311.5","1.65 %","3,049.00"
"ULBSL","2024-07-21","2317","2360","2226.2","2274","0.11 %","3,763.00"
"ULBSL","2024-07-18","2106","2271.6","2067","2271.6","10.00 %","8,126.00"
"ULBSL","2024-07-17","2079","2163.6","1998.3","2065.1","1.28 %","4,399.00"
"ULBSL","2024-07-16","1985","2104","1985","2039","2.70 %","1,606.00"
"ULBSL","2024-07-15","2043","2085.9","1970","1985.3","-0.98 %","1,784.00"
"ULBSL","2024-07-14","2066.5","2107","2005","2005","-1.04 %","3,141.00"
"ULBSL","2024-07-11","2030","2050","2000.1","2026","-0.25 %","1,670.00"
"ULBSL","2024-07-10","1985","2099","1985","2031.1","2.74 %","4,558.00"
"ULBSL","2024-07-09","1914","2050","1914","1977","2.42 %","1,756.00"
"ULBSL","2024-07-08","1930","1963","1925","1930.2","0.27 %","366.00"
"ULBSL","2024-07-07","1920","1949","1911.1","1925","0.71 %","879.00"
"ULBSL","2024-07-04","1978","1999","1911.4","1911.4","-1.47 %","3,212.00"
"ULBSL","2024-07-03","1851.9","1965.1","1851.9","1940","6.85 %","2,741.00"
"ULBSL","2024-07-02","1979.8","2049","1770","1815.6","-6.46 %","3,719.00"
"ULBSL","2024-07-01","1960","1983","1941","1941","-0.97 %","808.00"
"ULBSL","2024-06-30","1948.1","2023","1948.1","1960","-1.36 %","1,325.00"
"ULBSL","2024-06-27","2054","2054","1967.4","1987","-1.34 %","1,713.00"
"ULBSL","2024-06-26","2036","2100","1975","2014","0.71 %","1,369.00"
"ULBSL","2024-06-25","2025","2065","1999.9","1999.9","0.70 %","140.00"
"ULBSL","2024-06-24","2065","2100","1970","1986","-1.93 %","1,595.00"
"ULBSL","2024-06-23","2091.4","2091.4","2015.3","2025","-5.11 %","1,223.00"
"ULBSL","2024-06-20","2026.9","2217","1998","2134","3.24 %","6,222.00"
"ULBSL","2024-06-19","2003","2160.8","1987.8","2067","5.22 %","5,461.00"
"ULBSL","2024-06-18","1937.2","2090","1900","1964.4","-0.62 %","7,162.00"
"ULBSL","2024-06-16","1949","1987","1880.1","1976.7","3.44 %","2,957.00"
"ULBSL","2024-06-13","1951","1970","1911","1911","-2.75 %","2,517.00"
"ULBSL","2024-06-12","1951","1985","1951","1965","-0.20 %","854.00"
"ULBSL","2024-06-11","1947","2000","1910","1969","1.18 %","3,655.00"
"ULBSL","2024-06-10","1921","1970","1921","1946","-0.71 %","1,624.00"
"ULBSL","2024-06-09","1994","2000","1923","1960","-1.71 %","6,002.00"
"ULBSL","2024-06-06","1999.9","2056","1921","1994","0.76 %","8,421.00"
"ULBSL","2024-06-05","1880.7","2000","1770.9","1978.9","3.12 %","9,776.00"
"ULBSL","2024-06-04","1850","1925","1850","1919","4.29 %","7,260.00"
"ULBSL","2024-06-03","1758","1880","1756","1840","4.73 %","3,231.00"
"ULBSL","2024-06-02","1750","1770","1715","1756.9","-0.37 %","984.00"
"ULBSL","2024-05-30","1763.2","1805","1763.2","1763.4","-1.92 %","1,135.00"
"ULBSL","2024-05-29","1800","1831.9","1766","1798","1.24 %","1,865.00"
"ULBSL","2024-05-27","1824","1855","1776","1776","-2.95 %","1,473.00"
"ULBSL","2024-05-26","1805","1838","1772","1830","1.39 %","3,585.00"
"ULBSL","2024-05-22","1900","1900","1783","1805","-4.45 %","4,104.00"
"ULBSL","2024-05-21","1816.2","2004","1779.9","1889","2.00 %","3,513.00"
"ULBSL","2024-05-20","1960","1965","1848","1852","-7.40 %","7,242.00"
"ULBSL","2024-05-19","1952","2029","1840.1","2000","0.51 %","7,377.00"
"ULBSL","2024-05-16","1850","2020.3","1817","1989.8","8.34 %","8,043.00"
"ULBSL","2024-05-15","1703","1836.7","1699","1836.7","10.00 %","18,198.00"
"ULBSL","2024-05-14","1518","1669.8","1488.1","1669.8","10.00 %","9,112.00"
"ULBSL","2024-05-13","1500","1518","1462","1518","1.27 %","1,816.00"
"ULBSL","2024-05-12","1449.5","1507.5","1430.1","1499","1.35 %","1,894.00"
"ULBSL","2024-05-09","1470","1489","1436","1479","-0.87 %","1,607.00"
"ULBSL","2024-05-08","1401","1540","1398","1492","4.78 %","4,754.00"
"ULBSL","2024-05-07","1399.7","1458.2","1399.7","1424","2.82 %","1,192.00"
"ULBSL","2024-05-06","1410","1413","1367","1385","-3.62 %","896.00"
"ULBSL","2024-05-05","1456","1500","1430","1437","0.63 %","2,348.00"
"ULBSL","2024-05-02","1420","1469","1407.1","1428","2.37 %","2,169.00"
"ULBSL","2024-04-30","1373.1","1459","1373.1","1395","-0.36 %","971.00"
"ULBSL","2024-04-29","1417.8","1417.8","1372","1400","0.72 %","1,245.00"
"ULBSL","2024-04-28","1379","1430","1361","1390","2.58 %","1,986.00"
"ULBSL","2024-04-25","1361","1379","1355","1355","-0.15 %","739.00"
"ULBSL","2024-04-24","1374.9","1382","1348.1","1357","0.67 %","428.00"
"ULBSL","2024-04-22","1380","1380","1348","1348","-3.65 %","1,238.00"
"ULBSL","2024-04-21","1320","1399","1295","1399","6.24 %","1,721.00"
"ULBSL","2024-04-18","1355","1355","1315.1","1316.8","-2.82 %","534.00"
"ULBSL","2024-04-16","1403","1407.6","1350","1355","-1.81 %","890.00"
"ULBSL","2024-04-15","1440","1441.2","1380","1380","-2.34 %","1,530.00"
"ULBSL","2024-04-14","1345","1413","1320","1413","5.04 %","1,537.00"
"ULBSL","2024-04-10","1400","1400","1345","1345.2","-2.94 %","3,314.00"
"ULBSL","2024-04-09","1402","1444","1380","1386","-1.00 %","3,434.00"
"ULBSL","2024-04-07","1403.5","1465","1400","1400","1.74 %","5,122.00"
"ULBSL","2024-04-04","1365","1450","1365","1376","0.81 %","5,348.00"
"ULBSL","2024-04-03","1320","1450","1290","1365","3.41 %","4,414.00"
"ULBSL","2024-04-02","1239","1336.5","1215","1320","8.64 %","6,345.00"
"ULBSL","2024-04-01","1205","1224","1200","1215","-0.08 %","979.00"
"ULBSL","2024-03-31","1254","1254","1216","1216","-1.14 %","837.00"
"ULBSL","2024-03-28","1205","1265","1205","1230","2.07 %","781.00"
"ULBSL","2024-03-27","1225","1249.5","1204","1205","0.33 %","1,903.00"
"ULBSL","2024-03-26","1213","1250","1201","1201","-0.96 %","494.00"
"ULBSL","2024-03-25","1260","1285","1212.1","1212.7","-3.75 %","642.00"
"ULBSL","2024-03-21","1295","1319.8","1256.4","1260","-2.70 %","2,643.00"
"ULBSL","2024-03-20","1264","1335","1264","1295","4.49 %","4,992.00"
"ULBSL","2024-03-19","1229.9","1270","1207.2","1239.3","2.75 %","3,419.00"
"ULBSL","2024-03-18","1225.1","1225.1","1183.1","1206.1","-1.54 %","1,500.00"
"ULBSL","2024-03-17","1254","1254","1194.1","1225","-1.21 %","1,372.00"
"ULBSL","2024-03-14","1223.1","1290","1220","1240","-0.64 %","3,917.00"
"ULBSL","2024-03-13","1220","1258.6","1196","1248","2.28 %","2,699.00"
"ULBSL","2024-03-12","1192","1242","1170","1220.2","4.34 %","3,640.00"
"ULBSL","2024-03-10","1141.9","1200","1130","1169.5","4.42 %","3,091.00"
"ULBSL","2024-03-07","1115","1122","1093.1","1120","0.00 %","484.00"
"ULBSL","2024-03-06","1089","1131.1","1089","1120","0.99 %","792.00"
"ULBSL","2024-03-05","1127","1135","1075","1109","-3.52 %","643.00"
"ULBSL","2024-03-04","1127","1149.5","1127","1149.5","4.03 %","20.00"
"ULBSL","2024-03-03","1074.5","1105","1055.1","1105","0.78 %","140.00"
"ULBSL","2024-02-29","1079","1099","1060.4","1096.4","-0.42 %","624.00"
"ULBSL","2024-02-28","1075","1101","1055","1101","2.32 %","772.00"
"ULBSL","2024-02-27","1070","1078","1054.1","1076","0.09 %","432.00"
"ULBSL","2024-02-26","1059","1075","1045","1075","-0.46 %","226.00"
"ULBSL","2024-02-25","1086","1086","1065.3","1080","-0.64 %","249.00"
"ULBSL","2024-02-22","1090","1100","1060","1087","-0.99 %","525.00"
"ULBSL","2024-02-21","1121","1121","1077","1097.9","-0.19 %","349.00"
"ULBSL","2024-02-20","1100","1100","1078.1","1100","0.00 %","342.00"
"ULBSL","2024-02-18","1111","1111","1089","1100","-0.36 %","1,212.00"
"ULBSL","2024-02-15","1082","1104","1082","1104","0.36 %","200.00"
"ULBSL","2024-02-14","1103","1105","1100","1100","-0.27 %","237.00"
"ULBSL","2024-02-13","1120","1122","1100","1103","-1.52 %","432.00"
"ULBSL","2024-02-12","1095","1120","1093.3","1120","0.54 %","639.00"
"ULBSL","2024-02-11","1100","1117","1092","1114","-0.07 %","1,494.00"
"ULBSL","2024-02-08","1108","1133","1108","1114.8","-0.64 %","639.00"
"ULBSL","2024-02-07","1112","1139","1112","1122","0.18 %","852.00"
"ULBSL","2024-02-06","1120","1131","1107.1","1120","0.00 %","380.00"
"ULBSL","2024-02-05","1120","1137","1101","1120","0.00 %","559.00"
"ULBSL","2024-02-04","1093","1158","1093","1120","0.54 %","924.00"
"ULBSL","2024-02-01","1133","1133","1101.3","1114","-1.68 %","584.00"
