"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ULHC","2024-08-11","428","452","426","445.1","3.78 %","76,189.00"
"ULHC","2024-08-08","440","444","419","428.9","-1.63 %","45,119.00"
"ULHC","2024-08-07","413","442","409.2","436","5.57 %","50,257.00"
"ULHC","2024-08-06","445","455","410","413","-5.49 %","71,062.00"
"ULHC","2024-08-05","424","451","417","437","2.85 %","48,618.00"
"ULHC","2024-08-01","429.9","440","422.4","424.9","-0.54 %","74,226.00"
"ULHC","2024-07-31","425","439.6","425","427.2","0.99 %","65,050.00"
"ULHC","2024-07-30","399","423","397","423","5.75 %","63,996.00"
"ULHC","2024-07-29","410","415","399","400","-1.96 %","35,841.00"
"ULHC","2024-07-28","416.1","424","405","408","0.00 %","38,277.00"
"ULHC","2024-07-25","408.4","422","408","408","-0.99 %","40,434.00"
"ULHC","2024-07-24","427","431","411","412.1","-3.49 %","50,033.00"
"ULHC","2024-07-23","416","430","416","427","2.15 %","34,854.00"
"ULHC","2024-07-22","424","436","410.2","418","-0.36 %","57,340.00"
"ULHC","2024-07-21","410","422","403.2","419.5","3.58 %","82,096.00"
"ULHC","2024-07-18","411","420","405","405","-1.22 %","55,746.00"
"ULHC","2024-07-17","420","420","405","410","-0.97 %","54,434.00"
"ULHC","2024-07-16","397","415","393","414","5.08 %","48,702.00"
"ULHC","2024-07-15","407.1","407.1","394","394","-3.12 %","35,012.00"
"ULHC","2024-07-14","406.9","415","400","406.7","1.93 %","32,648.00"
"ULHC","2024-07-11","398","402.5","392","399","1.40 %","39,332.00"
"ULHC","2024-07-10","396.9","396.9","390.2","393.5","0.90 %","29,840.00"
"ULHC","2024-07-09","386","392.5","386","390","0.26 %","16,085.00"
"ULHC","2024-07-08","390","396","387","389","-0.99 %","16,866.00"
"ULHC","2024-07-07","399","399","388","392.9","-0.03 %","25,358.00"
"ULHC","2024-07-04","386","403","386","393","0.77 %","19,853.00"
"ULHC","2024-07-03","391","396","385","390","-1.76 %","24,609.00"
"ULHC","2024-07-02","397.8","421","393","397","1.79 %","42,323.00"
"ULHC","2024-07-01","386.1","396.3","385","390","-0.74 %","22,593.00"
"ULHC","2024-06-30","386","397","386","392.9","0.23 %","24,212.00"
"ULHC","2024-06-27","391.7","398","391","392","-1.01 %","12,336.00"
"ULHC","2024-06-26","403","409.5","393","396","-0.75 %","39,592.00"
