"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UNHPL","2024-08-11","303.9","321","303.9","320","7.38 %","256,941.00"
"UNHPL","2024-08-08","310","310","294","298","-2.26 %","125,011.00"
"UNHPL","2024-08-07","285","305","284","304.9","6.24 %","120,091.00"
"UNHPL","2024-08-06","302","313.1","286.2","287","-5.28 %","174,279.00"
"UNHPL","2024-08-05","296","313.1","290.1","303","2.36 %","137,844.00"
"UNHPL","2024-08-01","315.9","315.9","295.8","296","-4.45 %","143,586.00"
"UNHPL","2024-07-31","308.9","315","304","309.8","2.28 %","165,772.00"
"UNHPL","2024-07-30","292","306","290","302.9","3.73 %","181,841.00"
"UNHPL","2024-07-29","290","304","281","292","2.46 %","226,091.00"
"UNHPL","2024-07-28","285.6","300.9","272.5","285","1.79 %","104,993.00"
"UNHPL","2024-07-25","285","286","276","280","-1.41 %","110,893.00"
"UNHPL","2024-07-24","304.9","304.9","276.7","284","-5.02 %","154,391.00"
"UNHPL","2024-07-23","291.6","300","289","299","4.58 %","184,799.00"
"UNHPL","2024-07-22","285","289.8","274","285.9","2.29 %","226,695.00"
"UNHPL","2024-07-21","267","291.3","261","279.5","5.51 %","191,157.00"
"UNHPL","2024-07-18","270","273.3","263","264.9","-1.16 %","126,176.00"
"UNHPL","2024-07-17","270","276","260.7","268","-0.74 %","132,935.00"
"UNHPL","2024-07-16","254","272","249","270","7.78 %","156,950.00"
"UNHPL","2024-07-15","250","256","245.3","250.5","1.01 %","95,049.00"
"UNHPL","2024-07-14","245.8","250.7","238.5","248","2.90 %","70,421.00"
"UNHPL","2024-07-11","244","244.8","239","241","0.42 %","36,447.00"
"UNHPL","2024-07-10","241.7","244.8","237","240","1.27 %","45,754.00"
"UNHPL","2024-07-09","238","240","236","237","-0.42 %","31,405.00"
"UNHPL","2024-07-08","240","240","236","238","-0.83 %","25,870.00"
"UNHPL","2024-07-07","241","241.3","237.6","240","0.76 %","39,910.00"
"UNHPL","2024-07-04","241","242.9","238","238.2","-1.53 %","33,327.00"
"UNHPL","2024-07-03","238.5","243.9","238.5","241.9","0.50 %","55,714.00"
"UNHPL","2024-07-02","240.1","249.7","237","240.7","2.25 %","61,903.00"
"UNHPL","2024-07-01","238.9","241","235.1","235.4","-0.68 %","30,906.00"
"UNHPL","2024-06-30","239.7","239.7","231.1","237","0.85 %","31,157.00"
"UNHPL","2024-06-27","235","238.9","231.4","235","-1.67 %","20,171.00"
"UNHPL","2024-06-26","240","243","236","239","0.84 %","47,553.00"
"UNHPL","2024-06-25","229","240.5","229","237","2.60 %","30,379.00"
"UNHPL","2024-06-24","236","236","229","231","-0.56 %","34,521.00"
"UNHPL","2024-06-23","241.7","246","232.3","232.3","-1.98 %","21,661.00"
"UNHPL","2024-06-20","245.8","245.8","237","237","-1.66 %","39,441.00"
"UNHPL","2024-06-19","243.9","243.9","237","241","0.42 %","35,280.00"
"UNHPL","2024-06-18","239.1","248.5","239.1","240","-1.60 %","76,757.00"
"UNHPL","2024-06-16","233.5","250","233.5","243.9","4.45 %","167,419.00"
"UNHPL","2024-06-13","233.1","238.9","232.5","233.5","-0.89 %","46,529.00"
"UNHPL","2024-06-12","242.7","242.7","235.4","235.6","-1.01 %","37,632.00"
"UNHPL","2024-06-11","234","244","231.1","238","3.03 %","71,809.00"
"UNHPL","2024-06-10","227.3","232","221","231","3.63 %","45,861.00"
"UNHPL","2024-06-09","223.3","223.3","219.1","222.9","1.78 %","19,368.00"
"UNHPL","2024-06-06","222","224","218.2","219","-1.26 %","19,242.00"
"UNHPL","2024-06-05","227","227","219.6","221.8","-0.98 %","33,048.00"
"UNHPL","2024-06-04","229","229.5","224","224","-0.44 %","13,529.00"
"UNHPL","2024-06-03","232","232.7","224","225","-1.32 %","26,708.00"
"UNHPL","2024-06-02","225","228.4","223.5","228","1.83 %","18,758.00"
"UNHPL","2024-05-30","227","235.5","222.5","223.9","-2.35 %","22,606.00"
"UNHPL","2024-05-29","235","235.5","223.2","229.3","-0.69 %","31,965.00"
"UNHPL","2024-05-27","228.2","232","228","230.9","1.27 %","17,530.00"
"UNHPL","2024-05-26","232","235.7","225.3","228","-1.94 %","10,344.00"
"UNHPL","2024-05-22","236.2","241","232","232.5","-3.53 %","35,591.00"
"UNHPL","2024-05-21","219.6","241","219.6","241","7.59 %","63,474.00"
"UNHPL","2024-05-20","224","230.9","223.2","224","1.68 %","30,669.00"
"UNHPL","2024-05-19","223","226","219","220.3","0.50 %","29,382.00"
"UNHPL","2024-05-16","223","224.5","217.2","219.2","-0.41 %","17,536.00"
"UNHPL","2024-05-15","233","233","218","220.1","-3.76 %","30,770.00"
"UNHPL","2024-05-14","222","230","220","228.7","3.62 %","35,895.00"
"UNHPL","2024-05-13","219","223.6","214.7","220.7","2.65 %","13,982.00"
"UNHPL","2024-05-12","219","220","212.6","215","-0.46 %","19,959.00"
"UNHPL","2024-05-09","220","220","214.2","216","-0.23 %","21,886.00"
"UNHPL","2024-05-08","221","221","215","216.5","-0.69 %","10,860.00"
"UNHPL","2024-05-07","223.8","223.8","217.6","218","-0.68 %","15,384.00"
"UNHPL","2024-05-06","226","226","217.6","219.5","-1.08 %","13,097.00"
"UNHPL","2024-05-05","229","229","218.7","221.9","-1.38 %","25,190.00"
"UNHPL","2024-05-02","233.5","233.5","222.3","225","-1.75 %","25,548.00"
"UNHPL","2024-04-30","220","236","220","229","2.10 %","48,221.00"
"UNHPL","2024-04-29","228","228","220.1","224.3","-0.31 %","25,660.00"
"UNHPL","2024-04-28","224","227.5","222.1","225","0.90 %","13,011.00"
"UNHPL","2024-04-25","223","227.7","223","223","-0.13 %","12,315.00"
"UNHPL","2024-04-24","230.5","230.5","223","223.3","-1.19 %","14,463.00"
"UNHPL","2024-04-22","231.4","232","224.1","226","-0.88 %","16,992.00"
"UNHPL","2024-04-21","225.3","230","222.7","228","0.44 %","16,951.00"
"UNHPL","2024-04-18","230","230","226","227","-0.87 %","10,466.00"
"UNHPL","2024-04-16","229.1","233","228","229","-1.93 %","10,957.00"
"UNHPL","2024-04-15","236.2","238","229.1","233.5","0.82 %","19,249.00"
"UNHPL","2024-04-14","235","235","230","231.6","-0.22 %","24,395.00"
"UNHPL","2024-04-10","234","238","232.1","232.1","-0.81 %","30,481.00"
"UNHPL","2024-04-09","232.1","239","231.1","234","0.86 %","37,550.00"
"UNHPL","2024-04-07","232.4","233","227.4","232","1.75 %","20,451.00"
"UNHPL","2024-04-04","229.1","234","227","228","-1.64 %","33,835.00"
"UNHPL","2024-04-03","232.5","235","229.5","231.8","0.09 %","19,297.00"
"UNHPL","2024-04-02","238","241","231.6","231.6","-1.03 %","20,536.00"
"UNHPL","2024-04-01","235","243.6","234","234","-2.09 %","47,052.00"
"UNHPL","2024-03-31","240","243","236","239","-0.21 %","29,776.00"
"UNHPL","2024-03-28","239","243.5","236.1","239.5","-0.13 %","30,753.00"
"UNHPL","2024-03-27","241.1","248.9","238.2","239.8","-2.12 %","49,980.00"
"UNHPL","2024-03-26","235","252.9","235","245","4.26 %","95,177.00"
"UNHPL","2024-03-25","233","240","233","235","-1.01 %","16,381.00"
"UNHPL","2024-03-21","231","241.9","231","237.4","0.94 %","33,507.00"
"UNHPL","2024-03-20","242.7","247.4","235.2","235.2","-1.18 %","56,723.00"
"UNHPL","2024-03-19","245","251.9","238","238","-3.25 %","86,337.00"
"UNHPL","2024-03-18","245.1","248.9","243","246","0.37 %","43,634.00"
"UNHPL","2024-03-17","252","254.5","245","245.1","-4.63 %","52,278.00"
"UNHPL","2024-03-14","256","259.8","248","257","-1.00 %","84,066.00"
"UNHPL","2024-03-13","259.5","261.6","253.4","259.6","0.04 %","66,919.00"
"UNHPL","2024-03-12","260","261","256","259.5","0.66 %","82,403.00"
"UNHPL","2024-03-10","252.1","260","252.1","257.8","4.29 %","78,717.00"
"UNHPL","2024-03-07","241.1","268","222.5","247.2","0.49 %","187,623.00"
"UNHPL","2024-03-06","249.9","253.8","237.5","246","0.41 %","103,818.00"
"UNHPL","2024-03-05","260","260","240","245","-5.59 %","105,608.00"
"UNHPL","2024-03-04","244.8","259.5","244.8","259.5","8.13 %","1,100.00"
"UNHPL","2024-03-03","239.3","243.7","234.6","240","-1.23 %","36,425.00"
"UNHPL","2024-02-29","255.9","255.9","241","243","-3.57 %","65,749.00"
"UNHPL","2024-02-28","256","261","252","252","-1.56 %","73,709.00"
"UNHPL","2024-02-27","251.5","266.3","251.5","256","0.00 %","79,321.00"
"UNHPL","2024-02-26","238.4","260","238.4","256","5.26 %","82,938.00"
"UNHPL","2024-02-25","250","257","243.1","243.2","-3.49 %","90,769.00"
"UNHPL","2024-02-22","265.2","265.2","248.5","252","-3.08 %","90,836.00"
"UNHPL","2024-02-21","271","273","260","260","-3.70 %","103,529.00"
