"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UNLB","2024-08-11","2371.5","2557","2358.1","2447","5.25 %","12,714.00"
"UNLB","2024-08-08","2354.1","2354.1","2276","2325","0.74 %","6,395.00"
"UNLB","2024-08-07","2260","2309","2260","2308","2.12 %","1,772.00"
"UNLB","2024-08-06","2323","2323","2260","2260","-4.64 %","4,365.00"
"UNLB","2024-08-05","2289","2400","2253.2","2370","3.54 %","3,458.00"
"UNLB","2024-08-01","2335.5","2428","2245.1","2289","-3.94 %","4,161.00"
"UNLB","2024-07-31","2350","2402.1","2300.2","2383","1.40 %","4,381.00"
"UNLB","2024-07-30","2270","2360","2270","2350","1.56 %","2,063.00"
"UNLB","2024-07-29","2400","2400","2300","2314","-4.50 %","5,949.00"
"UNLB","2024-07-28","2465","2465","2324","2423","0.17 %","3,491.00"
"UNLB","2024-07-25","2264","2420","2264","2419","8.96 %","8,831.00"
"UNLB","2024-07-24","2259","2275","2190.3","2220","-0.67 %","2,099.00"
"UNLB","2024-07-23","2220","2250","2171","2235","0.49 %","4,449.00"
"UNLB","2024-07-22","2205","2250","2205","2224","-1.07 %","2,049.00"
"UNLB","2024-07-21","2229","2392","2229","2248","-0.35 %","3,094.00"
"UNLB","2024-07-18","2250.2","2340.9","2250","2256","1.17 %","6,567.00"
"UNLB","2024-07-17","2220","2275","2176","2230","-0.89 %","2,123.00"
"UNLB","2024-07-16","2147.1","2340","2145","2250","3.40 %","2,016.00"
"UNLB","2024-07-15","2190","2299","2136","2176","-0.51 %","2,940.00"
"UNLB","2024-07-14","2209","2298.1","2175","2187.1","-0.99 %","2,089.00"
"UNLB","2024-07-11","2250","2280","2175","2209","-0.18 %","4,698.00"
"UNLB","2024-07-10","2248","2295","2211","2213","0.14 %","3,469.00"
"UNLB","2024-07-09","2045","2212","2004.1","2210","9.79 %","7,815.00"
"UNLB","2024-07-08","2040","2045","2000","2013","-1.28 %","1,980.00"
"UNLB","2024-07-07","2060","2065","1994","2039","0.69 %","4,990.00"
"UNLB","2024-07-04","2000","2069.9","1972.1","2025","-0.74 %","855.00"
"UNLB","2024-07-03","2010","2040","1987.3","2040","1.39 %","1,275.00"
"UNLB","2024-07-02","2027","2185","1988","2012.1","1.21 %","2,663.00"
"UNLB","2024-07-01","1970","1995","1962","1988","0.66 %","2,446.00"
"UNLB","2024-06-30","1956","1995.1","1956","1975","-0.70 %","1,325.00"
"UNLB","2024-06-27","1978","1989","1970","1989","0.39 %","578.00"
"UNLB","2024-06-26","1990","2075","1981","1981.2","-1.29 %","1,130.00"
"UNLB","2024-06-25","2000","2019","1990","2007","-0.64 %","1,170.00"
"UNLB","2024-06-24","2010","2034","1985","2020","1.00 %","2,544.00"
"UNLB","2024-06-23","1975","2020","1971.1","2000","0.00 %","1,749.00"
"UNLB","2024-06-20","2084","2085","2000","2000","-2.20 %","3,246.00"
"UNLB","2024-06-19","1998","2069","1998","2045","3.75 %","2,874.00"
"UNLB","2024-06-18","1967.1","2035","1967.1","1971.1","-1.45 %","1,859.00"
"UNLB","2024-06-16","2001.1","2036","1990","2000","-1.38 %","973.00"
"UNLB","2024-06-13","2025","2050","1985","2028","0.74 %","2,410.00"
"UNLB","2024-06-12","2065","2070","2003","2013.1","-0.83 %","3,827.00"
"UNLB","2024-06-11","1986","2030","1986","2030","0.20 %","3,040.00"
"UNLB","2024-06-10","2009","2026","1940","2026","2.84 %","1,192.00"
"UNLB","2024-06-09","1955","2027","1955","1970","-1.20 %","2,971.00"
"UNLB","2024-06-06","2020","2075","1990","1994","-0.30 %","3,087.00"
"UNLB","2024-06-05","2020","2050","1951","2000","0.86 %","4,745.00"
"UNLB","2024-06-04","2040","2040","1940","1983","-1.29 %","4,567.00"
"UNLB","2024-06-03","1938","2038","1896","2009","3.61 %","4,880.00"
"UNLB","2024-06-02","1930","1950","1891.1","1939","-0.05 %","1,525.00"
"UNLB","2024-05-30","1940","1965","1882","1940","-1.97 %","15,034.00"
"UNLB","2024-05-29","2027","2028","1956","1979","-0.50 %","860.00"
"UNLB","2024-05-27","1967","2100","1928.5","1989","1.12 %","2,035.00"
"UNLB","2024-05-26","2000","2006","1932","1967","0.00 %","2,687.00"
"UNLB","2024-05-22","2040","2042","1965","1967","-1.75 %","2,079.00"
"UNLB","2024-05-21","2025","2061.4","1982.1","2002","-0.83 %","3,771.00"
"UNLB","2024-05-20","2140","2142","1971","2018.8","-5.66 %","7,032.00"
"UNLB","2024-05-19","2145","2193","2006","2140","1.52 %","7,695.00"
"UNLB","2024-05-16","2080.9","2193","2080","2108","3.33 %","6,052.00"
"UNLB","2024-05-15","1854","2040.1","1850","2040.1","10.00 %","11,483.00"
"UNLB","2024-05-14","1715","1854.7","1705","1854.7","10.00 %","12,551.00"
"UNLB","2024-05-13","1622.2","1731.9","1622.2","1686.1","1.89 %","3,281.00"
"UNLB","2024-05-12","1697","1697","1651.1","1654.9","-1.73 %","2,468.00"
"UNLB","2024-05-09","1690","1690","1660","1684","-1.81 %","930.00"
"UNLB","2024-05-08","1646.2","1719","1615","1715","6.26 %","6,631.00"
"UNLB","2024-05-07","1580","1620","1580","1614","0.88 %","1,605.00"
"UNLB","2024-05-06","1602","1629","1582","1600","-1.54 %","1,340.00"
"UNLB","2024-05-05","1610","1660","1600","1625","0.31 %","3,711.00"
"UNLB","2024-05-02","1600","1674","1600","1620","1.25 %","1,502.00"
"UNLB","2024-04-30","1580.4","1615","1565.2","1600","-0.62 %","2,077.00"
"UNLB","2024-04-29","1600.2","1610","1597","1610","-0.86 %","695.00"
"UNLB","2024-04-28","1586","1660","1582","1624","2.40 %","1,860.00"
"UNLB","2024-04-25","1618.5","1650","1586","1586","-3.81 %","895.00"
"UNLB","2024-04-24","1649","1660","1600","1648.9","1.91 %","2,655.00"
"UNLB","2024-04-22","1605","1669","1605","1618","0.81 %","2,040.00"
"UNLB","2024-04-21","1565","1614.9","1565","1605","0.94 %","1,794.00"
"UNLB","2024-04-18","1609","1630","1590","1590","-3.07 %","2,311.00"
"UNLB","2024-04-16","1685","1685","1630","1640.3","-3.39 %","2,798.00"
"UNLB","2024-04-15","1720","1779","1667","1697.9","-0.12 %","1,235.00"
"UNLB","2024-04-14","1630","1768.6","1575","1700","4.29 %","2,758.00"
"UNLB","2024-04-10","1700","1721","1615.2","1630","-3.44 %","1,360.00"
"UNLB","2024-04-09","1677.9","1746","1652.5","1688","0.60 %","1,886.00"
"UNLB","2024-04-07","1635","1677.9","1605","1677.9","2.62 %","2,891.00"
"UNLB","2024-04-04","1590","1652.3","1590","1635","0.93 %","3,886.00"
"UNLB","2024-04-03","1625","1629.9","1558","1620","0.00 %","2,243.00"
"UNLB","2024-04-02","1519","1650","1519","1620","4.72 %","3,513.00"
"UNLB","2024-04-01","1540","1570.1","1538","1547","-1.40 %","919.00"
"UNLB","2024-03-31","1625","1625","1540","1569","-1.60 %","1,918.00"
"UNLB","2024-03-28","1526","1599","1509.2","1594.5","4.54 %","11,208.00"
"UNLB","2024-03-27","1568.9","1625","1523","1525.3","-0.95 %","4,348.00"
"UNLB","2024-03-26","1520","1549","1490","1540","2.67 %","4,001.00"
"UNLB","2024-03-25","1618.9","1618.9","1480.5","1500","-6.25 %","4,230.00"
"UNLB","2024-03-21","1620","1620","1557.6","1600","-3.17 %","3,063.00"
"UNLB","2024-03-20","1610","1690","1580","1652.4","4.65 %","6,688.00"
"UNLB","2024-03-19","1476.9","1579","1455","1579","9.05 %","7,502.00"
"UNLB","2024-03-18","1450","1479.9","1421","1448","0.21 %","3,427.00"
"UNLB","2024-03-17","1445.1","1480","1435","1445","0.00 %","3,436.00"
"UNLB","2024-03-14","1490","1490","1421","1445","-2.36 %","5,472.00"
"UNLB","2024-03-13","1483","1484","1432","1480","1.79 %","2,603.00"
"UNLB","2024-03-12","1402.3","1473","1402.3","1454","4.85 %","5,737.00"
"UNLB","2024-03-10","1339.9","1397","1321","1386.8","5.46 %","3,426.00"
"UNLB","2024-03-07","1240","1323","1240","1315","4.37 %","3,376.00"
"UNLB","2024-03-06","1220","1260","1220","1260","3.11 %","1,855.00"
"UNLB","2024-03-05","1202.1","1260","1202.1","1222","2.17 %","3,091.00"
"UNLB","2024-03-03","1209","1210","1190","1196","-1.17 %","1,665.00"
"UNLB","2024-02-29","1211","1235.1","1210","1210.2","-0.99 %","880.00"
"UNLB","2024-02-28","1220","1254","1212","1222.3","-0.63 %","1,330.00"
"UNLB","2024-02-27","1240","1290","1207.3","1230","1.07 %","1,486.00"
"UNLB","2024-02-26","1219.9","1228.4","1207","1217","-0.08 %","1,715.00"
"UNLB","2024-02-25","1217.1","1240","1217.1","1218","-1.14 %","805.00"
"UNLB","2024-02-22","1217","1274.9","1217","1232","-0.08 %","1,480.00"
"UNLB","2024-02-21","1206","1240","1206","1233","0.98 %","607.00"
"UNLB","2024-02-20","1226","1254","1213","1221","-2.09 %","2,337.00"
"UNLB","2024-02-18","1242","1260","1242","1247","-1.34 %","955.00"
"UNLB","2024-02-15","1261","1297","1261","1264","0.24 %","2,469.00"
"UNLB","2024-02-14","1250","1279","1250","1261","0.80 %","1,052.00"
"UNLB","2024-02-13","1261.4","1300","1251","1251","-2.80 %","3,900.00"
"UNLB","2024-02-12","1250.1","1290.5","1250.1","1287","1.57 %","2,240.00"
"UNLB","2024-02-11","1277","1278","1255","1267.1","1.13 %","6,475.00"
"UNLB","2024-02-08","1254","1255","1220","1253","1.87 %","3,650.00"
"UNLB","2024-02-07","1228","1235.2","1206","1230","0.16 %","2,485.00"
"UNLB","2024-02-06","1249","1249","1206","1228","-0.17 %","1,712.00"
"UNLB","2024-02-05","1227.5","1302","1227.5","1230.1","2.21 %","7,851.00"
"UNLB","2024-02-04","1115.9","1203.5","1115.9","1203.5","10.00 %","11,014.00"
"UNLB","2024-02-01","1123","1123","1094","1094.1","-0.63 %","2,690.00"
"UNLB","2024-01-31","1119","1132","1097.6","1101","-1.70 %","1,685.00"
"UNLB","2024-01-30","1125","1147.6","1103.1","1120","1.53 %","4,774.00"
"UNLB","2024-01-29","1100","1137","1100","1103.1","-1.07 %","1,115.00"
"UNLB","2024-01-28","1120","1120","1084","1115","-0.09 %","2,451.00"
"UNLB","2024-01-25","1162","1208","1094","1116","-2.10 %","488.00"
"UNLB","2024-01-24","1166.8","1234","1111","1139.9","-0.36 %","745.00"
"UNLB","2024-01-23","1162","1162","1095.4","1144","0.36 %","410.00"
"UNLB","2024-01-22","1198","1198","1088.2","1139.9","-3.23 %","1,355.00"
"UNLB","2024-01-21","1190","1205","1150.1","1178","0.68 %","3,700.00"
"UNLB","2024-01-18","1176","1180","1146.1","1170","-2.50 %","2,029.00"
"UNLB","2024-01-17","1148","1220","1148","1200","4.53 %","8,757.00"
"UNLB","2024-01-16","1139.3","1208","1114.4","1148","2.78 %","3,047.00"
"UNLB","2024-01-14","1073","1167","1073","1117","4.10 %","1,245.00"
"UNLB","2024-01-11","1120","1142","1066","1073","-2.32 %","1,654.00"
"UNLB","2024-01-10","1111.8","1156","1080.1","1098.5","0.78 %","6,984.00"
"UNLB","2024-01-09","1080","1120.9","1070","1090","-0.82 %","1,502.00"
"UNLB","2024-01-08","1076","1099.5","1076","1099","0.46 %","1,282.00"
"UNLB","2024-01-07","1098.6","1110.1","1075","1094","-2.41 %","2,586.00"
"UNLB","2024-01-04","1111","1150","1080.4","1121","-1.10 %","3,343.00"
"UNLB","2024-01-03","1091.8","1145","1080","1133.5","1.75 %","1,277.00"
"UNLB","2024-01-02","1060","1114","1060","1114","4.01 %","1,741.00"
"UNLB","2024-01-01","1120","1121","1069.1","1071","-2.64 %","1,190.00"
"UNLB","2023-12-28","1061.3","1101","1050","1100","1.85 %","4,110.00"
"UNLB","2023-12-27","1116.6","1116.6","1065","1080","-3.28 %","2,064.00"
"UNLB","2023-12-24","1139","1179.9","1116.6","1116.6","-2.04 %","3,792.00"
"UNLB","2023-12-21","1150","1150","1105","1139.9","-2.83 %","1,699.00"
"UNLB","2023-12-20","1224","1240","1138","1173.1","-2.24 %","3,481.00"
"UNLB","2023-12-19","1152","1219","1110","1200","4.35 %","1,785.00"
"UNLB","2023-12-18","1060","1150","1032","1150","8.08 %","3,196.00"
"UNLB","2023-12-17","996","1064","996","1064","4.72 %","2,575.00"
"UNLB","2023-12-14","1010","1044.9","1000","1016","0.59 %","670.00"
"UNLB","2023-12-13","984.9","1072","984.9","1010","0.50 %","1,313.00"
"UNLB","2023-12-12","978.1","1020","974","1005","0.70 %","1,520.00"
"UNLB","2023-12-11","1009.1","1049","980","998","0.87 %","1,229.00"
"UNLB","2023-12-10","989.4","989.4","989.4","989.4","2.00 %","10.00"
"UNLB","2023-12-07","940","977.1","940","970","1.87 %","244.00"
"UNLB","2023-12-06","950","965","934","952.2","0.23 %","400.00"
"UNLB","2023-12-05","944","964.9","944","950","-1.25 %","496.00"
"UNLB","2023-12-04","922","973","922","962","2.72 %","370.00"
"UNLB","2023-12-03","944","945","930.1","936.5","-0.96 %","265.00"
"UNLB","2023-11-30","950","970","941","945.6","-0.98 %","700.00"
"UNLB","2023-11-29","970","975","951","955","-1.34 %","623.00"
"UNLB","2023-11-28","970","990","960","968","-1.22 %","333.00"
"UNLB","2023-11-27","1000","1000","962.4","980","-1.41 %","265.00"
"UNLB","2023-11-26","960.4","999.6","947","994","1.43 %","1,010.00"
"UNLB","2023-11-23","981","991","960","980","1.87 %","516.00"
"UNLB","2023-11-22","935.1","969.1","932","962","1.25 %","930.00"
"UNLB","2023-11-21","990","1003","941","950.1","-5.93 %","1,316.00"
"UNLB","2023-11-20","1020","1020","996","1010","-1.75 %","750.00"
"UNLB","2023-11-09","1013.1","1030","1013.1","1028","-0.19 %","420.00"
"UNLB","2023-11-08","1011","1050","1011","1030","0.00 %","523.00"
"UNLB","2023-11-07","1023.1","1040","1023.1","1030","0.78 %","260.00"
"UNLB","2023-11-06","1012.1","1035","1012","1022","0.98 %","405.00"
"UNLB","2023-11-05","1015.1","1025","1005","1012.1","-2.21 %","360.00"
"UNLB","2023-11-02","1032.1","1052","1032.1","1035","-0.58 %","600.00"
"UNLB","2023-11-01","1033","1060","1033","1041","-0.17 %","665.00"
"UNLB","2023-10-31","1030","1052","1030","1042.8","-0.21 %","519.00"
"UNLB","2023-10-30","1032","1070","1032","1045","-0.48 %","212.00"
"UNLB","2023-10-29","1041","1070","1031.2","1050","-1.13 %","505.00"
"UNLB","2023-10-19","1080","1081.2","1061","1062","-1.78 %","235.00"
"UNLB","2023-10-18","1030","1081.2","1025","1081.2","4.97 %","280.00"
"UNLB","2023-10-17","1040","1050","1023","1030","0.00 %","500.00"
"UNLB","2023-10-16","1025","1030","1016","1030","-0.39 %","700.00"
"UNLB","2023-10-12","1051.7","1071","1021","1034","-3.63 %","1,100.00"
"UNLB","2023-10-11","1055","1079","1053.1","1073","1.42 %","525.00"
"UNLB","2023-10-10","1060","1075","1055.1","1058","-1.12 %","530.00"
"UNLB","2023-10-09","1065","1070","1061","1070","-0.47 %","628.00"
"UNLB","2023-10-08","1078","1080.9","1065","1075","-2.18 %","894.00"
"UNLB","2023-10-05","1096.5","1106","1088","1099","-1.61 %","997.00"
"UNLB","2023-10-04","1110","1127","1095","1117","0.18 %","2,970.00"
"UNLB","2023-10-03","1120.3","1128","1070","1115","-1.33 %","6,293.00"
"UNLB","2023-10-02","1111","1140","1111","1130","0.13 %","835.00"
"UNLB","2023-10-01","1125","1135","1117","1128.5","-0.57 %","1,002.00"
"UNLB","2023-09-27","1137","1138","1121","1135","-2.16 %","555.00"
"UNLB","2023-09-26","1121.1","1162","1121.1","1160","1.75 %","1,298.00"
"UNLB","2023-09-25","1130","1169.9","1125.2","1140","-0.87 %","890.00"
"UNLB","2023-09-24","1120","1177","1120","1150","0.70 %","1,000.00"
"UNLB","2023-09-21","1145.4","1168","1123","1142","1.69 %","1,344.00"
"UNLB","2023-09-19","1163","1200","1116","1123","-1.66 %","565.00"
"UNLB","2023-09-18","1098","1207","1096","1142","4.01 %","1,454.00"
"UNLB","2023-09-17","1035","1106.7","1035","1098","4.08 %","1,876.00"
"UNLB","2023-09-13","1016","1061","1010","1055","3.84 %","591.00"
"UNLB","2023-09-12","1025.1","1030","1015","1016","-2.78 %","410.00"
"UNLB","2023-09-11","1007","1045","996.1","1045","3.67 %","780.00"
"UNLB","2023-09-10","1015","1023","999","1008","-1.48 %","936.00"
"UNLB","2023-09-07","1021","1040","1021","1023.1","-1.63 %","610.00"
"UNLB","2023-09-05","1050","1052.6","1032","1040","-2.80 %","475.00"
"UNLB","2023-09-04","1047.7","1070","1042","1070","0.09 %","870.00"
"UNLB","2023-09-03","1084.1","1084.1","1050.1","1069","-3.26 %","660.00"
"UNLB","2023-08-30","1088","1106.7","1080","1105","-0.45 %","1,217.00"
"UNLB","2023-08-29","1091.1","1110","1091.1","1110","0.00 %","650.00"
"UNLB","2023-08-28","1112.5","1135","1094","1110","-2.20 %","860.00"
"UNLB","2023-08-27","1156.4","1156.4","1097.6","1135","-3.81 %","1,548.00"
"UNLB","2023-08-24","1157","1180","1105","1180","0.43 %","3,697.00"
"UNLB","2023-08-23","1150","1190","1150","1175","0.43 %","595.00"
"UNLB","2023-08-22","1180","1203.6","1165","1170","-1.27 %","475.00"
"UNLB","2023-08-21","1205.1","1215","1185","1185","-3.50 %","550.00"
"UNLB","2023-08-20","1200","1244.4","1181","1228","0.66 %","1,580.00"
"UNLB","2023-08-17","1160","1269.9","1160","1220","4.72 %","1,790.00"
"UNLB","2023-08-16","1155","1165","1155","1165","0.09 %","820.00"
"UNLB","2023-08-15","1152.2","1175","1150","1164","0.43 %","1,230.00"
"UNLB","2023-08-14","1136","1172","1133.5","1159","0.26 %","1,245.00"
"UNLB","2023-08-13","1162","1166","1145","1156","-2.45 %","1,050.00"
"UNLB","2023-08-10","1225","1249.5","1167","1185","-2.31 %","680.00"
"UNLB","2023-08-09","1151","1217","1145","1213","3.47 %","1,353.00"
"UNLB","2023-08-08","1171.5","1190","1167.1","1172.3","-1.40 %","930.00"
"UNLB","2023-08-07","1177","1209","1176.2","1189","-0.59 %","1,210.00"
"UNLB","2023-08-06","1212","1220","1194","1196","-3.08 %","1,390.00"
"UNLB","2023-08-03","1225.6","1275","1225.6","1234","-1.28 %","785.00"
"UNLB","2023-08-02","1246.5","1260","1241.3","1250","-0.79 %","1,425.00"
"UNLB","2023-08-01","1293","1300","1255","1260","-2.48 %","955.00"
"UNLB","2023-07-31","1279","1310","1279","1292","-0.92 %","955.00"
"UNLB","2023-07-30","1343","1343","1280","1304","-0.96 %","1,882.00"
"UNLB","2023-07-27","1370","1371.9","1313","1316.7","-2.18 %","1,540.00"
"UNLB","2023-07-26","1369","1369","1317.2","1346","0.22 %","2,075.00"
"UNLB","2023-07-25","1318","1359","1318","1343","-0.01 %","2,027.00"
"UNLB","2023-07-24","1352.2","1379","1341","1343.1","-2.60 %","1,164.00"
"UNLB","2023-07-23","1314.3","1390","1314","1379","3.61 %","3,806.00"
"UNLB","2023-07-20","1314.3","1360","1314.3","1331","-0.75 %","1,945.00"
"UNLB","2023-07-19","1329","1355","1327.9","1341","-1.03 %","1,740.00"
"UNLB","2023-07-18","1330","1375","1323","1355","1.88 %","2,909.00"
"UNLB","2023-07-17","1292","1340","1292","1330","0.91 %","1,325.00"
"UNLB","2023-07-16","1350","1365","1313","1318","-1.57 %","1,550.00"
"UNLB","2023-07-13","1320","1400.7","1302","1339","1.44 %","2,782.00"
"UNLB","2023-07-12","1312","1321","1293","1320","0.61 %","1,660.00"
"UNLB","2023-07-11","1317","1335","1292","1312","-0.31 %","2,050.00"
"UNLB","2023-07-10","1300","1341","1300","1316.1","0.47 %","3,652.00"
"UNLB","2023-07-09","1301","1326","1275","1310","1.08 %","2,520.00"
"UNLB","2023-07-06","1293","1320","1293","1296","-0.31 %","3,289.00"
"UNLB","2023-07-05","1291.3","1310","1291.3","1300","0.00 %","2,500.00"
"UNLB","2023-07-04","1276","1326","1276","1300","0.00 %","2,140.00"
"UNLB","2023-07-03","1300","1325","1280","1300","-1.16 %","2,997.00"
"UNLB","2023-07-02","1375","1375","1310.1","1315.3","-4.34 %","4,340.00"
"UNLB","2023-06-28","1447.3","1485","1348","1375","-3.10 %","9,656.00"
"UNLB","2023-06-27","1291.2","1419","1291.2","1419","10.00 %","4,592.00"
"UNLB","2023-06-26","1218","1305","1216","1290","4.03 %","7,318.00"
"UNLB","2023-06-25","1233.9","1258.6","1186","1240","-1.51 %","7,247.00"
"UNLB","2023-06-22","1250","1265","1196","1259","1.21 %","5,967.00"
"UNLB","2023-06-21","1198.5","1245","1105","1244","1.73 %","17,910.00"
"UNLB","2023-06-20","1332","1332","1222.9","1222.9","-9.99 %","1,840.00"
"UNLB","2023-06-19","1490","1490","1358.7","1358.7","-10.00 %","1,325.00"
"UNLB","2023-06-18","1458.6","1513","1455.3","1509.6","5.57 %","315.00"
"UNLB","2023-06-15","1430","1435","1430","1430","0.00 %","50.00"
"UNLB","2023-06-14","1406.3","1452.4","1405","1430","3.71 %","287.00"
"UNLB","2023-06-13","1380","1435","1378.9","1378.9","-0.08 %","125.00"
"UNLB","2023-06-12","1405.1","1405.1","1380","1380","-3.50 %","50.00"
"UNLB","2023-06-11","1398","1430","1364","1430","2.29 %","115.00"
"UNLB","2023-06-08","1379.4","1406.9","1379","1398","3.33 %","134.00"
"UNLB","2023-06-07","1254.6","1353","1254.6","1353","10.00 %","245.00"
"UNLB","2023-06-06","1251","1251","1230","1230","-1.68 %","20.00"
"UNLB","2023-06-05","1250","1345","1250","1251","-1.88 %","130.00"
"UNLB","2023-06-04","1250","1275","1250","1275","3.66 %","30.00"
"UNLB","2023-06-01","1205","1252","1205","1230","0.15 %","105.00"
"UNLB","2023-05-31","1313.2","1313.2","1228.1","1228.1","-8.35 %","388.00"
"UNLB","2023-05-30","1340","1340","1340","1340","0.00 %","10.00"
"UNLB","2023-05-28","1362.8","1362.8","1335.6","1340","0.07 %","60.00"
"UNLB","2023-05-24","1346","1366","1320","1339","1.44 %","725.00"
"UNLB","2023-05-23","1326","1340.1","1320","1320","1.54 %","394.00"
"UNLB","2023-05-22","1332","1332","1300","1300","-2.40 %","119.00"
"UNLB","2023-05-21","1326","1332","1326","1332","2.46 %","35.00"
"UNLB","2023-05-18","1350","1350","1300","1300","-1.89 %","370.00"
"UNLB","2023-05-17","1377","1377","1321","1325","-5.36 %","341.00"
"UNLB","2023-05-16","1410","1410","1400","1400","-0.71 %","55.00"
"UNLB","2023-05-15","1411","1420","1410","1410","-0.01 %","40.00"
"UNLB","2023-05-14","1435.8","1464","1430","1430","-2.38 %","55.00"
"UNLB","2023-05-11","1465","1465","1408","1464.8","-1.95 %","145.00"
"UNLB","2023-05-10","1494","1541.5","1494","1494","-1.14 %","170.00"
"UNLB","2023-05-09","1621.9","1621.9","1511.3","1511.3","-8.68 %","552.00"
"UNLB","2023-05-08","1609.4","1655","1520","1655","0.78 %","115.00"
"UNLB","2023-05-07","1590","1642.2","1552.3","1642.2","2.00 %","100.00"
"UNLB","2023-05-04","1591.8","1610","1591.2","1610","1.26 %","187.00"
