"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"UPCL","2024-08-11","290","309","286","302","5.59 %","740,847.00"
"UPCL","2024-08-08","294","297.7","285","286","-1.04 %","385,878.00"
"UPCL","2024-08-07","273","289.9","270","289","5.86 %","404,280.00"
"UPCL","2024-08-06","291","310","270","273","-6.35 %","704,733.00"
"UPCL","2024-08-05","271","296","265","291.5","7.96 %","778,126.00"
"UPCL","2024-08-01","270","275","259.4","270","0.00 %","400,633.00"
"UPCL","2024-07-31","260","275","260","270","3.89 %","526,619.00"
"UPCL","2024-07-30","250","264.9","243","259.9","4.38 %","418,130.00"
"UPCL","2024-07-29","255.2","261.9","247","249","-0.80 %","356,707.00"
"UPCL","2024-07-28","250.4","260","242","251","2.24 %","240,206.00"
"UPCL","2024-07-25","244.5","256.7","243.5","245.5","-1.41 %","260,380.00"
"UPCL","2024-07-24","263.2","268","248.3","249","-3.53 %","458,409.00"
"UPCL","2024-07-23","239.7","258.5","239","258.1","9.83 %","677,655.00"
"UPCL","2024-07-22","234","240","227","235","0.86 %","313,584.00"
"UPCL","2024-07-21","227.4","235","219","233","3.56 %","352,133.00"
"UPCL","2024-07-18","229.5","233","221.8","225","0.00 %","278,885.00"
"UPCL","2024-07-17","226.6","233","219","225","0.45 %","225,155.00"
"UPCL","2024-07-16","207.9","225","205","224","8.69 %","273,591.00"
"UPCL","2024-07-15","211.1","215","203.9","206.1","-0.43 %","127,912.00"
"UPCL","2024-07-14","201.8","208","201.8","207","4.60 %","134,156.00"
"UPCL","2024-07-11","194","198","193.3","197.9","2.06 %","63,336.00"
"UPCL","2024-07-10","193","195","192.1","193.9","0.62 %","31,533.00"
"UPCL","2024-07-09","193.7","194","192","192.7","-0.52 %","40,666.00"
"UPCL","2024-07-08","197.8","197.8","192.1","193.7","-0.15 %","34,117.00"
"UPCL","2024-07-07","195","196","192.1","194","0.41 %","46,318.00"
"UPCL","2024-07-04","195","195","191","193.2","0.84 %","69,730.00"
"UPCL","2024-07-03","195","196.9","190","191.6","-2.10 %","38,724.00"
"UPCL","2024-07-02","191.8","206.9","191.8","195.7","4.04 %","79,206.00"
"UPCL","2024-07-01","187","189","187","188.1","0.59 %","17,702.00"
"UPCL","2024-06-30","191.6","191.6","186","187","-0.48 %","21,249.00"
"UPCL","2024-06-27","192.9","192.9","186.4","187.9","-0.95 %","42,300.00"
"UPCL","2024-06-26","193","193","188","189.7","0.00 %","22,333.00"
"UPCL","2024-06-25","190","191","188","189.7","0.74 %","38,221.00"
"UPCL","2024-06-24","190","193","188.1","188.3","-0.89 %","46,813.00"
"UPCL","2024-06-23","191","192","189.3","190","-0.52 %","26,551.00"
"UPCL","2024-06-20","192.1","194","190.2","191","-0.93 %","20,271.00"
"UPCL","2024-06-19","195","196.8","192.4","192.8","-1.08 %","18,363.00"
"UPCL","2024-06-18","199.5","199.5","194","194.9","-0.97 %","37,642.00"
"UPCL","2024-06-16","198.6","199.9","195","196.8","0.97 %","65,691.00"
"UPCL","2024-06-13","198","199.1","194.1","194.9","-1.57 %","55,107.00"
"UPCL","2024-06-12","204","206","197","198","-1.00 %","49,707.00"
"UPCL","2024-06-11","191","201","191","200","4.82 %","110,645.00"
"UPCL","2024-06-10","187","192.9","186.7","190.8","2.20 %","43,350.00"
"UPCL","2024-06-09","189.8","189.8","186.3","186.7","-0.16 %","26,165.00"
"UPCL","2024-06-06","187","189.2","183","187","0.16 %","40,673.00"
"UPCL","2024-06-05","191","191","186.2","186.7","-1.74 %","43,374.00"
"UPCL","2024-06-04","191","193","190","190","-0.52 %","36,310.00"
"UPCL","2024-06-03","196","199","190.6","191","-1.04 %","45,715.00"
"UPCL","2024-06-02","192","196","191.2","193","-0.52 %","46,130.00"
"UPCL","2024-05-30","194","196","191","194","0.52 %","58,287.00"
"UPCL","2024-05-29","200.8","200.8","192.3","193","-1.98 %","47,363.00"
"UPCL","2024-05-27","195","198","194.1","196.9","0.46 %","31,807.00"
"UPCL","2024-05-26","200","200","194.1","196","-0.76 %","47,560.00"
"UPCL","2024-05-22","203.9","203.9","196.2","197.5","-1.25 %","30,304.00"
"UPCL","2024-05-21","200","203.5","197","200","-0.25 %","49,640.00"
"UPCL","2024-05-20","202.7","202.7","198.6","200.5","0.86 %","69,718.00"
"UPCL","2024-05-19","197","199","194.1","198.8","2.47 %","45,599.00"
"UPCL","2024-05-16","197.4","197.4","193.5","194","-0.26 %","14,850.00"
"UPCL","2024-05-15","200","202.6","194.1","194.5","-2.21 %","60,141.00"
"UPCL","2024-05-14","194.5","198.9","193","198.9","4.30 %","39,593.00"
"UPCL","2024-05-13","193","193","188","190.7","-0.10 %","22,951.00"
"UPCL","2024-05-12","190","192","186.2","190.9","1.01 %","29,885.00"
"UPCL","2024-05-09","190","190","186","189","0.53 %","39,719.00"
"UPCL","2024-05-08","191","192","187","188","-0.53 %","28,451.00"
"UPCL","2024-05-07","194","196","189","189","-2.07 %","58,620.00"
"UPCL","2024-05-06","193","193.5","190","193","0.00 %","32,728.00"
"UPCL","2024-05-05","196.1","197.8","191.7","193","-1.83 %","38,490.00"
"UPCL","2024-05-02","203.8","204","196","196.6","-1.65 %","53,481.00"
"UPCL","2024-04-30","195","204","193.6","199.9","3.47 %","82,540.00"
"UPCL","2024-04-29","197.8","197.8","193","193.2","-0.41 %","33,990.00"
"UPCL","2024-04-28","195.9","197.9","193.5","194","0.52 %","27,318.00"
