"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"USLB","2024-08-11","1704.4","1808.4","1704.4","1715","2.63 %","5,439.00"
"USLB","2024-08-08","1729.9","1730","1671","1671","-1.59 %","6,632.00"
"USLB","2024-08-07","1700","1719","1669","1698","-0.12 %","8,259.00"
"USLB","2024-08-06","1740","1740","1697.3","1700","-1.73 %","8,374.00"
"USLB","2024-08-05","1757","1808","1700","1730","-2.75 %","14,058.00"
"USLB","2024-08-01","1766","1823","1747.5","1778.9","-0.06 %","11,177.00"
"USLB","2024-07-31","1880","1880","1775","1780","-3.78 %","9,885.00"
"USLB","2024-07-30","1815","1900","1803","1850","0.87 %","6,462.00"
"USLB","2024-07-29","1938","1976","1834","1834","-3.47 %","12,094.00"
"USLB","2024-07-28","1887","1993","1850","1900","2.70 %","15,441.00"
"USLB","2024-07-25","1775","1850","1759","1850","5.96 %","16,623.00"
"USLB","2024-07-24","1741","1774","1740","1746","-1.24 %","8,750.00"
"USLB","2024-07-23","1799","1799","1741","1768","0.17 %","7,635.00"
"USLB","2024-07-22","1799.2","1830","1745","1765","0.06 %","6,282.00"
"USLB","2024-07-21","1779","1797","1750","1764","-0.84 %","10,298.00"
"USLB","2024-07-18","1780","1810","1763","1779","1.14 %","9,402.00"
"USLB","2024-07-17","1790","1800","1730.1","1759","-0.34 %","9,628.00"
"USLB","2024-07-16","1780","1800","1745","1765","0.86 %","5,780.00"
"USLB","2024-07-15","1805.4","1805.4","1750","1750","-1.13 %","8,628.00"
"USLB","2024-07-14","1825.8","1835","1760.1","1770","-1.12 %","5,582.00"
"USLB","2024-07-11","1813","1900","1765","1790","0.56 %","6,733.00"
"USLB","2024-07-10","1833","1839","1765","1780","-1.00 %","3,311.00"
"USLB","2024-07-09","1765","1800","1705.2","1797.9","3.81 %","11,106.00"
"USLB","2024-07-08","1695.4","1789","1695.4","1731.9","0.11 %","4,768.00"
"USLB","2024-07-07","1693.5","1760","1693.5","1730","0.12 %","2,238.00"
"USLB","2024-07-04","1733","1809","1691","1728","-2.26 %","4,365.00"
"USLB","2024-07-03","1792","1864.3","1761","1768","-3.28 %","3,817.00"
"USLB","2024-07-02","1856","1967","1800","1828","0.44 %","4,141.00"
"USLB","2024-07-01","1755.1","1825","1715","1820","3.70 %","13,169.00"
"USLB","2024-06-30","1820","1820","1755","1755.1","-4.04 %","2,186.00"
"USLB","2024-06-27","1850","1850","1777","1829","-0.05 %","5,641.00"
"USLB","2024-06-26","1809.1","1832","1794","1830","-0.87 %","5,306.00"
"USLB","2024-06-25","1740","1846","1733","1846","4.35 %","9,441.00"
"USLB","2024-06-24","1681","1851.9","1647.1","1769","4.99 %","8,608.00"
"USLB","2024-06-23","1740","1740","1681","1685","-4.21 %","10,682.00"
"USLB","2024-06-20","1850","1854","1747","1759","-3.25 %","4,212.00"
"USLB","2024-06-19","1793","1900","1734.6","1818","-0.60 %","7,505.00"
"USLB","2024-06-18","1850","1885","1750","1829","-3.07 %","13,409.00"
"USLB","2024-06-16","1862","1950","1840","1887","-0.68 %","6,012.00"
"USLB","2024-06-13","1862","1950","1862","1900","0.00 %","7,458.00"
"USLB","2024-06-12","1862","1910","1862","1900","0.00 %","3,872.00"
"USLB","2024-06-11","1882","1974","1882","1900","-1.04 %","16,341.00"
"USLB","2024-06-10","1922","1980","1884","1920","-2.09 %","5,749.00"
"USLB","2024-06-09","1965","2005","1900","1961","1.76 %","13,106.00"
"USLB","2024-06-06","1939","1994","1917","1927","-2.58 %","5,255.00"
"USLB","2024-06-05","1960","1998","1946","1978","-0.80 %","1,273.00"
"USLB","2024-06-04","1941","2020","1941","1994","0.71 %","4,018.00"
"USLB","2024-06-03","1936","2031","1935.5","1980","0.25 %","7,587.00"
"USLB","2024-06-02","1898","2019.7","1898","1975","2.00 %","6,298.00"
"USLB","2024-05-30","2010","2013.4","1935","1936.3","-5.55 %","9,689.00"
"USLB","2024-05-29","2137","2137","1989.4","2050","-2.19 %","9,314.00"
"USLB","2024-05-27","2130","2130","2020.3","2096","-2.87 %","10,533.00"
"USLB","2024-05-26","2264","2264","2117","2158","-2.79 %","8,618.00"
"USLB","2024-05-22","2280","2294","2072","2220","-1.33 %","14,002.00"
"USLB","2024-05-21","2290","2290","2224","2250","-2.47 %","19,863.00"
"USLB","2024-05-20","2320","2347.9","2275.6","2307","-0.52 %","8,793.00"
"USLB","2024-05-19","2363.3","2363.3","2230","2319","0.09 %","13,804.00"
"USLB","2024-05-16","2314","2335","2253","2317","0.13 %","26,763.00"
"USLB","2024-05-15","2250","2330","2250","2314","3.30 %","12,232.00"
"USLB","2024-05-14","2109","2281.7","2067","2240","4.09 %","19,569.00"
"USLB","2024-05-13","2121","2236","2121","2152","-0.53 %","10,888.00"
"USLB","2024-05-12","2000","2163.4","2000","2163.4","7.52 %","26,929.00"
"USLB","2024-05-09","2010","2050","2005","2012","-0.05 %","3,968.00"
"USLB","2024-05-08","2020","2040","2004","2013","-0.30 %","5,393.00"
"USLB","2024-05-07","2040","2040","2007","2019","0.70 %","5,453.00"
"USLB","2024-05-06","2000.3","2013","2000.3","2005","0.24 %","5,100.00"
"USLB","2024-05-05","2013","2024","2000.1","2000.1","-0.64 %","5,796.00"
"USLB","2024-05-02","1930","2014","1930","2013","2.70 %","8,362.00"
"USLB","2024-04-30","1894","1960","1894","1960","1.45 %","4,632.00"
"USLB","2024-04-29","1902","1935","1902","1932","0.57 %","1,664.00"
"USLB","2024-04-28","1920","1935","1911","1921","0.05 %","5,414.00"
"USLB","2024-04-25","1875","1924","1875","1920","1.59 %","8,283.00"
"USLB","2024-04-24","1814","1890","1814","1890","2.16 %","10,998.00"
"USLB","2024-04-22","1837.5","1970","1837.5","1850","-1.33 %","6,179.00"
"USLB","2024-04-21","1808.1","1890","1808.1","1875","1.63 %","7,474.00"
"USLB","2024-04-18","1860","1860","1825","1845","-0.26 %","5,295.00"
"USLB","2024-04-16","1808.1","1870","1808.1","1849.9","0.27 %","5,200.00"
"USLB","2024-04-15","1826.8","1935","1790.3","1845","-1.02 %","8,755.00"
"USLB","2024-04-14","1815","1879","1815","1864","0.76 %","17,688.00"
"USLB","2024-04-10","1842.4","1889","1813.2","1849.9","-1.60 %","12,324.00"
"USLB","2024-04-09","1740","1904","1722.1","1880","7.74 %","26,551.00"
"USLB","2024-04-07","1600","1749","1600","1745","8.45 %","19,022.00"
"USLB","2024-04-04","1615","1653","1589.4","1609","1.19 %","17,489.00"
"USLB","2024-04-03","1596","1608","1576","1590","0.01 %","9,898.00"
"USLB","2024-04-02","1609","1609","1570","1589.9","0.63 %","6,868.00"
"USLB","2024-04-01","1581","1610","1570","1580","-1.25 %","20,190.00"
"USLB","2024-03-31","1500","1630","1381.8","1600","7.74 %","23,151.00"
"USLB","2024-03-28","1680","1680","1485","1485","-10.00 %","16,489.00"
"USLB","2024-03-27","1748","1748.2","1542.6","1650","-3.73 %","19,714.00"
"USLB","2024-03-26","1710","1726","1646.9","1714","0.71 %","19,537.00"
"USLB","2024-03-25","1705","1730","1701","1702","-0.18 %","21,377.00"
"USLB","2024-03-21","1597.4","1730","1597.4","1705","4.61 %","22,939.00"
"USLB","2024-03-20","1607.2","1670","1551","1629.9","-0.62 %","16,050.00"
