"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"VLUCL","2024-08-11","691.9","708.5","664.6","700","1.17 %","122,801.00"
"VLUCL","2024-08-08","723.1","723.1","665","691.9","-2.41 %","88,923.00"
"VLUCL","2024-08-07","646.8","720","646.8","709","7.42 %","100,649.00"
"VLUCL","2024-08-06","694.5","722.4","646","660","-3.07 %","158,130.00"
"VLUCL","2024-08-05","619","680.9","618","680.9","10.00 %","141,804.00"
"VLUCL","2024-08-01","609.6","633.4","609.6","619","-0.48 %","93,455.00"
"VLUCL","2024-07-31","603.8","635","603.8","622","0.96 %","72,866.00"
"VLUCL","2024-07-30","584.1","632.4","584.1","616.1","3.37 %","79,273.00"
"VLUCL","2024-07-29","605","624","595","596","-0.33 %","81,262.00"
"VLUCL","2024-07-28","614","630","586","598","-1.16 %","37,441.00"
"VLUCL","2024-07-25","605","615.9","594","605","0.68 %","54,895.00"
"VLUCL","2024-07-24","638","639.8","593.2","600.9","-4.28 %","117,569.00"
"VLUCL","2024-07-23","618","644","618","627.8","1.75 %","47,133.00"
"VLUCL","2024-07-22","606","622","585.9","617","3.18 %","69,889.00"
"VLUCL","2024-07-21","567","609","560","598","7.55 %","139,855.00"
"VLUCL","2024-07-18","555","574.9","555","556","0.18 %","82,111.00"
"VLUCL","2024-07-17","566","566","546.5","555","0.00 %","54,560.00"
"VLUCL","2024-07-16","518.5","558","518.5","555","4.91 %","73,102.00"
"VLUCL","2024-07-15","544.6","544.6","523.5","529","-0.94 %","39,026.00"
"VLUCL","2024-07-14","536.5","544","520","534","1.52 %","37,666.00"
"VLUCL","2024-07-11","530","534.8","519.1","526","-0.38 %","29,819.00"
"VLUCL","2024-07-10","520","530","506.7","528","2.92 %","39,294.00"
"VLUCL","2024-07-09","508","515","506","513","0.83 %","13,321.00"
"VLUCL","2024-07-08","509","517","507","508.8","-0.63 %","12,582.00"
"VLUCL","2024-07-07","512","516","508","512","0.39 %","14,382.00"
"VLUCL","2024-07-04","515","518.9","510","510","-0.57 %","11,665.00"
"VLUCL","2024-07-03","508.9","518","507.4","512.9","-0.21 %","11,904.00"
"VLUCL","2024-07-02","516.1","536","509","514","1.58 %","21,707.00"
"VLUCL","2024-07-01","501.5","508.9","500.5","506","-0.76 %","11,874.00"
"VLUCL","2024-06-30","512","513","502.6","509.9","-0.45 %","13,389.00"
"VLUCL","2024-06-27","506.1","515","505","512.2","-0.51 %","18,608.00"
"VLUCL","2024-06-26","523.4","532","511.3","514.8","-1.57 %","17,205.00"
"VLUCL","2024-06-25","511.9","530","511.1","523","2.05 %","27,496.00"
"VLUCL","2024-06-24","510.4","519.9","509.1","512.5","0.10 %","12,363.00"
"VLUCL","2024-06-23","505.1","513","505","512","1.17 %","11,725.00"
"VLUCL","2024-06-20","507","511.5","505","506.1","-0.94 %","25,353.00"
"VLUCL","2024-06-19","500.4","516.9","500.4","510.9","0.06 %","16,972.00"
"VLUCL","2024-06-18","510.1","516","510","510.6","-0.76 %","19,521.00"
"VLUCL","2024-06-16","521","525.8","512.1","514.5","0.49 %","24,039.00"
"VLUCL","2024-06-13","521","524.9","512","512","-1.16 %","47,721.00"
"VLUCL","2024-06-12","530","538","516","518","-2.26 %","42,462.00"
"VLUCL","2024-06-11","520","535.5","520","530","1.92 %","42,278.00"
"VLUCL","2024-06-10","540.6","540.6","519","520","-1.89 %","55,217.00"
"VLUCL","2024-06-09","503","535","503","530","4.33 %","89,395.00"
"VLUCL","2024-06-06","483.1","518","483.1","508","4.31 %","54,403.00"
"VLUCL","2024-06-05","490.1","499","485.2","487","-2.01 %","16,451.00"
"VLUCL","2024-06-04","497","508","492","497","-1.39 %","14,439.00"
"VLUCL","2024-06-03","510","518","499","504","-1.18 %","33,316.00"
"VLUCL","2024-06-02","510","517","508","510","0.45 %","25,839.00"
"VLUCL","2024-05-30","488","515","488","507.7","4.04 %","68,395.00"
"VLUCL","2024-05-29","484","505","484","488","0.83 %","48,930.00"
"VLUCL","2024-05-27","478","493.9","478","484","-0.60 %","18,508.00"
"VLUCL","2024-05-26","489","493","480.6","486.9","-2.03 %","14,811.00"
"VLUCL","2024-05-22","518.1","518.1","490","497","-2.17 %","25,700.00"
"VLUCL","2024-05-21","488","509.5","476","508","5.83 %","59,146.00"
"VLUCL","2024-05-20","478","485.3","470.3","480","2.13 %","20,767.00"
"VLUCL","2024-05-19","472","476.5","460","470","1.29 %","23,380.00"
"VLUCL","2024-05-16","460.5","473.8","460.5","464","-0.83 %","13,476.00"
"VLUCL","2024-05-15","489","489","462","467.9","-2.50 %","14,028.00"
"VLUCL","2024-05-14","465","484","456","479.9","5.01 %","26,314.00"
"VLUCL","2024-05-13","450.1","461","450.1","457","0.66 %","3,960.00"
"VLUCL","2024-05-12","456","457.9","448.5","454","1.50 %","9,087.00"
"VLUCL","2024-05-09","450","455","447.1","447.3","-0.31 %","6,766.00"
"VLUCL","2024-05-08","453","453","445.1","448.7","-0.47 %","8,095.00"
"VLUCL","2024-05-07","458","458","448","450.8","-0.70 %","8,103.00"
"VLUCL","2024-05-06","456","460","451.7","454","-0.87 %","6,864.00"
"VLUCL","2024-05-05","462","471","458","458","-2.14 %","12,054.00"
"VLUCL","2024-05-02","480","488.5","468","468","-2.90 %","12,695.00"
"VLUCL","2024-04-30","465.1","490","465.1","482","2.99 %","15,406.00"
"VLUCL","2024-04-29","467.1","476.9","466.1","468","-0.85 %","5,368.00"
"VLUCL","2024-04-28","466","474.9","465.2","472","1.51 %","8,076.00"
"VLUCL","2024-04-25","465","472","465","465","-0.94 %","8,240.00"
"VLUCL","2024-04-24","480","484","469","469.4","-2.41 %","7,636.00"
"VLUCL","2024-04-22","492.4","502","476","481","-0.41 %","12,253.00"
"VLUCL","2024-04-21","475.1","487","475","483","1.68 %","15,086.00"
"VLUCL","2024-04-18","485","490","468","475","-3.06 %","20,739.00"
"VLUCL","2024-04-16","500","500","490","490","-1.92 %","8,373.00"
"VLUCL","2024-04-15","501","505.1","498.2","499.6","-0.48 %","13,190.00"
"VLUCL","2024-04-14","500","510","499","502","-0.99 %","18,913.00"
"VLUCL","2024-04-10","508","515","505","507","-0.20 %","17,658.00"
"VLUCL","2024-04-09","509","516","508","508","-0.20 %","13,273.00"
"VLUCL","2024-04-07","496.1","509","496.1","509","1.21 %","10,805.00"
"VLUCL","2024-04-04","502","509.8","499","502.9","0.02 %","19,734.00"
"VLUCL","2024-04-03","507","515","502","502.8","-0.44 %","13,027.00"
"VLUCL","2024-04-02","510","513.5","502.8","505","-1.56 %","11,733.00"
"VLUCL","2024-04-01","510.1","515","508.1","513","0.59 %","17,017.00"
"VLUCL","2024-03-31","512.5","519.9","510","510","-0.49 %","15,853.00"
"VLUCL","2024-03-28","512","519","511","512.5","-0.49 %","12,709.00"
"VLUCL","2024-03-27","518","524.9","510.4","515","-1.51 %","13,532.00"
"VLUCL","2024-03-26","510","523","510","522.9","2.13 %","15,209.00"
"VLUCL","2024-03-25","511","517.8","504","512","-0.23 %","10,043.00"
