"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"WNLB","2024-08-11","1500","1560","1443","1500","1.97 %","3,573.00"
"WNLB","2024-08-08","1500","1560","1471","1471","-1.28 %","2,132.00"
"WNLB","2024-08-07","1480","1499","1431","1490","1.36 %","1,932.00"
"WNLB","2024-08-06","1560","1564","1460","1470","-4.30 %","2,849.00"
"WNLB","2024-08-05","1530","1560","1511","1536","0.39 %","1,785.00"
"WNLB","2024-08-01","1595","1595","1520","1530","-2.24 %","2,622.00"
"WNLB","2024-07-31","1579","1580","1550","1565","0.97 %","3,059.00"
"WNLB","2024-07-30","1569","1569","1530","1550","-1.21 %","1,933.00"
"WNLB","2024-07-29","1635","1635","1544","1569","-3.86 %","3,046.00"
"WNLB","2024-07-28","1650","1666.6","1555.3","1632","-0.79 %","3,998.00"
"WNLB","2024-07-25","1600","1660","1600","1645","3.52 %","2,748.00"
"WNLB","2024-07-24","1620","1635","1580","1589","-2.55 %","2,089.00"
"WNLB","2024-07-23","1640","1650","1621","1630.5","0.03 %","1,574.00"
"WNLB","2024-07-22","1640","1641","1590","1630","-2.10 %","3,036.00"
"WNLB","2024-07-21","1637","1700","1632.7","1665","3.74 %","4,066.00"
"WNLB","2024-07-18","1599.9","1659","1568.1","1605","2.23 %","5,431.00"
"WNLB","2024-07-17","1579","1591","1553","1570","0.64 %","2,992.00"
"WNLB","2024-07-16","1510","1560","1510","1560","2.56 %","1,229.00"
"WNLB","2024-07-15","1570","1575","1503","1521","-2.32 %","2,061.00"
"WNLB","2024-07-14","1591.3","1623","1548.4","1557.1","-0.19 %","3,107.00"
"WNLB","2024-07-11","1580","1610","1535.2","1560.1","0.01 %","3,701.00"
"WNLB","2024-07-10","1550","1638","1548.4","1560","2.50 %","5,403.00"
"WNLB","2024-07-09","1441","1540","1441","1522","5.04 %","4,932.00"
"WNLB","2024-07-08","1450","1474","1435.7","1449","1.68 %","863.00"
"WNLB","2024-07-07","1435","1484","1425","1425","0.92 %","1,237.00"
"WNLB","2024-07-04","1420","1430","1401.1","1412","-0.56 %","1,964.00"
"WNLB","2024-07-03","1393","1420","1393","1420","0.00 %","2,511.00"
"WNLB","2024-07-02","1452","1484","1410","1420","-0.63 %","1,296.00"
"WNLB","2024-07-01","1440","1440","1410","1429","0.57 %","1,257.00"
"WNLB","2024-06-30","1420","1444","1402.2","1420.9","-1.61 %","746.00"
"WNLB","2024-06-27","1451.1","1451.1","1442","1444.1","-1.36 %","1,254.00"
"WNLB","2024-06-26","1460","1489.9","1455","1464","0.14 %","2,101.00"
"WNLB","2024-06-25","1489","1492","1462","1462","-1.81 %","964.00"
"WNLB","2024-06-24","1484","1505","1460.1","1489","0.34 %","1,740.00"
"WNLB","2024-06-23","1515","1515","1460","1484","-3.95 %","2,947.00"
"WNLB","2024-06-20","1569","1630","1520","1545","-1.53 %","2,295.00"
"WNLB","2024-06-19","1492","1579.8","1488.4","1569","6.52 %","12,646.00"
"WNLB","2024-06-18","1413","1497","1388","1473","6.20 %","8,602.00"
"WNLB","2024-06-16","1428","1428","1387","1387","-0.93 %","1,363.00"
"WNLB","2024-06-13","1450","1453","1392.6","1400","-1.89 %","3,481.00"
"WNLB","2024-06-12","1443.9","1443.9","1422","1427","0.71 %","2,626.00"
"WNLB","2024-06-11","1395","1419","1395","1417","-0.21 %","536.00"
"WNLB","2024-06-10","1370","1420","1370","1420","1.87 %","1,818.00"
"WNLB","2024-06-09","1426","1426","1375","1394","-0.43 %","1,473.00"
"WNLB","2024-06-06","1440","1449.9","1400","1400","-2.78 %","2,341.00"
"WNLB","2024-06-05","1425","1450","1410","1440","2.13 %","3,344.00"
"WNLB","2024-06-04","1407","1445","1407","1410","-1.74 %","3,242.00"
"WNLB","2024-06-03","1361","1450","1361","1435","4.82 %","2,260.00"
"WNLB","2024-06-02","1388","1388","1351","1369","0.22 %","1,246.00"
"WNLB","2024-05-30","1371","1424","1320","1366","-2.29 %","3,316.00"
"WNLB","2024-05-29","1425","1482.5","1398","1398","-2.92 %","1,745.00"
"WNLB","2024-05-27","1435","1519","1409","1440","-0.41 %","1,301.00"
"WNLB","2024-05-26","1544","1544","1425","1446","-6.35 %","2,486.00"
"WNLB","2024-05-22","1431","1544","1391.6","1544","5.75 %","4,657.00"
"WNLB","2024-05-21","1443","1531","1430","1460","-0.81 %","1,051.00"
"WNLB","2024-05-20","1430","1546","1430","1471.9","0.88 %","5,436.00"
"WNLB","2024-05-19","1482","1489.9","1411.2","1459","0.41 %","4,459.00"
"WNLB","2024-05-16","1368","1469.8","1368","1453","4.61 %","8,526.00"
"WNLB","2024-05-15","1435","1437","1372","1389","-1.63 %","2,904.00"
"WNLB","2024-05-14","1335","1413","1335","1412","5.85 %","6,877.00"
"WNLB","2024-05-13","1290","1334","1290","1334","2.62 %","2,042.00"
"WNLB","2024-05-12","1330","1330","1300","1300","-2.26 %","1,325.00"
"WNLB","2024-05-09","1361.3","1385","1320","1330","-4.25 %","970.00"
"WNLB","2024-05-08","1335","1400","1322.3","1389","3.58 %","1,549.00"
"WNLB","2024-05-07","1340","1378","1311","1341","1.19 %","1,877.00"
"WNLB","2024-05-06","1338.1","1350","1323","1325.2","-2.86 %","879.00"
"WNLB","2024-05-05","1365","1415","1343","1364.2","-0.06 %","3,290.00"
"WNLB","2024-05-02","1339","1410","1339","1365","3.02 %","7,470.00"
"WNLB","2024-04-30","1344.4","1344.4","1301","1325","-1.44 %","757.00"
"WNLB","2024-04-29","1360","1360","1300","1344.4","-2.01 %","2,662.00"
"WNLB","2024-04-28","1400","1400","1348.1","1372","-1.51 %","1,723.00"
"WNLB","2024-04-25","1314","1393","1290","1393","3.96 %","2,227.00"
"WNLB","2024-04-24","1323","1349.4","1300","1340","-0.74 %","2,007.00"
"WNLB","2024-04-22","1296","1350","1270","1350","4.25 %","1,892.00"
"WNLB","2024-04-21","1246","1295","1212.3","1295","3.93 %","2,449.00"
"WNLB","2024-04-18","1296","1296","1243","1246","-5.60 %","1,609.00"
"WNLB","2024-04-16","1371.1","1371.1","1270","1319.9","-3.65 %","2,188.00"
"WNLB","2024-04-15","1420","1435","1353","1369.9","-2.15 %","1,612.00"
"WNLB","2024-04-14","1333.8","1440","1270","1400","2.87 %","3,654.00"
"WNLB","2024-04-10","1480.9","1480.9","1360","1361","-9.93 %","6,608.00"
"WNLB","2024-04-09","1645.5","1645.5","1511.1","1511.1","-10.00 %","7,306.00"
"WNLB","2024-04-07","1499.4","1679","1384","1679","9.74 %","9,744.00"
"WNLB","2024-04-04","1373.2","1540","1267","1530","9.21 %","6,833.00"
"WNLB","2024-04-03","1248.6","1401","1146.6","1401","9.97 %","5,098.00"
"WNLB","2024-04-02","1167.6","1300","1127","1274","6.94 %","3,052.00"
