"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ADBL","2024-08-11","379","384.9","376","383.9","2.35 %","303,869.00"
"ADBL","2024-08-08","380","384.9","375","375.1","-0.77 %","134,799.00"
"ADBL","2024-08-07","372.1","380.4","367","378","1.59 %","181,152.00"
"ADBL","2024-08-06","393","393","372","372.1","-3.60 %","338,449.00"
"ADBL","2024-08-05","377.1","400","377.1","386","4.38 %","622,697.00"
"ADBL","2024-08-01","383","383","369.5","369.8","-1.75 %","302,530.00"
"ADBL","2024-07-31","373","384.9","370.1","376.4","-0.16 %","287,817.00"
"ADBL","2024-07-30","384.5","384.5","362","377","0.00 %","230,971.00"
"ADBL","2024-07-29","394.9","400","374","377","-2.63 %","296,529.00"
"ADBL","2024-07-28","359","387.2","359","387.2","10.00 %","671,424.00"
"ADBL","2024-07-25","337.5","354","337","352","3.07 %","222,739.00"
"ADBL","2024-07-24","343","347","337.2","341.5","-0.58 %","194,863.00"
"ADBL","2024-07-23","330","350","324","343.5","4.09 %","237,532.00"
"ADBL","2024-07-22","335","335","323.4","330","-1.49 %","151,988.00"
"ADBL","2024-07-21","332","340","321.6","335","0.96 %","304,300.00"
"ADBL","2024-07-18","314.1","340","309","331.8","5.67 %","213,901.00"
"ADBL","2024-07-17","316.2","316.2","305","314","1.29 %","147,540.00"
"ADBL","2024-07-16","299","320","288.8","310","5.44 %","270,358.00"
"ADBL","2024-07-15","304.4","308","290.2","294","-1.51 %","115,912.00"
"ADBL","2024-07-14","296.8","308","294","298.5","2.58 %","113,142.00"
"ADBL","2024-07-11","288.1","291.8","286","291","1.57 %","139,159.00"
"ADBL","2024-07-10","283","288","282","286.5","0.46 %","42,559.00"
"ADBL","2024-07-09","286.1","287.5","278","285.2","1.68 %","274,360.00"
"ADBL","2024-07-08","282","286.4","279.4","280.5","-0.21 %","49,865.00"
"ADBL","2024-07-07","271","283","271","281.1","3.00 %","106,759.00"
"ADBL","2024-07-04","270","275","267.1","272.9","0.70 %","86,098.00"
"ADBL","2024-07-03","272","274.9","262","271","-0.37 %","41,796.00"
"ADBL","2024-07-02","272.8","286.6","268.4","272","1.68 %","87,848.00"
"ADBL","2024-07-01","256","268","256","267.5","3.28 %","62,619.00"
"ADBL","2024-06-30","262","262.9","257.3","259","-0.77 %","17,310.00"
"ADBL","2024-06-27","260.1","265","260","261","-0.76 %","28,727.00"
"ADBL","2024-06-26","260.1","264","260","263","0.19 %","7,484.00"
"ADBL","2024-06-25","266","267","261","262.5","-0.94 %","22,605.00"
