"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"ALBSL","2024-08-11","1088","1127.1","1088","1110","4.03 %","27,523.00"
"ALBSL","2024-08-08","1060","1104","1060","1067","0.66 %","16,329.00"
"ALBSL","2024-08-07","1050","1070","1040","1060","0.66 %","16,879.00"
"ALBSL","2024-08-06","1060.5","1080","1050","1053","-2.05 %","12,223.00"
"ALBSL","2024-08-05","1061","1142.4","1060.1","1075","-0.19 %","13,401.00"
"ALBSL","2024-08-01","1090","1106.7","1072.4","1077","-0.74 %","16,215.00"
"ALBSL","2024-07-31","1084","1119.9","1080","1085","0.28 %","21,731.00"
"ALBSL","2024-07-30","1070","1113","1060","1082","1.50 %","23,125.00"
"ALBSL","2024-07-29","1123","1123","1066","1066","-3.18 %","20,079.00"
"ALBSL","2024-07-28","1156.6","1175","1081","1101","-2.91 %","24,032.00"
"ALBSL","2024-07-25","1085","1143","1081","1134","4.61 %","25,298.00"
"ALBSL","2024-07-24","1116","1118","1073.1","1084","-2.87 %","15,238.00"
"ALBSL","2024-07-23","1111","1126","1110","1116","0.45 %","28,142.00"
"ALBSL","2024-07-22","1100","1122","1084","1111","1.09 %","23,216.00"
"ALBSL","2024-07-21","1068.1","1102","1054","1099","1.76 %","19,092.00"
"ALBSL","2024-07-18","1087.3","1110","1075","1080","1.31 %","21,021.00"
"ALBSL","2024-07-17","1065","1097.9","1050","1066","0.09 %","27,671.00"
"ALBSL","2024-07-16","1040","1070","1032","1065","3.80 %","10,683.00"
"ALBSL","2024-07-15","1090.3","1090.3","1025","1026","-4.02 %","18,167.00"
"ALBSL","2024-07-14","1078.1","1121","1055","1069","1.14 %","13,920.00"
"ALBSL","2024-07-11","1045","1100","1045","1057","-0.75 %","12,628.00"
"ALBSL","2024-07-10","1089.9","1120","1049","1065","-0.47 %","13,161.00"
"ALBSL","2024-07-09","1030","1097","1020","1070","5.44 %","22,930.00"
"ALBSL","2024-07-08","1010","1016","1002.1","1014.8","1.48 %","14,251.00"
"ALBSL","2024-07-07","990","1007.7","964.1","1000","2.56 %","10,266.00"
"ALBSL","2024-07-04","985","1000","974.2","975","-0.91 %","8,792.00"
"ALBSL","2024-07-03","978.1","988","978.1","984","-1.40 %","5,256.00"
"ALBSL","2024-07-02","1007.6","1047","988.2","998","1.02 %","6,302.00"
"ALBSL","2024-07-01","957","987.9","957","987.9","1.44 %","6,866.00"
"ALBSL","2024-06-30","956","986.5","956","973.9","0.69 %","3,792.00"
"ALBSL","2024-06-27","1002.6","1002.6","966","967.2","-1.61 %","2,510.00"
"ALBSL","2024-06-26","999","1001","981","983","-0.20 %","9,472.00"
"ALBSL","2024-06-25","980","998","972.2","985","1.15 %","11,935.00"
"ALBSL","2024-06-24","948","1000","948","973.8","2.18 %","10,216.00"
"ALBSL","2024-06-23","960","975","951","953","-1.39 %","5,506.00"
