"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"AVYAN","2024-08-11","1060","1081","1046","1076","3.45 %","9,611.00"
"AVYAN","2024-08-08","1061","1085","1020","1040.1","-0.02 %","9,181.00"
"AVYAN","2024-08-07","1026","1050","1010","1040.3","1.39 %","6,028.00"
"AVYAN","2024-08-06","1075.1","1075.1","990","1026","-6.47 %","10,224.00"
"AVYAN","2024-08-05","1088","1109","1040","1097","0.82 %","8,623.00"
"AVYAN","2024-08-01","1150","1195","1088.1","1088.1","-4.47 %","20,527.00"
"AVYAN","2024-07-31","1085.1","1164.8","1085","1139","3.55 %","20,870.00"
"AVYAN","2024-07-30","1071","1105","1065","1100","2.80 %","13,182.00"
"AVYAN","2024-07-29","1150","1150","1070","1070","-6.88 %","17,344.00"
"AVYAN","2024-07-28","1171.9","1195","1060","1149","0.00 %","23,109.00"
"AVYAN","2024-07-25","1109","1180","1091","1149","5.41 %","34,527.00"
"AVYAN","2024-07-24","1109","1140","1070","1090","-3.50 %","21,862.00"
"AVYAN","2024-07-23","1091","1170","1075","1129.5","3.72 %","18,265.00"
"AVYAN","2024-07-22","1050","1120","1032","1089","5.52 %","39,732.00"
"AVYAN","2024-07-21","1060","1070","1030","1032","-1.71 %","23,755.00"
"AVYAN","2024-07-18","1040","1079.9","1020","1050","2.94 %","23,505.00"
"AVYAN","2024-07-17","1014","1025","995","1020","1.19 %","36,866.00"
"AVYAN","2024-07-16","959.5","1010","959.5","1008","2.96 %","13,666.00"
"AVYAN","2024-07-15","1000","1000","973.1","979","-1.81 %","21,284.00"
"AVYAN","2024-07-14","1016.9","1020","995","997","0.00 %","11,463.00"
"AVYAN","2024-07-11","999","1026","990","997","-1.29 %","20,105.00"
"AVYAN","2024-07-10","990","1031","990","1010","2.64 %","26,951.00"
"AVYAN","2024-07-09","938.9","1001","938.9","984","2.71 %","37,391.00"
"AVYAN","2024-07-08","950.3","962","945","958","1.38 %","7,544.00"
"AVYAN","2024-07-07","935","962","935","945","-0.52 %","9,623.00"
"AVYAN","2024-07-04","930","955","930","949.9","0.20 %","8,319.00"
"AVYAN","2024-07-03","977","977","928","948","-1.15 %","2,827.00"
"AVYAN","2024-07-02","958","977.1","936","959","2.02 %","3,721.00"
"AVYAN","2024-07-01","925.3","947","925.3","940","-0.21 %","2,521.00"
"AVYAN","2024-06-30","949","966","916.3","942","-0.74 %","6,012.00"
"AVYAN","2024-06-27","921.2","957","921.2","949","1.05 %","12,035.00"
"AVYAN","2024-06-26","941","973.9","936","939.1","-2.18 %","4,539.00"
"AVYAN","2024-06-25","955","974","950.6","960","0.63 %","15,341.00"
"AVYAN","2024-06-24","900","960","900","954","5.54 %","22,076.00"
"AVYAN","2024-06-23","900","920","896","903.9","0.43 %","5,814.00"
"AVYAN","2024-06-20","903","928.9","899","900","-2.27 %","9,317.00"
"AVYAN","2024-06-19","912","945","910.2","920.9","-0.77 %","8,115.00"
"AVYAN","2024-06-18","945","950","910","928","-1.38 %","11,196.00"
"AVYAN","2024-06-16","954.6","969","935","941","-3.39 %","11,167.00"
"AVYAN","2024-06-13","988","989.4","945.1","974","0.41 %","24,811.00"
"AVYAN","2024-06-12","988","1000","952","970","0.10 %","18,644.00"
"AVYAN","2024-06-11","944","989","916","969","3.75 %","15,051.00"
"AVYAN","2024-06-10","900","940","900","934","1.75 %","24,352.00"
"AVYAN","2024-06-09","955","968","917.9","917.9","-3.38 %","22,581.00"
"AVYAN","2024-06-06","948","981.2","947","950","-0.82 %","26,754.00"
"AVYAN","2024-06-05","900.2","975","900","957.9","4.71 %","40,417.00"
"AVYAN","2024-06-04","876","923.5","876","914.8","2.79 %","18,466.00"
"AVYAN","2024-06-03","843","915","843","890","5.58 %","20,469.00"
"AVYAN","2024-06-02","820","853.1","804.4","843","2.80 %","13,277.00"
"AVYAN","2024-05-30","825","843","812","820","-1.20 %","11,676.00"
"AVYAN","2024-05-29","860.3","893.9","830","830","-3.52 %","6,656.00"
"AVYAN","2024-05-27","864","882","833.2","860.3","1.33 %","10,325.00"
"AVYAN","2024-05-26","851.1","865","831.1","849","-1.85 %","5,244.00"
"AVYAN","2024-05-22","912","912","865","865","-3.46 %","18,829.00"
"AVYAN","2024-05-21","893","928.2","882.1","896","0.34 %","21,981.00"
"AVYAN","2024-05-20","925","942","885","893","-3.46 %","30,954.00"
"AVYAN","2024-05-19","920","930","894.5","925","0.66 %","28,845.00"
"AVYAN","2024-05-16","858.9","931.7","850","918.9","8.49 %","50,673.00"
"AVYAN","2024-05-15","879","896.5","842","847","-1.97 %","29,303.00"
"AVYAN","2024-05-14","813.5","875","813.5","864","4.10 %","20,566.00"
"AVYAN","2024-05-13","803","830","803","830","1.48 %","15,471.00"
"AVYAN","2024-05-12","851","851","811.2","817.9","-2.02 %","15,047.00"
"AVYAN","2024-05-09","823","839.9","803","834.8","1.31 %","32,652.00"
"AVYAN","2024-05-08","787","825.9","762.1","824","6.19 %","40,815.00"
"AVYAN","2024-05-07","750","800.7","750","776","3.51 %","20,493.00"
"AVYAN","2024-05-06","788","788","745","749.7","-3.75 %","7,965.00"
"AVYAN","2024-05-05","769","816","764.4","778.9","3.10 %","41,980.00"
"AVYAN","2024-05-02","737.1","790","737.1","755.5","2.50 %","21,359.00"
"AVYAN","2024-04-30","719","754","719","737.1","0.70 %","14,245.00"
"AVYAN","2024-04-29","715.4","755","715.4","732","0.27 %","10,787.00"
"AVYAN","2024-04-28","690.9","740","690.9","730","3.55 %","21,739.00"
"AVYAN","2024-04-25","687","719.1","687","705","0.57 %","8,827.00"
"AVYAN","2024-04-24","681","707","676","701","2.94 %","10,182.00"
"AVYAN","2024-04-22","687","712","680.1","681","-2.85 %","6,133.00"
"AVYAN","2024-04-21","680","707.4","663","701","1.07 %","6,575.00"
"AVYAN","2024-04-18","665","693.6","661.1","693.6","2.00 %","7,881.00"
"AVYAN","2024-04-16","700","700","680","680","-2.61 %","4,381.00"
"AVYAN","2024-04-15","694","722","685.1","698.2","0.46 %","20,046.00"
"AVYAN","2024-04-14","650.3","698","650.3","695","5.30 %","14,163.00"
"AVYAN","2024-04-10","672","684","657","660","-2.65 %","10,972.00"
"AVYAN","2024-04-09","690","700","670","678","-2.87 %","13,492.00"
"AVYAN","2024-04-07","712","723","690","698","-1.69 %","27,421.00"
"AVYAN","2024-04-04","672","715","672","710","4.72 %","38,077.00"
"AVYAN","2024-04-03","680","693.9","670","678","1.50 %","19,983.00"
"AVYAN","2024-04-02","631","702","631","668","3.97 %","21,206.00"
"AVYAN","2024-04-01","628.1","649","628.1","642.5","0.39 %","2,894.00"
"AVYAN","2024-03-31","637","680","634","640","-1.52 %","6,466.00"
"AVYAN","2024-03-28","633","665","633","649.9","1.20 %","7,507.00"
"AVYAN","2024-03-27","652","666","642","642.2","-2.70 %","6,890.00"
"AVYAN","2024-03-26","685.4","693","659","660","-1.79 %","12,516.00"
"AVYAN","2024-03-25","694.6","694.6","657.1","672","-1.32 %","8,570.00"
"AVYAN","2024-03-21","702","709","676.2","681","-2.99 %","8,221.00"
"AVYAN","2024-03-20","683.4","712","676","702","4.78 %","38,322.00"
"AVYAN","2024-03-19","636","671.2","634.5","670","3.91 %","25,010.00"
"AVYAN","2024-03-18","630","654","630","644.8","0.75 %","6,703.00"
"AVYAN","2024-03-17","655","656.8","635","640","-0.62 %","6,679.00"
"AVYAN","2024-03-14","636.2","656","630","644","-0.77 %","8,334.00"
"AVYAN","2024-03-13","665","678","639","649","-1.82 %","8,388.00"
"AVYAN","2024-03-12","612","673","612","661","8.01 %","21,509.00"
"AVYAN","2024-03-10","596","623","591","612","4.24 %","8,232.00"
"AVYAN","2024-03-07","602.7","602.7","585.2","587.1","-0.66 %","2,212.00"
"AVYAN","2024-03-06","598","598","581","591","0.17 %","1,535.00"
"AVYAN","2024-03-05","610","610","588","590","-1.93 %","1,441.00"
"AVYAN","2024-03-04","601.6","601.6","601.6","601.6","1.98 %","10.00"
"AVYAN","2024-03-03","580","591","580","589.9","0.15 %","890.00"
"AVYAN","2024-02-29","590","600","584","589","-1.01 %","2,858.00"
"AVYAN","2024-02-28","590","601.5","590","595","0.85 %","2,399.00"
"AVYAN","2024-02-27","598","601","590","590","-0.51 %","4,080.00"
"AVYAN","2024-02-26","586","602","582","593","0.42 %","1,163.00"
"AVYAN","2024-02-25","592","604","590","590.5","-1.25 %","3,677.00"
"AVYAN","2024-02-22","599.1","604","595","598","-1.79 %","8,228.00"
"AVYAN","2024-02-21","609","610","599.5","608.9","-0.02 %","3,814.00"
"AVYAN","2024-02-20","590","610","590","609","1.50 %","5,591.00"
"AVYAN","2024-02-18","590","607","588","600","0.33 %","3,346.00"
"AVYAN","2024-02-15","616","616","597","598","-0.99 %","2,669.00"
"AVYAN","2024-02-14","594","625","594","604","0.00 %","1,661.00"
"AVYAN","2024-02-13","615","615","589","604","-1.31 %","3,399.00"
"AVYAN","2024-02-12","605","614","605","612","0.33 %","1,982.00"
"AVYAN","2024-02-11","616","616","605","610","0.66 %","1,516.00"
"AVYAN","2024-02-08","614","614","602","606","0.17 %","2,038.00"
"AVYAN","2024-02-07","617.1","617.1","600.1","605","0.00 %","1,758.00"
"AVYAN","2024-02-06","589","605","589","605","1.49 %","1,873.00"
"AVYAN","2024-02-05","597","604","595","596.1","-0.23 %","1,700.00"
"AVYAN","2024-02-04","593","610","593","597.5","-1.08 %","1,780.00"
"AVYAN","2024-02-01","598.3","610","595","604","-0.33 %","3,561.00"
"AVYAN","2024-01-31","612","616","604","606","-1.30 %","3,325.00"
"AVYAN","2024-01-30","611","627.3","611","614","-1.29 %","2,874.00"
"AVYAN","2024-01-29","625","629.3","611.2","622","0.79 %","2,214.00"
"AVYAN","2024-01-28","611","630","611","617.1","-0.15 %","2,046.00"
"AVYAN","2024-01-25","630","630","608.1","618","0.00 %","2,224.00"
"AVYAN","2024-01-24","616","635","610","618","-1.12 %","3,248.00"
"AVYAN","2024-01-23","632.4","632.4","616","625","0.81 %","4,672.00"
"AVYAN","2024-01-22","639","639","615","620","-1.12 %","5,004.00"
"AVYAN","2024-01-21","625","645","624","627","-1.26 %","4,970.00"
"AVYAN","2024-01-18","644","644","620.5","635","-1.40 %","9,333.00"
"AVYAN","2024-01-17","660","671","643","644","-2.13 %","11,940.00"
"AVYAN","2024-01-16","635","658","635","658","5.60 %","14,570.00"
"AVYAN","2024-01-14","615","628","610","623.1","2.15 %","6,332.00"
"AVYAN","2024-01-11","620","624","593","610","-0.81 %","5,164.00"
"AVYAN","2024-01-10","599","623","599","615","2.59 %","7,999.00"
"AVYAN","2024-01-09","610.9","619.4","596","599.5","0.08 %","2,768.00"
"AVYAN","2024-01-08","574.5","599","574.5","599","2.18 %","3,209.00"
"AVYAN","2024-01-07","591","599","585","586.2","-0.68 %","2,209.00"
"AVYAN","2024-01-04","596","604","589","590.2","-1.14 %","1,998.00"
"AVYAN","2024-01-03","580.1","620","580.1","597","0.93 %","1,850.00"
"AVYAN","2024-01-02","600","602","591.2","591.5","-2.23 %","2,680.00"
"AVYAN","2024-01-01","603.2","614.9","603","605","0.33 %","3,458.00"
"AVYAN","2023-12-28","591","610","591","603","0.17 %","4,721.00"
"AVYAN","2023-12-27","613","615","600","602","-1.79 %","2,859.00"
"AVYAN","2023-12-24","608.1","631","608.1","613","-0.97 %","4,056.00"
"AVYAN","2023-12-21","621","643.6","616","619","-1.90 %","8,454.00"
"AVYAN","2023-12-20","640","648","617.3","631","-1.87 %","9,840.00"
"AVYAN","2023-12-19","649","649","627.2","643","0.63 %","2,425.00"
"AVYAN","2023-12-18","624.2","648","612","639","4.41 %","13,637.00"
"AVYAN","2023-12-17","592.5","615","592","612","1.41 %","2,921.00"
"AVYAN","2023-12-14","597.8","609.7","597","603.5","-1.07 %","2,155.00"
"AVYAN","2023-12-13","623","623","603.1","610","-0.16 %","4,530.00"
"AVYAN","2023-12-12","592.9","629","581.1","611","0.99 %","4,441.00"
"AVYAN","2023-12-11","622.2","622.2","600","605","-0.82 %","4,682.00"
"AVYAN","2023-12-10","601.8","613.8","601.8","610","3.39 %","40.00"
"AVYAN","2023-12-07","586","604","584","590","-1.14 %","1,485.00"
"AVYAN","2023-12-06","590","600","579.2","596.8","-0.53 %","660.00"
"AVYAN","2023-12-05","580","635","580","600","1.52 %","1,399.00"
"AVYAN","2023-12-04","597.8","600","586.3","591","-3.10 %","1,308.00"
"AVYAN","2023-12-03","594.9","609.9","580","609.9","0.48 %","1,648.00"
"AVYAN","2023-11-30","622.3","622.3","595","607","-4.41 %","4,440.00"
"AVYAN","2023-11-29","683","669.4","614.7","635","-7.03 %","7,794.00"
"AVYAN","2023-11-28","620.8","683","593","683","7.83 %","4,630.00"
"AVYAN","2023-11-27","576.3","633.4","566.6","633.4","7.72 %","2,631.00"
"AVYAN","2023-11-26","565","595.6","555.5","588","2.62 %","2,002.00"
"AVYAN","2023-11-23","560","600","555","573","2.32 %","2,270.00"
"AVYAN","2023-11-22","559","572","550","560","-1.75 %","600.00"
"AVYAN","2023-11-21","574","590","555","570","-2.56 %","1,330.00"
"AVYAN","2023-11-20","577.2","585","577.2","585","1.74 %","1,380.00"
"AVYAN","2023-11-09","576","582","575","575","-0.86 %","1,526.00"
"AVYAN","2023-11-08","579","585","570","580","0.00 %","1,415.00"
"AVYAN","2023-11-07","575","587.5","573.1","580","0.69 %","375.00"
"AVYAN","2023-11-06","572","586.5","572","576","0.16 %","1,836.00"
"AVYAN","2023-11-05","570.1","580","570.1","575.1","-0.84 %","600.00"
"AVYAN","2023-11-02","575","580","572.5","580","0.35 %","2,264.00"
"AVYAN","2023-11-01","576","586","576","578","-0.34 %","430.00"
"AVYAN","2023-10-31","600","600","580","580","-1.86 %","1,645.00"
"AVYAN","2023-10-30","580.1","595","580.1","591","0.17 %","710.00"
"AVYAN","2023-10-29","600","600","588","590","-1.67 %","1,667.00"
"AVYAN","2023-10-19","603","608","594","600","-1.64 %","712.00"
"AVYAN","2023-10-18","595","620","591","610","3.74 %","1,265.00"
"AVYAN","2023-10-17","593.1","601","588","588","1.12 %","1,315.00"
"AVYAN","2023-10-16","591","599","581.5","581.5","-3.08 %","1,190.00"
"AVYAN","2023-10-12","602.5","614","600","600","-1.17 %","3,910.00"
"AVYAN","2023-10-11","620.1","620.1","605.1","607.1","-0.15 %","630.00"
"AVYAN","2023-10-10","610.8","612.1","600","608","-0.46 %","1,834.00"
"AVYAN","2023-10-09","615","618","610.2","610.8","-1.47 %","1,686.00"
"AVYAN","2023-10-08","613.5","625","613.5","619.9","-0.18 %","1,836.00"
"AVYAN","2023-10-05","616.3","628.6","616.3","621","-1.13 %","1,638.00"
"AVYAN","2023-10-04","614","635","614","628.1","0.96 %","1,030.00"
"AVYAN","2023-10-03","621.6","635","621.6","622.1","-1.88 %","2,082.00"
"AVYAN","2023-10-02","622","642","622","634","0.48 %","1,940.00"
"AVYAN","2023-10-01","638","640","628.1","631","-2.92 %","2,741.00"
"AVYAN","2023-09-27","661.5","666.2","640.2","650","-3.60 %","7,750.00"
"AVYAN","2023-09-26","670","680","660","674.3","0.19 %","4,319.00"
"AVYAN","2023-09-25","677","690","655","673","-2.45 %","4,292.00"
"AVYAN","2023-09-24","686","742","666","689.9","-1.44 %","6,277.00"
"AVYAN","2023-09-21","714.5","714.5","677","700","-3.98 %","14,912.00"
"AVYAN","2023-09-19","650.8","729","641","729","9.79 %","4,128.00"
"AVYAN","2023-09-18","639.8","700","635.2","664","1.72 %","3,823.00"
"AVYAN","2023-09-17","657.6","723","634.1","652.8","-2.71 %","5,719.00"
"AVYAN","2023-09-13","641.9","680","640.1","671","2.44 %","2,990.00"
"AVYAN","2023-09-12","626.2","689.5","626.2","655","2.52 %","5,574.00"
"AVYAN","2023-09-11","608.6","642","608.6","638.9","2.88 %","1,996.00"
"AVYAN","2023-09-10","603.1","625","603.1","621","0.98 %","1,330.00"
"AVYAN","2023-09-07","603","617","603","615","-0.02 %","1,923.00"
"AVYAN","2023-09-05","611.6","628.9","611.6","615.1","-1.43 %","1,550.00"
"AVYAN","2023-09-04","615","632.2","607.6","624","0.66 %","2,000.00"
"AVYAN","2023-09-03","615","619.9","606.3","619.9","-0.66 %","3,920.00"
"AVYAN","2023-08-30","617.4","630","610","624","-0.92 %","790.00"
"AVYAN","2023-08-29","623.2","639.9","601","629.8","3.08 %","5,190.00"
"AVYAN","2023-08-28","612","620","602","611","0.33 %","2,458.00"
"AVYAN","2023-08-27","610.1","622","606","609","-2.09 %","1,655.00"
"AVYAN","2023-08-24","621.1","637","621","622","-1.74 %","1,802.00"
"AVYAN","2023-08-23","616.1","638","616.1","633","1.12 %","1,561.00"
"AVYAN","2023-08-22","615.1","635","615.1","626","0.16 %","1,340.00"
"AVYAN","2023-08-21","665","665","625","625","-4.14 %","3,731.00"
"AVYAN","2023-08-20","670","683.4","652","652","-3.42 %","2,206.00"
"AVYAN","2023-08-17","666.4","691","666.4","675.1","-0.72 %","1,620.00"
"AVYAN","2023-08-16","672.1","685","672","680","-0.15 %","1,410.00"
"AVYAN","2023-08-15","694","709","678","681","-3.81 %","6,294.00"
"AVYAN","2023-08-14","710","730","696","708","-2.21 %","8,258.00"
"AVYAN","2023-08-13","764.4","764.4","702","724","-7.18 %","8,685.00"
"AVYAN","2023-08-10","700.7","780","690","780","9.09 %","4,847.00"
"AVYAN","2023-08-09","703","715","675.3","715","1.71 %","9,637.00"
"AVYAN","2023-08-08","705.6","719","695","703","-2.36 %","1,397.00"
"AVYAN","2023-08-07","705","728","701","720","0.13 %","2,806.00"
"AVYAN","2023-08-06","767","767","703.8","719.1","-8.04 %","15,453.00"
"AVYAN","2023-08-03","714.8","782","714","782","7.23 %","5,597.00"
"AVYAN","2023-08-02","730","734.4","703.1","729.3","-1.98 %","1,290.00"
