"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BNHC","2024-08-11","614","640.7","614","630","0.64 %","19,065.00"
"BNHC","2024-08-08","631.1","639","622","626","-2.17 %","10,697.00"
"BNHC","2024-08-07","609","648","609","639.9","3.04 %","8,654.00"
"BNHC","2024-08-06","640","655","621","621","-3.11 %","17,372.00"
"BNHC","2024-08-05","626","648","626","640.9","2.54 %","17,808.00"
"BNHC","2024-08-01","640","640","625","625","-2.34 %","10,152.00"
"BNHC","2024-07-31","649.7","649.7","627.1","640","0.47 %","17,614.00"
"BNHC","2024-07-30","622","637","621","637","1.10 %","13,659.00"
"BNHC","2024-07-29","637","638","624.3","630.1","0.65 %","8,592.00"
"BNHC","2024-07-28","645","646","624","626","-1.26 %","9,730.00"
"BNHC","2024-07-25","624","644.5","624","634","0.11 %","14,731.00"
"BNHC","2024-07-24","659","659","632.4","633.3","-2.27 %","16,391.00"
"BNHC","2024-07-23","645","654","641.2","648","0.31 %","20,456.00"
"BNHC","2024-07-22","637","654","637","646","-0.35 %","7,619.00"
"BNHC","2024-07-21","667.6","667.6","644","648.3","-0.96 %","29,699.00"
"BNHC","2024-07-18","662.9","663.1","643.1","654.6","0.71 %","25,070.00"
"BNHC","2024-07-17","657","664.9","635","650","-0.76 %","19,832.00"
"BNHC","2024-07-16","640","659","640","655","2.83 %","43,195.00"
"BNHC","2024-07-15","661","661","636","637","-1.85 %","13,513.00"
"BNHC","2024-07-14","655","668.1","647.1","649","-0.92 %","15,591.00"
"BNHC","2024-07-11","654.5","668","641.5","655","-1.92 %","45,136.00"
"BNHC","2024-07-10","727.2","727.2","667.8","667.8","-10.00 %","63,030.00"
"BNHC","2024-07-09","662","742","657","742","9.91 %","30,415.00"
"BNHC","2024-07-08","651.7","705","651.7","675.1","1.52 %","31,776.00"
"BNHC","2024-07-07","653.2","680","653.2","665","3.84 %","46,370.00"
"BNHC","2024-07-04","622.3","652.8","622.3","640.4","0.85 %","11,878.00"
"BNHC","2024-07-03","635","645","620.3","635","-1.55 %","11,769.00"
"BNHC","2024-07-02","661.9","701","637.1","645","-0.62 %","5,450.00"
"BNHC","2024-07-01","642","653.8","642","649","1.25 %","11,325.00"
"BNHC","2024-06-30","631","647","631","641","0.16 %","8,250.00"
"BNHC","2024-06-27","653","653","631","640","-0.17 %","8,763.00"
"BNHC","2024-06-26","667.9","667.9","639.1","641.1","-2.12 %","8,640.00"
"BNHC","2024-06-25","661.5","691","649","655","-2.96 %","17,362.00"
"BNHC","2024-06-24","711.4","711.4","653.4","675","-7.01 %","16,396.00"
"BNHC","2024-06-23","657.7","726","633","725.9","8.17 %","30,234.00"
"BNHC","2024-06-20","646.8","696","646.8","671.1","1.68 %","58,921.00"
"BNHC","2024-06-19","652.9","688","639.9","660","3.11 %","55,418.00"
"BNHC","2024-06-18","616.5","642.8","616.5","640.1","1.76 %","32,139.00"
"BNHC","2024-06-16","596","635","596","629","3.57 %","20,294.00"
"BNHC","2024-06-13","597.3","619","597.1","607.3","-0.28 %","16,468.00"
"BNHC","2024-06-12","620","625","605","609","-3.03 %","14,820.00"
"BNHC","2024-06-11","625","630","620.1","628","0.62 %","4,945.00"
"BNHC","2024-06-10","630.7","656","617.1","624.1","-3.01 %","17,818.00"
"BNHC","2024-06-09","700.7","700.7","643.5","643.5","-10.00 %","47,275.00"
"BNHC","2024-06-06","637.7","715","622.1","715","9.88 %","35,257.00"
"BNHC","2024-06-05","622.3","686","622.3","650.7","2.47 %","21,282.00"
"BNHC","2024-06-04","658.6","710","620","635","-5.51 %","45,110.00"
"BNHC","2024-06-03","611","672","596.9","672","9.98 %","66,873.00"
"BNHC","2024-06-02","579.2","636","579.2","611","3.38 %","27,355.00"
"BNHC","2024-05-30","577","597","577","591","0.68 %","14,082.00"
"BNHC","2024-05-29","635.1","635.1","583.3","587","-9.41 %","37,942.00"
"BNHC","2024-05-27","734.4","734.4","648","648","-10.00 %","7,827.00"
"BNHC","2024-05-26","657.6","730","603.9","720","7.30 %","64,670.00"
"BNHC","2024-05-22","622.2","671","593.1","671","10.00 %","30,363.00"
"BNHC","2024-05-21","613.7","661.8","605","610","1.38 %","29,624.00"
"BNHC","2024-05-20","536.1","601.7","536.1","601.7","10.00 %","105,690.00"
"BNHC","2024-05-19","520","571","520","547","5.19 %","31,815.00"
"BNHC","2024-05-16","510.1","525","510","520","0.00 %","21,402.00"
"BNHC","2024-05-15","501.8","530.4","493","520","5.69 %","46,632.00"
"BNHC","2024-05-14","444","492","444","492","8.61 %","26,303.00"
"BNHC","2024-05-13","454","462","449","453","-0.22 %","2,507.00"
"BNHC","2024-05-12","441","467","441","454","2.02 %","9,744.00"
"BNHC","2024-05-09","434.9","448.6","427.2","445","4.00 %","6,663.00"
"BNHC","2024-05-08","427.1","435","422","427.9","-1.59 %","2,275.00"
"BNHC","2024-05-07","440","443","426.3","434.8","-0.71 %","3,201.00"
"BNHC","2024-05-06","452","452","427","437.9","-1.37 %","5,675.00"
"BNHC","2024-05-05","455","458.9","443","444","-0.94 %","3,341.00"
"BNHC","2024-05-02","456","472.9","448","448.2","-1.71 %","2,062.00"
"BNHC","2024-04-30","446","464","441","456","2.24 %","5,908.00"
"BNHC","2024-04-29","446","458","442","446","-0.89 %","4,731.00"
"BNHC","2024-04-28","459","459","449.9","450","-0.22 %","2,919.00"
"BNHC","2024-04-25","447","455","446.6","451","-0.86 %","5,402.00"
"BNHC","2024-04-24","456","463","445","454.9","-0.02 %","5,551.00"
"BNHC","2024-04-22","475","475","454","455","-2.74 %","2,490.00"
"BNHC","2024-04-21","470.1","470.1","452.2","467.8","1.50 %","5,246.00"
"BNHC","2024-04-18","465.3","474","452","460.9","-1.92 %","3,111.00"
"BNHC","2024-04-16","467.4","478","466","469.9","-1.07 %","1,572.00"
"BNHC","2024-04-15","474.7","486.5","470","475","-1.92 %","8,583.00"
"BNHC","2024-04-14","471.5","498","471.5","484.3","0.90 %","5,245.00"
"BNHC","2024-04-10","475.3","512","470.4","480","-1.03 %","9,713.00"
"BNHC","2024-04-09","495","504.9","485","485","-3.96 %","20,349.00"
"BNHC","2024-04-07","460","505","451","505","7.63 %","9,072.00"
"BNHC","2024-04-04","452","487","447.9","469.2","2.00 %","15,732.00"
"BNHC","2024-04-03","473.2","473.2","452.4","460","-0.86 %","6,436.00"
"BNHC","2024-04-02","471","473","462","464","-2.32 %","6,711.00"
"BNHC","2024-04-01","478","480.4","470.1","475","-0.84 %","8,667.00"
"BNHC","2024-03-31","480.3","499.6","478.3","479","-2.24 %","8,635.00"
