"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BNT","2024-08-11","16932","17523","16857.2","17080","2.89 %","1,308.00"
"BNT","2024-08-08","16551","17129.9","15900","16600","0.30 %","914.00"
"BNT","2024-08-07","15979.3","16695","15700.2","16551","5.65 %","911.00"
"BNT","2024-08-06","16999","17000","15560","15666","-6.47 %","824.00"
"BNT","2024-08-05","16838","17100","16510","16750","1.45 %","1,263.00"
"BNT","2024-08-01","16725","17023","16400","16510","-1.08 %","1,134.00"
"BNT","2024-07-31","17400","17400","16660","16691","-2.22 %","1,804.00"
"BNT","2024-07-30","17136","17136","16300","17070","1.61 %","1,071.00"
"BNT","2024-07-29","17541.2","18100","16752","16800","-6.14 %","1,838.00"
"BNT","2024-07-28","17440.9","18100","16701","17899","4.68 %","3,160.00"
"BNT","2024-07-25","16740.2","17748","16405.4","17099","4.19 %","2,403.00"
"BNT","2024-07-24","15218","16412","14900","16412","10.00 %","5,709.00"
"BNT","2024-07-23","14185.1","15195","14001","14920","7.28 %","1,653.00"
"BNT","2024-07-22","13900","14285","13729.8","13907","-0.74 %","896.00"
"BNT","2024-07-21","13974","14585","13916","14010","2.26 %","2,031.00"
"BNT","2024-07-18","14000","14700","13700","13700","-1.44 %","661.00"
"BNT","2024-07-17","13260","14076","13260","13900","4.83 %","1,043.00"
"BNT","2024-07-16","12800.3","13259.9","12800.1","13259.9","2.00 %","823.00"
"BNT","2024-07-15","13000","13050","12800","13000","0.00 %","181.00"
"BNT","2024-07-14","12546","13099","12546","13000","5.69 %","675.00"
"BNT","2024-07-11","12712","12848","12300","12300","-3.23 %","963.00"
"BNT","2024-07-10","12660","12877","12557","12710","0.47 %","210.00"
"BNT","2024-07-09","12690","12700","12651","12651","-0.39 %","120.00"
"BNT","2024-07-08","12879","12900","12675.1","12700","0.00 %","430.00"
"BNT","2024-07-07","12750","12820","12700","12700","0.00 %","670.00"
"BNT","2024-07-04","12750","12755","12672","12700","-0.78 %","555.00"
"BNT","2024-07-03","12900","12900","12625","12800","0.62 %","100.00"
"BNT","2024-07-02","12863.2","12997","12721","12721","0.87 %","120.00"
"BNT","2024-07-01","12829.8","13110","12611","12611","0.08 %","333.00"
"BNT","2024-06-30","12700","12896","12587","12601","-0.78 %","302.00"
"BNT","2024-06-27","12680","12702","12644","12700","-0.08 %","120.00"
"BNT","2024-06-26","12660","12904","12653","12710","-0.43 %","130.00"
"BNT","2024-06-25","12900","12900","12765","12765","0.67 %","50.00"
"BNT","2024-06-24","12954","12954","12670.1","12680","-0.16 %","112.00"
"BNT","2024-06-23","12950","13200","12700","12700","-0.10 %","220.00"
"BNT","2024-06-20","12800","12998","12682","12713","-0.68 %","242.00"
"BNT","2024-06-19","12890","13055","12630","12800","0.01 %","384.00"
"BNT","2024-06-18","12800","12800","12710","12799","-0.01 %","140.00"
"BNT","2024-06-16","12800","12800","12700","12800","-0.20 %","145.00"
"BNT","2024-06-13","12901","13000","12826","12826","0.02 %","232.00"
"BNT","2024-06-12","13016","13020","12766","12824","0.49 %","482.00"
"BNT","2024-06-11","12719","12970","12718","12761","-0.32 %","553.00"
"BNT","2024-06-10","12998","13000","12752","12802","0.41 %","325.00"
"BNT","2024-06-09","12853","13000","12750","12750","-1.21 %","380.00"
"BNT","2024-06-06","12800","13160","12795","12906","0.83 %","229.00"
"BNT","2024-06-05","12556","13006","12501","12800","1.02 %","435.00"
"BNT","2024-06-04","12810","13260","12671.2","12671.2","-1.85 %","164.00"
"BNT","2024-06-03","13000","13000","12910.2","12910.2","-0.69 %","190.00"
"BNT","2024-06-02","13000","13200","12900","13000","0.00 %","260.00"
"BNT","2024-05-30","13171.4","13430","12920","13000","0.67 %","250.00"
"BNT","2024-05-29","13000","13500","12913.2","12913.2","1.19 %","865.00"
"BNT","2024-05-27","13000","13000","12620","12761.1","0.00 %","200.00"
"BNT","2024-05-26","13055","13150","12761","12761","-0.30 %","165.00"
"BNT","2024-05-22","12800","12800","12601","12800","0.00 %","465.00"
"BNT","2024-05-21","12903","13100","12700","12800","1.19 %","671.00"
"BNT","2024-05-20","12800","13288","12650","12650","-1.50 %","840.00"
"BNT","2024-05-19","13066.2","13066.2","12590","12842","0.25 %","101.00"
"BNT","2024-05-16","12812","13000","12810","12810","-1.46 %","160.00"
"BNT","2024-05-15","12964.9","13224.3","12800","13000","2.27 %","350.00"
"BNT","2024-05-14","12524.4","12985","12524.4","12711","-0.54 %","250.00"
"BNT","2024-05-13","12655","12780","12451","12780","0.71 %","240.00"
"BNT","2024-05-12","12852","13109","12690","12690","0.71 %","155.00"
"BNT","2024-05-09","12596","13900","12403","12600","-1.97 %","700.00"
"BNT","2024-05-08","12930","13296","12838","12853","-2.58 %","371.00"
"BNT","2024-05-07","13788.5","13788.5","12935","13193.7","-6.23 %","480.00"
"BNT","2024-05-06","13000","14069.8","12300","14069.8","9.03 %","890.00"
"BNT","2024-05-05","13345","13345","12861","12905","-5.23 %","580.00"
"BNT","2024-05-02","13300","13800","13300","13617","0.87 %","691.00"
"BNT","2024-04-30","12302","13798","12302","13500","7.62 %","633.00"
"BNT","2024-04-29","12440","13056","12440","12544","1.08 %","605.00"
"BNT","2024-04-28","12670","12690","12400","12410","-0.72 %","190.00"
"BNT","2024-04-25","12488","12500","12312","12500","-1.87 %","180.00"
"BNT","2024-04-24","12850","12850","12489","12738","0.74 %","100.00"
"BNT","2024-04-22","12698","12739","12500","12645","1.24 %","100.00"
"BNT","2024-04-21","12400","12490","12300","12490","-0.39 %","845.00"
"BNT","2024-04-18","12553","12685","12250","12539","-0.11 %","423.00"
"BNT","2024-04-16","12440","13036","12208.1","12553","0.87 %","402.00"
"BNT","2024-04-15","12550","12660","12445","12445","-2.62 %","235.00"
"BNT","2024-04-14","12956","12956","12601.3","12780","0.61 %","109.00"
"BNT","2024-04-10","13130","13130","12650.2","12702","-2.29 %","331.00"
"BNT","2024-04-09","12850","13050","12750.1","13000","1.17 %","360.00"
"BNT","2024-04-07","13199","13199","12850","12850","-1.14 %","140.00"
"BNT","2024-04-04","12801.5","13056","12800","12998","1.55 %","197.00"
"BNT","2024-04-03","13430","13430","12800","12800","-3.76 %","240.00"
"BNT","2024-04-02","13100","13300","13050","13300","0.77 %","277.00"
"BNT","2024-04-01","12800","13417","12800","13199","1.53 %","260.00"
"BNT","2024-03-31","13200","13362","12851","13000","-0.76 %","445.00"
"BNT","2024-03-28","13330","13496","13100","13100","-0.65 %","452.00"
"BNT","2024-03-27","13650","13680","13186","13186","-3.04 %","190.00"
"BNT","2024-03-26","13999","14050","13600","13600","-1.27 %","792.00"
"BNT","2024-03-25","13135","14000","13135","13775","2.79 %","1,958.00"
"BNT","2024-03-21","13041","13837.1","13035","13401","0.76 %","595.00"
"BNT","2024-03-20","13499","13505","13204","13299.9","-0.75 %","236.00"
"BNT","2024-03-19","13411","13770","13133","13400","-0.74 %","270.00"
"BNT","2024-03-18","13490","13945","13400","13500","0.07 %","976.00"
"BNT","2024-03-17","13700","13900","13200","13490","-1.53 %","694.00"
"BNT","2024-03-14","13920","13983","13679","13700","-3.51 %","363.00"
"BNT","2024-03-13","14200","14440","13720","14198","-1.74 %","645.00"
"BNT","2024-03-12","14550","14650","14063","14449","0.45 %","677.00"
"BNT","2024-03-10","14280","14565","13829.2","14384","2.74 %","484.00"
