"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CBBL","2024-08-11","1030","1056.6","1030","1056.6","4.00 %","87,998.00"
"CBBL","2024-08-08","1036","1040.4","1007","1016","-0.39 %","45,058.00"
"CBBL","2024-08-07","994","1021","980","1020","2.54 %","44,686.00"
"CBBL","2024-08-06","1039.9","1050","994.7","994.7","-4.36 %","59,477.00"
"CBBL","2024-08-05","1047","1065","1028","1040","-0.67 %","41,557.00"
"CBBL","2024-08-01","1071","1079","1040","1047","-0.30 %","64,827.00"
"CBBL","2024-07-31","1037","1070","1032","1050.1","1.26 %","80,915.00"
"CBBL","2024-07-30","1051","1051","999.9","1037","0.58 %","79,589.00"
"CBBL","2024-07-29","1080","1080","1025","1031","-4.54 %","98,928.00"
"CBBL","2024-07-28","1093","1150","1050","1080","0.75 %","73,177.00"
"CBBL","2024-07-25","984","1080","981.1","1072","8.94 %","174,514.00"
"CBBL","2024-07-24","995","1011","969","984","-0.64 %","59,836.00"
"CBBL","2024-07-23","983","997","975","990.3","0.64 %","22,625.00"
"CBBL","2024-07-22","1005","1005","968","984","-0.50 %","36,625.00"
"CBBL","2024-07-21","960","990","954","988.9","3.66 %","43,279.00"
"CBBL","2024-07-18","930","970","930","954","3.14 %","53,115.00"
"CBBL","2024-07-17","925","925.9","913","925","1.33 %","30,406.00"
"CBBL","2024-07-16","900","913","885","912.9","1.43 %","22,637.00"
"CBBL","2024-07-15","920","922","890","900","-0.66 %","29,431.00"
"CBBL","2024-07-14","907.8","920","892","906","1.80 %","19,250.00"
"CBBL","2024-07-11","905.7","905.7","886","890","0.23 %","31,329.00"
"CBBL","2024-07-10","869.9","895","869.9","888","2.07 %","35,242.00"
"CBBL","2024-07-09","850","872","845.3","870","1.75 %","25,052.00"
"CBBL","2024-07-08","863.9","863.9","840","855","0.94 %","14,149.00"
"CBBL","2024-07-07","837","853","837","847","1.44 %","16,931.00"
"CBBL","2024-07-04","830","846","830","835","0.54 %","12,333.00"
"CBBL","2024-07-03","835","850.5","820.1","830.5","-0.41 %","11,490.00"
"CBBL","2024-07-02","818","867","818","833.9","1.94 %","7,693.00"
"CBBL","2024-07-01","815","824","815","818","-0.24 %","5,034.00"
"CBBL","2024-06-30","825","825","817.1","820","-0.61 %","9,283.00"
"CBBL","2024-06-27","830.5","830.5","822","825","-0.60 %","9,535.00"
"CBBL","2024-06-26","830.5","843.9","830","830","-0.84 %","5,895.00"
"CBBL","2024-06-25","831.7","839","831.7","837","0.76 %","14,183.00"
"CBBL","2024-06-24","840","840","830.3","830.7","-0.16 %","10,824.00"
"CBBL","2024-06-23","840","845","831","832","-0.95 %","14,788.00"
"CBBL","2024-06-20","850","850","836","840","-0.36 %","17,888.00"
"CBBL","2024-06-19","860","860","842","843","-0.24 %","6,025.00"
"CBBL","2024-06-18","844","851","841.1","845","-0.59 %","11,961.00"
"CBBL","2024-06-16","851","858","845.2","850","-0.93 %","14,468.00"
"CBBL","2024-06-13","855","864","855","858","-0.58 %","16,151.00"
"CBBL","2024-06-12","873","873","861.2","863","0.47 %","16,538.00"
