"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CCBL","2023-01-09","191.2","199.5","191.1","199.5","3.31 %","100,347.00"
"CCBL","2023-01-08","192","196","191","193.1","0.89 %","93,532.00"
"CCBL","2023-01-05","192.7","195","191.1","191.4","-0.57 %","79,277.00"
"CCBL","2023-01-04","191","194","189.7","192.5","1.32 %","57,375.00"
"CCBL","2023-01-03","192","193","189","190","-0.05 %","62,724.00"
"CCBL","2023-01-02","191","194","188.3","190.1","-0.16 %","52,720.00"
"CCBL","2023-01-01","193","195.9","189.2","190.4","0.21 %","58,072.00"
"CCBL","2022-12-29","188","191","185.2","190","2.10 %","39,605.00"
"CCBL","2022-12-28","189.7","189.7","185","186.1","-0.48 %","18,317.00"
"CCBL","2022-12-27","183.1","190.1","181","187","3.60 %","32,390.00"
"CCBL","2022-12-26","180","182","175","180.5","1.12 %","67,290.00"
"CCBL","2022-12-22","179.5","179.7","176.6","178.5","0.73 %","16,036.00"
"CCBL","2022-12-21","180","180","176.4","177.2","-1.01 %","9,120.00"
"CCBL","2022-12-20","176.1","180","176.1","179","-0.28 %","21,079.00"
"CCBL","2022-12-19","177","180","176","179.5","1.64 %","18,712.00"
"CCBL","2022-12-18","188","191","184.5","185","-2.63 %","161,125.00"
"CCBL","2022-12-15","187","191","187","190","0.00 %","46,360.00"
"CCBL","2022-12-14","188.4","190.8","186","190","-1.04 %","43,171.00"
"CCBL","2022-12-13","187","192","185.7","192","2.07 %","69,034.00"
"CCBL","2022-12-12","184.1","190.4","184.1","188.1","0.80 %","36,524.00"
"CCBL","2022-12-11","185","189","184","186.6","0.92 %","53,190.00"
"CCBL","2022-12-07","185","186","184.7","184.9","-0.91 %","16,476.00"
"CCBL","2022-12-06","187","189","185.8","186.6","-0.37 %","17,497.00"
"CCBL","2022-12-05","189","189","186.4","187.3","-0.37 %","23,407.00"
"CCBL","2022-12-04","188.1","190","187","188","-0.79 %","41,525.00"
