"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CHL","2024-08-11","380","400","380","399","5.00 %","73,970.00"
"CHL","2024-08-08","389","395","376","380","-0.78 %","49,436.00"
"CHL","2024-08-07","367.5","384","361","383","4.62 %","37,633.00"
"CHL","2024-08-06","382","395.7","364","366.1","-5.89 %","64,885.00"
"CHL","2024-08-05","380.3","395","380.3","389","0.26 %","61,629.00"
"CHL","2024-08-01","394.1","403","380","388","-3.00 %","39,021.00"
"CHL","2024-07-31","398","407","394","400","1.52 %","94,918.00"
"CHL","2024-07-30","379","395","370.7","394","3.96 %","65,244.00"
"CHL","2024-07-29","381.4","388.6","365","379","1.34 %","71,080.00"
"CHL","2024-07-28","385","385.5","365","374","-1.06 %","65,191.00"
"CHL","2024-07-25","378.9","382","368","378","-0.24 %","76,715.00"
"CHL","2024-07-24","400","400","375","378.9","-3.83 %","114,357.00"
"CHL","2024-07-23","377.4","396","377.4","394","6.49 %","130,108.00"
"CHL","2024-07-22","349","375","338","370","7.90 %","138,454.00"
"CHL","2024-07-21","333.2","350","333.2","342.9","0.85 %","67,888.00"
"CHL","2024-07-18","350","350","335.1","340","-1.16 %","68,285.00"
"CHL","2024-07-17","339","359","333.6","344","1.93 %","64,247.00"
"CHL","2024-07-16","307.8","344.7","307.8","337.5","7.48 %","131,569.00"
"CHL","2024-07-15","322.8","322.8","313","314","-0.79 %","19,115.00"
"CHL","2024-07-14","316.9","328","310.7","316.5","1.87 %","14,530.00"
"CHL","2024-07-11","316.1","319.8","310.7","310.7","-1.99 %","20,474.00"
"CHL","2024-07-10","319","319","312.7","317","0.67 %","10,050.00"
"CHL","2024-07-09","304.8","314.9","304.8","314.9","1.25 %","9,981.00"
"CHL","2024-07-08","305.9","318","305.9","311","-0.35 %","12,595.00"
"CHL","2024-07-07","307.5","315.9","307.1","312.1","1.66 %","49,375.00"
"CHL","2024-07-04","313","313","307","307","-0.58 %","28,503.00"
"CHL","2024-07-03","307","313.1","306.1","308.8","-0.39 %","18,422.00"
"CHL","2024-07-02","312.2","331","308","310","1.27 %","25,171.00"
"CHL","2024-07-01","300.9","311","300.9","306.1","-0.29 %","6,811.00"
"CHL","2024-06-30","303.8","314.1","302","307","-0.97 %","18,672.00"
"CHL","2024-06-27","311","318","308.2","310","-2.12 %","26,659.00"
"CHL","2024-06-26","318","321.9","313","316.7","-0.69 %","11,710.00"
"CHL","2024-06-25","331.3","331.3","318.6","318.9","-1.85 %","23,027.00"
"CHL","2024-06-24","317","337.3","314.1","324.9","2.82 %","31,793.00"
"CHL","2024-06-23","320.1","320.1","312","316","-0.91 %","15,068.00"
"CHL","2024-06-20","321","321","312","318.9","-0.65 %","14,422.00"
"CHL","2024-06-19","325","326","319.6","321","-2.10 %","23,873.00"
"CHL","2024-06-18","319","338","319","327.9","0.89 %","20,818.00"
"CHL","2024-06-16","321","333","321","325","0.62 %","32,496.00"
"CHL","2024-06-13","325","333.5","320","323","0.72 %","43,957.00"
"CHL","2024-06-12","339.5","339.5","320.7","320.7","-3.69 %","16,090.00"
"CHL","2024-06-11","326.8","334","326","333","3.93 %","38,421.00"
"CHL","2024-06-10","324","325","319","320.4","0.44 %","24,027.00"
"CHL","2024-06-09","311","321","311","319","1.27 %","9,910.00"
"CHL","2024-06-06","314","318.5","310.4","315","0.51 %","18,118.00"
"CHL","2024-06-05","325","325","310","313.4","-2.06 %","18,867.00"
"CHL","2024-06-04","318.5","331.3","312.2","320","-1.51 %","17,117.00"
"CHL","2024-06-03","332","332","319","324.9","-2.37 %","12,645.00"
"CHL","2024-06-02","331.9","336","323","332.8","0.94 %","37,621.00"
"CHL","2024-05-30","322.9","332","322.9","329.7","2.71 %","31,571.00"
"CHL","2024-05-29","333.5","346","319.2","321","-1.83 %","23,381.00"
"CHL","2024-05-27","323.6","334","317.2","327","-0.91 %","20,987.00"
"CHL","2024-05-26","342.8","342.8","325","330","-4.07 %","10,371.00"
"CHL","2024-05-22","334","344","327.4","344","1.15 %","29,753.00"
"CHL","2024-05-21","336","349.5","326.5","340.1","1.22 %","49,081.00"
"CHL","2024-05-20","317.9","344.3","314","336","7.35 %","119,761.00"
"CHL","2024-05-19","319.9","319.9","308.2","313","-0.22 %","13,284.00"
"CHL","2024-05-16","316.2","320.9","309","313.7","-0.38 %","11,760.00"
"CHL","2024-05-15","323","327.7","308.8","314.9","-2.20 %","18,223.00"
"CHL","2024-05-14","311","322","311","322","3.57 %","21,102.00"
"CHL","2024-05-13","308.5","315","307","310.9","-0.35 %","7,307.00"
"CHL","2024-05-12","314","326","308.7","312","-0.95 %","7,319.00"
"CHL","2024-05-09","311.6","317.8","309","315","-0.91 %","12,737.00"
"CHL","2024-05-08","307.8","345.4","307.8","317.9","1.24 %","19,686.00"
"CHL","2024-05-07","313","319","310","314","0.29 %","10,852.00"
