"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CLI","2024-08-11","639","660","635","652","2.35 %","174,198.00"
"CLI","2024-08-08","645","655","635.2","637","-0.78 %","126,088.00"
"CLI","2024-08-07","615","648","608","642","3.55 %","152,006.00"
"CLI","2024-08-06","661","664.1","618","620","-6.25 %","226,424.00"
"CLI","2024-08-05","630","665","630","661.3","4.14 %","176,530.00"
"CLI","2024-08-01","605","658.9","605","635","3.59 %","199,180.00"
"CLI","2024-07-31","600","618","600","613","2.51 %","164,600.00"
"CLI","2024-07-30","594","601","584.1","598","0.67 %","106,149.00"
"CLI","2024-07-29","601","612","592.9","594","-1.82 %","111,691.00"
"CLI","2024-07-28","602.8","620","585","605","2.37 %","148,990.00"
"CLI","2024-07-25","589","599","582","591","0.17 %","99,166.00"
"CLI","2024-07-24","600","610","581","590","-1.50 %","163,297.00"
"CLI","2024-07-23","568","600","568","599","4.36 %","123,354.00"
"CLI","2024-07-22","571","585","570","574","-1.03 %","117,144.00"
"CLI","2024-07-21","577.1","582","567","580","0.52 %","149,883.00"
"CLI","2024-07-18","570","583","563.1","577","1.23 %","196,691.00"
"CLI","2024-07-17","570","578","557","570","0.53 %","133,172.00"
"CLI","2024-07-16","550","567.1","545.5","567","4.11 %","111,874.00"
"CLI","2024-07-15","558","565","543","544.6","-2.40 %","152,845.00"
"CLI","2024-07-14","558.9","580","550","558","1.82 %","132,221.00"
"CLI","2024-07-11","527","548","527","548","3.98 %","130,229.00"
"CLI","2024-07-10","520","530","519.1","527","0.67 %","81,883.00"
"CLI","2024-07-09","511","523.9","511","523.5","1.47 %","94,704.00"
"CLI","2024-07-08","524","529","513","515.9","-1.55 %","113,445.00"
"CLI","2024-07-07","507","525","507","524","2.75 %","142,867.00"
"CLI","2024-07-04","486","514","486","510","4.08 %","117,197.00"
"CLI","2024-07-03","484","491","483.5","490","0.00 %","31,055.00"
"CLI","2024-07-02","486.5","515","485","490","2.73 %","65,881.00"
"CLI","2024-07-01","472","478","468.7","477","1.17 %","21,025.00"
"CLI","2024-06-30","470","480","470","471.5","-0.74 %","24,306.00"
"CLI","2024-06-27","476.1","484","474","475","-1.02 %","41,200.00"
"CLI","2024-06-26","475.5","482","475.5","479.9","-0.19 %","38,896.00"
"CLI","2024-06-25","475.5","483","475.5","480.8","0.15 %","22,485.00"
"CLI","2024-06-24","480","485","480","480.1","0.02 %","38,958.00"
"CLI","2024-06-23","480","484","477.2","480","-0.41 %","44,549.00"
"CLI","2024-06-20","480","486","480","482","0.10 %","48,532.00"
"CLI","2024-06-19","484","485","480","481.5","-0.72 %","31,469.00"
"CLI","2024-06-18","479","487","475","485","0.41 %","42,406.00"
"CLI","2024-06-16","481","493","480","483","-0.64 %","95,866.00"
"CLI","2024-06-13","479","489.4","479","486.1","0.29 %","47,716.00"
"CLI","2024-06-12","486","494","484","484.7","-0.27 %","55,957.00"
"CLI","2024-06-11","469","487","469","486","3.05 %","54,596.00"
"CLI","2024-06-10","472","478","471","471.6","-0.72 %","50,338.00"
"CLI","2024-06-09","470.1","479.5","470.1","475","-0.65 %","36,322.00"
"CLI","2024-06-06","475.2","480","475.1","478.1","-0.19 %","48,175.00"
"CLI","2024-06-05","478","482.3","475.1","479","-0.21 %","38,707.00"
"CLI","2024-06-04","470.6","482","470","480","1.63 %","46,565.00"
"CLI","2024-06-03","479","479","467.1","472.3","0.28 %","34,235.00"
"CLI","2024-06-02","462","478.8","462","471","0.64 %","45,471.00"
"CLI","2024-05-30","461.1","476","461.1","468","-0.21 %","47,052.00"
"CLI","2024-05-29","489.7","489.7","469","469","-2.31 %","75,394.00"
"CLI","2024-05-27","475","488","475","480.1","-0.10 %","80,439.00"
"CLI","2024-05-26","480","490","480","480.6","-0.31 %","52,678.00"
"CLI","2024-05-22","487","489","481","482.1","-1.01 %","69,057.00"
"CLI","2024-05-21","480","496.7","474.1","487","1.25 %","99,064.00"
"CLI","2024-05-20","488","493.5","478.3","481","-0.60 %","126,558.00"
"CLI","2024-05-19","467.1","484.5","465","483.9","5.66 %","202,026.00"
"CLI","2024-05-16","465","472","456.1","458","-1.06 %","36,683.00"
"CLI","2024-05-15","471","474","460","462.9","0.11 %","58,629.00"
"CLI","2024-05-14","452.3","467.4","452.3","462.4","1.58 %","37,039.00"
"CLI","2024-05-13","459","464","454","455.2","1.04 %","49,645.00"
"CLI","2024-05-12","453.9","464","449.6","450.5","-2.72 %","110,151.00"
"CLI","2024-05-07","463.1","463.1","463.1","463.1","0.00 %","200.00"
"CLI","2024-05-06","460","496.4","460","463.1","2.61 %","666,481.00"
"CLI","2024-05-05","450","460.2","449","451.3","-0.38 %","49,489.00"
"CLI","2024-05-02","461.1","470.3","452","453","0.20 %","63,449.00"
"CLI","2024-04-30","445","462.9","445","452.1","1.16 %","65,523.00"
"CLI","2024-04-29","445.2","448.9","445","446.9","-0.45 %","29,134.00"
"CLI","2024-04-28","449","449.7","442.2","448.9","1.98 %","24,489.00"
"CLI","2024-04-25","435","443","433","440.2","0.73 %","25,832.00"
"CLI","2024-04-24","433.2","441","433.2","437","0.46 %","14,323.00"
"CLI","2024-04-22","436.1","446","431.7","435","-0.91 %","48,596.00"
"CLI","2024-04-21","438.4","442.5","430","439","-0.11 %","35,992.00"
"CLI","2024-04-18","442.2","444","439","439.5","-0.88 %","21,755.00"
"CLI","2024-04-16","442.1","445.8","442","443.4","-0.14 %","29,459.00"
"CLI","2024-04-15","446","450","443.1","444","-0.89 %","34,999.00"
"CLI","2024-04-14","450","454","446","448","-0.78 %","39,488.00"
"CLI","2024-04-10","462","465","451","451.5","-2.38 %","31,009.00"
"CLI","2024-04-09","465","471.9","460","462.5","-0.54 %","48,050.00"
