"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CORBL","2024-08-11","677.1","727.8","660.1","676","1.81 %","11,662.00"
"CORBL","2024-08-08","693","693","640","664","-2.35 %","7,704.00"
"CORBL","2024-08-07","640","702.9","638","680","6.42 %","11,904.00"
"CORBL","2024-08-06","677.4","700","635","639","-7.39 %","17,104.00"
"CORBL","2024-08-05","706","718","680","690","-0.33 %","8,675.00"
"CORBL","2024-08-01","676","744","676","692.3","1.07 %","21,251.00"
"CORBL","2024-07-31","658","708.9","640","685","6.04 %","26,498.00"
"CORBL","2024-07-30","632","657.9","623","646","0.78 %","18,830.00"
"CORBL","2024-07-29","620","641","617.3","641","1.99 %","25,490.00"
"CORBL","2024-07-28","633.4","658","597","628.5","1.21 %","9,937.00"
"CORBL","2024-07-25","613","647","602","621","1.31 %","11,549.00"
"CORBL","2024-07-24","639.8","639.8","608.3","613","-2.31 %","9,624.00"
"CORBL","2024-07-23","620","628","596","627.5","3.21 %","11,689.00"
"CORBL","2024-07-22","621.1","621.1","600","608","-0.16 %","16,441.00"
"CORBL","2024-07-21","635","635","606","609","-2.56 %","10,158.00"
"CORBL","2024-07-18","632","657","615","625","-1.11 %","17,105.00"
"CORBL","2024-07-17","633","637.5","614","632","-0.16 %","16,385.00"
"CORBL","2024-07-16","598.6","645.5","582","633","7.85 %","15,975.00"
"CORBL","2024-07-15","574.3","596.7","574.3","586.9","0.15 %","5,953.00"
"CORBL","2024-07-14","592","594","581","586","0.53 %","6,662.00"
"CORBL","2024-07-11","596.7","596.7","576.2","582.9","-0.36 %","6,922.00"
"CORBL","2024-07-10","603","603","583","585","-1.60 %","5,050.00"
"CORBL","2024-07-09","590","600","579.2","594.5","2.15 %","14,285.00"
"CORBL","2024-07-08","599.7","599.7","580","582","-1.02 %","8,965.00"
"CORBL","2024-07-07","593","617","582","588","-2.81 %","19,158.00"
"CORBL","2024-07-04","599.3","617","580.3","605","2.89 %","32,241.00"
"CORBL","2024-07-03","574","621.1","562.6","588","3.16 %","19,196.00"
"CORBL","2024-07-02","566.1","598","546","570","2.70 %","19,939.00"
"CORBL","2024-07-01","525","555","520","555","7.52 %","13,248.00"
"CORBL","2024-06-30","533.9","533.9","516.2","516.2","-1.49 %","5,655.00"
"CORBL","2024-06-27","536.9","536.9","516.6","524","-0.55 %","6,148.00"
"CORBL","2024-06-26","545.5","545.5","522","526.9","-1.51 %","2,080.00"
"CORBL","2024-06-25","539.5","550","533","535","0.94 %","11,576.00"
"CORBL","2024-06-24","511","530","507","530","4.95 %","12,098.00"
"CORBL","2024-06-23","510","515","498.2","505","-0.49 %","5,746.00"
"CORBL","2024-06-20","523","523","503","507.5","-1.07 %","6,417.00"
"CORBL","2024-06-19","520","530","502.3","513","0.59 %","10,933.00"
"CORBL","2024-06-18","520","525","501","510","-0.97 %","6,364.00"
"CORBL","2024-06-16","520","538","507","515","-2.83 %","15,882.00"
"CORBL","2024-06-13","510","561","497.1","530","3.92 %","19,113.00"
"CORBL","2024-06-12","493.1","512","493.1","510","3.45 %","16,963.00"
"CORBL","2024-06-11","485","497","476","493","3.35 %","13,454.00"
"CORBL","2024-06-10","478.3","478.3","468.9","477","1.71 %","3,652.00"
"CORBL","2024-06-09","479","479","463","469","-0.21 %","6,357.00"
"CORBL","2024-06-06","483.8","484","468.2","470","-1.24 %","1,840.00"
"CORBL","2024-06-05","485","487.6","468.4","475.9","-0.85 %","1,440.00"
"CORBL","2024-06-04","479.4","483","466","480","2.13 %","11,081.00"
"CORBL","2024-06-03","482","482.9","466.2","470","-1.12 %","5,835.00"
"CORBL","2024-06-02","474","479.4","466","475.3","2.22 %","2,757.00"
"CORBL","2024-05-30","471","479.8","462.1","465","-2.62 %","4,892.00"
"CORBL","2024-05-29","480","488","470","477.5","-1.53 %","4,949.00"
"CORBL","2024-05-27","476.3","489.9","465","484.9","3.83 %","9,323.00"
"CORBL","2024-05-26","476","483","465","467","-2.10 %","4,133.00"
"CORBL","2024-05-22","489","489","470.5","477","-0.52 %","5,160.00"
"CORBL","2024-05-21","480","485","473","479.5","0.95 %","8,234.00"
"CORBL","2024-05-20","484.3","493.9","475","475","0.02 %","4,940.00"
"CORBL","2024-05-19","478.3","489","469","474.9","1.26 %","9,654.00"
"CORBL","2024-05-16","460.1","488","460.1","469","0.62 %","7,503.00"
"CORBL","2024-05-15","483","489","460.8","466.1","-1.87 %","6,818.00"
"CORBL","2024-05-14","471","480","468.6","475","0.23 %","7,255.00"
