"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DLBS","2024-08-11","1337","1346.4","1311.1","1335","1.82 %","3,726.00"
"DLBS","2024-08-08","1290","1387","1290","1311.1","0.08 %","2,887.00"
"DLBS","2024-08-07","1290","1330","1275","1310","1.55 %","3,194.00"
"DLBS","2024-08-06","1332.3","1340","1286","1290","-3.17 %","3,765.00"
"DLBS","2024-08-05","1384.5","1384.5","1322","1332.3","-2.11 %","4,850.00"
"DLBS","2024-08-01","1353.5","1410","1353.5","1361","-1.38 %","4,132.00"
"DLBS","2024-07-31","1358","1388","1358","1380","1.62 %","4,034.00"
"DLBS","2024-07-30","1392","1395","1342","1358","-0.73 %","4,594.00"
"DLBS","2024-07-29","1428","1428","1345","1368","-2.29 %","5,533.00"
"DLBS","2024-07-28","1445","1473.9","1369","1400","-2.71 %","2,960.00"
"DLBS","2024-07-25","1350","1440","1350","1439","6.52 %","7,840.00"
"DLBS","2024-07-24","1393.3","1416.7","1350.9","1350.9","-3.04 %","5,224.00"
"DLBS","2024-07-23","1405","1417","1389.3","1393.3","-0.62 %","3,155.00"
"DLBS","2024-07-22","1406","1415","1375","1402","-1.27 %","4,426.00"
"DLBS","2024-07-21","1430","1441","1401","1420","-0.21 %","3,836.00"
"DLBS","2024-07-18","1425","1489","1420","1423","1.14 %","7,012.00"
"DLBS","2024-07-17","1385","1428","1385","1407","0.50 %","4,127.00"
"DLBS","2024-07-16","1386.5","1400","1332.8","1400","2.99 %","4,619.00"
"DLBS","2024-07-15","1395","1402","1359.4","1359.4","-2.19 %","3,616.00"
"DLBS","2024-07-14","1443.3","1450","1375.2","1389.9","-1.77 %","3,347.00"
"DLBS","2024-07-11","1408","1426","1394","1415","-0.39 %","5,640.00"
"DLBS","2024-07-10","1402.5","1465","1402","1420.5","3.31 %","13,144.00"
"DLBS","2024-07-09","1274","1375","1274","1375","7.93 %","10,854.00"
"DLBS","2024-07-08","1258","1277","1240","1274","1.27 %","2,051.00"
"DLBS","2024-07-07","1279","1280","1250","1258","-0.16 %","3,623.00"
"DLBS","2024-07-04","1259","1270","1247","1260","0.17 %","1,237.00"
"DLBS","2024-07-03","1289","1289","1230","1257.8","-0.57 %","2,495.00"
"DLBS","2024-07-02","1263","1288","1251","1265","2.10 %","1,567.00"
"DLBS","2024-07-01","1236","1265","1236","1239","0.24 %","1,882.00"
"DLBS","2024-06-30","1237.6","1261.9","1236","1236","-1.59 %","3,138.00"
"DLBS","2024-06-27","1260","1283.5","1241.5","1256","-0.24 %","4,618.00"
"DLBS","2024-06-26","1295","1295","1246.2","1259","-1.56 %","2,370.00"
"DLBS","2024-06-25","1276","1300","1254.4","1279","1.91 %","5,259.00"
"DLBS","2024-06-24","1252","1277","1226.5","1255","2.22 %","2,598.00"
"DLBS","2024-06-23","1288","1288","1227.2","1227.8","-3.17 %","2,845.00"
"DLBS","2024-06-20","1270","1325","1252","1268","1.04 %","4,080.00"
"DLBS","2024-06-19","1302","1302","1255","1255","-1.80 %","1,852.00"
"DLBS","2024-06-18","1258.4","1299.4","1233.3","1278","-0.47 %","4,395.00"
"DLBS","2024-06-16","1335","1340","1280","1284","-3.82 %","5,209.00"
"DLBS","2024-06-13","1305","1345","1305","1335","4.30 %","16,558.00"
"DLBS","2024-06-12","1259","1280","1216","1280","1.99 %","5,863.00"
"DLBS","2024-06-11","1222.2","1267","1220","1255","2.68 %","4,519.00"
"DLBS","2024-06-10","1190.1","1243","1190.1","1222.2","0.68 %","2,444.00"
"DLBS","2024-06-09","1260","1260","1200","1214","-3.65 %","5,615.00"
"DLBS","2024-06-06","1250","1280","1240","1260","0.40 %","2,823.00"
"DLBS","2024-06-05","1262","1283","1242","1255","-0.40 %","3,992.00"
"DLBS","2024-06-04","1240","1282.9","1211","1260","2.86 %","5,027.00"
"DLBS","2024-06-03","1200","1244","1160","1225","3.64 %","3,966.00"
"DLBS","2024-06-02","1179","1196","1160","1182","0.42 %","1,910.00"
"DLBS","2024-05-30","1199","1214","1176","1177","-1.09 %","4,418.00"
"DLBS","2024-05-29","1228","1252.5","1190","1190","-3.09 %","3,253.00"
"DLBS","2024-05-27","1250","1270","1220","1228","-1.85 %","4,268.00"
"DLBS","2024-05-26","1275","1285","1235","1251.1","-1.11 %","3,246.00"
"DLBS","2024-05-22","1289","1300","1260","1265.1","-2.31 %","10,140.00"
"DLBS","2024-05-21","1300","1305","1265.1","1295","0.39 %","5,484.00"
"DLBS","2024-05-20","1350","1356","1275","1290","-3.73 %","9,441.00"
"DLBS","2024-05-19","1351.5","1405","1328.9","1340","1.13 %","8,196.00"
"DLBS","2024-05-16","1230","1326","1220.1","1325","8.61 %","19,023.00"
"DLBS","2024-05-15","1265","1280","1200","1220","-3.48 %","4,295.00"
"DLBS","2024-05-14","1162.3","1264.8","1162.3","1264","7.21 %","7,247.00"
"DLBS","2024-05-13","1160","1190","1160","1179","1.81 %","2,345.00"
"DLBS","2024-05-12","1189","1189.9","1156.5","1158","-2.61 %","2,925.00"
"DLBS","2024-05-09","1220","1230.5","1152","1189","-2.54 %","2,791.00"
"DLBS","2024-05-08","1175","1224","1170","1220","3.83 %","2,943.00"
"DLBS","2024-05-07","1139","1206.6","1139","1175","1.29 %","2,050.00"
"DLBS","2024-05-06","1200","1200","1156","1160","-3.33 %","706.00"
"DLBS","2024-05-05","1235","1259","1160.1","1200","-1.23 %","7,213.00"
"DLBS","2024-05-02","1151","1268.8","1151","1215","3.85 %","6,065.00"
"DLBS","2024-04-30","1189","1189","1149","1170","0.09 %","2,748.00"
"DLBS","2024-04-29","1160","1183","1137","1169","2.36 %","4,708.00"
