"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DOLTI","2024-08-11","530","540","519.4","525","-1.15 %","56,498.00"
"DOLTI","2024-08-08","508.2","541","505","531.1","6.58 %","100,242.00"
"DOLTI","2024-08-07","452","498.3","450","498.3","10.00 %","95,470.00"
"DOLTI","2024-08-06","488","497","451","453","-7.32 %","44,246.00"
"DOLTI","2024-08-05","498.3","498.3","482","488.8","0.04 %","31,498.00"
"DOLTI","2024-08-01","490","516.9","479","488.6","-0.29 %","58,639.00"
"DOLTI","2024-07-31","480","499","480","490","4.03 %","66,004.00"
"DOLTI","2024-07-30","471","480","463","471","0.00 %","22,028.00"
"DOLTI","2024-07-29","458","481.1","458","471","0.83 %","31,486.00"
"DOLTI","2024-07-28","475","482","460","467.1","-1.46 %","23,709.00"
"DOLTI","2024-07-25","466","480","460","474","1.94 %","37,494.00"
"DOLTI","2024-07-24","478","486","464","465","-3.15 %","33,025.00"
"DOLTI","2024-07-23","483","486.3","470","480.1","0.67 %","37,403.00"
"DOLTI","2024-07-22","469","481.3","459.8","476.9","2.34 %","59,523.00"
"DOLTI","2024-07-21","474","478","460","466","-0.06 %","39,044.00"
"DOLTI","2024-07-18","471","499","465.4","466.3","-2.83 %","67,988.00"
"DOLTI","2024-07-17","485","485","466.2","479.9","0.21 %","33,980.00"
"DOLTI","2024-07-16","462","488.5","462","478.9","3.66 %","59,940.00"
"DOLTI","2024-07-15","440","473","432","462","6.94 %","91,727.00"
"DOLTI","2024-07-14","437","446","427.3","432","0.70 %","11,167.00"
"DOLTI","2024-07-11","435.5","435.5","426","429","0.47 %","14,536.00"
"DOLTI","2024-07-10","424","433.8","424","427","-0.33 %","15,186.00"
"DOLTI","2024-07-09","423","429.9","420.6","428.4","1.28 %","12,544.00"
"DOLTI","2024-07-08","418.4","427","418.4","423","-0.24 %","9,080.00"
"DOLTI","2024-07-07","418","425.1","418","424","-0.49 %","6,896.00"
"DOLTI","2024-07-04","433","438","425","426.1","0.02 %","17,176.00"
"DOLTI","2024-07-03","425","428","421","426","-0.70 %","7,303.00"
"DOLTI","2024-07-02","435","454","424.9","429","0.26 %","21,768.00"
"DOLTI","2024-07-01","414","430","408","427.9","5.21 %","25,646.00"
"DOLTI","2024-06-30","418","420","406.7","406.7","-3.19 %","17,535.00"
"DOLTI","2024-06-27","420.1","426","420.1","420.1","-0.69 %","6,138.00"
"DOLTI","2024-06-26","435.7","435.7","422.1","423","-0.98 %","14,861.00"
"DOLTI","2024-06-25","420","429.9","417","427.2","1.71 %","18,422.00"
"DOLTI","2024-06-24","410","424","410","420","1.67 %","8,866.00"
"DOLTI","2024-06-23","412","420","412","413.1","-0.94 %","21,026.00"
"DOLTI","2024-06-20","419","423","415.5","417","-0.48 %","9,234.00"
"DOLTI","2024-06-19","415","428.3","415","419","-0.26 %","14,210.00"
"DOLTI","2024-06-18","423","425","416","420.1","-0.71 %","17,282.00"
"DOLTI","2024-06-16","426","440","423","423.1","-0.33 %","16,504.00"
"DOLTI","2024-06-13","427","433.9","424","424.5","-1.74 %","29,386.00"
"DOLTI","2024-06-12","444","453","430.3","432","-1.59 %","14,209.00"
"DOLTI","2024-06-11","452.8","452.8","439","439","-1.13 %","28,758.00"
"DOLTI","2024-06-10","433","448.8","433","444","2.54 %","46,205.00"
"DOLTI","2024-06-09","432","435","426","433","0.70 %","18,821.00"
"DOLTI","2024-06-06","422","430.4","416","430","1.90 %","20,101.00"
"DOLTI","2024-06-05","434.9","439","417.2","422","-1.84 %","16,609.00"
"DOLTI","2024-06-04","439","440","422","429.9","-2.07 %","27,840.00"
