"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"EIC","2022-05-05","511","512","494","500","-4.03 %","8,992.00"
"EIC","2022-05-04","529","530","505","521","-1.68 %","5,832.00"
"EIC","2022-05-02","540","540","525","529.9","-2.05 %","6,419.00"
"EIC","2022-04-28","551.8","555","525.3","541","-0.73 %","6,891.00"
"EIC","2022-04-27","544","549.8","533.3","545","0.18 %","2,199.00"
"EIC","2022-04-26","538","544","530","544","-0.18 %","2,412.00"
"EIC","2022-04-25","550","560","536","545","0.12 %","8,530.00"
"EIC","2022-04-24","550","577","545","577","5.29 %","26,060.00"
"EIC","2022-04-21","547","560","530.1","548","-1.79 %","7,149.00"
"EIC","2022-04-20","562","562","535.2","558","1.27 %","15,585.00"
"EIC","2022-04-19","560","568","550","551","-2.11 %","10,778.00"
"EIC","2022-04-18","577","581","555","562.9","-2.56 %","12,205.00"
"EIC","2022-04-17","585","586","573","577.7","-2.66 %","6,510.00"
"EIC","2022-04-13","585","593.5","573.3","593.5","1.45 %","10,581.00"
"EIC","2022-04-12","608.9","608.9","580","585","-2.01 %","7,076.00"
"EIC","2022-04-11","612","623","591","597","-2.32 %","12,781.00"
"EIC","2022-04-07","609.9","614","597","611.2","2.04 %","13,831.00"
"EIC","2022-04-06","590","607","584.3","599","0.50 %","8,271.00"
"EIC","2022-04-05","602.3","602.3","585","596","-2.45 %","37,085.00"
"EIC","2022-04-04","617.7","627","611","611","-1.97 %","15,427.00"
"EIC","2022-04-03","640","640","623","623.3","-2.61 %","11,815.00"
"EIC","2022-03-31","645","645","622","640","-0.62 %","143,759.00"
"EIC","2022-03-30","635","647.7","617.5","644","0.78 %","49,397.00"
"EIC","2022-03-29","650","650","636.1","639","-1.54 %","9,096.00"
"EIC","2022-03-28","670","670","643","649","-2.39 %","57,313.00"
"EIC","2022-03-27","672","699.1","654","664.9","0.90 %","244,345.00"
"EIC","2022-03-24","646.9","660","633.2","659","2.33 %","78,605.00"
"EIC","2022-03-23","639","650","636.2","644","-0.31 %","80,405.00"
"EIC","2022-03-22","658","658","630","646","-0.15 %","35,659.00"
"EIC","2022-03-21","626.1","648","622.7","647","3.35 %","17,298.00"
"EIC","2022-03-20","655.9","657","626","626","-3.25 %","8,831.00"
"EIC","2022-03-16","640","652","636","647","0.94 %","23,021.00"
"EIC","2022-03-15","633","641","605","641","1.26 %","84,386.00"
"EIC","2022-03-14","640","643","620","633","0.16 %","9,764.00"
"EIC","2022-03-13","596.9","632","596.9","632","8.00 %","118,577.00"
"EIC","2022-03-10","582.4","591","564","585.2","2.49 %","7,350.00"
"EIC","2022-03-09","585","585","570","571","-3.38 %","5,307.00"
"EIC","2022-03-07","600.6","610","591","591","0.17 %","3,216.00"
"EIC","2022-03-06","606","606","590","590","-1.14 %","2,590.00"
"EIC","2022-03-02","603","604","588","596.8","-2.88 %","9,456.00"
"EIC","2022-02-28","632","632","610","614.5","-2.74 %","2,950.00"
"EIC","2022-02-27","630","645","624","631.8","-0.19 %","3,952.00"
"EIC","2022-02-24","645","645","628","633","-2.76 %","9,219.00"
"EIC","2022-02-23","660","680","649","651","-2.84 %","7,631.00"
"EIC","2022-02-22","670","680","655","670","0.00 %","27,730.00"
"EIC","2022-02-21","665","670","657","670","1.98 %","23,972.00"
"EIC","2022-02-20","665","669.9","652","657","-3.10 %","12,832.00"
"EIC","2022-02-17","699","699","674","678","-1.31 %","5,654.00"
"EIC","2022-02-16","682","704","682","687","-1.15 %","5,230.00"
"EIC","2022-02-15","675","695","667","695","2.54 %","8,135.00"
"EIC","2022-02-14","668","683","665","677.8","1.16 %","5,900.00"
"EIC","2022-02-13","707","707","663","670","-5.23 %","22,114.00"
"EIC","2022-02-10","720","720","707","707","-1.53 %","4,126.00"
"EIC","2022-02-09","720","720","710.1","718","-0.28 %","4,191.00"
"EIC","2022-02-08","741.5","756","708","720","0.00 %","14,469.00"
"EIC","2022-02-07","701","728","701","727","1.96 %","6,662.00"
"EIC","2022-02-06","725","725","712","713","-3.39 %","5,270.00"
"EIC","2022-02-03","740","754.8","730.5","738","0.48 %","22,447.00"
"EIC","2022-02-01","720","735","720","734.5","0.69 %","7,063.00"
"EIC","2022-01-31","738","738","721","729.5","-1.15 %","10,001.00"
"EIC","2022-01-30","724","752","723","738","3.94 %","18,755.00"
"EIC","2022-01-27","720","729","709","710","0.00 %","4,224.00"
"EIC","2022-01-26","715.1","720","704","710","-1.42 %","13,814.00"
"EIC","2022-01-25","713","739","712","720.2","0.17 %","11,920.00"
"EIC","2022-01-24","738","741","709.6","719","-4.52 %","27,796.00"
"EIC","2022-01-23","764.9","770","751","753","0.40 %","22,869.00"
"EIC","2022-01-20","727","758","727","750","1.76 %","33,063.00"
"EIC","2022-01-19","740","764.9","736","737","-2.38 %","19,306.00"
"EIC","2022-01-18","775","775","751","755","-2.33 %","18,497.00"
"EIC","2022-01-17","755","776.9","750","773","1.18 %","31,966.00"
"EIC","2022-01-16","735","779","735","764","3.95 %","39,461.00"
"EIC","2022-01-13","733","750","711.1","735","2.10 %","31,797.00"
"EIC","2022-01-12","754","754","714","719.9","-3.76 %","28,453.00"
"EIC","2022-01-11","720","763","710","748","4.54 %","40,844.00"
"EIC","2022-01-10","712","720","700","715.5","1.92 %","34,522.00"
"EIC","2022-01-09","689.5","702","679","702","3.85 %","24,924.00"
"EIC","2022-01-06","660","676","650.1","676","2.42 %","4,180.00"
"EIC","2022-01-05","667.1","678","655","660","-1.05 %","11,100.00"
"EIC","2022-01-04","665","683","660","667","0.91 %","5,801.00"
"EIC","2022-01-03","665","685","660","661","-0.50 %","12,599.00"
"EIC","2022-01-02","637","680.9","637","664.3","2.99 %","7,054.00"
"EIC","2021-12-29","628","649.8","628","645","0.78 %","6,351.00"
"EIC","2021-12-28","625.5","647","622.4","640","0.79 %","5,747.00"
"EIC","2021-12-27","690","700","635","635","-6.13 %","18,518.00"
"EIC","2021-12-26","620","676.5","620","676.5","10.00 %","23,557.00"
"EIC","2021-12-23","590","622.9","590","615","2.50 %","8,679.00"
"EIC","2021-12-22","575","602.8","575","600","4.53 %","7,175.00"
"EIC","2021-12-21","545","580","544.1","574","4.74 %","2,216.00"
"EIC","2021-12-20","550","560.7","547","548","-2.32 %","4,201.00"
"EIC","2021-12-16","565","588","560","561","-1.75 %","3,230.00"
"EIC","2021-12-15","570","623.7","566","571","0.71 %","11,740.00"
"EIC","2021-12-14","536.5","567","530","567","7.79 %","6,821.00"
"EIC","2021-12-13","553","553","526","526","-6.74 %","8,720.00"
"EIC","2021-12-12","587","587","564","564","-5.21 %","10,468.00"
"EIC","2021-12-09","600","600","591.1","595","-0.83 %","4,958.00"
"EIC","2021-12-08","618","618","600","600","-2.91 %","3,526.00"
"EIC","2021-12-07","638","644","618","618","-1.44 %","5,629.00"
"EIC","2021-12-06","625.1","635","593","627","0.32 %","8,452.00"
"EIC","2021-12-05","659.9","673","620.4","625","-3.40 %","5,917.00"
"EIC","2021-12-02","667","667","647","647","-4.57 %","7,740.00"
"EIC","2021-12-01","676.1","690","669","678","0.30 %","2,613.00"
"EIC","2021-11-30","675","712","651","676","0.15 %","6,577.00"
"EIC","2021-11-29","661","687","661","675","0.15 %","7,939.00"
"EIC","2021-11-28","685","689","673","674","-3.22 %","10,008.00"
"EIC","2021-11-25","700","701","696.2","696.4","-0.94 %","5,379.00"
"EIC","2021-11-24","692","707","692","703","-0.28 %","8,719.00"
"EIC","2021-11-23","711","719","705","705","-2.35 %","5,708.00"
"EIC","2021-11-22","710","744","710","722","2.41 %","30,300.00"
"EIC","2021-11-21","703.7","717.8","700.1","705","-1.81 %","5,476.00"
"EIC","2021-11-18","713","721","707","718","-1.24 %","9,745.00"
"EIC","2021-11-17","726","734.8","717","727","0.41 %","11,715.00"
"EIC","2021-11-16","714","724","700","724","3.43 %","8,991.00"
"EIC","2021-11-15","709.9","724","698","700","0.57 %","10,632.00"
"EIC","2021-11-14","668","698","668","696","2.20 %","10,582.00"
"EIC","2021-11-11","690","705","668","681","-1.73 %","8,014.00"
"EIC","2021-11-09","716","716","679","693","-4.56 %","17,855.00"
"EIC","2021-11-08","748","748","726.1","726.1","-2.93 %","2,449.00"
"EIC","2021-11-03","760","774.9","744","748","-1.58 %","10,311.00"
"EIC","2021-11-02","739","775","725","760","4.11 %","22,186.00"
"EIC","2021-11-01","730","760","726.2","730","1.96 %","28,064.00"
"EIC","2021-10-31","688.7","725","685.9","716","5.73 %","13,205.00"
"EIC","2021-10-28","671.3","703","659","677.2","-1.14 %","5,088.00"
"EIC","2021-10-27","660","703","660","685","2.87 %","11,553.00"
"EIC","2021-10-26","660.9","674.1","653.2","665.9","2.76 %","14,318.00"
"EIC","2021-10-25","620","661","620","648","4.52 %","6,410.00"
"EIC","2021-10-24","620","625","610","620","0.21 %","1,409.00"
"EIC","2021-10-21","614","625","613.6","618.7","-1.01 %","6,333.00"
"EIC","2021-10-20","609.9","625","609.9","625","4.52 %","6,431.00"
"EIC","2021-10-19","620","620","597.2","598","-4.17 %","18,455.00"
"EIC","2021-10-18","650","650","620","624","-4.73 %","14,406.00"
"EIC","2021-10-17","655","665.1","635","655","0.00 %","7,990.00"
"EIC","2021-10-11","650","681.4","635","655","0.00 %","9,471.00"
"EIC","2021-10-10","670.9","684","650","655","-0.43 %","3,597.00"
"EIC","2021-10-06","650","658.8","640","657.8","3.10 %","5,387.00"
"EIC","2021-10-05","631","643","621","638","2.90 %","3,327.00"
"EIC","2021-10-04","621","628","616.1","620","-0.16 %","4,799.00"
"EIC","2021-10-03","626","640","617.1","621","-0.80 %","7,348.00"
"EIC","2021-09-30","635","654","625.1","626","-2.49 %","4,939.00"
"EIC","2021-09-29","622","645","610","642","3.55 %","11,570.00"
"EIC","2021-09-28","637","646","620","620","-4.47 %","12,472.00"
"EIC","2021-09-27","663","663","643","649","-4.01 %","12,654.00"
"EIC","2021-09-26","687","690","675","676.1","-2.16 %","7,020.00"
"EIC","2021-09-23","719","719","691","691","-1.99 %","11,256.00"
"EIC","2021-09-22","691","705","680","705","3.98 %","9,946.00"
"EIC","2021-09-21","661","690","637","678","0.89 %","20,353.00"
"EIC","2021-09-20","705","705","670","672","-4.14 %","25,401.00"
"EIC","2021-09-16","725.2","734","699.1","701","-4.23 %","40,284.00"
"EIC","2021-09-15","747.8","760","732","732","-2.92 %","12,100.00"
"EIC","2021-09-14","755","765","750","754","-1.72 %","11,115.00"
"EIC","2021-09-13","743","783.3","740","767.2","3.68 %","30,524.00"
"EIC","2021-09-12","738.4","740","725.2","740","2.21 %","9,694.00"
"EIC","2021-09-09","734.9","748","721","724","0.21 %","11,710.00"
"EIC","2021-09-08","746.5","750","722.3","722.5","-4.56 %","16,575.00"
"EIC","2021-09-07","785","785","749","757","-2.82 %","15,374.00"
"EIC","2021-09-06","710","779","710","779","8.12 %","24,296.00"
"EIC","2021-09-05","762.5","763","705","720.5","-7.39 %","40,599.00"
"EIC","2021-09-02","779","789","756","778","0.00 %","17,514.00"
"EIC","2021-09-01","780","798.5","775","778","0.13 %","21,025.00"
"EIC","2021-08-31","785","800","773","777","-2.81 %","44,131.00"
"EIC","2021-08-29","805.4","815","790","799.5","-1.90 %","26,214.00"
"EIC","2021-08-26","823","831","807","815","-0.49 %","30,806.00"
"EIC","2021-08-25","865","866","815","819","-4.76 %","60,791.00"
"EIC","2021-08-24","856","885","850","859.9","2.37 %","133,767.00"
"EIC","2021-08-19","810","872","806.6","840","4.74 %","157,378.00"
"EIC","2021-08-18","787","820","787","802","0.25 %","38,235.00"
"EIC","2021-08-17","815","815","787","800","-0.12 %","33,622.00"
"EIC","2021-08-16","811","811","780","801","0.74 %","33,971.00"
"EIC","2021-08-15","813.5","820","791","795.1","-3.39 %","51,127.00"
"EIC","2021-08-12","810","830","800","823","1.60 %","77,792.00"
"EIC","2021-08-11","812","826","804","810","0.00 %","43,261.00"
"EIC","2021-08-10","800","825","789","810","1.89 %","50,708.00"
"EIC","2021-08-09","778","795","777.8","795","2.19 %","15,685.00"
"EIC","2021-08-08","790","797","777.1","778","-2.63 %","38,326.00"
"EIC","2021-08-05","805","815","794","799","-0.13 %","32,239.00"
"EIC","2021-08-04","804","813","799","800","-0.99 %","32,180.00"
"EIC","2021-08-03","819.5","819.5","802","808","-0.25 %","17,718.00"
"EIC","2021-08-02","820","821.9","800.1","810","-0.25 %","30,173.00"
"EIC","2021-08-01","819","822","810","812","-0.85 %","38,823.00"
"EIC","2021-07-29","840","840","812","819","-0.73 %","57,750.00"
"EIC","2021-07-28","790","831","786","825","5.63 %","73,154.00"
"EIC","2021-07-27","775","786","772","781","0.77 %","24,951.00"
"EIC","2021-07-26","772","780.9","771.2","775","-0.26 %","24,048.00"
"EIC","2021-07-25","790","790","765","777","-0.64 %","22,402.00"
"EIC","2021-07-22","761","785.4","761","782","1.31 %","30,791.00"
"EIC","2021-07-20","787","787","756","771.9","-1.54 %","13,762.00"
"EIC","2021-07-19","795","796","773.1","784","0.35 %","16,695.00"
"EIC","2021-07-18","748","781.3","748","781.3","4.31 %","27,987.00"
"EIC","2021-07-15","770","770","746","749","0.00 %","17,667.00"
"EIC","2021-07-14","740","760","740","749","0.00 %","5,325.00"
"EIC","2021-07-13","750","755","745","749","-0.13 %","12,839.00"
"EIC","2021-07-12","766","773","746","750","-2.09 %","22,203.00"
"EIC","2021-07-11","755","769","742","766","2.82 %","25,564.00"
"EIC","2021-07-08","739","750","730","745","0.81 %","12,223.00"
"EIC","2021-07-07","740","744","739","739","-0.14 %","10,094.00"
"EIC","2021-07-06","730","756","730","740","-0.27 %","8,005.00"
"EIC","2021-07-05","749","760","740","742","-0.13 %","13,475.00"
"EIC","2021-07-04","757","765","740","743","-1.59 %","12,344.00"
"EIC","2021-07-01","760","768","753","755","0.27 %","13,226.00"
"EIC","2021-06-30","740","755","733","753","1.48 %","21,584.00"
"EIC","2021-06-29","768","770","742","742","-2.88 %","27,439.00"
"EIC","2021-06-28","775","790","760","764","-1.04 %","26,334.00"
"EIC","2021-06-27","766","788","766","772","0.78 %","18,269.00"
"EIC","2021-06-24","780","781","762","766","-1.54 %","22,718.00"
"EIC","2021-06-23","805","805","772","778","-2.51 %","24,706.00"
"EIC","2021-06-22","775","805","770","798","2.97 %","36,230.00"
"EIC","2021-06-21","808","825","773","775","-4.08 %","56,787.00"
"EIC","2021-06-20","819","835","792","808","-1.34 %","51,143.00"
"EIC","2021-06-17","866","866","805","819","-0.73 %","39,698.00"
"EIC","2021-06-16","853","853","814","825","-3.28 %","43,249.00"
"EIC","2021-06-15","860","876","850","853","0.59 %","113,353.00"
"EIC","2021-06-14","820","849","820","848","3.79 %","71,912.00"
"EIC","2021-06-13","826","826","805","817","-1.09 %","73,073.00"
"EIC","2021-06-10","859","869","820","826","-2.48 %","79,673.00"
"EIC","2021-06-09","830","880","825","847","0.04 %","121,561.00"
"EIC","2021-06-08","770","820","760","814","7.53 %","152,611.00"
"EIC","2021-06-07","760","776","752","757","-0.13 %","24,521.00"
"EIC","2021-06-06","755","758","747","758","0.53 %","29,873.00"
