"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"FMDBL","2024-08-11","930.2","930.2","907","911","-0.11 %","106,948.00"
"FMDBL","2024-08-08","935.6","935.6","898","912","-0.58 %","131,473.00"
"FMDBL","2024-08-07","917","934","870","917.3","-0.08 %","136,073.00"
"FMDBL","2024-08-06","965.3","969","888.1","918","-6.80 %","185,535.00"
"FMDBL","2024-08-05","947.5","1004","896","985","6.03 %","163,400.00"
"FMDBL","2024-08-01","925.2","960","889.9","929","-1.59 %","186,207.00"
"FMDBL","2024-07-31","875","944","848","944","9.90 %","165,671.00"
"FMDBL","2024-07-30","850","875","825.2","859","1.66 %","120,043.00"
"FMDBL","2024-07-29","878.2","878.2","821","845","-1.86 %","165,854.00"
"FMDBL","2024-07-28","897.3","932.2","844.8","861","-2.14 %","122,132.00"
"FMDBL","2024-07-25","820","882","809","879.8","7.31 %","278,293.00"
"FMDBL","2024-07-24","820","828","792","819.9","0.49 %","189,394.00"
"FMDBL","2024-07-23","792","816","785","815.9","2.75 %","135,418.00"
"FMDBL","2024-07-22","800","806","786","794.1","0.14 %","144,762.00"
"FMDBL","2024-07-21","739","802","739","793","7.31 %","304,639.00"
"FMDBL","2024-07-18","719.3","745","719.3","739","3.43 %","143,311.00"
"FMDBL","2024-07-17","716","720","695","714.5","1.65 %","64,938.00"
"FMDBL","2024-07-16","693","703","680.2","702.9","3.22 %","35,658.00"
"FMDBL","2024-07-15","707","707","680","681","-1.87 %","46,011.00"
"FMDBL","2024-07-14","707.8","711","690","694","0.00 %","60,226.00"
"FMDBL","2024-07-11","712","712","688","694","-0.72 %","66,858.00"
"FMDBL","2024-07-10","695","706","695","699","0.58 %","84,438.00"
"FMDBL","2024-07-09","676","695","670","695","2.66 %","58,358.00"
"FMDBL","2024-07-08","666","683.5","666","677","1.03 %","26,449.00"
"FMDBL","2024-07-07","680","680","670","670.1","-0.28 %","28,571.00"
"FMDBL","2024-07-04","665","677","665","672","1.36 %","27,194.00"
"FMDBL","2024-07-03","676","676","660","663","-0.75 %","14,698.00"
"FMDBL","2024-07-02","673.2","699","664","668","1.21 %","18,608.00"
"FMDBL","2024-07-01","660","660","652","660","1.52 %","18,606.00"
"FMDBL","2024-06-30","656.5","667","650","650.1","-0.90 %","47,284.00"
"FMDBL","2024-06-27","663","665","655","656","-1.01 %","16,864.00"
"FMDBL","2024-06-26","686.9","686.9","662.7","662.7","-1.68 %","38,139.00"
"FMDBL","2024-06-25","671","680","664","674","1.81 %","21,789.00"
"FMDBL","2024-06-24","667","677.9","660","662","0.27 %","25,073.00"
"FMDBL","2024-06-23","676.2","676.2","660.2","660.2","-0.42 %","18,447.00"
"FMDBL","2024-06-20","681.3","681.3","662","663","-0.75 %","15,417.00"
"FMDBL","2024-06-19","675.2","683","664","668","0.91 %","17,824.00"
"FMDBL","2024-06-18","654","673","654","662","-0.75 %","26,882.00"
"FMDBL","2024-06-16","690","690","666","667","-1.48 %","26,916.00"
"FMDBL","2024-06-13","680","690.9","676","677","-0.46 %","35,134.00"
"FMDBL","2024-06-12","692","692","679","680.1","-0.13 %","29,455.00"
"FMDBL","2024-06-11","670.1","687","670","681","2.71 %","44,637.00"
"FMDBL","2024-06-10","680","680","663","663","-1.06 %","49,127.00"
"FMDBL","2024-06-09","689","691","670","670.1","-1.05 %","61,280.00"
"FMDBL","2024-06-06","685.9","696.4","677.2","677.2","-1.14 %","46,082.00"
"FMDBL","2024-06-05","693","693","680","685","-0.44 %","35,053.00"
"FMDBL","2024-06-04","703.5","703.5","685.5","688","-0.43 %","71,892.00"
"FMDBL","2024-06-03","690.9","706","680","691","-1.99 %","76,902.00"
"FMDBL","2024-06-02","678","744","665.1","705","3.98 %","202,122.00"
"FMDBL","2024-05-30","686","700","676.2","678","-3.14 %","66,264.00"
"FMDBL","2024-05-29","724","729","690","700","-3.31 %","82,695.00"
"FMDBL","2024-05-27","708.6","727","708.6","724","0.14 %","50,223.00"
"FMDBL","2024-05-26","717.4","746.3","704","723","-1.23 %","206,412.00"
"FMDBL","2024-05-22","710.5","749","710.5","732","0.97 %","240,314.00"
"FMDBL","2024-05-21","695.8","725","695.8","725","2.11 %","133,758.00"
"FMDBL","2024-05-20","700","728.2","686","710","2.16 %","190,684.00"
"FMDBL","2024-05-19","670.1","695","662","695","3.72 %","170,198.00"
"FMDBL","2024-05-16","655","684.5","655","670.1","2.31 %","76,056.00"
"FMDBL","2024-05-15","662","676","650.1","655","-1.65 %","55,301.00"
"FMDBL","2024-05-14","669.1","680","656","666","1.52 %","68,493.00"
"FMDBL","2024-05-13","667.9","667.9","646","656","0.17 %","47,170.00"
"FMDBL","2024-05-12","672.1","672.1","652","654.9","-2.56 %","61,273.00"
"FMDBL","2024-05-09","691.5","697","671.3","672.1","-0.87 %","140,953.00"
"FMDBL","2024-05-08","650","678.4","641","678","5.28 %","158,497.00"
"FMDBL","2024-05-07","631.9","650","627.4","644","2.71 %","45,352.00"
"FMDBL","2024-05-06","632","634.8","620","627","-1.72 %","26,429.00"
"FMDBL","2024-05-05","634","658","631","638","0.63 %","104,846.00"
"FMDBL","2024-05-02","619.1","649","619.1","634","2.92 %","93,081.00"
"FMDBL","2024-04-30","622","622","600.5","616","0.98 %","22,582.00"
"FMDBL","2024-04-29","618","618","600","610","0.00 %","13,621.00"
"FMDBL","2024-04-28","598","616.9","594.3","610","2.01 %","14,715.00"
"FMDBL","2024-04-25","603.1","606.4","596.2","598","-0.35 %","4,897.00"
"FMDBL","2024-04-24","604","612.9","598","600.1","-0.73 %","6,146.00"
"FMDBL","2024-04-22","611","614","604","604.5","-1.55 %","18,278.00"
"FMDBL","2024-04-21","600","614.4","600","614","1.17 %","5,374.00"
"FMDBL","2024-04-18","609","609","603.2","606.9","-0.51 %","14,440.00"
"FMDBL","2024-04-16","610","617.6","609","610","-0.97 %","23,918.00"
"FMDBL","2024-04-15","633.9","634","612.8","616","-2.07 %","32,089.00"
"FMDBL","2024-04-14","626","637","611.4","629","1.76 %","30,285.00"
"FMDBL","2024-04-10","622.5","625","610.1","618.1","-0.71 %","15,522.00"
"FMDBL","2024-04-09","641","644","620.1","622.5","-2.87 %","34,913.00"
"FMDBL","2024-04-07","653","654","633","640.9","-0.17 %","50,183.00"
"FMDBL","2024-04-04","629.9","647","617","642","3.73 %","82,306.00"
"FMDBL","2024-04-03","603.1","623","603.1","618.9","1.13 %","16,357.00"
"FMDBL","2024-04-02","605","619.9","602","612","1.51 %","11,143.00"
"FMDBL","2024-04-01","610","612","593.2","602.9","0.32 %","7,501.00"
"FMDBL","2024-03-31","605.3","610","598.2","601","-1.48 %","14,809.00"
"FMDBL","2024-03-28","610","616","606","610","-0.47 %","10,109.00"
"FMDBL","2024-03-27","626.2","626.2","608","612.9","-0.18 %","11,102.00"
"FMDBL","2024-03-26","626","626","613","614","0.00 %","10,558.00"
"FMDBL","2024-03-25","625","625","608","614","-2.14 %","18,627.00"
"FMDBL","2024-03-21","652","663","627.2","627.4","-1.92 %","60,663.00"
"FMDBL","2024-03-20","631.9","649","622","639.7","3.18 %","113,516.00"
"FMDBL","2024-03-19","620","638","615","620","0.98 %","24,509.00"
"FMDBL","2024-03-18","613","622","608","614","0.16 %","6,545.00"
"FMDBL","2024-03-17","612.6","636","610","613","0.16 %","11,946.00"
"FMDBL","2024-03-14","630","633.5","610","612","-3.47 %","11,272.00"
"FMDBL","2024-03-13","650.7","650.7","628","634","-0.63 %","16,276.00"
"FMDBL","2024-03-12","621","652","612","638","4.25 %","28,749.00"
"FMDBL","2024-03-10","600","619","590","612","3.73 %","29,794.00"
