"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"GBLBS","2024-08-11","897","935","897","922","4.77 %","41,556.00"
"GBLBS","2024-08-08","900","900","880","880","-1.12 %","25,208.00"
"GBLBS","2024-08-07","892","893","860","890","1.66 %","23,112.00"
"GBLBS","2024-08-06","928.2","928.2","870","875.5","-3.79 %","37,392.00"
"GBLBS","2024-08-05","919.5","921","903","910","0.93 %","29,704.00"
"GBLBS","2024-08-01","924.1","958.8","901.6","901.6","-0.49 %","63,651.00"
"GBLBS","2024-07-31","920","920","900","906","0.44 %","44,115.00"
"GBLBS","2024-07-30","886","913","870","902","2.50 %","48,002.00"
"GBLBS","2024-07-29","942.4","942.4","880","880","-4.76 %","68,123.00"
"GBLBS","2024-07-28","967.9","979.5","903.6","924","-2.63 %","47,709.00"
"GBLBS","2024-07-25","877","954.9","877","949","9.08 %","77,828.00"
"GBLBS","2024-07-24","900","905.8","870","870","-2.58 %","31,099.00"
"GBLBS","2024-07-23","880","895","880","893","1.48 %","28,217.00"
"GBLBS","2024-07-22","887.1","888.3","852","880","-0.72 %","40,134.00"
"GBLBS","2024-07-21","890","904","877.7","886.4","-0.18 %","44,081.00"
"GBLBS","2024-07-18","858","901","858","888","3.87 %","57,440.00"
"GBLBS","2024-07-17","832.1","855","826.5","854.9","2.64 %","34,715.00"
"GBLBS","2024-07-16","826","835","816","832.9","2.70 %","19,470.00"
"GBLBS","2024-07-15","815","838","810.2","811","-2.17 %","30,922.00"
"GBLBS","2024-07-14","845.5","861","815","829","0.00 %","22,886.00"
"GBLBS","2024-07-11","835","840","816.5","829","0.36 %","22,258.00"
"GBLBS","2024-07-10","826","842","817.4","826","1.99 %","42,164.00"
"GBLBS","2024-07-09","792","814","779","809.9","3.32 %","40,716.00"
"GBLBS","2024-07-08","795","795","770","783.9","0.00 %","6,094.00"
"GBLBS","2024-07-07","783","787","772","783.9","0.11 %","17,887.00"
"GBLBS","2024-07-04","799","799","772","783","-0.05 %","10,593.00"
"GBLBS","2024-07-03","770.2","783.4","770","783.4","-0.01 %","6,352.00"
"GBLBS","2024-07-02","780.3","811","770.1","783.5","2.42 %","12,743.00"
"GBLBS","2024-07-01","765","773.5","751","765","0.92 %","6,190.00"
"GBLBS","2024-06-30","756.5","764","751","758","-0.52 %","8,060.00"
"GBLBS","2024-06-27","765.3","773","762","762","-1.68 %","6,180.00"
"GBLBS","2024-06-26","799","800","775","775","-1.90 %","10,949.00"
"GBLBS","2024-06-25","787","795","781","790","1.02 %","9,707.00"
"GBLBS","2024-06-24","767","785","758","782","3.44 %","15,082.00"
"GBLBS","2024-06-23","770","770","755","756","-1.82 %","11,433.00"
"GBLBS","2024-06-20","780","781","768","770","-1.16 %","11,630.00"
"GBLBS","2024-06-19","788.8","788.8","770","779","0.26 %","13,191.00"
"GBLBS","2024-06-18","783","790","772","777","-2.63 %","25,358.00"
"GBLBS","2024-06-16","812.2","812.2","791","798","-1.75 %","20,587.00"
"GBLBS","2024-06-13","816","829.9","800.1","812.2","-0.34 %","42,109.00"
"GBLBS","2024-06-12","795","827","785","815","3.16 %","64,169.00"
"GBLBS","2024-06-11","800.3","800.3","780","790","0.68 %","24,055.00"
"GBLBS","2024-06-10","766","785","765","784.7","1.25 %","25,583.00"
"GBLBS","2024-06-09","795","799","770","775","-2.52 %","25,425.00"
"GBLBS","2024-06-06","789","800","772","795","2.71 %","58,471.00"
"GBLBS","2024-06-05","770","783.1","770","774","0.52 %","24,873.00"
"GBLBS","2024-06-04","785","791.9","768","770","0.01 %","22,602.00"
"GBLBS","2024-06-03","759","788","745","769.9","2.11 %","26,196.00"
"GBLBS","2024-06-02","750","757","744","754","0.53 %","11,794.00"
"GBLBS","2024-05-30","738.1","759","738.1","750","-0.37 %","14,139.00"
"GBLBS","2024-05-29","772.1","777","745","752.8","-0.55 %","20,033.00"
"GBLBS","2024-05-27","766","769","751.6","757","0.15 %","9,055.00"
"GBLBS","2024-05-26","783.2","783.2","750","755.9","-1.56 %","24,861.00"
"GBLBS","2024-05-22","784.9","789","761.2","767.9","-1.83 %","19,800.00"
"GBLBS","2024-05-21","780","790","770","782.2","0.28 %","23,058.00"
"GBLBS","2024-05-20","798","810","775","780","-2.26 %","24,024.00"
"GBLBS","2024-05-19","791","810.1","784","798","-0.25 %","37,855.00"
"GBLBS","2024-05-16","771","811","765","800","2.83 %","63,354.00"
"GBLBS","2024-05-15","819.9","820","770","778","-3.31 %","47,115.00"
"GBLBS","2024-05-14","800.4","820","785","804.6","2.52 %","85,082.00"
"GBLBS","2024-05-13","765","785","758","784.8","1.53 %","35,618.00"
"GBLBS","2024-05-12","763","776.9","741","773","1.31 %","56,322.00"
